PDF Filename,Franchisor,Franchise Name,Document Type,Year,File Number,Received Date,Download URL Base
"=== 2026 CLEAN FDD RESULTS (N-S Franchise Names) ===",,,,,,
35504-202603-08,Nan Xiang Express Franchisor LLC,Nan Xiang Express,Clean FDD,2026,11580,03/13/2026,https://cards.web.commerce.state.mn.us/franchise-registrations (search by document name)
35403-202602-03,NEXTHOME INC,NEXTHOME,Clean FDD,2026,7529,02/20/2026,
35224-202601-08,NEXTHOME INC,NEXTHOME,Clean FDD,2026,7529,01/09/2026,
35152-202512-08,NURSE NEXT DOOR HOME HEALTHCARE SERVICES (USA) INC,NURSE NEXT DOOR,Clean FDD,2026,6827,12/22/2025,
35283-202601-07,OUTDOOR LIGHTING PERSPECTIVES FRANCHISOR LLC,OUTDOOR LIGHTING PERSPECTIVES,Clean FDD,2026,9986,01/26/2026,
35454-202603-04,Peet's Coffee Franchise LLC,Peet's Coffee,Clean FDD,2026,11357,03/02/2026,
35212-202601-06,Pilates Republic Franchising LLC,Pilates Republic,Clean FDD,2026,11614,01/06/2026,
35212-202601-11,Pilates Republic Franchising LLC,Pilates Republic,Clean FDD,2026,11614,01/06/2026,
35340-202601-08,LEADING EDGE MARKETING INC,PROSOURCE WHOLESALE,Clean FDD,2026,2831,02/04/2026,
35278-202601-12,PURE SWEAT STUDIOS LLC,PURE SWEAT SAUNA STUDIO AND PURE SWEAT + FLOAT STUDIO,Clean FDD,2026,10277,01/27/2026,
35278-202601-07,PURE SWEAT STUDIOS LLC,PURE SWEAT SAUNA STUDIO AND PURE SWEAT + FLOAT STUDIO,Clean FDD,2026,10277,01/27/2026,
35519-202603-08,RENUE SYSTEMS DEVELOPMENT CORP INC,RENUE,Clean FDD,2026,6350,03/18/2026,
35339-202601-10,RITA'S FRANCHISE COMPANY LLC,RITA'S FRANCHISE COMPANY LLC; RITA'S ICE-CUSTARD-HAPPINESS,Clean FDD,2026,10123,02/02/2026,
35339-202601-07,RITA'S FRANCHISE COMPANY LLC,RITA'S FRANCHISE COMPANY LLC; RITA'S ICE-CUSTARD-HAPPINESS,Clean FDD,2026,10123,02/02/2026,
35303-202601-08,Saladworks LLC,Saladworks,Clean FDD,2026,10708,02/02/2026,
35438-202602-09,Satellite Teams Global LLC,Satellite Teams,Clean FDD,2026,11544,02/27/2026,
35325-202601-05,SENIORS BLUE BOOK FRANCHISING LLC,SENIORS BLUE BOOK,Clean FDD,2026,8257,02/03/2026,
35217-202601-05,Shipley Franchise Company LLC,Shipley Do-Nuts,Clean FDD,2026,11219,01/08/2026,
35548-202603-05,SHOOT 360 NATION LLC,SHOOT 360,Clean FDD,2026,9538,03/20/2026,
35359-202602-08,SHOOT 360 NATION LLC,SHOOT 360,Clean FDD,2026,9538,02/09/2026,
35430-202602-08,Southern Steer Franchising International LLC,Southern Steer Butcher,Clean FDD,2026,11322,02/25/2026,
35441-202602-05,MCCOLLA ENTERPRISES LTD.,STREET CORNER,Clean FDD,2026,3835,02/27/2026,
35516-202603-07,WINMARK CORPORATION,STYLE ENCORE,Clean FDD,2026,7083,03/16/2026,
35300-202601-08,SUPERIOR FENCE AND RAIL FRANCHISOR LLC,SUPERIOR FENCE & RAIL INC,Clean FDD,2026,10103,01/27/2026,
35445-202602-10,SureStay Inc.,SureStay Collection by Best Western,Clean FDD,2026,11179,02/27/2026,
35444-202602-05,SURESTAY INC.,SURESTAY STUDIO BY BEST WESTERN / SURESTAY BY BEST WESTERN,Clean FDD,2026,9264,02/27/2026,
35370-202602-08,SURFACE SPECIALISTS SYSTEMS INC.,SURFACE SPECIALISTS,Clean FDD,2026,7574,02/23/2026,
"=== 2025 CLEAN FDD RESULTS (N-S Franchise Names) ===",,,,,,
34922-202510-08,NPR Auto Group LLC,NextCar / NextCar All Vehicle Rentals,Clean FDD,2025,11592,10/13/2025,
35075-202511-05,Oakwell Franchising LLC,Oakwell Beer Spa,Clean FDD,2025,11603,12/01/2025,
34785-202509-16,P3 COST ANALYSTS FRANCHISE LLC,P3 COST ANALYSTS FRANCHISE,Clean FDD,2025,10292,09/22/2025,
34785-202509-11,P3 COST ANALYSTS FRANCHISE LLC,P3 COST ANALYSTS FRANCHISE,Clean FDD,2025,10292,09/22/2025,
34785-202509-07,P3 COST ANALYSTS FRANCHISE LLC,P3 COST ANALYSTS FRANCHISE,Clean FDD,2025,10292,09/22/2025,
35461-202603-05,PERKINS LLC,PERKINS AND PERKINS RESTAURANT AND BAKERY,Clean FDD,2025,9464,03/04/2026,
35040-202511-07,PizzaExpress US Limited,PizzaExpress,Clean FDD,2025,11373,11/07/2025,
35451-202603-03,PM FRANCHISING LLC,PRETZELMAKER,Clean FDD,2025,9767,03/02/2026,
35160-202512-01,PSP Franchise Operations SPV LLC,PSP,Clean FDD,2025,11610,12/24/2025,
35160-202512-12,PSP Franchise Operations SPV LLC,PSP,Clean FDD,2025,11610,12/24/2025,
35409-202602-04,PB Franchising SPV LLC,Pure Barre,Clean FDD,2025,10694,02/20/2026,
34845-202509-05,PGFC LLC,PureGlow,Clean FDD,2025,11583,10/03/2025,
34845-202509-09,PGFC LLC,PureGlow,Clean FDD,2025,11583,10/03/2025,
35278-202601-12,PURE SWEAT STUDIOS LLC,PURE SWEAT SAUNA STUDIO AND PURE SWEAT + FLOAT STUDIO,Clean FDD,2025,10277,01/27/2026,
35278-202601-07,PURE SWEAT STUDIOS LLC,PURE SWEAT SAUNA STUDIO AND PURE SWEAT + FLOAT STUDIO,Clean FDD,2025,10277,01/27/2026,
34854-202510-01,RGN-USF LLC,Regus,Clean FDD,2025,11581,10/08/2025,
35362-202602-03,ROOSTERS MGC INTERNATIONAL LLC,ROOSTERS AND ROOSTERS MEN'S GROOMING CENTER,Clean FDD,2025,10588,02/10/2026,
35171-202512-03,RestoPros Franchising LLC,RestoPros,Clean FDD,2025,11250,12/29/2025,
35059-202511-12,Sambazon USA Franchising LLC,Sambazon,Clean FDD,2025,11129,12/01/2025,
35059-202511-07,Sambazon USA Franchising LLC,Sambazon,Clean FDD,2025,11129,12/01/2025,
35186-202512-05,SCOOTER'S COFFEE LLC,SCOOTER'S COFFEE,Clean FDD,2025,6805,12/31/2025,
