EXHIBIT A 
 
CALIFORNIA 
Gringteam Inc. Bakersfield, CA 3100 Camino Del Rio Court, Bakersfield, California  93308   
UHG LAX Prop, LLC LAX/El Segundo, CA 1985 East Grand Ave., El Segundo, California  90245-5015   
Modesto Hospitality, LLC Modesto, CA 1150 Ninth Street, Modesto, California  95354   
AWH Anaheim Hotel, LLC Hotel Fera Anaheim, CA 100 The City Drive S, Orange, California  92868-3204   
EASUN INC Sacramento, CA 2001 Point West Way, Sacramento, California  95815   
SWVP Del Mar Hotel LLC San Diego/Del Mar, CA 11915 El Camino Real, San Diego, California  92130-2539   
Spectrum Hotel Group LLC Irvine-Spectrum, CA 90 Pacifica, Irvine, California  92618   
Sunshine Inn, A California Limited Partnership Los Angeles - Rosemead, CA 888 Montebello Blvd., Rosemead, California  91770   
Imperial Hotel Group, LLC Hotel Zessa Santa Ana, CA 201 East MacArthur Blvd, Santa Ana, California  92707   
NK Investment, LP San Bernardino, CA 285 East Hospitality Lane, San Bernardino, California  92408-3411   
CTC Group, Inc. Torrance/South Bay, CA 21333 Hawthorne Boulevard, Torrance, California  90503   
S.M. Broadway Corporation Newark/Fremont, CA 39900 Balentine Drive, Newark, California  94560-0564   
Johnson Hotel Company Pleasanton-at the Club, CA 7050 Johnson Drive, Pleasanton, California  94588-3396   
Khanna Enterprises VII, LP San Diego - Hotel Circle, CA 1515 Hotel Circle South, San Diego, California  92108   
Artemis Convention Hotel LLC Anaheim Resort-Convention Ctr, CA 2085 South Harbor Blvd., Anaheim, California  92802   
200 Marina Boulevard, Berkeley, LLC Berkeley Marina, CA 200 Marina Blvd., Berkeley, California  94710   
Claremont Star, L.P. Claremont, CA 555 W. Foothill Blvd., Claremont, California  91711   
LA Sky Harbor LLC San Pedro, CA 2800 Via Cabrillo Marina, San Pedro, California  90731   
NF V San Diego LI OP CO, LLC San Diego Downtown,  CA 2000 Monarch Tower, 3424 Peachtree Road NE, Atlanta, Georgia  30326   
Meile Investment LLC Monrovia-Pasadena Area, CA 924 West Huntington Drive, Monrovia, California  91016   
TPG LA Commerce LLC Los Angeles-Commerce, CA 5757 Telegraph Road, Commerce, California  90040   
Butterfly Effect Hotels, LLC Napa Valley American Canyon, CA 3600 Broadway Street, American Canyon, California  94503   
Pedestal Capital II, LLC Los Angeles Norwalk, CA 13111 Sycamore Drive, Norwalk, California  90650   
Carson Hotel, LLC Carson, CA 2 Civic Plaza, Carson, California  90745   
Queensbay Hotel, LLC Hotel Maya, a Doubletree Hotel, Long Beach, CA 700 Queensway Drive, Long Beach, California  90802   
Han's Hospitality at 120 Downtown LA, LLC Los Angeles Downtown, CA 120 South Los Angeles Street, Los Angeles, California  90012   
Campbell SC3 Operator, LLC Campbell - Pruneyard Plaza, CA 1995 South Bascom Avenue, Campbell, California  95008   
Uniwell Fresno Hotel, LLC Fresno Convention Center, CA 2233 Cesar Chavez, Fresno, California  93721   
Summit Hotel TRS 114, LLC San Francisco Airport North Bayfront, CA 5000 Sierra Point Parkway, Brisbane, California  94005   
LR MDR Hotel LLC Hotel MDR, Marina del Rey, CA 13480 Maxella Avenue, Marina del Rey, California  90292   
