EXHIBIT A 
DELAWARE 
Diamond State Hotel XXXIX Owner LLC Wilmington, DE 4727 Concord Pike, Wilmington, Delaware  19803   
Kingsman Hospitality LLC Downtown Wilmington - Legal District, DE 700 N. King Street, Wilmington, Delaware  19801   
 
FLORIDA 
P.H.Hotel, Inc. Grand Hotel Biscayne Bay, FL 1717 North Bayshore Drive, Miami, Florida  33132-1180   
PBG Hotel, LLC Palm Beach Gardens Hotel & Exec Mtg Ctr, FL 4431 PGA Boulevard, Palm Beach Gardens, Florida  33410   
M2 Tallahassee Tenant LLC Tallahassee, FL 101 South Adams Street, Tallahassee, Florida  32301-7774   
Tampa Hotel Operating Company LLC Tampa Rocky Point Waterfront, FL 3050 N. Rocky Point Dr. West, Tampa, Florida  33607-5800   
Guest Services Company of Virginia, LLC Naples, FL 12200 Tamiami Trail North, Naples, Florida  34110   
Deerfield Beach Hotel Operations, LLC Deerfield Beach - Boca Raton, FL 100 Fairway Drive, Deerfield Beach, Florida  33441-1856   
Redington Beach Hotels, LLC Tampa Bay-North Redington Beach, FL 17120 Gulf Boulevard, North Redington Beach, Florida  33708-1443   
RLJ DBT KEY WEST LESSEE, LLC Grand Key Resort - Key West, FL 3990 S. Roosevelt Blvd, Key West, Florida  33040   
X Fund Properties LLC At The Entrance to Universal Orlando, FL 5780 Major Blvd., Orlando, Florida  32819   
Kelco/FB Ocean Point LLC Rst & Spa Ocean Pt -North Miami Bch, FL 17375 Collins Avenue, North Miami Beach, Florida  33160   
DW MLB D Owner LLC Melbourne Beach Oceanfront, FL 1665 N. StateRoute A1A, Melbourne, Florida  32903   
Hotel West Palm Beach Opco, L.L.C. West Palm Beach Airport, FL 1808 S. Australian Avenue, West Palm Beach, Florida  33409   
AFP 103 Corp. Miami Airport Convention Center, FL 711 N.W. 72nd Avenue, Miami, Florida  33126   
AWH Orlando Property, LLC Orlando at SeaWorld, FL 10100 International Drive, Orlando, Florida  32821   
RSLLC-Orlado Downtown Hotel, LLC Orlando-Downtown, FL 60 South Ivanhoe Boulevard, Orlando, Florida  32804   
SWVP SAWGRASS MILLS LLC Sunrise - Sawgrass Mills, FL 13400 West Sunrise Boulevard, Sunrise, Florida  33323   
DHMCO Associates LLC Orlando Airport, FL 5555 Hazeltine National Drive, Orlando, Florida  32812   
JAX Airport Hotel, LLC Jacksonville Airport, FL 2101 Dixie Clipper Drive, Jacksonville, Florida  32218   
SOHO Jacksonville TRS LLC Jacksonville Riverfront, FL 1201 Riverplace Boulevard, Jacksonville, Florida  32207   
116 San Marco STA, LLC St. Augustine Historic District, FL 116 San Marco Avenue, St Augustine, Florida  32084   
White Diamond Hospitality LLC Orlando East - UCF Area, FL 12125 High Tech Avenue, Orlando, Florida  32817   
Gainesville Hotels and Resorts LLC Gainesville, FL 3726 SW 40th Boulevard, Gainesville, Florida  32608   
Jospitality Doral, LLC Miami Doral, FL 10250 NW 19th Street, Doral, Florida  33172   
Hollywood Hotel Associates Lessee, LLC Hollywood Beach, FL 4000 South Ocean Drive, Hollywood, Florida  33019   
VINAYAK PROPERTIES, LLC Sarasota Airport, FL 8009 15th Street E., Sarasota, Florida  34243   
FM Hotel Company, LTD Fort Myers at Bell Tower Shops, FL 13051 Bell Tower Drive, Fort Myers, Florida  33907   
MNK Hospitality LLC Miami North I-95, FL 7927 NW 7th Avenue, Miami, Florida  33150   
