                                                                         GREAT CLIPS® FRANCHISEES
                                                                     OPEN SALONS AS OF DECEMBER 31, 2024
                                                                              *DENOTES MDA


Salon Name                            Franchisee                        Address                       City                  State   Zip         Phone
 Towerlane II                         Incor Group, Inc.                 705 Main St SW                Airdrie               AB      T4B 3M2     (403) 948-0642
 Beaumont                             1847345 Alberta Ltd.              6410 50th St                  Beaumont              AB      T4X 0B6     (780) 929-2171
 Beltline                             1002032 Alberta LTD               1210 8th St SW                Calgary               AB      T2R 1L3     (403) 209-2229
 Gates of Walden                      1625765 Alberta Ltd.              151 Walden Gate SE            Calgary               AB      T2X 0R2     (403) 984-4115
 Seton                                1625765 Alberta Ltd.              19489 Seton Crescent SE       Calgary               AB      T3M 1T4     (403) 718-0442
 Brae Centre                          1625765 Alberta Ltd.              11440 Braeside Dr SW          Calgary               AB      T2W 3N4     (403) 984-8707
 Bridlewood                           2275068 Alberta Ltd.              2335 162nd Ave SW             Calgary               AB      T2Y 4S2     (403) 201-0044
 Country Hills                        2275078 Alberta Ltd.              500 Country Hills Blvd NE     Calgary               AB      T3K 4Y7     (403) 226-2561
 West 85th                            2275078 Alberta Ltd.              8561 8A Ave SW                Calgary               AB      T3H 0V5     (587) 353-4788
 Easthills                            APS Boyce Consulting, Ltd.        611-409 E Hills Blvd SE       Calgary               AB      T2A 4X7     (587) 470-9868
 Deer Valley Marketplace              APS Boyce Consulting, Ltd.        1221 Canyon Meadows Dr SE     Calgary               AB      T2J 6G2     (403) 278-8033
 Bow River Shopping Centre            Incor Group, Inc.                 3420 69 St NW                 Calgary               AB      T2B 2J7     (825) 540-1918
 Signal Hill Centre                   Incor Group, Inc.                 5775 Signal Hill Ctr SW       Calgary               AB      T3H 3P8     (403) 240-4490
 Brick Plaza                          Incor Group, Inc.                 9681 MacLeod Trl S            Calgary               AB      T2J 0P6     (403) 258-4419
 South Trail Crossing                 Incor Group, Inc.                 211-4307 130th Ave SE         Calgary               AB      T2Z 3V8     (403) 257-6451
 Horizon Square                       Incor Group, Inc.                 3508 32nd Ave NE              Calgary               AB      T1Y 6J2     (403) 250-7018
 Deerfoot Meadows                     Incor Group, Inc.                 8180 11th St SE               Calgary               AB      T2H 3B5     (403) 204-3382
