                                                                  GREAT CLIPS® FRANCHISEES
                                                              OPEN SALONS AS OF DECEMBER 31, 2024
                                                                       *DENOTES MDA


Salon Name                        Franchisee                         Address                            City                 State   Zip         Phone
 Gateway Pavillions               NELSON HOLDING GROUP, LLC          10030 W McDowell Rd                Avondale             AZ      85323       (623) 478-0773
 Avondale Fiesta                  Sonora Services of Colorado, LLC   11435 W Buckeye Rd                 Avondale             AZ      85323       (623) 936-7880
 Village Grove at Verrado         NELSON HOLDING GROUP, LLC          19580 W Indian School Road         Buckeye              AZ      85396       (623) 440-8084
 Watson & Yuma                    Watson Clips, Inc.                 1510 S Watson Rd                   Buckeye              AZ      85326       (623) 327-9734
 Mohave Crossroads                Bell Hair, Inc.                    3699 Hwy 95                        Bullhead City        AZ      86442       (928) 704-2023
 Villago Marketplace              Bell Hair, Inc.                    2820 N Pinal Ave                   Casa Grande          AZ      85122       (520) 316-9118
 Promenade at Casa Grande         vGuru AZ LLC                       844 N Promenade Pkwy               Casa Grande          AZ      85194       (520) 876-0666
 Tri-Valley Plaza                 vGuru AZ LLC                       1397 E Florence Blvd               Casa Grande          AZ      85122       (520) 876-0080
 Cottonwood Ranch                 vGuru AZ LLC                       992 E Cottonwood Ln                Casa Grande          AZ      85122       (520) 421-2126
 Carefree Hwy & 48th St           Carefree Clips, Inc.               4815 E Carefree Hwy                Cave Creek           AZ      85331       (480) 488-6101
 Cave Creek and Tatum             Cave Creek Clips, Inc.             29455 N Cave Creek Rd              Cave Creek           AZ      85331       (480) 563-7558
 Queen Creek & Alma School        Alma Clips, Inc.                   3165 S Alma School Rd              Chandler             AZ      85248       (480) 855-5619
 Alma Elliot Square               Hand's Shear Magic, Inc.           973 W Elliot Rd                    Chandler             AZ      85225       (480) 899-8640
 The Plant                        Kula, Inc.                         4085 S Gilbert Rd                  Chandler             AZ      85249       (480) 826-2656
 Riggs & McQueen                  McQueen Clips, Inc.                975 E Riggs Rd                     Chandler             AZ      85249       (480) 895-9411
 Fry's Anderson Springs           NELSON HOLDING GROUP, LLC          1960 W Ray Rd                      Chandler             AZ      85224       (480) 821-8826
 The Park                         NELSON HOLDING GROUP, LLC          1245 W Chandler Blvd               Chandler             AZ      85224       (480) 912-5934
 Chandler Village Center          NELSON HOLDING GROUP, LLC          3415 W Frye Rd                     Chandler             AZ      85226       (480) 899-1045
 Cottonwood                       Bell Hair, Inc.                    1100 S State Hwy 260               Cottonwood           AZ      86326       (928) 634-1055
 Park Santa Fe                    Headlines Enterprises, Inc.        3470 E Route 66                    Flagstaff            AZ      86004       (928) 526-4080
 Greentree Village                Headlines Enterprises, Inc.        1800 S Milton Rd                   Flagstaff            AZ      86001       (928) 556-0882
 Fountain Hills Plaza             A Cut Above, Inc.                  16605 E Palisades Blvd             Fountain Hills       AZ      85268       (480) 837-2319
 Cooper & Warner                  Cooper Clips, Inc.                 835 W Warner Rd                    Gilbert              AZ      85233       (480) 507-2627
 Gilbert & Williams Field         Gilbert Fiesta Clips, Inc.         2487 S Gilbert Rd                  Gilbert              AZ      85296       (480) 899-0115
 Cooley Station                   Hand's Shear Magic, Inc.           4099 E Williams Field Rd           Gilbert              AZ      85295       (480) 265-8297
 Higley Safeway Center            Hand's Shear Magic, Inc.           1496 N Higley Rd                   Gilbert              AZ      85234       (480) 985-5885
 Val Vista Square                 Hand's Shear Magic, Inc.           1981 E Pecos Rd                    Gilbert              AZ      85295       (480) 726-0794
 Lakeview Village                 Hand's Shear Magic, Inc.           67 S Higley Rd                     Gilbert              AZ      85296       (480) 497-1485
 Chandler Heights & Higley        Higley Clips, Inc.                 6466 S Higley Rd                   Gilbert              AZ      85298       (480) 279-2020
 Power Ranch                      Kula, Inc.                         8490 S Power Rd                    Gilbert              AZ      85297       (480) 988-7331
 Silverstone                      Shear Quality, Inc.                754 S Valvista Dr                  Gilbert              AZ      85296       (480) 633-9533
 Patterson Landing                Shear Quality, Inc.                1672 E Guadalupe Rd                Gilbert              AZ      85234       (480) 813-3584
 43rd Ave & Bell                  Bellair Clips, Inc.                4326 W Bell Rd                     Glendale             AZ      85308       (602) 547-9820
 Arrowhead Legends                Headlines Enterprises, Inc.        20229 N 67th Ave                   Glendale             AZ      85308       (623) 362-0052
 Arrowhead Marketplace            NELSON HOLDING GROUP, LLC          7942 W Bell Rd                     Glendale             AZ      85308       (623) 412-1458
 39th Ave & Happy Valley          Pinnacle Clips, Inc.               3730 W Happy Valley Rd             Glendale             AZ      85310       (623) 587-1424
 Peoria Crossings                 Shear Quality, Inc.                9284 Northern Ave                  Glendale             AZ      85305       (623) 877-7767
 59th Ave & Thunderbird           T-Bird Clips, Inc.                 13637 N 59th Ave                   Glendale             AZ      85304       (602) 439-2299
 Glendale Town Center             vGuru AZ LLC                       10222 N 43rd Ave                   Glendale             AZ      85302       (623) 939-6229
 Happy Valley Marketplace         vGuru AZ LLC                       6635 W Happy Valley Rd             Glendale             AZ      85310       (623) 537-4557
 Aqua Fria Towne Center           vGuru AZ LLC                       9524 W Camelback Rd                Glendale             AZ      85305       (623) 877-9887
 Canyon Trails                    A Cut Above, Inc.                  500 N Estrella Pkwy                Goodyear             AZ      85338       (623) 932-5129
 Super Target Center              Bell Hair, Inc.                    831 S Cotton Ln                    Goodyear             AZ      85338       (623) 925-8110
 Mountain Ranch Marketplace       Headlines Enterprises, Inc.        17650 W Elliot Rd                  Goodyear             AZ      85338       (623) 386-5823
 Palm Valley                      vGuru AZ LLC                       14175 W Indian School Rd           Goodyear             AZ      85395       (623) 535-1335
* Sahuarita Palms                 Tucson Clips, LLC                  1325 W Duval Mine Rd               Green Valley         AZ      85614       (520) 399-2009
 Stockton Hill                    Bell Hair, Inc.                    3535 Stockton Hill Rd              Kingman              AZ      86409       (928) 757-8965
 Shops at Lake Havasu             Bell Hair, Inc.                    5601 Hwy 95 N                      Lake Havasu          AZ      86404       (928) 764-1408
 Lake Havasu Bashas               Bell Hair, Inc.                    3269 Maricopa Ave                  Lake Havasu City     AZ      86406       (928) 302-1569
 Laveen Village Marketplace       Headlines Enterprises, Inc.        5130 W Baseline Rd                 Laveen               AZ      85339       (602) 237-9906
 Camelback Crossing               A Cut Above, Inc.                  5115 N Dysart Rd                   Litchfield Park      AZ      85340       (623) 535-0242
* Shoppes at Tangerine Crossing   Tucson Clips, LLC                  12060 N Thornydale Rd              Marana               AZ      85658       (520) 572-3825
 Maricopa Fiesta                  Bell Hair, Inc.                    20928 N John Wayne Pkwy            Maricopa             AZ      85139       (520) 568-9811
 The Wells                        Bell Hair, Inc.                    41620 W Maricopa Casa Grande Hwy   Maricopa             AZ      85138       (520) 568-1960
 Mesa Riverview                   Bell Hair, Inc.                    849 N Dobson Rd                    Mesa                 AZ      85201       (480) 834-2953
 Falcon Gateway                   Bell Hair, Inc.                    4425 E McKellips Rd                Mesa                 AZ      85215       (480) 396-6889
 North Mesa Plaza                 Bell Hair, Inc.                    2706 E University Dr               Mesa                 AZ      85213       (480) 649-9530
 Guadalupe & Dobson               Dobson Clips, Inc.                 1955 W Guadalupe Rd                Mesa                 AZ      85202       (480) 730-1975
 Mulberry Marketplace             Hand's Shear Magic, Inc.           2748 S Signal Butte Rd             Mesa                 AZ      85209       (480) 354-8447
 The Point                        Hand's Shear Magic, Inc.           10706 E. Point Twenty-Two Blvd     Mesa                 AZ      85212       (480) 590-4351
 The Vineyards                    Hand's Shear Magic, Inc.           550 W Baseline Rd                  Mesa                 AZ      85210       (480) 835-8838
 Augusta Ranch Marketplace        Hand's Shear Magic, Inc.           9931 E Baseline Rd                 Mesa                 AZ      85209       (480) 354-2288
 Greenfield Center                Hand's Shear Magic, Inc.           4437 E Southern Ave                Mesa                 AZ      85206       (480) 807-0632
 Stonehenge Center                Hand's Shear Magic, Inc.           1230 E Baseline Rd                 Mesa                 AZ      85204       (480) 497-8208
 Fry's Ellsworth Plaza            Hand's Shear Magic, Inc.           435 S Ellsworth Rd                 Mesa                 AZ      85208       (480) 986-8770
 Superstition Springs             Hand's Shear Magic, Inc.           6920 E Baseline Rd                 Mesa                 AZ      85208       (480) 807-9550
 Power & McDowell                 Power Clips, Inc.                  2733 N Power Rd                    Mesa                 AZ      85207       (480) 325-3935
* Rooney Ranch                    Tucson Clips, LLC                  10515 N Oracle Rd                  Oro Valley           AZ      85737       (520) 297-5213
