                                                                      GREAT CLIPS® FRANCHISEES
                                                                  OPEN SALONS AS OF DECEMBER 31, 2024
                                                                           *DENOTES MDA


Salon Name                         Franchisee                          Address                             City                State   Zip         Phone
 Greenway & Tatum                   GT Clips, Inc.                     4737 E Greenway Rd                  Phoenix             AZ      85032       (602) 992-5471
 Fry's Shopping Center              Headlines Enterprises, Inc.        2620 S 83rd Ave                     Phoenix             AZ      85043       (623) 374-6662
 Paradise Village Gateway           Kula, Inc.                         10645 N Tatum Blvd                  Phoenix             AZ      85028       (480) 368-8657
 Legacy Village                     Kula, Inc.                         2320 E Baseline Rd                  Phoenix             AZ      85042       (602) 268-8818
 Village Center                     Kula, Inc.                         4312 E Cactus Rd                    Phoenix             AZ      85032       (602) 996-0498
 Ahwatukee Mercado                  Kula, Inc.                         4747 E Elliot Rd                    Phoenix             AZ      85044       (480) 598-9042
 Ahwatukee Foothills                Kula, Inc.                         4729 E Ray Rd                       Phoenix             AZ      85044       (480) 705-5406
 Dove Valley and North Valley Pkwy Metro Clips, Inc.                   2750 W Dove Valley Rd               Phoenix             AZ      85085       (623) 249-2904
 19th Ave & Northern                North 19 Clips, Inc.               1820 W Northern Ave                 Phoenix             AZ      85021       (602) 331-0023
 Biltmore Plaza                     Sonora Services of Colorado, LLC   3122 E Camelback Rd                 Phoenix             AZ      85016       (602) 957-6926
 Camelback Colonnade                Sonora Services of Colorado, LLC   1928 E Highland Ave                 Phoenix             AZ      85016       (602) 230-0491
 Safeway Shopping Center            vGuru AZ LLC                       4819 N 83rd Ave                     Phoenix             AZ      85033       (623) 873-6666
 Union Plaza                        vGuru AZ LLC                       1937 W Union Hills Dr               Phoenix             AZ      85027       (602) 942-8734
 Northpark Village                  vGuru AZ LLC                       3411 N 7th Ave                      Phoenix             AZ      85013       (602) 277-9444
 Hayden Plaza                       vGuru AZ LLC                       12228 N Cave Creek Rd               Phoenix             AZ      85022       (602) 923-3222
 Cave Creek Marketplace             vGuru AZ LLC                       20235 N Cave Creek Rd               Phoenix             AZ      85024       (602) 493-3444
 Willow Crossroads                  Hand's Shear Magic, Inc.           3196 Willow Creek Rd                Prescott            AZ      86301       (928) 717-0512
 Prescott Gateway                   Hand's Shear Magic, Inc.           250 Lee Blvd                        Prescott            AZ      86303       (928) 717-9318
 Glassford Hill Marketplace         Hand's Shear Magic, Inc.           3298 N Glassford Hill Rd            Prescott Valley     AZ      86314       (928) 775-9952
 Circle Cross Ranch                 Hand's Shear Magic, Inc.           85 W Combs Rd                       Queen Creek         AZ      85140       (480) 987-4331
 Ellsworth & Riggs                  RG Clips, Inc.                     24921 S Ellsworth Rd                Queen Creek         AZ      85142       (480) 987-5178
 Ellsworth & Rittenhouse            Rittenhouse Clips, Inc.            21582 S Ellsworth Loop Rd           Queen Creek         AZ      85142       (480) 882-9006
 Safford Walmart                    BNGC, Inc.                         775 S 20th Ave                      Safford             AZ      85546       (928) 792-2425
* Rancho Sahuarita Marketplace      Tucson Clips, LLC                  15990 S Rancho Sahuarita Blvd       Sahuarita           AZ      85629       (520) 648-1356
 Bella Vista & Hunt Hwy             Hunt Clips, Inc.                   530 E Hunt Hwy                      San Tan Valley      AZ      85143       (480) 882-3279
 Chaparral Plaza                    A Cut Above, Inc.                  7908 E Chaparral Rd                 Scottsdale          AZ      85250       (480) 994-4606
 Thompson Peak & Frank Lloyd Wright David Oliverio                     14692 N Frank Lloyd Wright          Scottsdale          AZ      85260       (480) 368-7080
 Gateview Park                      Kula, Inc.                         6989 N Hayden Rd                    Scottsdale          AZ      85250       (480) 905-7093
 Scottsdale & Thomas                ST Clips, Inc.                     2765 N Scottsdale Rd                Scottsdale          AZ      85257       (480) 947-0914
 Hayden & Thompson Peak             Thompson Clips, Inc.               20343 N Hayden Rd                   Scottsdale          AZ      85255       (480) 585-3809
* Charleston Crossing               Tucson Clips, LLC                  440 N Hwy 90                        Sierra Vista        AZ      85635       (520) 417-2547
 Kings Inn                          A Cut Above, Inc.                  10659 W Grand Ave                   Sun City            AZ      85351       (623) 972-1038
 Bell Camino Center                 A Cut Above, Inc.                  10748 W Bell Rd                     Sun City            AZ      85351       (623) 977-1996
