                                                                        GREAT CLIPS® FRANCHISEES
                                                                    OPEN SALONS AS OF DECEMBER 31, 2024
                                                                             *DENOTES MDA


Salon Name                          Franchisee                             Address                     City                State   Zip         Phone
 Park and Tilford                   GCMP Hair Clips, Ltd.                  710-333 Brooksbank Ave      North Vancouver     BC      V7J 3S8     (604) 980-3178
 Parkgate Village                   GCMP Hair Clips, Ltd.                  1151 Mt Seymour Road        North Vancouver     BC      V7H 2Y4     (604) 988-0850
* Peachtree Penticton               PDB Holdings, Ltd.                     2735 Skaha Lake Road        Penticton           BC      V2A 9B8     (778) 476-3159
 Pitt Meadows                       Buzzmark Holdings, Ltd.                12518 Harris Rd             Pitt Meadows        BC      V3Y 2J4     (604) 465-6372
 Shaughnessy Station                GCMP Hair Clips, Ltd.                  2177-2850 Shaughnessy St    Port Coquitlam      BC      V3C 6K5     (604) 464-4247
 Westwood Centre                    GCMP Hair Clips, Ltd.                  2748 Lougheed Hwy           Port Coquitlam      BC      V3B 6P2     (604) 945-9803
 Garden City Shopping Center        GBGJ HOLDINGS LTD.                     440-9100 Blundell Rd        Richmond            BC      V6Y 3X9     (604) 278-0198
 Boundary Park Plaza                0476321 BC, Ltd.                       6350 120th St               Surrey              BC      V3X 1Y7     (604) 594-2271
 Cloverdale Crossing                0476321 BC, Ltd.                       17725 64th Ave              Surrey              BC      V3S 1Z2     (778) 571-0306
 Guildford Village                  0476321 BC, Ltd.                       15679 104th Ave             Surrey              BC      V4N 2H4     (604) 543-0101
 Grandview Corners                  0476321 BC, Ltd.                       2245 160th St               Surrey              BC      V3S 9N6     (604) 542-4346
 London Station                     0893222 B.C. LTD                       100-10362 King George Hwy   Surrey              BC      V3T 2W5     (604) 582-6927
 16th Avenue                        0998797 B.C. LTD                       1616 152nd St               Surrey              BC      V4A 4N2     (604) 531-8077
 Scott Road Centre                  GCMP Hair Clips, Ltd.                  8080 120th St               Surrey              BC      V3W 3N3     (604) 590-4247
 Fleetwood Park Village             Great Fun, Inc.                        302-15930 Fraser Hwy        Surrey              BC      V4N 0X8     (604) 507-2547
 Bayside Village                    0893222 B.C. LTD                       4B 1163 56th St             Tsawwassen          BC      V4L 2A2     (604) 948-1883
 Davie Street                       Buzzmark Holdings, Ltd.                120 - 1160 Davie Street     Vancouver           BC      V6E 1N1     (604) 648-0990
 Champlain Square                   GBGJ HOLDINGS LTD.                     7038 Kerr St                Vancouver           BC      V5S 4W2     (604) 433-6867
* Shops at Polson Park              PDB Holdings, Ltd.                     2306 Highway 6              Vernon              BC      V1T 7E3     (250) 503-1229
 Belmont Market                     Vandalay Enterprises, LTD              3031 Merchant Way           Victoria            BC      V9B 0W9     (778) 440-1955
 Eagle Creek Village                Vandalay Enterprises, LTD              120 - 23 Helmcken Rd        Victoria            BC      V8Z 5G5     (778) 265-9509
* Governors Landing                 PDB Holdings, Ltd.                     515 - 3042 Louie Dr         West Kelowna        BC      V4T 3E2     (778) 754-7588
 Caulfield Village                  Orange Clips Inc.                      5373 Headland Dr            West Vancouver      BC      V7W 3C7     (604) 921-5954
 Twin Oaks Shopping Center          Vuppula LLC                            5803 Kanan Rd               Agoura Hills        CA      91301       (818) 532-7368
 Alameda Towne Centre               David Goettge                          2221 S Shore Ctr            Alameda             CA      94501       (510) 522-7587
 Costco Plaza                       JTVOHANA Enterprises, LLC              2107 W Commonwealth Ave     Alhambra            CA      91803       (818) 669-3102
 Alta Loma Square                   CA Business Systems Enterprise, Inc.   8746 19th St                Alta Loma           CA      91701       (909) 481-2501
 Napa Junction                      KCS Group, Inc.                        6040 Main St                American Canyon     CA      94503       (707) 562-2555
 Creekside Center                   Ridgewood Enterprises, Inc.            4320 Elverta Rd             Antelope            CA      95843       (916) 721-9497
 The Crossings-Antioch              Divine Kuts Inc.                       3457 Deer Valley Rd         Antioch             CA      94531       (925) 206-4472
 Empire Shopping Center             McFinance Advisory, Inc.               5887-K Lone Tree Way        Antioch             CA      94531       (925) 778-1623
 Vons Shopping Center               Central Coast CC8551 LLC               7045 El Camino Real         Atascadero          CA      93422       (805) 462-8105
 Atwater Marketplace                CAMP CLIPS, INC.                       1667 Bellevue Rd            Atwater             CA      95301       (209) 358-0201
 Crossroads Shopping Center         Hoopala, Inc.                          2536 Bell Rd                Auburn              CA      95603       (530) 887-8061
* Gosford Village Center            Burkshine Enterprise Inc.              5353 Gosford Rd             Bakersfield         CA      93313       (661) 664-4500
* Riverlakes Galleria               Burkshine Enterprise Inc.              5511 Calloway Drive         Bakersfield         CA      93312       (661) 695-6625
* Shops at Riverwalk                Burkshine Enterprise Inc.              10930 Stockdale Hwy         Bakersfield         CA      93311       (661) 663-9260
* Shops at Rosedale & Allen         Burkshine Enterprise Inc.              13075 Rosedale Highway      Bakersfield         CA      93314       (661) 410-8121
* The Marketplace                   Burkshine Enterprise Inc.              9000 Ming Ave               Bakersfield         CA      93311       (661) 491-3006
* Stockdale Village                 Burkshine Enterprise Inc.              5636 Stockdale Hwy          Bakersfield         CA      93309       (661) 859-1792
* Northwest Promenade               Burkshine Enterprise Inc.              8430 Rosedale Hwy           Bakersfield         CA      93312       (661) 589-4922
* River Run Plaza                   Burkshine Enterprise Inc.              6077 Coffee Rd              Bakersfield         CA      93308       (661) 588-4561
 Center on Main                     MB Holding, Inc.                       411 Montara Rd              Barstow             CA      92311       (760) 957-7244
 Oak Valley Towne Center            VStyles, Inc.                          1420 Beaumont Ave           Beaumont            CA      92223       (951) 769-8400
* Washington Square                 CC Cuts, Inc.                          42208 Washington St         Bermuda Dunes       CA      92203       (760) 200-9991
 Brea Marketplace                   PK Equity Ventures, Inc                955 E Birch St              Brea                CA      92821       (714) 784-6811
 Brentwood                          KCS Group, Inc.                        4431-D Balfour Rd           Brentwood           CA      94513       (925) 240-9115
 Buena Park Marketplace             Tambry Ventures, LLC                   5825 Lincoln Ave            Buena Park          CA      90620       (714) 527-8200
 Rancho Marketplace                 JTVOHANA Enterprises, LLC              1194 W Alameda Ave          Burbank             CA      91506       (747) 229-9210
 Burlingame Safeway Center          Peninsula PE8071 LLC                   211 Primrose Rd             Burlingame          CA      94010       (650) 356-8899
 Sam's Town Marketplace             RSM Enterprises, Inc.                  3317 Coach Ln               Cameron Park        CA      95682       (530) 676-8911
 Canyon Country Villages            Vuppula LLC                            19380 Soledad Canyon Rd     Canyon Country      CA      91351       (661) 298-7383
 Brown Ranch Marketplace            Buena Vista Business Services, LP      3555 Clares St              Capitola            CA      95010       (831) 475-3569
 Madison Square                     Great Group, LLC                       6047 Madison Ave            Carmichael          CA      95608       (916) 334-1220
 580 Marketplace                    Sahar Enterprises, Inc.                4045 E Castro Valley Blvd   Castro Valley       CA      94552       (510) 582-6310
* Notre Dame                        Hoppin' Shears, Inc.                   2485 Notre Dame Blvd        Chico               CA      95928       (530) 592-3857
* Park Plaza SC                     Hoppin' Shears, Inc.                   738 Mangrove Ave            Chico               CA      95926       (530) 891-4605
 Gateway Village                    CA Business Systems Enterprise, Inc.   3626 Grand Ave              Chino Hills         CA      91709       (909) 464-9422
 Sunbow Plaza                       Clipper Ship, Inc.                     1351 Medical Center Dr      Chula Vista         CA      91911       (619) 271-1607
 Eastlake Village Marketplace       Clipper Ship, Inc.                     970 Eastlake Pkwy           Chula Vista         CA      91914       (619) 397-0506
 Terra Nova Plaza                   Clipper Ship, Inc.                     386 E H St                  Chula Vista         CA      91910       (619) 869-8590
 Millenia Commons                   G2 Salons LLC                          2010 Birch Rd               Chula Vista         CA      91915       (619) 349-3500
 Jade Plaza                         Great Group, LLC                       7340 Greenback Ln           Citrus Heights      CA      95621       (916) 726-2547
 Antelope Road                      RSM Enterprises, Inc.                  6401 Antelope Rd            Citrus Heights      CA      95621       (916) 725-8863
 Clayton Station                    McFinance Advisory, Inc.               5435-G Clayton Rd           Clayton             CA      94517       (925) 524-9003
 Clovis Crossings                   CAMP CLIPS, INC.                       1195 Herndon Ave            Clovis              CA      93612       (559) 324-1872
 Citrus Village                     MB Holding, Inc.                       1240 E Ontario Ave          Corona              CA      92881       (951) 737-5687
 Mountain Gate Marketplace          MB Holding, Inc.                       360 W Foothill Pkwy         Corona              CA      92882       (951) 737-5656
 Hidden Valley Plaza                MB Holding, Inc.                       540 Hidden Valley Pkwy      Corona              CA      92879       (951) 737-4665
 Tassajara Crossing                 Buena Vista Business Services, LP      3478 Camino Tassajara Rd    Danville            CA      94506       (925) 718-7118
 Town and Country Shopping Center   Divine Kuts Inc.                       621 San Ramon Valley Blvd   Danville            CA      94526       (925) 552-9959
 Oakshade Town Center               RSM Enterprises, Inc.                  2101 Cowell Blvd            Davis               CA      95618       (530) 792-7313
 Promenade at Downey                S.E. Paul, Inc.                        12214 Lakewood Blvd         Downey              CA      90242       (562) 401-1300
 Shops at Waterford                 Buena Vista Business Services, LP      4550 Tassajara Rd           Dublin              CA      94568       (925) 556-1775
 Corona Valley Marketplace          VStyles, Inc.                          7056 Archibald Ave          Eastvale            CA      92880       (951) 280-3000
 Fletcher Hills Town and Country    G Salons, Inc.                         2820 Fletcher Pkwy          El Cajon            CA      92020       (619) 439-6459
 Sienna Ridge Shopping Center       Great Group, LLC                       3385 Bass Lake Road         El Dorado Hills     CA      95762       (916) 294-7133
 Village Square Center              Great Group, LLC                       3955 Park Dr                El Dorado Hills     CA      95762       (916) 933-1635
 Bel Air Village                    Great Group, LLC                       8411A Elk Grove Florin Rd   Elk Grove           CA      95624       (916) 681-7468
 Waterman Plaza                     Great Group, LLC                       9385 Elk Grove Blvd         Elk Grove           CA      95624       (916) 714-6780




       GREAT CLIPS®                                                                         5 of 56                      EXHIBIT A - CURRENT FRANCHISEES
       FRANCHISE DISCLOSURE DOCUMENT 2025                                                                                                    OPEN SALONS

