                                                                        GREAT CLIPS® FRANCHISEES
                                                                    OPEN SALONS AS OF DECEMBER 31, 2024
                                                                             *DENOTES MDA


Salon Name                          Franchisee                             Address                            City                     State   Zip         Phone
 The Ridge                          RSM Enterprises, Inc.                  7520 Elk Grove Blvd                Elk Grove                CA      95757       (916) 683-0889
 Encinitas Village                  CM & I Enterprises, Inc                123 N El Camino Real               Encinitas                CA      92024       (760) 704-8062
 El Norte Parkway Plaza             MB Holding, Inc.                       1032 W El Norte Pkwy               Escondido                CA      92026       (760) 743-6775
 Fair Oaks Promenade                RSM Enterprises, Inc.                  8909 Madison Ave                   Fair Oaks                CA      95628       (916) 966-8911
 Green Valley Crossing              KCS Group, Inc.                        5055 Business Center Dr, Ste 109   Fairfield                CA      94534       (707) 863-0970
 Waterman Village Shopping Center   KCS Group, Inc.                        2401 Waterman Blvd                 Fairfield                CA      94534       (707) 430-5234
 Walmart Central                    Great Group, LLC                       1014 Riley St                      Folsom                   CA      95630       (916) 817-8411
 Broadstone Marketplace             Great Group, LLC                       2784 E Bidwell St                  Folsom                   CA      95630       (916) 984-2089
 Morningside Marketplace            CA Business Systems Enterprise, Inc.   14584 Baseline Ave                 Fontana                  CA      92336       (909) 355-2855
 Sierra Crossroads                  VStyles, Inc.                          11251 Sierra Ave                   Fontana                  CA      92337       (909) 355-5700
 Sierra Lakes Marketplace           VStyles, Inc.                          16595 Sierra Lakes Pkwy            Fontana                  CA      92336       (909) 356-9500
 Metro Center                       Peninsula PE8071 LLC                   929 E Hillsdale Blvd               Foster City              CA      94404       (650) 522-8433
 Freedom Center                     Monterey Bay MB8281 LLC                2014 Freedom Blvd                  Freedom                  CA      95019       (831) 536-4152
 Osgood Road                        Buena Vista Business Services, LP      44029 Osgood Rd                    Fremont                  CA      94539       (510) 679-3476
 Mowry Landing Shopping Center      Jotstick, Inc.                         5017 Mowry Ave                     Fremont                  CA      94538       (510) 742-8883
 Sunnyside Country Club Village     Cadon Enterprises, LLC                 5677 E Kings Canyon Rd             Fresno                   CA      93727       (559) 455-0100
 Woodward Pavilion                  Cadon Enterprises, LLC                 8955 N Cedar Ave                   Fresno                   CA      93720       (559) 231-5883
 Arbor Faire                        Cadon Enterprises, LLC                 3392 W Shaw Ave                    Fresno                   CA      93711       (559) 375-1773
 SC at Palms Bluff Center           CAMP CLIPS, INC.                       7029 N Ingram Ave                  Fresno                   CA      93650       (559) 435-3944
 Fullerton MetroCenter              PK Equity Ventures, Inc                1537 S Harbor Blvd                 Fullerton                CA      92832       (714) 519-3052
 Galt Village Center                KCS Group, Inc.                        10444 Twin Cities Rd               Galt                     CA      95632       (209) 744-1445
 Town Place Shopping Center         Jotstick, Inc.                         791 1st St                         Gilroy                   CA      95020       (408) 842-0237
 Pine Creek Shopping Center         RSM Enterprises, Inc.                  664 Freeman Lane                   Grass Valley             CA      95949       (530) 802-5161
 Glenbrook Plaza Grass Valley       RSM Enterprises, Inc.                  530 Sutton Way                     Grass Valley             CA      95945       (530) 274-8911
 Centennial Plaza                   CAMP CLIPS, INC.                       1864 W Lacey Blvd                  Hanford                  CA      93230       (559) 589-0407
 Vineyard Plaza                     Kesson Company, Inc./Withers           1017 Vine St                       Healdsburg               CA      95448       (707) 433-6290
 Page Plaza                         MB Holding, Inc.                       3519 W Stetson Ave                 Hemet                    CA      92545       (951) 925-1161
 Walmart Supercenter Hesperia       VStyles, Inc.                          13325 Main St                      Hesperia                 CA      92345       (760) 998-2800
 Villages at East Highland          VStyles, Inc.                          28948 Greenspot Rd                 Highland                 CA      92346       (909) 862-0428
 Hollister Farms                    Buena Vista Business Services, LP      1210 East Park Street              Hollister                CA      95023       (831) 821-6107
 Brook Adams Huntington Beach       S.E. Paul, Inc.                        9842 Adams Ave                     Huntington Beach         CA      92646       (714) 378-0027
 Breakwater                         Clipper Ship, Inc.                     801 Palm Ave                       Imperial Beach           CA      91932       (619) 271-0808
 Campus Plaza                       Fariborz Aurasteh                      4513 Campus Dr                     Irvine                   CA      92612       (949) 854-4338
 Amador Ridge                       Great Group, LLC                       12070 Industry Blvd                Jackson                  CA      95642       (209) 223-0050
 De Anza Country Plaza              VStyles, Inc.                          7780 Limonite Ave                  Jurupa Valley            CA      92509       (951) 727-8742
 Plaza De La Canada                 Shear PK LCF, LLC                      633 Foothill Blvd                  La Canada Flintridge     CA      91011       (747) 268-0069
 Rancho San Diego                   Clipper Ship, Inc.                     3721 Avocado Blvd                  La Mesa                  CA      91941       (619) 439-7816
* La Quinta Walmart In-Store        CC Cuts, Inc.                          79295 US Hwy 111                   La Quinta                CA      92253       (760) 777-9827
* The Village at La Quinta          CC Cuts, Inc.                          50949 Washington St                La Quinta                CA      92253       (760) 564-9990
 Gateway Point Center               Shear PK LCF, LLC                      1235 Foothill Blvd                 La Verne                 CA      91750       (909) 392-0006
 Mount Diablo                       Sirous, Inc.                           3586 Mt Diablo Blvd                Lafayette                CA      94549       (925) 376-9000
 Laguna Niguel Promenade            VStyles, Inc.                          27901 La Paz Rd                    Laguna Niguel            CA      92677       (949) 448-0093
 Lake Elsinore Marketplace          MB Clips, Inc.                         29273 Central Ave                  Lake Elsinore            CA      92532       (951) 245-9811
 Lakewood Square                    Tambry Ventures, LLC                   4049 Hardwick St                   Lakewood                 CA      90712       (562) 529-6100
 Lincoln Hills Town Center          Hoopala, Inc.                          69 Lincoln Blvd                    Lincoln                  CA      95648       (916) 408-0351
 Lowe's Livermore                   Buena Vista Business Services, LP      4227 1st St                        Livermore                CA      94551       (925) 960-1182
 Vasco Plaza                        KKEG Company, Inc.                     1486 N Vasco Rd                    Livermore                CA      94551       (925) 454-0549
 Vintner Square                     SANAGA LLC                             1416 1st St                        Livermore                CA      94550       (925) 454-0292
 Westgate Shopping Center           KCS Group, Inc.                        307 S Lower Sacramento Rd          Lodi                     CA      95242       (209) 334-0600
 Circle Center                      Tambry Ventures, LLC                   2002 Ximeno Ave                    Long Beach               CA      90815       (562) 985-0505
 Midtown Crossing                   JTVOHANA Enterprises, LLC              4550 W Pico Blvd                   Los Angeles              CA      90019       (323) 692-1479
 Eagle Rock Shopping Center         Shear PK LCF, LLC                      4923 Eagle Rock Blvd               Los Angeles              CA      90041       (323) 739-0881
 Los Banos                          Briggs Clips, LLC                      1350 E Pacheco Blvd                Los Banos                CA      93635       (209) 828-1521
 Cornerstone Shopping Center        GraTer Clips, Inc.                     15992 Los Gatos Blvd               Los Gatos                CA      95032       (408) 358-2232
 Mission Ridge                      Ridgewood Enterprises, Inc.            1113 South Main St                 Manteca                  CA      95337       (209) 239-0738
 Muir Station                       All In Time, Inc.                      542 Center Ave                     Martinez                 CA      94553       (925) 229-2177
 Newport Crossing                   VStyles, Inc.                          26025 Newport Rd                   Menifee                  CA      92584       (951) 679-6091
 Shoppes at the Lakes               VStyles, Inc.                          29101 Newport Rd                   Menifee                  CA      92584       (951) 679-2400
 Sharon Heights Shopping Center     Buena Vista Business Services, LP      325 Sharon Park Dr                 Menlo Park               CA      94025       (650) 763-3443
 Yosemite North                     CAMP CLIPS, INC.                       3568 G St                          Merced                   CA      95340       (209) 384-8749
 Millbrae                           RMCM Holdings, LLC                     979 Broadway Ave                   Millbrae                 CA      94030       (650) 552-9316
 Village One Plaza                  Mom and Two Daughters, Inc.            3020 Floyd Ave                     Modesto                  CA      95355       (209) 551-4411
 O'Brien's Shopping Center          Ridgewood Enterprises, Inc.            4120 Dale Rd                       Modesto                  CA      95356       (209) 543-3867
 McHenry Village                    Ridgewood Enterprises, Inc.            1700 McHenry Ave                   Modesto                  CA      95350       (209) 524-3421
 Huntington Plaza                   PK Equity Ventures, Inc                452 W Huntington Dr                Monrovia                 CA      91016       (626) 303-2100
 Del Monte Shopping Center          Monterey Bay MB8281 LLC                393 Del Monte Ctr                  Monterey                 CA      93940       (831) 655-3383
 Lawrence Oaks Village Center       South Bay SB8072 LLC                   820 E Dunne Ave                    Morgan Hill              CA      95037       (408) 465-0180
