                                                                     GREAT CLIPS® FRANCHISEES
                                                                 OPEN SALONS AS OF DECEMBER 31, 2024
                                                                          *DENOTES MDA


Salon Name                        Franchisee                           Address                      City                  State   Zip         Phone
 Rock Creek Village               Holtzman Enterprises, Inc.           1623 E Coalton Ave           Superior              CO      80027       (720) 304-0437
 Hilltop Village 2                Clippers LLC                         4243 E 136th Ave             Thornton              CO      80602       (303) 452-2664
 Lambertson Lakes                 KBAK Enterprises, LLC                877 Thornton Pkwy            Thornton              CO      80229       (303) 451-6344
 Colorado Marketplace             Shear Sailing, Inc.                  3778 E 104th Ave             Thornton              CO      80233       (720) 872-1770
 Mission Commons                  Clippers LLC                         7689 W 88th Ave              Westminster           CO      80005       (303) 423-7422
 104th & Federal                  Cutters Class, Inc.                  10343 N Federal Blvd         Westminster           CO      80260       (303) 466-4622
 Northview                        JCURVE-DENVER LLC                    5084 W 92nd Ave              Westminster           CO      80031       (720) 510-9351
 Hidden Lake                      JCURVE-DENVER LLC                    7025 Sheridan Blvd           Westminster           CO      80003       (303) 927-6482
 32nd & Youngfield                Cutters Class, Inc.                  3352 Youngfield St           Wheat Ridge           CO      80033       (303) 202-5222
 Arvada Ridge Marketplace         JCURVE-DENVER LLC                    5091 Kipling Str             Wheat Ridge           CO      80033       (720) 726-5835
 Windsor Safeway Center           Gallegos Enterprise, Inc.            1525 Main St                 Windsor               CO      80550       (970) 686-2282
 Woodland Park Plaza              Nevans, Inc.                         1117 E US Highway 24         Woodland Park         CO      80863       (719) 686-1700
 Nod Brook Mall                   Akano Holdings, Inc.                 315 W Main St                Avon                  CT      6001        (860) 676-0065
 Bethel Big Y                     New England Clippers, LLC            83 Stony Hill Rd             Bethel                CT      6801        (203) 791-1109
 Everybody's Big Y Plaza          Morning Investments, LLC             1035 S Main St               Cheshire              CT      6410        (203) 250-0510
 Cromwell Square                  Morning Investments, LLC             51 Shunpike Road             Cromwell              CT      6416        (860) 740-5085
 Shop Rite Plaza                  ZENOMES LLC                          49 Pershing Drive            Derby                 CT      6418        (203) 493-4125
 Freshwater Stateline Plaza       Catie Laraway                        130 Elm St                   Enfield               CT      6082        (860) 253-0020
 Groton Shoppers Mart             Morning Investments, LLC             985 Poquonnock Road          Groton                CT      6340        (860) 574-9360
 Lisbon Crossing                  Morning Investments, LLC             193 River Road               Lisbon                CT      6351        (860) 591-4736
 Washington Street Middletown     Morning Investments, LLC             808 Washington St            Middletown            CT      6457        (860) 740-4126
 Adams Market Plaza               NEC Woodmont, LLC                    1379 New Haven Ave           Milford               CT      6460        (203) 283-5442
 Veterans Plaza                   Morning Investments, LLC             1 Kent Rd                    New Milford           CT      6776        (860) 799-0455
 Norwichtown Commons              RP & KP LLC                          42 Town Street               Norwich               CT      6360        (860) 222-8595
 Shelton Big Y Marketplace        Morning Investments, LLC             389 Bridgeport Ave           Shelton               CT      6484        (203) 402-4100
 Southington Shopping Center      RP & KP LLC                          235 Queen St                 Southington           CT      6489        (860) 628-4000
 Stratford Square                 New England Clippers, LLC            411 Barnum Avenue Cutoff     Stratford             CT      6614        (203) 377-1121
 Wallingford                      GKG Inc.                             893 N Colony Rd              Wallingford           CT      6492        (203) 265-7572
 Waterford Commons                RP & KP LLC                          915 Hartford Turnpike        Waterford             CT      6385        (860) 440-7020
 Bishop's Corner                  RP & KP LLC                          345 N Main St                West Hartford         CT      6117        (860) 313-7982
 Starbucks Plaza                  RP & KP LLC                          1082 Silas Deane Hwy         Wethersfield          CT      6109        (860) 529-0409
 Windsor Court                    RP & KP LLC                          1095 Kennedy Rd              Windsor               CT      6095        (860) 285-8001
 NoMa                             Takaluco LLC                         145 N St NE                  Washington            DC      20002       (202) 277-0594
 Monroe Street Market             TEW Cuts, LLC                        655 Michigan Ave NE          Washington            DC      20017       (202) 450-6985
 CR Plaza                         Folk Design Group, LLC               121 N Main St                Camden                DE      19934       (302) 697-7375
 McGinnis Greene                  Emance of Delaware LLC               137 Jerome Dr                Dover                 DE      19901       (302) 677-1838
 Kent Eight Plaza                 Folk Design Group, LLC               1406 Forrest Ave             Dover                 DE      19904       (302) 736-8950
* College Park Center             Ten Sails LLC                        401 College Park Ln          Georgetown            DE      19947       (302) 858-4871
 Limestone Crossing               Emance of Delaware LLC               6292 Limestone Rd            Hockessin             DE      19707       (302) 235-2887
 Junction at Westown Center       Emance of Delaware LLC               611 Middletown Warwick Rd    Middletown            DE      19709       (302) 449-1333
 Milford Plaza                    Emance of Delaware LLC               646 N Dupont Blvd            Milford               DE      19963       (302) 422-4247
 Suburban Plaza                   Emance of Delaware LLC               212 Suburban Dr              Newark                DE      19711       (302) 737-2887
 Smyrna Mart Shopping Center      Emance of Delaware LLC               232 E Glenwood Ave           Smyrna                DE      19977       (302) 514-9819
 First State Plaza                Emance of Delaware LLC               1610 W Newport Pike          Stanton               DE      19804       (302) 999-0094
 Midway Plaza Shopping Center     Emance of Delaware LLC               4705 Kirkwood Hwy            Wilmington            DE      19808       (302) 995-2887
 Concord Square                   Emance of Delaware LLC               4235 Concord Pike            Wilmington            DE      19803       (302) 478-2022
 Branmar Plaza                    H & J Clips, LLC                     1812 Marsh Rd                Wilmington            DE      19810       (302) 394-6152
* Alachua Market Place            Alachua GC LLC                       16181 NW US Hwy 441          Alachua               FL      32615       (386) 518-5454
 Jamestown Place                  Gateway Clippers Holdings III, LLC   931 N State Road 434         Altamonte Springs     FL      32714       (407) 682-6945
 Gateway Crossing                 Strandz, LLC                         775 Gateway Dr               Altamonte Springs     FL      32714       (407) 292-2100
 Southshore Village               FourFold Enterprises, Inc.           5068 N US Hwy 41             Apollo Beach          FL      33572       (813) 296-1810
 Rock Springs Plaza               Gateway Clippers Holdings III, LLC   1446 Rock Springs Rd         Apopka                FL      32712       (407) 814-0556
 Hunt Club                        Gateway Clippers Holdings III, LLC   456 Hunt Club Blvd           Apopka                FL      32703       (407) 788-9524
 Crescent B Commons               JAL Clippers, LLC                    42091 Cypress Pkwy           Babcock Ranch         FL      33982       (239) 567-0398
 French Golden Gate               Strategic Hair Investments, Inc.     165 E Van Fleet Dr           Bartow                FL      33830       (863) 215-7300
 The Bluffs                       Sunshine Clips, LLC                  2838 W Bay Dr                Belleair Bluffs       FL      33770       (727) 314-4722
 Lakeside Loggers Run             TNT Jupiter Clips, Inc.              11640 W Palmetto Park Rd     Boca Raton            FL      33428       (561) 765-5337
 West Winds at Boca Raton         TS CHAI Holdings, LLC                9858 Glades Rd               Boca Raton            FL      33434       (561) 883-0580
 Bonita Grande Crossings          WOO ENTERPRISES LLC                  12870 Trade Way Four         Bonita Springs        FL      34135       (239) 992-2540
 Springs Plaza                    WOO ENTERPRISES LLC                  8951 Bonita Beach Rd SE      Bonita Springs        FL      34135       (239) 390-1840
 Boynton Plaza                    Hancor Clips Three Inc.              143 1/2 North Congress Ave   Boynton Beach         FL      33426       (561) 810-8200
 Shoppes of Boynton               Hancor Clips Three Inc.              2260 N Congress Ave          Boynton Beach         FL      33426       (561) 631-0385
 Aberdeen Square                  Hancor Clips Three Inc.              4956-16 Le Chalet Blvd       Boynton Beach         FL      33436       (561) 810-5667
 Pinebrook Commons                JAL Clippers, LLC                    4844 Cortez Rd W             Bradenton             FL      34210       (941) 792-3509
 Fresh Market Promenade           JAL Clippers, LLC                    6773 Manatee Ave W           Bradenton             FL      34209       (941) 896-3403
 Creekwood Crossing               TAP Investments, LLC                 7321 52nd Place E            Bradenton             FL      34203       (941) 727-5503
 Kingsway Crossing                Gateway Clippers Holdings II, LLC    1244 Kingsway Rd             Brandon               FL      33510       (813) 661-1340
 Cortez Commons                   Tampa Clippers 4, LLC                12922 Cortez Blvd            Brooksville           FL      34613       (352) 606-2976
 Callahan Plaza Shopping Center   J.V.L. ClipX, Inc.                   450094 State Road 200        Callahan              FL      32011       (904) 628-0685
 Milton St. Plaza                 Archforward Partners, Inc.           4823 Milton St               Cape Coral            FL      33904       (239) 541-0766
 Coral Shores                     JAL Clippers, LLC                    3015 SW Pine Island Rd       Cape Coral            FL      33991       (239) 283-0710
 Midpoint Center                  JAL Clippers, LLC                    2522 Santa Barbara Blvd      Cape Coral            FL      33914       (239) 772-8665
 Santa Barbara Center             JAL Clippers, LLC                    106 Hancock Bridge Pkwy W    Cape Coral            FL      33991       (239) 673-6929
 Coral Pointe                     JAL Clippers, LLC                    1631 Del Prado Blvd S        Cape Coral            FL      33990       (239) 424-8130
 Coral Walk                       WOO ENTERPRISES LLC                  1860 Pine Island Rd NE       Cape Coral            FL      33909       (239) 573-0074
 Celebration Pointe               M & D Clips, LLC                     1709 Future Way              Celebration           FL      34747       (407) 566-0300
 Downtown Champions Gate          Strategic Hair Investments, Inc.     8312 Champions Gate Blvd     Champions Gate        FL      33896       (407) 809-3001
