                                                                          GREAT CLIPS® FRANCHISEES
                                                                      OPEN SALONS AS OF DECEMBER 31, 2024
                                                                               *DENOTES MDA


Salon Name                             Franchisee                            Address                            City                   State   Zip         Phone
 Golden Eagle Village                   Florida Clips Inc.                   2430 US Hwy 27                     Clermont               FL      34714       (352) 404-7866
 East Lake Town Center                  Gateway Clippers Holdings III, LLC   1736 E Highway 50                  Clermont               FL      34711       (352) 243-7644
 East Towne Center                      Gateway Clippers Holdings III, LLC   13900 County Rd 455                Clermont               FL      34711       (407) 614-8505
 Citrus Tower Village                   Gateway Clippers Holdings III, LLC   240 Citrus Tower Blvd              Clermont               FL      34711       (352) 242-9981
 Cornerstone Plaza                      Florida Clips Inc.                   5675 N Atlantic Ave                Cocoa Beach            FL      32931       (321) 613-4783
 Turtle Crossing                        RCKK Holdings, Inc.                  4340 N State Rd 7                  Coral Springs          FL      33063       (954) 753-1191
 North Springs Plaza                    RCKK Holdings, Inc.                  9620 Westview Dr                   Coral Springs          FL      33076       (954) 753-4787
 Northcrest Publix                      Alabama Clips, LLC                   1375 N Ferdon Blvd                 Crestview              FL      32536       (850) 306-2468
 Loughman Crossing                      Strategic Hair Investments, Inc.     6095 Hwy 17-92N                    Davenport              FL      33896       (863) 937-1901
 Champions Crossing                     Strategic Hair Investments, Inc.     1160 Champions Dr.                 Davenport              FL      33897       (863) 937- 1902
 Shoppes at Williamson                  Florida Clips Inc.                   2071 LPGA Blvd                     Daytona Beach          FL      32117       (386) 238-9384
 Country Club Corners                   Gateway Clippers Holdings III, LLC   2441 S Woodland Blvd               Deland                 FL      32720       (386) 279-7663
 Delray Square II                       Totalee Holdings LLC                 4753 W Atlantic Ave                Delray Beach           FL      33445       (561) 332-3013
 Saxon Sterling Shops                   Ayomide Adewakun                     1573 Saxon Blvd                    Deltona                FL      32725       (386) 218-3587
 Dupont Lakes                           Gateway Clippers Holdings III, LLC   2783 Elkcam Blvd                   Deltona                FL      32738       (386) 532-1121
 Caladesi Shopping Center               FourFold Enterprises, Inc.           938 Curlew Rd                      Dunedin                FL      34698       (727) 734-1035
 Florida Shores Shopping Center         Florida Clips Inc.                   108 Indian River Blvd              Edgewater              FL      32141       (386) 957-3444
 Merchants Crossing                     JAL Clippers, LLC                    1500 Placida Rd                    Englewood              FL      34223       (941) 460-3320
 Grande Oaks Shoppe                     WOO ENTERPRISES LLC                  20301 Grande Oak Shoppes Blvd      Estero                 FL      33928       (239) 948-4785
 Eustis Village Shopping Center         Larlin Enterprise, Inc.              2862 David Walker Dr               Eustis                 FL      32726       (352) 589-0689
 Sorrento Hills Village Shopping Center Larlin Enterprise, Inc.              24406 SR 44                        Eustis                 FL      32736       (352) 357-2353
 Island Walk Shopping Center            Hancor Clips Two Inc.                1922 S 14th St                     Fernandina Beach       FL      32034       (904) 844-2616
 Fleming Island                         JAG Salons, Inc.                     1545 County Road 220               Fleming Island         FL      32003       (904) 278-7660
 Forum Centre                           Archforward Partners, Inc.           3398 Forum Blvd                    Fort Myers             FL      33905       (239) 931-3899
 Southpointe Commons                    JAL Clippers, LLC                    5999 S Pointe Blvd                 Fort Myers             FL      33919       (239) 267-2224
 Gladiolus Crossing                     WOO ENTERPRISES LLC                  8660 Gladiolus Dr                  Fort Myers             FL      33908       (239) 226-4247
 Shoppes at Plantation                  WOO ENTERPRISES LLC                  6810 Shoppes at Plantation Dr      Fort Myers             FL      33912       (239) 225-2887
 Gulf Coast Town Center                 WOO ENTERPRISES LLC                  9924 Gulf Coast Main St            Fort Myers             FL      33913       (239) 415-7703
 Shoppes at Paradise Pointe             Alabama Clips, LLC                   255 Miracle Strip Pkwy SE          Fort Walton Beach      FL      32548       (850) 362-7111
* The Shoppes at Freeport               Alabama Clips, LLC                   16400 US Highway 331S              Freeport               FL      32439       (850) 880-6801
* Esplanade at Butler Plaza             G5975 GC, LLC                        3240 SW 35th Blvd                  Gainesville            FL      32608       (352) 336-0650
* Plaza Verde                           G5977 GC, LLC                        1511 NW 23rd Ave                   Gainesville            FL      32605       (352) 375-6066
* Haile Village North                   G5978 GC, LLC                        2645 SW 91st St                    Gainesville            FL      32608       (352) 331-1005
* Park Avenue Shops                     Tioga GC LLC                         8181 NW 39th Ave                   Gainesville            FL      32606       (352) 554-5182
 River Bridge Centre                    Hancor Clips Three Inc.              6744 Forest Hill Blvd              Greenacres             FL      33413       (561) 328-8145
 Shoppes of Eagle Ridge                 M & D Clips, LLC                     7965 State Rd 50                   Groveland              FL      34736       (352) 429-0014
 Tiger Point Pavilion                   Wildfire, LLC                        1478 Tiger Park Lane               Gulf Breeze            FL      32563       (850) 565-5277
 Shoppes of Citrus Hills                Sahajanand Salon LLC                 2615 N Forest Ridge Blvd           Hernando               FL      34442       (352) 513-3339
 Island Crossings Center                TNT Jupiter Clips, Inc.              11762 SE FEDERAL HWY               Hobe Sound             FL      33455       (772) 245-8673
 Hollywood Hills Plaza                  CAPILLUM HOLDINGS, INC.              3251 Hollywood Blvd                Hollywood              FL      33021       (954) 964-0210
 West Lake Commons                      Horizon Line Investments LLC         1754 Sheridan St                   Hollywood              FL      33020       (954) 404-6817
 Shoppes at Sugarmill Woods             Gateway Clippers Holdings LLC        9441 S Suncoast Blvd               Homosassa              FL      34446       (352) 513-3766
 Hays Road Town Center                  P9023 GC, LLC                        14851 State Road 52                Hudson                 FL      34669       (727) 856-7800
 Plaza of The Oaks                      Tampa Clippers 6, LLC                8942 State Rd 52                   Hudson                 FL      34669       (727) 378-3135
 Roosevelt Square                       CLIPCUTS CORPORATION                 4495 Roosevelt Blvd                Jacksonville           FL      32210       (904) 572-9333
 Deerwood Lakes                         CLIPCUTS II CORPORATION              4372 Southside Blvd                Jacksonville           FL      32216       (904) 647-7740
 Kernan Square                          CLIPCUTS II CORPORATION              12620 Beach Blvd                   Jacksonville           FL      32246       (904) 475-2922
 Cobblestone Plaza                      CLIPCUTS II CORPORATION              3031 Monument Rd                   Jacksonville           FL      32225       (904) 250-5445
 Gateway Village at Town Center         CLIPCUTS III CORPORATION             10618 Deerwood Park Blvd.          Jacksonville           FL      32256       (904) 329-2162
 Collins Plaza                          Golden Isles R.I.C.E., LLC           7091 Collins Rd                    Jacksonville           FL      32244       (904) 723-1177
 Oakleaf Plantation Center              Hancor Clips Two Inc.                9526 Argyle Forest Blvd            Jacksonville           FL      32222       (904) 317-4557
 John's Creek Shopping Center           Hancor Clips, LLC                    2849 County Road 210 W             Jacksonville           FL      32259       (904) 230-0035
 River City Marketplace                 Hancor Clips, LLC                    790 Skymarks Dr                    Jacksonville           FL      32218       (904) 900-3831
 Atlantic North                         J.V.L. ClipX, Inc.                   11957 Atlantic Blvd                Jacksonville           FL      32225       (904) 646-0750
