                                                                      GREAT CLIPS® FRANCHISEES
                                                                  OPEN SALONS AS OF DECEMBER 31, 2024
                                                                           *DENOTES MDA


Salon Name                         Franchisee                           Address                         City                  State   Zip         Phone
 Publix at Parkwood Square         TAP Investments, LLC                 8931 US Hwy 301 N               Parrish               FL      34219       (941) 776-5504
 Cobblestone Plaza                 KJA Holdings LLC                     14948 Pines Blvd                Pembroke Pines        FL      33027       (954) 442-1222
 Nine Mile Crossing                Wildfire, LLC                        8706 Beulah Road                Pensacola             FL      32526       (850) 542-7733
 Park Crossings                    Gateway Clippers Holdings III, LLC   4691 Park Blvd                  Pinellas Park         FL      33781       (727) 317-5519
 City Crossings                    Plant City GC, LLC                   2909 James L Redman Pkwy        Plant City            FL      33566       (813) 752-2300
 Pompano Beach Commons             CAPILLUM HOLDINGS, INC.              2547 E Atlantic Blvd            Pompano Beach         FL      33062       (954) 960-2280
 Azalea Plaza                      J.V.L. ClipX, Inc.                   2 Fairfield Blvd                Ponte Vedra Beach     FL      32082       (904) 543-0404
 Bayshore Village                  JAL Clippers, LLC                    4265 Tamiami Trail              Port Charlotte        FL      33980       (941) 391-6748
 Gulf Cove Plaza                   JAL Clippers, LLC                    13435 S McCall Rd               Port Charlotte        FL      33981       (941) 214-8535
 Peachland Promenade               JAL Clippers, LLC                    24123 Peachland Blvd            Port Charlotte        FL      33954       (941) 764-6070
 Shoppes at Port Charlotte         TAP Investments, LLC                 1100 El Jobean Rd               Port Charlotte        FL      33948       (941) 625-1764
 Palmetto Pointe Marketplace       Florida Clips Inc.                   3813 Clyde Morris Blvd          Port Orange           FL      32129       (386) 317-2179
 Gateway Center                    Gateway Clippers Holdings III, LLC   1781 Dunlawton Ave              Port Orange           FL      32127       (386) 788-8499
 Port Richey Plaza                 Tampa Clippers, Inc.                 8625 US Hwy 19                  Port Richey           FL      34668       (727) 849-1927
 Shoppes of Victoria Square        CRT Clips, LLC                       289 SW Port St Lucie Blvd       Port Saint Lucie      FL      34984       (772) 207-7808
 Town Center at St. Lucie West     CRT Clips, LLC                       1707 NW Saint Lucie West Blvd   Port Saint Lucie      FL      34986       (772) 340-1229
 Landing at Tradition              CRT Clips, LLC                       10688 SW Village Pkwy           Port St Lucie         FL      34987       (772) 345-1229
 Punta Gorda Crossing              JAL Clippers, LLC                    2310 S Tamiami Tr               Punta Gorda           FL      33950       (941) 347-7207
 Goolsby Pointe                    FourFold Enterprises, Inc.           11653 Boyette Rd                Riverview             FL      33569       (813) 677-6300
 Pavilion Crossing                 Gateway Clippers Holdings II, LLC    3843 US Highway 301 S           Riverview             FL      33578       (813) 374-9966
 Shoppes of South Bay              Gateway Clippers Holdings II, LLC    10659 Big Bend Rd               Riverview             FL      33579       (813) 234-3400
 Rockledge Square                  G&S W LLC                            1880 Hwy 1 South                Rockledge             FL      32955       (321) 305-5744
 The Crossroads                    CRT Clips, LLC                       1200 Royal Palm Beach Blvd      Royal Palm Beach      FL      33411       (561) 619-8199
 Shoppes at Mission Trace          Hancor Clips Two Inc.                965 State Road 16               Saint Augustine       FL      32084       (904) 436-5634
 Murabella at World Golf Village   Hancor Clips, LLC                    124 Capulet Dr                  Saint Augustine       FL      32092       (904) 940-1692
 Moultrie Square                   J.V.L. ClipX, Inc.                   4255 US Highway 1 S             Saint Augustine       FL      32086       (904) 342-7208
 Cobblestone Village               J.V.L. ClipX, Inc.                   200 CBL Dr                      Saint Augustine       FL      32086       (904) 829-6814
 Palencia Commons                  Shine Star Cuts LLC                  7458 US Hwy 1 North             Saint Augustine       FL      32095       (904) 217-8166
 Narcoossee Shoppes                OSCEOLA CLIPS, LLC                   1927 S Narcoossee Rd            Saint Cloud           FL      34771       (407) 593-8800
 Shoppes of Rivertown              Shear Style Salons, LLC              255 Rivertown Shops Dr.         Saint Johns           FL      32259       (904) 342-7154
 North East Park                   FourFold Enterprises, Inc.           198 37th Ave N                  Saint Petersburg      FL      33704       (727) 822-8900
 University Village                Gateway Clippers Holdings II, LLC    300 3rd St S                    Saint Petersburg      FL      33701       (727) 824-5500
 Shoppes at the Royale             Sunshine Clips, LLC                  1468 66th St N                  Saint Petersburg      FL      33710       (727) 575-7953
 Market at Mirada                  FourFold Enterprises, Inc.           30921 Mirada Blvd               San Antonio           FL      33576       (352) 668-4089
* South Walton Publix Center       Alabama Clips, LLC                   2010 US Hwy 98 W                Santa Rosa Beach      FL      32459       (850) 622-5477
 Beneva Village SC                 JAL Clippers, LLC                    3562 Clark Rd                   Sarasota              FL      34231       (941) 929-7892
 Centergate Plaza                  JAL Clippers, LLC                    5836 Bee Ridge Rd               Sarasota              FL      34233       (941) 377-9000
 Landings Square                   JAL Clippers, LLC                    4776 S Tamiami Trail            Sarasota              FL      34231       (941) 923-3777
 Sarasota Crossings                JAL Clippers, LLC                    5485 Fruitville Rd              Sarasota              FL      34232       (941) 346-6223
 University Walk                   JAL Clippers, LLC                    2859 University Pkwy            Sarasota              FL      34243       (941) 359-3645
 Shops of Sebastian                TNT Jupiter Clips, Inc.              1451 Sebastian Boulevard        Sebastian             FL      32958       (772) 663-7878
 The Shops at Shelby Crossing      Grey Havens, Inc.                    1708 US Hwy 27 N                Sebring               FL      33870       (863) 304-8727
 Publix at Seven Hills             Gateway Clippers Holdings II, LLC    172 Mariner Blvd                Spring Hill           FL      34609       (352) 688-5885
 Mariner Commons                   Gateway Clippers Holdings LLC        4140 Mariner Blvd               Spring Hill           FL      34609       (352) 600-7366
 Lakewood Plaza                    Tampa Clippers 5 LLC                 4343 Commercial Way             Spring Hill           FL      34606       (352) 600-7019
 Spring Hill                       Tampa Clippers CW, LLC               1531 Commercial Way             Spring Hill           FL      34606       (352) 688-6773
 Canoe Creek Plaza                 OSCEOLA CLIPS, LLC                   3314 Canoe Creek Rd             St Cloud              FL      34772       (407) 498-4243
 Durbin Park                       Sunny Clippers, Inc.                 70 Durbin Pavilion Drive        St Johns              FL      32259       (904) 217-3794
