                                                                        GREAT CLIPS® FRANCHISEES
                                                                    OPEN SALONS AS OF DECEMBER 31, 2024
                                                                             *DENOTES MDA


Salon Name                            Franchisee                       Address                          City                    State   Zip         Phone
 Perry Market Place                   Baci Styles, Inc.                1365 Sam Nunn Blvd               Perry                   GA      31069       (478) 988-0255
 Pooler Marketplace                   Jeroso LLC                       457 Pooler Pkwy                  Pooler                  GA      31322       (912) 748-4060
 Costco at Savannah Quarters          Magic Clips, LLC                 2201 Pooler Pkwy                 Pooler                  GA      31322       (912) 998-0898
 Rice Hope                            DEW Clips, LLC                   7934 GA Hwy 21                   Port Wentworth          GA      31407       (912) 966-9989
 Powder Springs                       Mountain Clips, LLC              3721 New MacLand Rd              Powder Springs          GA      30127       (770) 439-4965
 Lost Mountain Crossing               Tabor Clips, Inc.                5100 Dallas Hwy                  Powder Springs          GA      30127       (770) 627-4959
 Richmond Hill Exchange               Jeroso LLC                       60 Exchange St                   Richmond Hill           GA      31324       (912) 445-0725
 Publix at Richmond Hill Plantation   Jeroso LLC                       13100 Highway 144                Richmond Hill           GA      31324       (912) 445-0667
 Rockmart Crossroads                  Mountain Clips, LLC              1735 Nathan Dean Bypass          Rockmart                GA      30153       (770) 684-5247
 East Bend Shopping Center            Mountain Clips, LLC              1459 Turner McCall Blvd          Rome                    GA      30161       (706) 291-3976
 Centennial Village                   Baci Styles, Inc.                2300 Holcomb Bridge Rd           Roswell                 GA      30076       (770) 645-8011
 East Cobb/Shallowford Corners        Corbets Company of Georgia       4401 Shallowford Rd NE           Roswell                 GA      30075       (770) 594-3874
 Sandy Plains Village Shopping Center Serenity Clips, LLC              4651 Woodstock Rd                Roswell                 GA      30075       (770) 552-0054
 Retreat Village                      M2 Salon Holdings LLC            232 Retreat Village              Saint Simons Island     GA      31522       (912) 771-8422
 Abernathy Square                     Ahmed International, Inc.        6597-D Roswell Rd                Sandy Springs           GA      30328       (404) 549-8930
 Whitemarsh Island Town Center        DEW Clips, LLC                   4679 US Hwy 80 E                 Savannah                GA      31410       (912) 349-6116
 Berwick Marketplace                  DEW Clips, LLC                   5730 Ogeechee Rd                 Savannah                GA      31405       (912) 236-2320
 Chatham Plaza                        Magic Clips, LLC                 7805 Abercorn St                 Savannah                GA      31406       (912) 355-0222
 Twelve Oaks                          Magic Clips, LLC                 5500 Abercorn St                 Savannah                GA      31405       (912) 352-7011
 Shops at Senoia Village              SRP MinneCorp                    8080 Wells St                    Senoia                  GA      30276       (678) 723-7003
 South Cobb Highland Station          Family Clips, LLC                4480 S Cobb Dr                   Smyrna                  GA      30080       (770) 433-0422
 Jonquil Plaza                        Mountain Clips, LLC              2905 Atlanta Rd SE               Smyrna                  GA      30080       (770) 989-1205
 Presidential Commons                 Dixie Clippers, Inc.             1630 Scenic Hwy S                Snellville              GA      30078       (770) 736-6944
 Statesboro                           DEW Clips, LLC                   103 Tormenta Way                 Statesboro              GA      30458       (912) 623-2843
 Spivey Junction                      SRP MinneCorp                    1744 Hudson Bridge Rd            Stockbridge             GA      30281       (770) 474-2154
 Stockbridge Lakes                    SRP MinneCorp                    242 E Atlanta Rd                 Stockbridge             GA      30281       (678) 565-0939
 Rockbridge Village                   Harrison Enterprises, Inc.       1227 Rockbridge Rd               Stone Mountain          GA      30087       (470) 719-9875
 John's Creek Shopping Center         Ahmed International, Inc.        3651 Peachtree Pkwy              Suwanee                 GA      30024       (770) 497-8313
 McGinnis Ferry Crossing              Ahmed International, Inc.        1000 Peachtree Industrial Blvd   Suwanee                 GA      30024       (770) 271-0230
 Suwanee                              Macon It Great, LLC              2815 Lawrenceville Suwanee Rd    Suwanee                 GA      30024       (770) 271-1955
* Thomasville Publix                  Parkside Ventures II, LLC        13779 US Highway 19 S            Thomasville             GA      31792       (229) 226-5640
 Northlake Crossing                   Corbets Company of Georgia       4135 Lavista Rd                  Tucker                  GA      30084       (770) 414-6554
 Cofer Crossing                       Harrison Enterprises, Inc.       4367 Lawrenceville Hwy           Tucker                  GA      30084       (770) 496-0970
* Perimeter Park                      Parkside Ventures II, LLC        3310 Inner Perimeter Rd          Valdosta                GA      31602       (229) 257-0544
* Gornto Road                         Parkside Ventures II, LLC        1709 Gornto Rd                   Valdosta                GA      31602       (229) 469-4115
 Village at Mirror Lake               Tabor Clips, Inc.                2000 Mirror Lake Blvd            Villa Rica              GA      30180       (770) 456-9588
 Houston Square                       Baci Styles, Inc.                211 Russell Pkwy                 Warner Robins           GA      31088       (478) 929-4664
 Warner Robins Place                  Baci Styles, Inc.                2724 Watson Blvd                 Warner Robins           GA      31093       (478) 953-0937
 Butler's Crossing                    TNE Clips, LLC                   2061 Experiment Station Road     Watkinsville            GA      30677       (706) 310-4188
 Waycross Marketplace                 Golden Isles R.I.C.E., LLC       2489 Memorial Dr                 Waycross                GA      31503       (912) 809-2505
 Winder Walmart Center                Parkside Ventures III, LLC       444 Atlanta Hwy                  Winder                  GA      30680       (770) 868-0312
 Toonigh Village                      Corbets Company of Georgia       5341 Holly Springs Pkwy          Woodstock               GA      30188       (770) 591-3710
 Towne Lake Square                    Legacy Dynamics, Inc.            2295 Towne Lake Pkwy             Woodstock               GA      30189       (770) 592-3345
 Woodstock Crossing                   Serenity Clips, LLC              12050 Hwy 92                     Woodstock               GA      30188       (770) 516-9288
 Hawaii Kai Towne Center              Ohana Clips, LLC                 333 Keahole St                   Honolulu                HI      96825       (808) 425-5558
 Kuono Marketplace                    Ohana Clips, LLC                 4210 Waialae Avenue              Honolulu                HI      96816       (808) 773-7475
 Moanalua Shopping Center             Ohana Clips, LLC                 930 Valkenburgh St               Honolulu                HI      96818       (808) 840-0195
 Kailua                               Ohana Clips, LLC                 111 Hekili St                    Kailua                  HI      96734       (808) 200-2761
 Kapolei Village Center               Ohana Clips, LLC                 4850 Kapolei Parkway             Kapolei                 HI      96707       (808) 200-5074
