                                                                          GREAT CLIPS® FRANCHISEES
                                                                      OPEN SALONS AS OF DECEMBER 31, 2024
                                                                               *DENOTES MDA


Salon Name                           Franchisee                          Address                         City               State   Zip         Phone
 Liberty Square                        L.A.C.E., Inc.                    563 W Liberty St                Wauconda           IL      60084       (847) 487-4177
 Westchester                           The Richard Lynn Company          3011 Wolf Rd                    Westchester        IL      60126       (708) 531-0440
 Westmont Shopping Center              CMC Service of Chicago 1 LLC      6160 S Cass Ave                 Westmont           IL      60559       (630) 225-8843
 County View Centre                    CMC Service of Chicago 1 LLC      600 S County Farm Rd            Wheaton            IL      60187       (630) 871-9964
 Danada Square East                    The Richard Lynn Company          119 Danada Sq E                 Wheaton            IL      60189       (630) 690-2020
 Wheeling Fresh Farms Plaza            L.A.C.E., Inc.                    263 E Dundee Rd                 Wheeling           IL      60090       (847) 947-7220
 Wood Dale                             CMC Service of Chicago 1 LLC      371 W Irving Park Rd            Wood Dale          IL      60191       (630) 250-7207
 Wood River                            Modern Day Clippers, Inc.         634 Wesley Dr                   Wood River         IL      62095       (618) 259-5400
 Catalpa Commons                       L.A.C.E., Inc.                    11607 Catalpa Ln                Woodstock          IL      60098       (815) 337-0014
 Yorkville Plaza                       Red Sky At Night, Inc.            114 W Veterans Pkwy             Yorkville          IL      60560       (630) 553-4058
 Cross Street Market Place             C Clips Corporation               1843 N Scatterfield Rd          Anderson           IN      46012       (765) 649-3815
 Applewood Centre                      C Clips Corporation               5553 S Scatterfield Rd          Anderson           IN      46013       (765) 642-7455
* Angola Square                        Eckert, Inc.                      1651 North Wayne Street         Angola             IN      46703       (260) 665-6750
* Auburn Shopping Center               Eckert, Inc.                      1008 W 7th St                   Auburn             IN      46706       (260) 927-0061
 Shoppes of Avon                       FK3, LLC                          8113 E US Highway 36            Avon               IN      46123       (317) 268-4176
 Kroger Center                         MJ Clips, Inc.                    1048 State Road 229             Batesville         IN      47006       (812) 932-4555
 Bedford Shoppes                       FK3, LLC                          3338 John Williams Blvd         Bedford            IN      47421       (812) 675-8009
 University Square                     C Clips Corporation               115 S State Road 46             Bloomington        IN      47408       (812) 822-1099
 Whitehall Crossing                    C Clips Corporation               264 N Jacob Dr                  Bloomington        IN      47404       (812) 333-4511
 Cedar Bluff                           C Clips Corporation               4264 N Cypress Ln               Bloomington        IN      47404       (812) 876-1636
 Clear Creek Crossing                  Gregory Suhr                      4015 S Old State Rd 37          Bloomington        IN      47401       (812) 824-3144
* Inter Urban Park                     Eckert, Inc.                      2155 N Main St                  Bluffton           IN      46714       (260) 827-0901
* Shops of Brazil                      Future Keys II, LLC               1111 E National Ave             Brazil             IN      47834       (812) 442-8217
 Green Street Square                   BLOWN AWAY BY U LLC               1551 N Green St                 Brownsburg         IN      46112       (317) 456-4451
 Brownsburg Shopping Center            BLOWN AWAY BY U LLC               818 E Main St                   Brownsburg         IN      46112       (317) 286-3689
 Heartland Village Shoppes             FK3, LLC                          8411 Windfall Ln                Camby              IN      46113       (317) 821-1821
 Village Park Plaza                    Alternative Dimensions, Inc.      2001 E Greyhound Pass           Carmel             IN      46033       (317) 660-0922
 The Bridges                           Alternative Dimensions, Inc.      11503 Springmill Rd             Carmel             IN      46032       (317) 660-0927
 Merchant Square                       FK3, LLC                          2320 E 116th St                 Carmel             IN      46032       (317) 564-4413
 Charlestown Crossings                 Venture 43, LLC                   9403A County Road 403           Charlestown        IN      47111       (812) 256-2265
 Shops of Chesterton                   BM KRYCKI, LLC                    757 Indian Boundary Rd          Chesterton         IN      46304       (219) 395-8984
 Veterans Parkway                      LLD, Inc.                         1305 Veterans Pkwy              Clarksville        IN      47129       (812) 218-9191
* Town and Country Shopping Center Eckert, Inc.                          482 A W Plaza Dr                Columbia City      IN      46725       (260) 248-2795
 Greystone Shoppes                     FK3, LLC                          2455 Jonathan Moore Pike        Columbus           IN      47203       (812) 799-7802
 25th St Center                        FK3, LLC                          1762 25th Street                Columbus           IN      47201       (812) 375-9556
 Eagle Creek Crossing Shopping Center C Clips Corporation                4004 Western Ave                Connersville       IN      47331       (765) 692-0186
 Old Capital Plaza                     Impel Partners, LLC               413 Old Capital Plaza NW        Corydon            IN      47112       (812) 738-0101
 Crawfordsville Square Shopping Center Future Keys II, LLC               1684 Crawfordsville Square Dr   Crawfordsville     IN      47933       (765) 307-7580
 Crown Point Beacon Hill               The Richard Lynn Company          10815 Broadway                  Crown Point        IN      46307       (219) 663-0845
* Village Green Shopping Center        Eckert, Inc.                      1055 S 13th St                  Decatur            IN      46733       (260) 728-4002
 Dyer Sand Ridge Plaza                 The Richard Lynn Company          1062 Joliet St                  Dyer               IN      46311       (219) 865-2584
* Goshen Village                       SonRise Clippers Too, LLC         4536 Elkhart Rd                 Elkhart            IN      46517       (574) 875-5215
* Shoppes on Six                       SonRise Clippers Too, LLC         335 County Road 6 E             Elkhart            IN      46514       (574) 266-6090
* Cobblestone Crossing                 SonRise Clippers Too, LLC         4000 E Bristol St               Elkhart            IN      46514       (574) 338-3295
* Lawndale Shopping Center             CHALEXBEE CUTS, LLC               912 S Green River Rd            Evansville         IN      47715       (812) 475-2320
* Green River Commons                  CHALEXBEE CUTS, LLC               4827 Davis Lant Dr              Evansville         IN      47715       (812) 550-1644
* Evansville West Center               CHALEXBEE CUTS, LLC               4424 W Lloyd Expy               Evansville         IN      47712       (812) 401-2828
 North by Northeast Shopping Center C Clips Corporation                  7838 E 96th St                  Fishers            IN      46038       (317) 436-7136
 Fishers Crossing Shopping Center      C Clips Corporation               7268 Fishers Crossing Dr        Fishers            IN      46038       (317) 578-2677
