                                                                         GREAT CLIPS® FRANCHISEES
                                                                     OPEN SALONS AS OF DECEMBER 31, 2024
                                                                              *DENOTES MDA


Salon Name                         Franchisee                           Address                        City                 State   Zip         Phone
* Barnes and Noble Center          McRocket, LLC                        1680 Campbell Ln               Bowling Green        KY      42104       (270) 846-2001
 River Ridge Plaza                 Sanden, Inc.                         632 Bypass Rd                  Brandenburg          KY      40108       (270)-998-1051
 Shoppes of Burlington             Cincy Clips, Inc.                    1771 Patrick Dr                Burlington           KY      41005       (859) 586-2547
 Green River Plaza                 Sanden, Inc.                         399 Campbellsville Byp         Campbellsville       KY      42718       (270) 465-5056
 Cold Spring Crossing              Cincy Clips, Inc.                    315 Cross Roads Dr             Cold Spring          KY      41076       (859) 694-4333
 County Square Shopping Center     MJ Clips, Inc.                       60 Martha Layne Collins Blvd   Cold Spring          KY      41076       (859) 441-0100
 Trademart Shopping Center         H.H. Holdings Corp.                  1000 E Cumberland Gap Pkwy     Corbin               KY      40701       (606) 526-9255
 Buttermilk Crossing               MJ Clips, Inc.                       2349 Buttermilk Xing           Crescent Springs     KY      41017       (859) 578-9278
 Danville in the Kroger Center     James Kelley & Associates, Inc.      224 Skywatch Dr                Danville             KY      40422       (859) 236-0234
 Dry Ridge Commons                 Cincy Clips, Inc.                    61 Broadway St                 Dry Ridge            KY      41035       (859) 823-0052
 Tower Center                      Sanden, Inc.                         3046 Dolphin Dr                Elizabethtown        KY      42701       (270) 765-5166
 Mall Park Center                  Sanden, Inc.                         1912 N Dixie Hwy               Elizabethtown        KY      42701       (270) 735-1414
 Silverlake Center                 Cincy Clips, Inc.                    3182 Dixie Hwy                 Erlanger             KY      41018       (859) 344-1550
 Mall Road Shoppes                 Cincy Clips, Inc.                    7901 Mall Rd                   Florence             KY      41042       (859) 647-2000
 Houston Commons                   Cincy Clips, Inc.                    1052 Hansel Ave                Florence             KY      41042       (859) 282-0742
 Mount Zion Crossing               MJ Clips, Inc.                       240 Mount Zion Rd              Florence             KY      41042       (859) 746-2547
 Ft. Wright Valley View Shoppes    R.L.O., Inc.                         3493 Valley Plaza Pkwy         Fort Wright          KY      41017       (859) 344-6222
