                                                                         GREAT CLIPS® FRANCHISEES
                                                                     OPEN SALONS AS OF DECEMBER 31, 2024
                                                                              *DENOTES MDA


Salon Name                          Franchisee                             Address                      City                    State   Zip         Phone
 Gull Road Mall                     Cookeze Clips, Inc.                    5903 Gull Rd                 Kalamazoo               MI      49048       (269) 276-9720
 Stadium Dr                         Cookeze Clips, Inc.                    3208 Stadium Dr              Kalamazoo               MI      49008       (269) 488-8632
 Breton and 44th                    SonRise Clippers, LLC                  4445 Breton Rd SE            Kentwood                MI      49508       (616) 971-1771
 Orion Township                     Pankaj Dhingra                         3639 Baldwin Rd              Lake Orion              MI      48359       (248) 391-2111
 Bedford Meadows                    Azaad No 3, LLC                        3366 Sterns Rd               Lambertville            MI      48144       (734) 854-7000
 Edgewood Towne Center              Cian MacSweeney Holdings, LLC          438 E Edgewood Blvd          Lansing                 MI      48911       (517) 272-1108
 Marketplace at Delta Township      Cian MacSweeney Holdings, LLC          619 N Marketplace Blvd       Lansing                 MI      48917       (517) 666-1014
 South Branch Center                Sanra III, Inc.                        1824 Demille Rd              Lapeer                  MI      48446       (810) 667-5021
 Bay River Marketplace              B&C Cutters, Inc.                      36375 26 Mile Rd             Lenox Township          MI      48048       (586) 273-7771
 Lincoln Park                       Daisy Doo's Part 2, LLC                1875 Southfield Rd           Lincoln Park            MI      48146       (313) 381-7100
 Marketplace at College Park        MCD Enterprise, LLC                    17392 Haggerty Rd            Livonia                 MI      48152       (734) 542-0799
 Livonia Plaza                      Sanra, Inc.                            30977 Five Mile Road         Livonia                 MI      48154       (734) 744-4085
 Livonia Marketplace                Zelco 2, LLC                           29476 7 Mile Rd              Livonia                 MI      48152       (248) 442-9100
 Lowell                             SonRise Clippers, LLC                  11635 Fulton St              Lowell                  MI      49331       (616) 897-9520
* Ludington Center                  SonRise Clippers, LLC                  4528 W US Hwy 10             Ludington               MI      49431       (231) 425-3930
