                                                                        GREAT CLIPS® FRANCHISEES
                                                                    OPEN SALONS AS OF DECEMBER 31, 2024
                                                                             *DENOTES MDA


Salon Name                          Franchisee                            Address                             City                  State   Zip         Phone
 The Venue at Dinkytown             Windjammers Corporation               1312 5th St SE                      Minneapolis           MN      55414       (612) 379-0430
 Westridge Center                   Newport Clippers, Inc.                11210 Wayzata Blvd                  Minnetonka            MN      55305       (952) 546-1070
 Westwind Plaza                     RAS Corporation                       4761 Highway 101                    Minnetonka            MN      55345       (952) 933-0019
 Country Village Shopping Center    RAS Corporation                       11329 Highway 7                     Minnetonka            MN      55343       (952) 933-8309
 Monticello Business Center         Stevens Unlimited of St. Paul, Inc.   9361 Cedar St                       Monticello            MN      55362       (763) 295-8490
* Brookdale Shopping Center         Spice Investment Group, Inc.          2515 8th St S                       Moorhead              MN      56560       (218) 287-6222
 Mound Marketplace                  AJE Holdings LLC                      2181 Commerce Blvd                  Mound                 MN      55364       (952) 472-8629
 Rock Ridge                         Grand Investments Group, Inc.         8576 Rock Ridge Dr                  Mountain Iron         MN      55768       (218) 749-2547
 New Prague                         Windjammers Corporation               805 1st St SE                       New Prague            MN      56071       (952) 758-9685
 Supercenter Square                 Snip, Inc.                            1702 Westridge Rd                   New Ulm               MN      56073       (507) 354-1122
 Northfield                         Windjammers Corporation               200 W 7th St                        Northfield            MN      55057       (507) 663-0866
 Bergen Plaza                       W. Peyton Co.                         7169 10th St N                      Oakdale               MN      55128       (651) 735-7245
 Otsego                             Snip, Inc.                            15850 87th St NE                    Otsego                MN      55330       (763) 441-2677
 Bridge Street Center               Snip, Inc.                            685 Bridge St                       Owatonna              MN      55060       (507) 455-1717
 Evergreen Square                   Stevens Unlimited of St. Paul, Inc.   150 Evergreen Sq                    Pine City             MN      55063       (320) 629-1209
 Plymouth Plaza                     RAS Corporation                       1447 N Highway 101                  Plymouth              MN      55447       (763) 473-3075
 Nathan Lane                        Stevens Unlimited of St. Paul, Inc.   4402 Nathan Ln N                    Plymouth              MN      55442       (763) 559-2161
 Rockford Road Plaza                Stevens Unlimited of St. Paul, Inc.   4190 Vinewood Ln N                  Plymouth              MN      55442       (763) 553-2001
 Princeton                          JW Enterprises Inc.                   710 Rum River Dr                    Princeton             MN      55371       (763) 634-9000
 Ramsey Town Square                 Give Me A Break, Inc.                 14050 Saint Francis Blvd            Ramsey                MN      55303       (763) 422-1960
 Red Wing                           Snip, Inc.                            174 Tyler Rd S                      Red Wing              MN      55066       (651) 267-0020
 Cedar Point Commons                Newport Clippers, Inc.                1714 E 66th St                      Richfield             MN      55423       (612) 869-4233
 Lyndale Station                    Windjammers Corporation               6549 Lyndale Ave S                  Richfield             MN      55423       (612) 861-2929
 Crossroads Center                  Roch-N-Roll, Inc.                     1201 S Broadway                     Rochester             MN      55904       (507) 288-0880
 Marketplace                        Roch-N-Roll, Inc.                     2840 41st St NW                     Rochester             MN      55901       (507) 292-5999
 Barlow Plaza                       Roch-N-Roll, Inc.                     1181 6th St NW                      Rochester             MN      55901       (507) 285-5080
 Rogers Retail Centre               Stevens Unlimited of St. Paul, Inc.   21897 S Diamond Lake Rd             Rogers                MN      55374       (763) 428-1577
 Rosemount                          Catch the Wave, Inc.                  15096 Claret Ave                    Rosemount             MN      55068       (651) 423-4001
 Rosedale Marketplace               Aster Clips LLC                       2401 Fairview Ave N                 Roseville             MN      55113       (651) 639-0665
 Lexington Plaza                    Newport Clippers, Inc.                1789 Lexington Ave N                Roseville             MN      55113       (651) 488-5918
 Silver Lake Village                Aster Clips LLC                       3916 Silver Lake Rd                 Saint Anthony         MN      55421       (612) 788-4971
 Cub Food West Plaza                Stevens Unlimited of St. Paul, Inc.   266 33rd Ave S                      Saint Cloud           MN      56301       (320) 203-1133
 St. Francis City Center            Give Me A Break, Inc.                 23168 Saint Francis Blvd            Saint Francis         MN      55070       (763) 753-7820
 South Robert Plaza                 W. Peyton Co.                         2018 Robert St S                    Saint Paul            MN      55118       (651) 455-7673
