                                                                    GREAT CLIPS® FRANCHISEES
                                                                OPEN SALONS AS OF DECEMBER 31, 2024
                                                                         *DENOTES MDA


Salon Name                         Franchisee                      Address                           City               State   Zip         Phone
 Phoenix Center                    Adlib, Inc.                     3185 Phoenix Center Dr            Washington         MO      63090       (636) 239-5105
* Webb City                        Carpe Diem, Inc.                1202 S Madison St                 Webb City          MO      64870       (417) 673-3633
 Yorkshire Plaza                   Adlib Too, Inc.                 8037 Watson Rd                    Webster Groves     MO      63119       (314) 963-1748
 Wentzville Commons                Adlib, Inc.                     1972 Wentzville Pkwy              Wentzville         MO      63385       (636) 332-5479
 Wildwood                          MPE, Inc.                       2472 Taylor Rd                    Wildwood           MO      63040       (636) 458-4200
 Olive Branch                      Tyson Transformations, LLC      5338 Goodman Rd                   Olive Branch       MS      38654       (662) 408-2570
 Highland Court                    Kristy Beliew                   1801 Jackson Ave W                Oxford             MS      38655       (662) 607-1988
* King Avenue                      Headwaters Salons, LLC          2564 King Ave W                   Billings           MT      59102       (406) 652-0400
* West Grand Plaza                 Headwaters Salons, LLC          3039 Grand Ave                    Billings           MT      59102       (406) 656-3839
* The Heights                      Headwaters Salons, LLC          1633 Main St                      Billings           MT      59105       (406) 254-2705
* Rimrock Plaza                    Headwaters Salons, LLC          2545 Central Ave                  Billings           MT      59102       (406) 655-4559
* Gallatin Center                  Headwaters Salons, LLC          2855 N 19th Ave                   Bozeman            MT      59718       (406) 522-7716
* University Square                Headwaters Salons, LLC          200 S 23rd Ave                    Bozeman            MT      59718       (406) 585-5312
* Butte Town Center                Headwaters Salons, LLC          1317 Harrison Ave                 Butte              MT      59701       (406) 494-7890
* Holiday Village                  Headwaters Salons, LLC          900 10th Ave S                    Great Falls        MT      59405       (406) 453-0422
* Marketplace                      Headwaters Salons, LLC          1601 Marketplace Dr               Great Falls        MT      59404       (406) 453-5167
* Northside Center                 Headwaters Salons, LLC          3325 N Montana Ave                Helena             MT      59601       (406) 457-2547
* Mountain View Plaza              TriState Salons, LLC            2385 US Hwy 93 N                  Kalispell          MT      59901       (406) 755-8588
* Grant Creek Town Center          TriState Salons, LLC            3275 N Reserve St                 Missoula           MT      59808       (406) 541-2737
* Russell Square                   TriState Salons, LLC            3800 S Russell St                 Missoula           MT      59801       (406) 542-3234
* Whitefish Mountain Mall          TriState Salons, LLC            6475 Hwy 93 S                     Whitefish          MT      59937       (406) 730-2554
 Center Park                       DKO Enterprises, Inc.           11109 US 15-501 Hwy               Aberdeen           NC      28315       (910) 693-3433
 Olive Place Center                Mascott Industries, Inc.        718 Leonard Ave                   Albemarle          NC      28001       (704) 984-2129
 Publix Pointe                     Tar Heel Clippers, Inc.         1455 Kelly Rd                     Apex               NC      27502       (919) 367-6256
 Lake Pine Plaza                   Tar Heel Clippers, Inc.         950 Highway 64 W                  Apex               NC      27502       (919) 468-5050
 Tarheel Plaza                     Twin Dome, LLC                  10102 S Main St                   Archdale           NC      27263       (336) 781-3216
 Rutledge Commons                  WHETYO, Inc.                    300 Airport Rd                    Arden              NC      28704       (828) 676-2211
 Center Point                      Sawyer Holdings, Inc.           1224 E Dixie Dr                   Asheboro           NC      27203       (336) 629-2547
 Riverbend Marketplace             Saunders Clips, LLC             129 Bleachery Blvd                Asheville          NC      28803       (828) 298-5100
 Pinnacle Point                    Saunders Clips, LLC             1816 Hendersonville Rd            Asheville          NC      28803       (828) 277-3505
 Merrimon Square                   Saunders Clips, LLC             640 Merrimon Ave                  Asheville          NC      28804       (828) 252-9010
 Westgate S/C                      WHETYO, Inc.                    5 Westgate Pkwy                   Asheville          NC      28806       (828) 251-6008
 Belmont Town Center               Shear Madness, Inc.             915 South Point Rd                Belmont            NC      28012       (704) 829-8225
 McGees Crossing                   Tar Heel Clippers, Inc.         12330 Hwy 210                     Benson             NC      27504       (984) 201-3180
 Montgomery Crossing               Sawyer Holdings, Inc.           157 Montgomery Ave                Biscoe             NC      27209       (910) 828-4021
* Midway Commons                   McFreedom, LLC                  2831 Midway Rd SE                 Bolivia            NC      28422       (910) 253-9711
 New Market Centre                 Dixie Clippers, Inc.            197 New Market Centre             Boone              NC      28607       (828) 386-4111
 New Market Square                 Robinett Enterprises, Inc.      2775 S Church St                  Burlington         NC      27215       (336) 538-2547
 Burlington Station                Southeast Salons, LLC           1409 University Dr                Burlington         NC      27215       (336) 524-0466
 Northgate Plaza                   Pineland Salons, LLC            1474 S Hwy 87                     Cameron            NC      28326       (910) 556-1350
 Enka Candler Ingles               Franklin Clips, Inc.            1572 Sand Hill Rd                 Candler            NC      28715       (828) 418-3161
 Carteret Crossing                 MCPIE, Inc.                     213 W B McLean Dr                 Cape Carteret      NC      28584       (252) 354-8000
 Carrboro Plaza                    Triangle Holdings, Inc.         104 NC 54                         Carrboro           NC      27510       (919) 967-9390
 Shoppes at Kildaire               DKO Enterprises, Inc.           165 SE Cary Parkway               Cary               NC      27511       (919) 535-4200
 Centrum Plaza                     DKO Enterprises, Inc.           2342 Walnut St                    Cary               NC      27511       (919) 233-4552
 Cary Park Towne Center            Tar Heel Clippers, Inc.         10120 Green Level Church Rd       Cary               NC      27519       (919) 388-3383
 Chatham Downs                     Triangle Holdings, Inc.         190 Chatham Downs Dr              Chapel Hill        NC      27517       (919) 969-6924
 Meadowmont Village Circle         Triangle Holdings, Inc.         509 Meadowmont Village Cir        Chapel Hill        NC      27517       (919) 933-3380
 Chapel Hill North                 Triangle Holdings, Inc.         1814 Martin Luther King Jr Blvd   Chapel Hill        NC      27514       (919) 942-9007
 Old Towne Village                 Dixie Clippers, Inc.            4100 Carmel Rd                    Charlotte          NC      28226       (704) 540-5579
 Providence Commons                Dixie Clippers, Inc.            10612 Providence Rd               Charlotte          NC      28277       (704) 849-0701
 Stonecrest                        Dixie Clippers, Inc.            7868 Rea Rd                       Charlotte          NC      28277       (704) 540-8701
 Midtown Terrace                   Dixie Clippers, Inc.            601 South Kings Dr                Charlotte          NC      28204       (980) 209-9700
 Riverbend Village                 First Class Clips, #3, LLC      9510 Riverbend Village Dr.        Charlotte          NC      28216       (704) 971-0300
 Arboretum Shopping Center         Longitude, Inc.                 8042 Providence Rd                Charlotte          NC      28277       (704) 543-0722
 Park Selwyn                       Longitude, Inc.                 5110 Park Rd                      Charlotte          NC      28209       (704) 525-2300
 Carmel Commons                    Longitude, Inc.                 7617 Pineville-Mathews Rd         Charlotte          NC      28226       (704) 503-9566
