                                                                       GREAT CLIPS® FRANCHISEES
                                                                   OPEN SALONS AS OF DECEMBER 31, 2024
                                                                            *DENOTES MDA


Salon Name                           Franchisee                       Address                        City               State   Zip         Phone
 North Pointe                        Triangle Holdings, Inc.          1804 A N Pointe Dr             Durham             NC      27705       (919) 620-8922
 Homestead Market                    Triangle Holdings, Inc.          105 W NC Hwy 54                Durham             NC      27713       (919) 361-1964
 South Square Shopping Center        Triangle Holdings, Inc.          3415 Westgate Dr               Durham             NC      27707       (919) 401-9000
 Meadow Greens                       Shear Investments, Inc.          640 S Van Buren Rd             Eden               NC      27288       (336) 627-4700
 Tanglewood Corner Shops             WINNING STYLES LLC               3875 Conlon Way                Elizabeth City     NC      27909       (252) 331-6800
 Tallywood Shopping Center           Great Sky, LLC                   3108 Raeford Rd                Fayetteville       NC      28303       (910) 920-2042
 Shops at Skibo                      Great Sky, LLC                   1918 Skibo Rd                  Fayetteville       NC      28314       (910) 867-4878
 Westin Centre                       Triangle Holdings, Inc.          9543 Cliffdale Rd              Fayetteville       NC      28304       (910) 354-2330
 Traemoor Village                    Triangle Holdings, Inc.          3010 Traemoor Village Dr       Fayetteville       NC      28306       (910) 425-0501
 Forest City Walmart Shopping Center Saunders Clips, LLC              145 Plaza Dr                   Forest City        NC      28043       (828) 288-2061
 Georgia Rd Ingles                   Franklin Clips, Inc.             1257 Georgia Rd                Franklin           NC      28734       (828) 349-9888
 Fuquay Crossings                    Triangle Holdings, Inc.          1401 E Broad St                Fuquay Varina      NC      27526       (919) 567-1913
 Swift Creek Plaza                   Tar Heel Clippers, Inc.          89 Glen Rd                     Garner             NC      27529       (919) 662-1977
 Shops at Timber Landing             Tar Heel Clippers, Inc.          1853 Aversboro Rd              Garner             NC      27529       (919) 661-6932
 New Hope Commons                    Darhaleah, Inc.                  3670 S New Hope Rd             Gastonia           NC      28056       (704) 879-4412
 Franklin Square                     Longitude, Inc.                  3740 E Franklin Blvd           Gastonia           NC      28054       (704) 823-3330
 Samarth Plaza                       Mascott Industries, Inc.         117 N Myrtle School Rd         Gastonia           NC      28052       (704) 691-7034
 Kendrick Crossing                   Mascott Industries, Inc.         3340 Robinwood Rd              Gastonia           NC      28056       (704) 671-2001
 Memorial Commons                    Tar Heel Clippers, Inc.          2108 Wayne Memorial Dr         Goldsboro          NC      27534       (919) 947-0158
 Shoppes at RiverCrest               First Class Clips, #14, LLC      2553 Riverbend Dr              Granite Falls      NC      28630       (828) 396-2312
 Garden Square Shopping Center       Robinett Enterprises, Inc.       2403 Battleground Ave          Greensboro         NC      27408       (336) 286-2875
 Friendly's Shopping Center          Robinett Enterprises, Inc.       3123 Kathleen Ave              Greensboro         NC      27408       (336) 323-7200
