                                                                         GREAT CLIPS® FRANCHISEES
                                                                     OPEN SALONS AS OF DECEMBER 31, 2024
                                                                              *DENOTES MDA


Salon Name                           Franchisee                         Address                       City                 State   Zip         Phone
 Twin Lakes Center                   Tar Heel Clippers, Inc.            1125 Hatches Pond Ln          Morrisville          NC      27560       (919) 234-0899
 Moyock Dunkin building              WINNING STYLES LLC                 383 Caratoke Hwy              Moyock               NC      27958       (252) 525-2255
 River Place                         MCPIE, Inc.                        2002 S Glenburnie Rd          New Bern             NC      28562       (252) 634-2547
 Oak Ridge Commons                   Shear Investments, Inc.            2205 Oak Ridge Rd             Oak Ridge            NC      27310       (336) 643-3991
* Ocean Isle Beach Market Place      McFreedom, LLC                     1564 Market Place Blvd        Ocean Isle Beach     NC      28469       (910) 623-0002
 Grandview Plaza                     Triad Sails, Inc.                  4623 Yadkinville Rd           Pfafftown            NC      27040       (336) 922-0466
 Northwoods Landing                  Triangle Holdings, Inc.            65 Ramseur Rd                 Pittsboro            NC      27312       (919) 542-4845
 Lynnwood Collections                DKO Enterprises, Inc.              6300 Creedmoor Rd             Raleigh              NC      27612       (919) 845-8939
 King's Grant Commons                Premier Clips, LLC                 8109 Fayetteville Rd          Raleigh              NC      27603       (919) 329-8100
 Poyner Place                        Tar Heel Clippers, Inc.            6021 Poyner Village Pkwy      Raleigh              NC      27616       (919) 790-9606
 Middle Creek Commons                Tar Heel Clippers, Inc.            7283 NC Highway 42            Raleigh              NC      27603       (919) 773-8400
 Lake Boone Shopping Center          Tar Heel Clippers, Inc.            2448 Wycliff Rd               Raleigh              NC      27607       (919) 307-4040
 Falls Point Shopping Center         Tar Heel Clippers, Inc.            9660 Falls Of Neuse Rd        Raleigh              NC      27615       (919) 845-2547
 Brier Creek Commons                 Tar Heel Clippers, Inc.            8311 Brier Creek Pkwy         Raleigh              NC      27617       (919) 806-3068
 Harvest Plaza                       Tar Heel Clippers, Inc.            9650 Strickland Rd            Raleigh              NC      27615       (919) 845-0340
 Northridge Shopping Center          Triangle Holdings, Inc.            6114 Falls Of Neuse Rd        Raleigh              NC      27609       (919) 878-1964
 Wakefield Commons                   Triangle Holdings, Inc.            14460 Falls of Neuse Rd       Raleigh              NC      27614       (919) 488-4900
 Mission Valley                      Triangle Holdings, Inc.            2109 Avent Ferry Rd           Raleigh              NC      27606       (919) 833-3131
 Deep River Crossing                 Sawyer Holdings, Inc.              1005 High Point St            Randleman            NC      27317       (336) 495-2547
 Premier Center                      Carolina Clippers, Inc.            266 Premier Blvd              Roanoke Rapids       NC      27870       (252) 410-0499
 Cobb Corners Shopping Center        Carolina Clippers, Inc.            1241 Cobb Corners Dr          Rocky Mount          NC      27804       (252) 937-5000
 Innes Street Market                 Mascott Industries, Inc.           259 Faith Rd                  Salisbury            NC      28144       (704) 642-1412
 Alexander Point                     Shear Madness, Inc.                850 Jake Alexander Blvd       Salisbury            NC      28147       (704) 630-0002
 Shops at Cameron Place              DKO Enterprises, Inc.              3060 S Horner Blvd            Sanford              NC      27332       (919) 718-0058
 Tramway Crossing                    DKO Enterprises, Inc.              2228 Jefferson Davis Hwy      Sanford              NC      27330       (919) 718-0304
 Spring Lane Galleria                DKO Enterprises, Inc.              812 Spring Ln                 Sanford              NC      27330       (919) 775-4939
* Shallotte Crossing Shopping Center McFreedom, LLC                     120 Shallotte Crossing Pkwy   Shallotte            NC      28470       (910) 754-4277
 Creekside Plaza                     Dixie Clippers, Inc.               707-1 E Dixon Blvd            Shelby               NC      28152       (704) 600-6061
 Village at Sherrills Ford           Mascott Industries, Inc.           7903 Village Center N         Sherrills Ford       NC      28673       (980) 222-7471
 Chatham Crossing                    Sawyer Holdings, Inc.              150 Walmart Supercenter Way   Siler City           NC      27344       (919) 663-1223
 Shops at Smithfield                 Tar Heel Clippers, Inc.            1202-B N Brightleaf Blvd      Smithfield           NC      27577       (919) 934-0824
* Tidewater Plaza                    McFreedom, LLC                     1669 N Howe St                Southport            NC      28461       (910) 457-6016
 Broad Street Plaza                  Darhaleah, Inc.                    1542 E Broad St               Statesville          NC      28625       (980) 635-1006
 North Point Commons                 Darhaleah, Inc.                    120 Venture Ln                Statesville          NC      28625       (980) 223-2389
 Sylva Walmart                       Franklin Clips, Inc.               366 Walmart Plaza             Sylva                NC      28779       (828) 538-5151
 Southgate Plaza                     Shear Investments, Inc.            1033 Randolph Rd              Thomasville          NC      27360       (336) 472-2261
 Creedmoor Village                   Tar Heel Clippers, Inc.            1436 Brogden Woods Dr         Wake Forest          NC      27587       (919) 518-0777
 Wake Forest Crossing                Triangle Holdings, Inc.            1009 Stadium Dr               Wake Forest          NC      27587       (919) 570-0536
 Heritage Station                    Triangle Holdings, Inc.            3628 Roger Rd                 Wake Forest          NC      27587       (919) 562-1875
 Walkertown Commons                  Twin Dome, LLC                     5174 Reidsville Rd            Walkertown           NC      27051       (336) 595-9777
 Washington Square Mall              MCPIE, Inc.                        761 W 15th St                 Washington           NC      27889       (252) 940-1215
 Cureton Plaza                       Longitude, Inc.                    8145 Kensington Dr            Waxhaw               NC      28173       (704) 843-8334
 Waynesville Ingles Plaza            Franklin Clips, Inc.               279 Barber Blvd               Waynesville          NC      28786       (828) 476-5140
 Weaverville Plaza                   Saunders Clips, LLC                151 Weaver Blvd               Weaverville          NC      28787       (828) 658-1696
 Village Commons                     Dixie Clippers, Inc.               5922 Weddington Rd            Wesley Chapel        NC      28104       (704) 821-7301
