                                                             GREAT CLIPS® FRANCHISEES
                                                         OPEN SALONS AS OF DECEMBER 31, 2024
                                                                  *DENOTES MDA


Salon Name                      Franchisee                     Address                        City                 State   Zip         Phone
 Cross Keys Shopping Center     Emance, Inc.                   417 Stokes Rd                  Medford              NJ      8055        (609) 975-8281
 Lowe's Center                  LMDP Enterprises, LLC          67 US Highway 9                Morganville          NJ      7751        (732) 972-0100
 East Gate Square               Folk Design Group, LLC         1025 Nixon Dr                  Mount Laurel         NJ      8054        (856) 222-0377
 Seven Eleven Shopping Center   Folk Design Group, LLC         411 Larchmont Blvd             Mount Laurel         NJ      8054        (856) 235-0734
 Sussex County Mall             ClipStar, LLC                  9 Hampton House Rd             Newton               NJ      7860        (973) 300-0441
 Arlington Plaza                GREAT PLAN B LLC               23 Schuyler Ave                North Arlington      NJ      7031        (551) 580-7623
 Commerce Center                Sanskar, LLC                   2431 US Highway 1              North Brunswick      NJ      8902        (732) 658-1800
 Ridge Plaza                    Clive M & Company Inc.         5748A Berkshire Valley Rd      Oak Ridge            NJ      7438        (973) 874-0412
 Pennington Shopping Center     Emance Two, LLC                25 Route 31 S                  Pennington           NJ      8534        (609) 303-0012
 Nassau Park                    Exit 98 Enterprises, LLC       649 Nassau Park Blvd           Princeton            NJ      8550        (609) 750-1777
 Grande Shopping Center         Emance, Inc.                   3301 Route 9 S                 Rio Grande           NJ      8242        (609) 463-0080
 Riverdale Square               Riverdale Clips Inc            92 Route 23 N                  Riverdale            NJ      7457        (973) 513-9447
 Mantua Square                  Exit 98 Enterprises, LLC       645 Woodbury Glassboro Rd      Sewell               NJ      8080        (856) 415-7774
 Cross Keys Place               Exit 98 Enterprises, LLC       141 Tuckahoe Rd                Sewell               NJ      8080        (856) 740-0091
 Shrewsbury Plaza               Mad Hair Inc.                  170 Shrewsbury Plz             Shrewsbury           NJ      7702        (732) 460-0304
 Town Square                    Exit 98 Enterprises, LLC       491 Cross Keys Rd              Sicklerville         NJ      8081        (856) 740-9004
 Montgomery                     SANSKRITI MONTGOMERY LLC       1325 US Hwy 206                Skillman             NJ      8558        (609) 921-8221
 Cooper Towne Center            Folk Design Group, LLC         711 Evesham Ave                Somerdale            NJ      8083        (856) 782-7700
