                                                                      GREAT CLIPS® FRANCHISEES
                                                                  OPEN SALONS AS OF DECEMBER 31, 2024
                                                                           *DENOTES MDA


Salon Name                        Franchisee                         Address                         City                State   Zip         Phone
 Tule Springs                     Nugent, LLC                        8414 Farm Road                  Las Vegas           NV      89131       (702) 476-3335
 Windmill                         Nugent, LLC                        2381 E Windmill Ln              Las Vegas           NV      89123       (702) 269-6388
 Smith's Center                   Nugent, LLC                        9360 Flamingo Rd                Las Vegas           NV      89147       (702) 255-7969
 Deer Springs Center              Nugent, LLC                        6720 N Hualapai Way             Las Vegas           NV      89149       (702) 655-0121
 Trails Village Shopping Center   Nugent, LLC                        1970 Village Center Circle      Las Vegas           NV      89134       (702) 478-5046
 Montecito Marketplace            Nugent, LLC                        7120 N Durango Dr               Las Vegas           NV      89149       (702) 658-9000
 Trop & Jones Towne Center        Nugent, LLC                        6125 W Tropicana Ave            Las Vegas           NV      89103       (702) 227-7403
 Southern Highlands Marketplace   Nugent, LLC                        10620 Southern Highlands Pkwy   Las Vegas           NV      89141       (702) 438-5967
 Northshore Plaza                 Nugent, LLC                        8380 W Cheyenne Ave             Las Vegas           NV      89129       (702) 839-4030
 Rhodes Ranch Town Center         Nugent, LLC                        7345 S Durango Dr               Las Vegas           NV      89113       (702) 895-8555
 Center Point Plaza               Nugent, LLC                        10300 W Charleston Blvd         Las Vegas           NV      89135       (702) 228-7065
 Alta Mira Plaza                  Nugent, LLC                        4990 W Craig Rd                 Las Vegas           NV      89130       (702) 395-9736
 St. Rose (South Fork)            Sukhbir Pannu                      9975 S Eastern Ave              Las Vegas           NV      89183       (702) 362-7110
 Silverado Ranch Village          Sukhbir Pannu                      467 E Silverado Ranch Blvd      Las Vegas           NV      89183       (702) 897-7110
 Cheyenne Commons                 VGURU, LLC                         3101 N Rainbow Blvd             Las Vegas           NV      89108       (702) 534-7540
 Rainbow Plaza                    VGURU, LLC                         877 S Rainbow                   Las Vegas           NV      89145       (702) 333-1677
 Fort Apache                      VGURU, LLC                         9440 W Russell Rd               Las Vegas           NV      89148       (702) 848-7030
 The Lakes                        VGURU, LLC                         8465 W Sahara Ave               Las Vegas           NV      89117       (702) 804-5711
 Bermuda & Windmill Lane Plaza    VGURU, LLC                         530 East Windmill Lane          Las Vegas           NV      89123       (702) 701-8833
 Rainbow Springs                  VGURU, LLC                         3675 S Rainbow Blvd             Las Vegas           NV      89103       (702) 857-7858
 Craig Marketplace                VGURU, LLC                         7121 W Craig Rd                 Las Vegas           NV      89129       (702) 396-0013
