                                                                   GREAT CLIPS® FRANCHISEES
                                                               OPEN SALONS AS OF DECEMBER 31, 2024
                                                                        *DENOTES MDA


Salon Name                         Franchisee                      Address                           City                 State   Zip         Phone
 Delaware Community Plaza          Tillery Salons, Inc.            1740 Columbus Pike                Delaware             OH      43015       (740) 362-4547
 Westfield Plaza                   Tillery Salons, Inc.            817 N Houk Rd                     Delaware             OH      43015       (740) 362-6665
 Delhi Shopping Center             Cincy Clips, Inc.               5132 Delhi Ave                    Delhi Township       OH      45238       (513) 347-3566
 Plaza at Dover                    R.L.O., Inc.                    3007 N Wooster Ave                Dover                OH      44622       (330) 602-4401
 Sawmill Marketplace               Laventure, Inc.                 7565 Sawmill Rd                   Dublin               OH      43016       (614) 764-8893
 The Shoppes at Haydens Crossing   R.L.O., Inc.                    4990 Cosgray Rd                   Dublin               OH      43016       (614) 971-5260
 Avery Square                      Tillery Salons, Inc.            6345 Perimeter Dr                 Dublin               OH      43016       (614) 336-9886
 North Bridge Plaza                Tillery Salons, Inc.            5764 Frantz Rd                    Dublin               OH      43016       (614) 210-0180
 Preble Crossing                   R.L.O., Inc.                    100 E Washington Jackson Rd       Eaton                OH      45320       (937) 456-3030
 Chestnut Commons                  ZAMP Enterprises, Inc.          348 Chestnut Commons Dr           Elyria               OH      44035       (440) 366-0244
 Shoppes of Englewood              Eckert, Inc.                    809 Union Blvd                    Englewood            OH      45322       (937) 836-8899
 Fairborn Center                   Eckert, Inc.                    1173 E Dayton Yellow Springs Rd   Fairborn             OH      45324       (937) 879-9747
 College Station                   R.L.O., Inc.                    3800 Colonel Glenn Hwy            Fairborn             OH      45324       (937) 365- 2785
 Village Green                     Cincy Clips, Inc.               675 Deis Dr                       Fairfield            OH      45014       (513) 858-2855
 Gilmore Square                    RDFM, Inc.                      500 Kolb Dr                       Fairfield            OH      45014       (513) 860-2547
 Fairlawn Town Centre              Tagliare Enterprises, Inc.      2855 W Market St                  Fairlawn             OH      44333       (330) 869-5301
 Westgate Plaza                    Demer Retail Ventures GC, LLC   3500 Westgate Dr                  Fairview Park        OH      44126       (440) 333-5910
 Meijer                            KLK Haircutters, Inc.           2200 Tiffin Ave                   Findlay              OH      45840       (419) 422-1300
 Independence Square               KLK Haircutters, Inc.           1131 Trenton Ave                  Findlay              OH      45840       (419) 424-1300
 Laynecrest Plaza                  Cincy Clips, Inc.               48 Millard Dr                     Franklin             OH      45005       (937) 704-0661
 Liberty Square                    Zeetrio of Ohio, Inc.           2200 Sean Dr                      Fremont              OH      43420       (419) 355-9070
 Vista Plaza                       Tillery Enterprises, Inc.       1169 N Hamilton Rd                Gahanna              OH      43230       (614) 478-3828
 Hunters Ridge Plaza               Tillery Enterprises, Inc.       330 S Hamilton Rd                 Gahanna              OH      43230       (614) 471-9180
 Ohio River Plaza                  STALLO & STARKEY ENTERPRISES    23LLC
                                                                      Ohio River Plaza               Gallipolis           OH      45631       (740) 208-3227
 Galloway Crossing                 KLK Haircutters, Inc.           5680 W Broad St                   Galloway             OH      43119       (614) 870-0520
 Shoppes at Greenville             R.L.O., Inc.                    1520 Wagner Ave                   Greenville           OH      45331       (937) 547-0010
 Parkway Centre                    Laventure, Inc.                 1729 Stringtown Rd                Grove City           OH      43123       (614) 539-4733
 Buckeye Grove                     StyleTech Corporation           5911 Hoover Rd                    Grove City           OH      43123       (614) 801-0295
 Groveport Plaza                   R.L.O., Inc.                    6021 Groveport Rd                 Groveport            OH      43125       (614) 350-8280
 Walnut Creek                      StyleTech Corporation           3797 S Hamilton Rd                Groveport            OH      43125       (614) 836-7373
 Hamilton Meadows                  Excel Clips, Inc.               1468 Main St                      Hamilton             OH      45013       (513) 892-1111
 Indian Springs                    Excel Clips, Inc.               3155 Princeton Rd                 Hamilton             OH      45011       (513) 895-0067
 Harrison                          Crosstown Cutters, LLC          10701 Harrison Ave                Harrison             OH      45030       (513) 367-0004
 Hartville Centre                  Ratcliff Enterprises Ohio, Inc. 885 W Maple St                    Hartville            OH      44632       (330) 267-6006
 Southgate Plaza                   Tillery Enterprises, Inc.       719 Hebron Rd                     Heath                OH      43056       (740) 522-3003
 Hebron-Arrowhead Plaza            Tillery Enterprises, Inc.       620 East Main Street              Hebron               OH      43025       (740) 527-1214
 Mill Run                          Tillery Salons, Inc.            3788 Fishinger Blvd               Hilliard             OH      43026       (614) 527-9390
 Market at Hilliard                Tillery Salons, Inc.            1804 Hilliard Rome Rd             Hilliard             OH      43026       (614) 876-5664
 Sauner Square                     Cincy Clips, Inc.               708 Harry Sauner Rd               Hillsboro            OH      45133       (937) 393-0166
 Spring Meadows                    Zeetrio of Ohio, Inc.           6632 Centers Dr                   Holland              OH      43528       (419) 867-0303
 North Heights Plaza               Eckert, Inc.                    8424 Old Troy Pike                Huber Heights        OH      45424       (937) 237-8122
 Sulpher Grove                     Eckert, Inc.                    7740 Brandt Pike                  Huber Heights        OH      45424       (937) 236-3038
 Cloud Park Plaza                  R.L.O., Inc.                    4624 Brandt Pike                  Huber Heights        OH      45424       (937) 236-3001
 Hudson                            The 220 Group, Ltd              126 W Streetsboro St              Hudson               OH      44236       (330) 653-3090
 Kyber Run Shopping Center         Tillery Enterprises, Inc.       838 W Coshocton St                Johnstown            OH      43031       (740) 966-0212
 Meadowview Square                 Ratcliff Enterprises Ohio, Inc. 2500 State Route 59               Kent                 OH      44240       (330) 673-3383
 Brimfield Meijer                  ZAMP Enterprises, Inc.          247 Tallmadge Rd                  Kent                 OH      44240       (234) 360-9118
 Kenton Ridge                      R.L.O., Inc.                    1233 E Columbus St                Kenton               OH      43326       (419) 673-0444
 Kettering Towne Center            Eckert, Inc.                    3009 Woodman Dr                   Kettering            OH      45420       (937) 294-8633
 Charlotte Gardens                 R.L.O., Inc.                    4317 Far Hills Ave                Kettering            OH      45429       (937) 221-8662
 Kentshire Plaza                   R.L.O., Inc.                    2032 E Whipp Rd                   Kettering            OH      45440       (937) 436-0110
 Lakewood                          ZAMP Enterprises, Inc.          15004 Detroit Ave                 Lakewood             OH      44107       (216) 226-5250
 Shops at Ety Village              StyleTech Corporation           1368 Ety Rd                       Lancaster            OH      43130       (740) 654-2543
 Lebanon Shopping Center           Eckert, Inc.                    1521 Walmart Dr                   Lebanon              OH      45036       (513) 934-4433
 Olentangy Crossings               StyleTech Corporation           6460 Pullman Dr                   Lewis Center         OH      43035       (740) 549-7099
 Northpointe Plaza                 Tillery Salons, Inc.            8591 Columbus Pike                Lewis Center         OH      43035       (740) 657-8183
 Shoppes at Kyles Station          Eckert, Inc.                    5310 Newtown Drive                Liberty Township     OH      45011       (513) 893-6666
 Liberty Commons                   RDFM, Inc.                      7330 Yankee Rd                    Liberty Township     OH      45044       (513) 759-9559
* The Shops on Elida               R.L.O., Inc.                    2330 Elida Rd                     Lima                 OH      45805       (419) 228-9583
* Walmart East Plaza               R.L.O., Inc.                    771 Lost Creek Blvd               Lima                 OH      45804       (419) 224-3823
 Logan Commons                     StyleTech Corporation           12900 State Route 664 S           Logan                OH      43138       (740) 380-6408
 London Kroger Plaza               Tillery Salons, Inc.            226 Lafayette St                  London               OH      43140       (740) 845-1404
 Lorain Meijer                     ZAMP Enterprises, Inc.          5350 N Leavitt Rd                 Lorain               OH      44053       (440) 444-0965
 Louisville City Center            Demer Retail Ventures GC, LLC   510 W Main St                     Louisville           OH      44641       (330) 875-4865
 Shoppes of Loveland               Cincy Clips, Inc.               10665 Loveland Madeira Rd         Loveland             OH      45140       (513) 683-1400
