                                                                        GREAT CLIPS® FRANCHISEES
                                                                    OPEN SALONS AS OF DECEMBER 31, 2024
                                                                             *DENOTES MDA


Salon Name                          Franchisee                         Address                             City                   State   Zip         Phone
 Eastgate Shopping Center           R.L.O., Inc.                       1447 Som Center Rd                  Mayfield Heights       OH      44124       (440) 442-8188
 North Court Shoppes                R.L.O., Inc.                       1102 N Court St                     Medina                 OH      44256       (330) 725-3654
 Shoppes at River Styx              ZAMP Enterprises, Inc.             5155 Buehlers Dr                    Medina                 OH      44256       (330) 952-0969
 Creekside Commons                  R.L.O., Inc.                       9579 Mentor Ave                     Mentor                 OH      44060       (440) 357-8788
 Mentor City Shopping Center        R.L.O., Inc.                       7871 Mentor Avenue                  Mentor                 OH      44060       (440) 205-1363
 Mentor on the Lake                 Mia San Mia, LLC                   7867 Plains Rd                      Mentor on the Lake     OH      44060       (440) 257-4747
 Miamisburg Plaza                   Eckert, Inc.                       1224 E Central Ave                  Miamisburg             OH      45342       (937) 859-5800
 Austin Landing                     R.L.O., Inc.                       10735 Innovation Dr                 Miamisburg             OH      45342       (937) 847-7445
 Southland Shopping Center          LJ CLIPPERS, LLC                   6869 Pearl Rd                       Middleburg Heights     OH      44130       (440) 545-1112
 Harrington Square                  R.L.O., Inc.                       14950 S Springdale Ave              Middlefield            OH      44062       (440) 858-5162
 Middletown Shopping Center         Crosstown Cutters, LLC             629 S Breiel Blvd                   Middletown             OH      45044       (513) 727-4399
 Rivers Edge                        Cincy Clips, Inc.                  195 Rivers Edge Dr                  Milford                OH      45150       (513) 576-0030
 Mulberry Center                    R.L.O., Inc.                       1090 State Route 28                 Milford                OH      45150       (513) 575-4100
 Mt. Repose                         R.L.O., Inc.                       1259 State Route 28                 Milford                OH      45150       (513) 722-9050
 Millersburg Retail                 R.L.O., Inc.                       979 S Washington St.                Millersburg            OH      44654       (330) 231-1441
 Minerva                            R.L.O., Inc.                       1176 Alliance Rd NW                 Minerva                OH      44657       (330) 522-4071
 Heritage Plaza                     Cincy Clips, Inc.                  3225 Heritage Green Dr              Monroe                 OH      45050       (513) 360-7841
 Alex Bell Center                   R.L.O., Inc.                       2735 W Alex Bell Rd                 Moraine                OH      45459       (937) 298-3401
 North Point Center                 Cutting Edge Development, LLC      143 Northpointe Center              Mount Orab             OH      45154       (937) 444-1466
 Gateway Plaza                      Tillery Enterprises, Inc.          1558 E Coshocton Ave                Mount Vernon           OH      43050       (740) 392-2547
 Kroger New Albany Center           Tillery Enterprises, Inc.          5191 Hampstead Village Center Way   New Albany             OH      43054       (614) 855-5965
 The Shoppes of New Philadelphia    R.L.O., Inc.                       511 Mill Ave SE                     New Philadelphia       OH      44663       (330) 339-7400
 Newark Center                      Tillery Enterprises, Inc.          1158 N 21st St                      Newark                 OH      43055       (740) 366-2300
 Shoppes at Niles                   LJ CLIPPERS, LLC                   5700 Youngstown-Warren Rd           Niles                  OH      44446       (330) 544-5900
 Deville Center                     R.L.O., Inc.                       1593 N Main St                      North Canton           OH      44720       (330) 305-1369
 Plaza at Portage                   R.L.O., Inc.                       4885 Portage St NW                  North Canton           OH      44720       (330) 966-2802
 Washington Square                  ZAMP Enterprises, Inc.             2179 E Maple St                     North Canton           OH      44720       (330) 526-8910
 Great Northern Plaza               Ramsey Rooney & Co.                26117 Great Northern Plz N          North Olmsted          OH      44070       (440) 716-0731
 North Ridgeville                   ZAMP Enterprises, Inc.             33755 Center Ridge Rd               North Ridgeville       OH      44039       (440) 353-3599
 Timber Ridge Plaza                 Vissutocorp, Inc.                  9371 W Sprague Rd                   North Royalton         OH      44133       (440) 885-4071
 Norton Plaza                       R.L.O., Inc.                       3200 Greenwich Rd                   Norton                 OH      44203       (330) 222-8933
 Norwalk Square                     R.L.O., Inc.                       101 Plank Rd                        Norwalk                OH      44857       (567) 401-6008
 Oberlin Square                     JPAC Enterprises, Inc.             14910 Route 58 S                    Oberlin                OH      44074       (440) 774-3461
 Navarre Center                     High Level Cutters, LLC            3555 Navarre Ave                    Oregon                 OH      43616       (419) 690-1551
 Bishop Square                      Cincy Clips, Inc.                  421 S Locust St                     Oxford                 OH      45056       (513) 523-4050
 Snowview Shopping Center           Vissuto Enterprises, Inc.          2005 Snow Rd                        Parma                  OH      44134       (216) 351-7111
 Pleasant Valley Shopping Center    Vissutocorp, Inc.                  1021 Pleasant Valley Rd             Parma                  OH      44134       (440) 885-3691
 Parma Heights                      LJ CLIPPERS, LLC                   6512 York Rd                        Parma Heights          OH      44130       (440) 845-8606
 Hazelwood Plaza                    Tillery Enterprises, Inc.          390 E Broad St                      Pataskala              OH      43062       (740) 964-0003
 Shoppes at RiverPlace              KLK Haircutters, Inc.              26567 N Dixie Hwy                   Perrysburg             OH      43551       (419) 874-4300
 Perrysburg Plaza                   KLK Haircutters, Inc.              10079 Fremont Pike                  Perrysburg             OH      43551       (419) 873-1300
 Windmiller Plaza                   StyleTech Corporation              1031 Hill Rd N                      Pickerington           OH      43147       (614) 575-2551
 Miami Valley Crossing              R.L.O., Inc.                       1270 E Ash St                       Piqua                  OH      45356       (937) 615-9889
 Powell Crossing                    Laventure, Inc.                    9836 Brewster Ln                    Powell                 OH      43065       (614) 717-0663
 Taylor Square Shopping Center      StyleTech Corporation              2839 Taylor Rd SW                   Reynoldsburg           OH      43068       (614) 322-2036
* Ohio Valley Mall                  R.L.O., Inc.                       68041 Mall Ring Rd                  Saint Clairsville      OH      43950       (740) 695-9755
* Shoppes at St. Mary's             R.L.O., Inc.                       484 Fortman Dr                      Saint Marys            OH      45885       (419) 300-8746
 Eastgate Shopping Center           The 220 Group, Ltd                 2333 E State St                     Salem                  OH      44460       (330) 337-7500
 Crossings of Sandusky              ZAMP Enterprises, Inc.             810 Crossings Rd                    Sandusky               OH      44870       (419) 626-0491
 Sheffield Crossing Shopping Center ZAMP Enterprises, Inc.             4466 Abbe Rd                        Sheffield              OH      44054       (440) 934-1886
 Sidney Kroger                      Eckert, Inc.                       2170 W Michigan Ave                 Sidney                 OH      45365       (937) 498-4247
 Solon Village                      R.L.O., Inc.                       34168 Aurora Rd                     Solon                  OH      44139       (440) 346-9845
 Marcs Plaza                        R.L.O., Inc.                       4509 Mayfield Rd                    South Euclid           OH      44121       (216) 382-8732
 Rivers Crossing                    Cincy Clips, Inc.                  652 Corwin Nixon Blvd               South Lebanon          OH      45065       (513) 480-4272
 Springboro Plaza                   Eckert, Inc.                       234 W Central Ave                   Springboro             OH      45066       (937) 748-8133
 Moorefield Square                  R.L.O., Inc.                       2975 Derr Rd                        Springfield            OH      45503       (937) 505-6187
 Eastside Square                    R.L.O., Inc.                       150 S Tuttle Rd                     Springfield            OH      45505       (937) 322-2418
 North Bechtle Square               R.L.O., Inc.                       1776 N Bechtle Ave                  Springfield            OH      45504       (937) 390-2187
 Stow Community Center              Demer Retail Ventures GC, LLC      4338 Kent Rd                        Stow                   OH      44224       (330) 688-8100
