                                                                            GREAT CLIPS® FRANCHISEES
                                                                        OPEN SALONS AS OF DECEMBER 31, 2024
                                                                                 *DENOTES MDA


Salon Name                          Franchisee                             Address                           City                State   Zip          Phone
 Frisco Marketplace                  FSG Group, LLC                        7010 Preston Rd                   Frisco              TX      75034        (214) 387-4644
 Westside Market                     Kitty Paw, LLC                        5570 FM 423                       Frisco              TX      75036        (469) 362-2999
 Custer Star                         Kitty Paw, LLC                        15962 Eldorado Pkwy               Frisco              TX      75035        (972) 547-9966
 Teel Village                        Kitty Paw, LLC                        8811 Teel Pkwy                    Frisco              TX      75036        (214) 872-4400
 Eldorado Market Place               Licky's LLC                           11901 Dallas Pkwy                 Frisco              TX      75033        (469) 535-3007
 Coit Main Plaza                     Synectics, LLC                        8949 Coit Rd                      Frisco              TX      75035        (469) 384-7906
 Great Lakes Gainesville             GCXG, Inc.                            905 E Hwy 82                      Gainesville         TX      76240        (940) 665-1669
 Shiloh Springs                      FSG Group, LLC                        6850 Shiloh Rd                    Garland             TX      75044        (972) 496-6653
 Firewheel Market                    FSG Group, LLC                        4280 Lavon Dr                     Garland             TX      75040        (972) 530-7000
 Cedar Breaks                        Mane Image, LLC                       4506 Williams Dr                  Georgetown          TX      78633        (512) 863-5871
 Wolf Ranch                          Mane Image, LLC                       1013 W University Ave             Georgetown          TX      78628        (512) 863-3439
 Oak Meadows Marketplace             Mane Image, LLC                       5725 Williams Dr                  Georgetown          TX      78633        (512) 763-8254
 Bar W                               Wilder Enterprises, Inc.              19372 Ronald Reagan Blvd          Georgetown          TX      78628        (512) 528-4280
 Granbury South                      MegaClips, LLC                        405 E Hwy 377                     Granbury            TX      76048        (817) 579-8300
 Granbury North                      MegaClips, LLC                        3801 E US Hwy 377                 Granbury            TX      76049        (682) 205-3702
 Great Southwest Shopping Center     First Clips, LLC                      4045 S Great Southwest Pkwy       Grand Prairie       TX      75052        (972) 206-2821
 Carrier Towne Crossing              First Clips, LLC                      3950 S Carrier Pkwy               Grand Prairie       TX      75052        (972) 642-2547
 Lake Prairie Town Crossing          First Clips, LLC                      5232 S State Hwy 360              Grand Prairie       TX      75052        (972) 660-2222
 Park Place                          La Corrida Investments, LLC           2100 West NW Hwy                  Grapevine           TX      76051        (817) 416-2547
 Kari Beth Krossing                  GCXG, Inc.                            3210 I 30                         Greenville          TX      75402-7009   (903) 453-8070
 Gun Barrel City                     DFW Salons, LLC                       1307 W Main St                    Gun Barrel City     TX      75156        (903) 802-7000
 Market Heights                      Mane Image, LLC                       201 E Central Texas Expy          Harker Heights      TX      76548        (254) 699-3858
 Stillhouse Plaza                    Mane Image, LLC                       980 E Knights Way                 Harker Heights      TX      76548        (254) 698-1088
 Five Points Crossing                PSP Resources, LLC                    2488 Avondale Haslet Rd           Haslet              TX      76052        (817) 847-9898
 Heath Towne Village Shopping Center Radhe Kishan, Inc.                    455 Laurence Dr                   Heath               TX      75032        (469) 400-2242
 Helotes Town Center                 Team Sailing, Inc.                    9708 Business Pkwy                Helotes             TX      78023        (210) 372-9330
 Hewitt Walmart                      Sunset Rock, Inc.                     231 E Enterprise                  Hewitt              TX      76643        (254) 424-9767
 Hondo Village                       Team Sailing, Inc.                    166 Menefee St                    Hondo               TX      78861        (830) 426-3633
