                                                                       GREAT CLIPS® FRANCHISEES
                                                                   OPEN SALONS AS OF DECEMBER 31, 2024
                                                                            *DENOTES MDA


Salon Name                          Franchisee                         Address                      City                     State   Zip         Phone
 Lakepointe Towne Crossing          FSG Group, LLC                     729 Hebron Pkwy              Lewisville               TX      75057       (214) 488-0434
 Liberty Crossing                   Alamda Ventures, LLC               2137 Highway 146 Bypass      Liberty                  TX      77575       (936) 641-9416
 Liberty Hill Water Tower           Westend Holdings, Inc.             14125 W Hwy 29               Liberty Hill             TX      78642       (512) 548-6393
* Centennial Marketplace            Radhe Kishan II Inc.               120 Centennial Blvd          Lindale                  TX      75771       (903) 505-1193
 Little Elm Towne Crossing          Honking Dog, LLC                   2700 E Eldorado Pkwy         Little Elm               TX      75068       (972) 292-0600
 Gateway Plaza                      Rockit Shears Inc.                 7529 N Loop 1604 E           Live Oak                 TX      78233       (210) 657-2547
 Chisholm Trail                     Westend Holdings, Inc.             1906 S Colorado St           Lockhart                 TX      78644       (512) 359-4146
* Gilmer Road                       Radhe Kishan II Inc.               2306 Gilmer Road             Longview                 TX      75604       (903) 399-4029
* Longview Towne Crossing           Radhe Kishan II Inc.               3088 N Eastman Rd            Longview                 TX      75605       (903) 470-0551
* North Kingsgate Center            PAJ, Inc.                          4210 82nd St                 Lubbock                  TX      79423       (806) 795-2100
* Lubbock Commons                   PAJ, Inc.                          6319 82nd St                 Lubbock                  TX      79424       (806) 783-0769
* University Place                  PAJ, Inc.                          601 University Ave           Lubbock                  TX      79401       (806) 747-3212
* Cooper Crossing                   PAJ, Inc.                          12811 Indiana Avenue         Lubbock                  TX      79423       (806) 701-4151
* 4th and Milwaukee                 PAJ, Inc.                          6309 4th St                  Lubbock                  TX      79416       (806) 788-5555
* HEB 114th and Quaker              PAJ, Inc.                          4409 114th St                Lubbock                  TX      79424       (806) 319-1366
* 19th and Quaker                   PAJ, Inc.                          1910 Quaker Ave              Lubbock                  TX      79407       (806) 799-1777
 Shops at Lucas                     Rajiv Saxena                       2650 West Lucas Rd           Lucas                    TX      75002       (972) 521-6259
* Lufkin South Loop Shopping Center Radhe Kishan II Inc.               4505 S Medford Dr            Lufkin                   TX      75901       (936) 585-5419
* Lumberton                         Chop It! LLC                       104 S LHS Dr.                Lumberton                TX      77657       (409) 227-4464
 Lytle Crossing                     Team Sailing, Inc.                 19585 IH 35 S                Lytle                    TX      78052       (830) 772-5872
 Heritage Green                     Hinan Corporation                  13650 FM 1488                Magnolia                 TX      77354       (346) 703-9072
 Magnolia                           Hinan Corporation                  6606 FM 1488 Rd              Magnolia                 TX      77354       (936) 666-8113
 Manor Commons                      Duc Do                             11828 Ring Dr                Manor                    TX      78653       (512) 366-5236
 The Commons                        First Clips, LLC                   990 Highway 287 N            Mansfield                TX      76063       (817) 453-4405
 Matlock Center                     First Clips, LLC                   2851 Matlock Rd              Mansfield                TX      76063       (817) 453-5776
 Manvel Town Center                 Hinan Corporation                  17221 Hwy 6                  Manvel                   TX      77578       (281) 643-6682
 Northlake Plaza                    Mane Image, LLC                    2511 Highway 281             Marble Falls             TX      78654       (830) 201-4020
 North Park Plaza                   Radhe Kishan II Inc.               1806 East End Blvd North     Marshall                 TX      75670       (903) 904-9238
 380 Towne Crossing                 GCXG, Inc.                         2050 W University Dr         McKinney                 TX      75071       (972) 548-9830
 Shops at Eagle Point               Honking Dog, LLC                   1521 N Custer Rd             McKinney                 TX      75071       (972) 542-4454
 Lake Forest Marketplace            Kitty Paw, LLC                     1871 N Lake Forest Dr        McKinney                 TX      75071       (214) 842-4425
 McKinney Town Crossing             Radhe Kishan, Inc.                 7645 Custer Rd               McKinney                 TX      75070       (972) 727-9300
 Eldorado Plaza                     Radhe Kishan, Inc.                 3001 Hardin Blvd             McKinney                 TX      75070       (972) 548-2547
 Market East Center                 FSG Group, LLC                     1515 N Town East Blvd        Mesquite                 TX      75150       (469) 828-1601
 Pioneer Plaza                      FSG Group, LLC                     701 E Cartwright Rd          Mesquite                 TX      75149       (972) 288-2631
* Kimber Lea                        DFW Salons, LLC                    3408 Midkiff                 Midland                  TX      79705       (432) 247-5130
* North Midland                     DFW Salons, LLC                    4400 West Loop 250 N         Midland                  TX      79707       (432) 247-1353
 Midlothian                         MegaClips, LLC                     2020 FM 663                  Midlothian               TX      76065       (972) 775-2211
 Sharyland Towne Crossing           Shear Greatness TX LTD             2505 E Expressway 83         Mission                  TX      78572       (956) 271-4149
 Shops at Vicksburg                 Alamda Ventures, LLC               9839 State Hwy 6             Missouri City            TX      77459       (281) 670-5920
 Missouri City                      Hinan Corporation                  5836 Highway 6               Missouri City            TX      77459       (281) 403-2242
 Mont Belvieu Marketplace           Hinan Corporation                  9129 Eagle Drive             Mont Belvieu             TX      77523       (832) 501-2070
 Buffalo Spring Marketplace         Hinan Corporation                  20212 Eva St                 Montgomery               TX      77356       (936) 597-4331
* Nacogdoches Marketplace I         Radhe Kishan II Inc.               4604 North St                Nacogdoches              TX      75965       (936) 585-5037
 Shops at Clear Springs             AJ Odyssey Inc.                    1761 TX 46 S                 New Braunfels            TX      78130       (830) 312-7166
 Walnut and County Line             Binepal Malhi Joint Ventures LLC   1187 W County Line Rd        New Braunfels            TX      78130       (830) 627-9407
 HEB Shopping Center New Braunfels Team Sailing, Inc.                  244 FM 306                   New Braunfels            TX      78130       (830) 620-9940
 Westpointe Village                 Team Sailing, Inc.                 1659 TX-46 W                 New Braunfels            TX      78132       (830) 608-1449
 Caney Crossing                     Alamda Ventures, LLC               20306 US HWY 59              New Caney                TX      77357       (832) 793-5245
 Tarrant Parkway Plaza              Kitty Paw, LLC                     8415 Davis Blvd              North Richland Hills     TX      76182       (817) 605-3444
* Faudree                           DFW Salons, LLC                    4103 Faudree Rd              Odessa                   TX      79765       (432) 235-7019
 Palestine Walmart                  Radhe Kishan, Inc.                 2213 S Loop 256              Palestine                TX      75801       (903) 394-8489
 Park Row Place                     Synectics, LLC                     2504 W Park Row Dr           Pantego                  TX      76013       (817) 460-1441
 Paris Walmart                      Synectics, LLC                     3915 Lamar Ave               Paris                    TX      75460       (903) 732-0026
 The Crossing at 288                Alamda Ventures, LLC               10645 Broadway St            Pearland                 TX      77584       (713) 436-0222
 Centre at Broadway                 Chop It! LLC                       3320 Broadway St             Pearland                 TX      77581       (281) 997-3400
 Shadow Creek                       DFW Salons, LLC                    1799 Kirby Dr                Pearland                 TX      77584       (281) 741-4487
