                                                                  GREAT CLIPS® FRANCHISEES
                                                              OPEN SALONS AS OF DECEMBER 31, 2024
                                                                       *DENOTES MDA


Salon Name                        Franchisee                       Address                         City                   State   Zip         Phone
 Shops at County Center           Rikhi Professional Cuts, LLC     12797 Galveston CT              Manassas               VA      20112       (703) 794-7465
 Village of Martinsville Kroger   Shear Investments, Inc.          240 Commonwealth Blvd W         Martinsville           VA      24112       (276) 201-2903
 Rutland Commons                  Medusa Too, LLC                  9357 Atlee Rd                   Mechanicsville         VA      23116       (804) 730-1127
 Creighton Crossing               Paradocs, Inc.                   8005 Creighton Pkwy             Mechanicsville         VA      23111       (804) 559-2905
 Chesterfield Crossing            Mirus, LLC                       12229 Chattanooga Way           Midlothian             VA      23112       (804) 763-6500
 Bellgrade                        Paradocs, Inc.                   11422 W Huguenot Rd             Midlothian             VA      23113       (804) 897-6400
 Westchester Commons              Paradocs, Inc.                   15507 Westchester Commons Way   Midlothian             VA      23113       (804) 378-4455
 Patrick Henry Mall               Bay Clips, Inc.                  12266 Jefferson Ave             Newport News           VA      23602       (757) 249-8964
 Jefferson Commons                Bay Clips, Inc.                  12551 Jefferson Avenue          Newport News           VA      23602       (757) 346-3199
 Fort Eustis Shops                Bay Clips, Inc.                  15488 Warwick Blvd              Newport News           VA      23608       (757) 330-2235
 Hidenwood                        LVMY Clips, LLC                  22 Hidenwood Shopping Ctr       Newport News           VA      23606       (757) 223-9600
 Corner Shops Ghent               Mirus, LLC                       2000 Colonial Avenue            Norfolk                VA      23517       (757) 440-8611
 Wards Corner                     Tidewater Clippers, LLC          7550 Granby St                  Norfolk                VA      23505       (757) 226-7686
 East Beach Marketplace           Tidewater Clippers, LLC          7813 Shore Drive                Norfolk                VA      23518       (757) 937-6904
 Little Creek                     Tidewater Clippers, LLC          7870 Tidewater Dr               Norfolk                VA      23505       (757) 480-2887
 Stonebridge Plaza                Medusa Enterprises, Inc.         151 Stonebridge Plaza Ave       North Chesterfield     VA      23225       (804) 745-6100
* Norton Commons                  Gartner Development Group, LLC   617 Commonwealth Dr             Norton                 VA      24273       (276) 325-0762
 Marketplace Square               Bay Clips, Inc.                  5905 High St W                  Portsmouth             VA      23703       (757) 337-0756
 Powhatan Shoppes at Southcreek   Clips 4 M and E, Inc.            1800 Southcreek One             Powhatan               VA      23139       (804) 379-1535
 South Lakes Village Center       Meliorist Inc.                   11130 South Lakes Dr.           Reston                 VA      20191       (571) 490-3649
 Oxbridge Square                  Medusa Enterprises, Inc.         9909 Hull St Rd                 Richmond               VA      23236       (804) 447-4705
 Laburnum Park Shopping Center    Mirus, LLC                       4376 S Laburnum Ave             Richmond               VA      23231       (804) 226-9300
 Libbie Place                     Paradocs, Inc.                   5623 W Broad St                 Richmond               VA      23230       (804) 288-3688
 Towne Crossing                   Paradocs, Inc.                   11607 Midlothian Tpke           Richmond               VA      23113       (804) 379-5003
 Kroger Center at Bonsack         Christopher Jeffords             3940 Valley Gateway Blvd        Roanoke                VA      24012       (540) 977-1107
 Southwest Plaza                  Christopher Jeffords             2022 Electric Rd                Roanoke                VA      24018       (540) 725-2007
 Valley View                      GC Valley View, LLC              4753 Valley View Blvd NW        Roanoke                VA      24012       (540) 566-3533
 Tanglewood                       Southeast Salons, LLC            4464 Electric Rd                Roanoke                VA      24018       (540) 566-3055
 Lakeside Plaza                   Mountainview Cutters, LLC        155 Electric Ave                Salem                  VA      24153       (540) 492-2482
 Peacock Market Plaza             Rikhi Professional Cuts, LLC     43114 Peacock Market Plz        South Riding           VA      20152       (703) 327-5388
 Doc Stone Commons                Mirus, LLC                       309 Worth Ave                   Stafford               VA      22556       (540) 657-7117
 Cascades Overlook                DMV Professional Services LLC    21385 Epicerie Plz              Sterling               VA      20164       (571) 313-1125
 Hampton Roads Crossing           Bay Clips, Inc.                  1011 University Blvd            Suffolk                VA      23435       (757) 409-5891
 Planters Station                 Bay Clips, Inc.                  3189 Godwin Blvd                Suffolk                VA      23434       (757) 809-0752
 Suffolk Specialty Shops          Tidewater Clippers, LLC          1201 N Main St                  Suffolk                VA      23434       (757) 934-9984
 MarketSquare                     Bay Clips, Inc.                  2870 Virginia Beach Blvd        Virginia Beach         VA      23452       (757) 321-8157
 Great Neck Square                Bay Clips, Inc.                  2154 Great Neck Square          Virginia Beach         VA      23454       (757) 390-4537
 Landstown Commons                Mirus, LLC                       3380 Princess Anne Road         Virginia Beach         VA      23456       (757) 301-8437
 Kroger Plaza                     Mirus, LLC                       4701 Shore Dr                   Virginia Beach         VA      23455       (757) 216-6953
 Nimmo Parkway                    Mirus, LLC                       2476 Nimmo Pkwy                 Virginia Beach         VA      23456       (757) 430-6170
 Kemps River Shopping Center      Tidewater Clippers, LLC          1255 Fordham Dr                 Virginia Beach         VA      23464       (757) 226-7634
 Towne Center Marketplace         Tidewater Clippers, LLC          4725 Virginia Beach Blvd        Virginia Beach         VA      23462       (757) 473-2122
 Haygood Shopping Center          Tidewater Clippers, LLC          1085 Independence Blvd          Virginia Beach         VA      23455       (757) 460-4744
 Redmill Commons                  Tidewater Clippers, LLC          2137 Upton Dr                   Virginia Beach         VA      23454       (757) 563-2887
 Kempsville Marketplace           Tidewater Clippers, LLC          4876 Princess Anne Rd           Virginia Beach         VA      23462       (757) 351-3344
 Hilltop                          Tidewater Clippers, LLC          1628 Laskin Rd                  Virginia Beach         VA      23451       (757) 491-1666
 Williamsburg                     LVMY Clips, LLC                  5223 Monticello Ave             Williamsburg           VA      23188       (757) 220-8111
 Midtown Row                      LVMY Clips, LLC                  202A Monticello Ave             Williamsburg           VA      23185       (757) 920-5707
 Lightfoot Marketplace            Medusa Enterprises, Inc.         6493 Centerville Rd             Williamsburg           VA      23188       (757) 233-2657
 Winchester Gateway               DGLT Incorporated                370 Gateway Dr                  Winchester             VA      22603       (540) 922-1121
 Stonewall Plaza                  DGLT Incorporated                170 Rivendell Ct                Winchester             VA      22603       (540) 723-8726
 Nelson's Grant                   Bay Clips, Inc.                  409 Carrington Ln               Yorktown               VA      23692       (757) 243-8419
 Kiln Creek                       Bay Clips, Inc.                  5007 Victory Blvd               Yorktown               VA      23693       (757) 369-8002
 Mountain View                    Brandeavor, LLC                  18 Lower Mountain View Dr       Colchester             VT      5446        (802) 489-5373
 Hannaford on Shelburne           Brandeavor, LLC                  935 Shelburne Road              South Burlington       VT      5403        (802) 497-2135
 Olympic Gateway Plaza            PNKLINK, Inc.                    1119 East Wishkah St            Aberdeen               WA      98520       (360) 743-5078
 Prairie Creek Village            Great Star, Inc.                 20265 74th Ave NE               Arlington              WA      98223       (360) 435-3805
 Lakeland Town Center             Zahoomi LLC                      1414 Lake Tapps Pkwy E          Auburn                 WA      98092       (253) 833-1607
 Winslow Village                  PNKLINK, Inc.                    275 High School Rd NE           Bainbridge Island      WA      98110       (206) 780-5359
 Mill Creek Town Center           Tambry Ventures Washington LLC   1214 SW Scotton Way             Battle Ground          WA      98604       (360) 723-0036
 Factoria Village                 Kanga, Inc.                      3700 Factoria Blvd SE           Bellevue               WA      98006       (425) 502-8659
 Kelsey Creek                     Kanga, Inc.                      15015 Main St                   Bellevue               WA      98007       (425) 747-2889
 Lincoln Street                   Zahoomi Whatcom LLC              1251 Lincoln St                 Bellingham             WA      98229       (360) 306-8366
 North Bellingham Fred Meyer      Zahoomi Whatcom LLC              1231 W Bakerview Rd             Bellingham             WA      98226       (360) 752-0911
 Bonney Lake Village              Kanga, Inc.                      21251 SR 410 E                  Bonney Lake            WA      98391       (253) 826-2363
 Canyon Park Place                Deltennium Clips, LLC            22833 Bothell Everett Hwy       Bothell                WA      98021       (425) 485-2228
 Bremerton Fred Meyer             PNKLINK, Inc.                    5050 State Highway 303 NE       Bremerton              WA      98311       (360) 478-0958
 Cross Court Center               Zahoomi Whatcom LLC              191 Cascade Mall Dr             Burlington             WA      98233       (360) 757-2916
 Riverstone Marketplace           Tambry Ventures Washington LLC   19215 SE 34th St                Camas                  WA      98607       (360) 253-5484
 Centralia Center                 Tambry Ventures Washington LLC   1114 View Ave                   Centralia              WA      98531       (360) 736-1230
 Twin City Town Center            Tambry Ventures Washington LLC   1640 Louisiana Ave NW           Chehalis               WA      98532       (360) 748-6425
 Cheney Plaza                     Red Hill, Inc.                   2682 1st St                     Cheney                 WA      99004       (509) 559-5505
 Bridge Street Plaza              Zahoomi Inland LLC               303 Bridge St                   Clarkston              WA      99403       (509) 758-5556
 Covington Safeway                Aplus Clips, LLC                 16783 SE 272nd St               Covington              WA      98042       (253) 639-4690
 Covington Fred Meyer             Aplus Clips, LLC                 16729 SE 272nd Street           Covington              WA      98042       (253) 480-9054
 Redondo Square                   Zahoomi Pierce LLC               27047 Pacific Hwy S             Des Moines             WA      98198       (253) 529-8733
 Duvall Town Center               R Rock Marketing, Inc.           15420 Main Street               Duvall                 WA      98019       (425) 844-9571
 Edmonds                          R Rock Marketing, Inc.           22808 100th Ave W               Edmonds                WA      98020       (425) 775-4246
 South Point Plaza                Fullpassport, LLC                10121 Evergreen Way             Everett                WA      98204       (425) 348-5950
 Millenium Center                 Lukasz Jachec                    1519 132nd St SE                Everett                WA      98208       (425) 948-6748




       GREAT CLIPS®                                                                53 of 56                             EXHIBIT A - CURRENT FRANCHISEES
       FRANCHISE DISCLOSURE DOCUMENT 2025                                                                                                   OPEN SALONS

