                                                                 GREAT CLIPS® FRANCHISEES
                                                             OPEN SALONS AS OF DECEMBER 31, 2024
                                                                      *DENOTES MDA


Salon Name                       Franchisee                       Address                              City                 State   Zip         Phone
Silver Firs                      PNKLINK, Inc.                    5714 134th Place SE                  Everett              WA      98208       (425) 948-6691
Hoyt Road                        PNKLINK, Inc.                    34024 Hoyt Rd SW                     Federal Way          WA      98023       (253) 927-8600
Pavilion Centre                  PNKLINK, Inc.                    31519 Pacific Hwy S                  Federal Way          WA      98003       (253) 946-8705
Ferndale Station                 Zahoomi Whatcom LLC              1863 Main St                         Ferndale             WA      98248       (360) 384-8061
Point Fosdick Square             PNKLINK, Inc.                    4901 Point Fosdick Dr NW             Gig Harbor           WA      98335       (253) 853-1618
Gig Harbor Retail                PNKLINK, Inc.                    11430 51st Ave NW                    Gig Harbor           WA      98332       (253) 853-3338
Graham Square                    PNKLINK, Inc.                    10129 224th St E                     Graham               WA      98338       (253) 847-8392
Grand Ridge Plaza                R Rock Marketing, Inc.           1567 Highlands Dr                    Issaquah             WA      98029       (425) 394-4170
Klahanie Village                 Zahoomi LLC                      4578 Klahanie Dr SE                  Issaquah             WA      98029       (425) 427-9239
Kenmore                          Zahoomi LLC                      6850 NE Bothell Way                  Kenmore              WA      98028       (425) 482-6177
Clearwater Avenue Center         Decck, Inc.                      4711 W Clearwater Ave                Kennewick            WA      99336       (509) 735-3335
Canyon Center                    Decck, Inc.                      3911 W 27th Ave                      Kennewick            WA      99337       (509) 582-4937
Marketplace at Lake Meridian     Zahoomi LLC                      12962 SE Kent Kangley Road           Kent                 WA      98030       (253) 236-4001
Juanita Firs                     Kanga, Inc.                      10046 NE 137th St                    Kirkland             WA      98034       (425) 820-7073
Market Square Shopping Center    Kanga, Inc.                      720 Sleater Kinney Rd SE             Lacey                WA      98503       (360) 491-1661
Summerwalk Village               PNKLINK, Inc.                    5128 Yelm Hwy SE                     Lacey                WA      98503       (360) 456-2472
Hawk's Prairie                   PNKLINK, Inc.                    1350 Marvin Rd NE                    Lacey                WA      98516       (360) 923-1171
Frontier Village                 JJ Star, Inc.                    721 State Route 9 NE                 Lake Stevens         WA      98258       (425) 377-2885
Lakewood Towne Center            Cuts Unlimited Inc.              5720 Lakewood Towne Center Blvd SW Lakewood               WA      98499       (253) 589-2887
In Store Walmart Lakewood        Kanga, Inc.                      7001 Bridgeport Way W                Lakewood             WA      98499       (253) 584-9144
Liberty Lake                     Red Hill, Inc.                   1312 N Liberty Lake Rd               Liberty Lake         WA      99019       (509) 921-6677
Longview Fred Meyer              Tambry Ventures Washington LLC   3184 Ocean Beach Hwy                 Longview             WA      98632       (360) 575-8200
Triangle Mall                    Tambry Ventures Washington LLC   1015 Ocean Beach Hwy                 Longview             WA      98632       (360) 423-2099
Lynden Towne Plaza               Maluli, Inc.                     8144 Guide Meridian                  Lynden               WA      98264       (360) 318-1336
Northpointe Retail Center        PNKLINK, Inc.                    2902 164th St SW                     Lynnwood             WA      98087       (425) 743-5500
Lynnwood Crossing                R Rock Marketing, Inc.           6208 196th St SW                     Lynnwood             WA      98036       (425) 744-0824
Maple Valley                     Aplus Clips, LLC                 26520 Maple Valley Black Diamond Rd SE
                                                                                                       Maple Valley         WA      98038       (425) 432-6688
Gateway Center                   Kanga, Inc.                      3943 116th St NE                     Marysville           WA      98270       (360) 691-9384
Plaza at Marysville              PNKLINK, Inc.                    1262 State Ave                       Marysville           WA      98270       (360) 572-0366
Island Square                    Kanga, Inc.                      7808 SE 28th St                      Mercer Island        WA      98040       (206) 232-5650
Milton                           Zahoomi Pierce LLC               900 Meridian Ave E                   Milton               WA      98354       (253) 392-2251
Fred Meyer Monroe                Aplus Clips, LLC                 18817 US 2                           Monroe               WA      98272       (360) 863-3629
Penn Plaza                       Zahoomi Inland LLC               1035 N Stratford Rd                  Moses Lake           WA      98837       (509) 764-9100
College Way Station              Kanga, Inc.                      324 E College Way                    Mount Vernon         WA      98273       (360) 848-7670
Harbour Pointe Shopping Center   Zahoomi LLC                      11700 Mukilteo Speedway              Mukilteo             WA      98275       (425) 512-9651
Coal Creek Village               R Rock Marketing, Inc.           6971 Coal Creek Pkwy SE              Newcastle            WA      98059       (425) 644-0967
Island Plaza                     Zahoomi Whatcom LLC              31595 State Route 20                 Oak Harbor           WA      98277       (360) 675-8900
Walmart Center                   Decck, Inc.                      5024 N Rd 68                         Pasco                WA      99301       (509) 792-1600
Sedgwick Road                    PNKLINK, Inc.                    1900 SE Sedgwick Rd                  Port Orchard         WA      98366       (360) 895-7904
College Marketplace Poulsbo      PNKLINK, Inc.                    21505 Market Pl NW                   Poulsbo              WA      98370       (360) 930-8649
Bishop Boulevard                 Zahoomi Inland LLC               690 SE Bishop Blvd                   Pullman              WA      99163       (509) 334-5555
Canyon Crossing                  PNKLINK, Inc.                    5614 176th St E                      Puyallup             WA      98375       (253) 271-0396
Meridian Town Center             PNKLINK, Inc.                    13414 Meridian E                     Puyallup             WA      98373       (253) 770-7116
River Road                       PNKLINK, Inc.                    1002 N Meridian                      Puyallup             WA      98371       (253) 770-6665
Canyon Road Retail               PNKLINK, Inc.                    11601 Canyon Rd E                    Puyallup             WA      98373       (253) 539-1929
Redmond Ridge                    Aplus Clips, LLC                 23515 NE Novelty Hill Rd             Redmond              WA      98053       (425) 868-8182
Creekside Crossing               Deltennium Clips, LLC            17181 Redmond Way                    Redmond              WA      98052       (425) 861-9394
Bridle Trails                    R Rock Marketing, Inc.           13200 Old Redmond Rd                 Redmond              WA      98052       (425) 883-6486
Overlake Fashion Plaza           Zahoomi LLC                      2032 148th Ave NE                    Redmond              WA      98052       (425) 957-0562
Fairwood Square                  PNKLINK, Inc.                    17650 140th Ave SE                   Renton               WA      98058       (425) 277-0333
Renton Fred Meyer                Zahoomi LLC                      365 Renton Center Way SW             Renton               WA      98057       (425) 272-0009
Safeway Center                   Decck, Inc.                      1823 Leslie Rd                       Richland             WA      99352       (509) 628-9276
Vinter Square Center             Decck, Inc.                      2659 Queensgate Dr                   Richland             WA      99352       (509) 627-0777
Pine Lake                        Zahoomi LLC                      3052 Issaquah-Pine Lake Rd SE        Sammamish            WA      98075       (425) 427-0068
Inglewood Plaza                  Zahoomi LLC                      715 228th Ave NE                     Sammamish            WA      98074       (425) 677-8071
Queen Anne                       Aplus Clips, LLC                 21 W Mercer St                       Seattle              WA      98119       (206) 216-1956
Greenwood Towers                 R Rock Marketing, Inc.           8551 Greenwood Ave N                 Seattle              WA      98103       (206) 297-7733
University                       Zahoomi Seattle, LLC             5401 25th Ave NE                     Seattle              WA      98105       (206) 525-0725
Safeway Center                   PNKLINK, Inc.                    680 W Washington St                  Sequim               WA      98382       (360) 681-8767
The Poplars                      PNKLINK, Inc.                    9853 Silverdale Way NW               Silverdale           WA      98383       (360) 692-4948
Snohomish Station                Great Star, Inc.                 2621 Bickford Ave                    Snohomish            WA      98290       (360) 568-5904
Snoqualmie Ridge                 Kanga, Inc.                      7714 Center Blvd SE                  Snoqualmie           WA      98065       (425) 831-3141
Bethel Station                   PNKLINK, Inc.                    22225 Mountain Hwy E                 Spanaway             WA      98387       (253) 846-5374
Mission and Ruby                 Red Hill, Inc.                   105 E Mission Ave                    Spokane              WA      99202       (509) 328-0663
Shadle Center                    Red Hill, Inc.                   2401 W Wellesley Ave                 Spokane              WA      99205       (509) 328-0331
Northpointe Plaza                Red Hill, Inc.                   9988 N Newport Hwy                   Spokane              WA      99218       (509) 466-8379
Valley Plaza                     Red Hill, Inc.                   13222 E Sprague Ave                  Spokane              WA      99216       (509) 921-1563
Crosspointe Plaza                Red Hill, Inc.                   10408 W SR2                          Spokane              WA      99224       (509) 747-2196
57th & Regal                     Red Hill, Inc.                   3022 E 57th Avenue                   Spokane              WA      99223       (509) 443-8850
Five Mile Plaza                  Red Hill, Inc.                   1816 W Francis Ave                   Spokane              WA      99205       (509) 324-8908
South Hill Safeway               Red Hill, Inc.                   2525 East 29th Avenue                Spokane              WA      99223       (509) 315-5457
Trent and Argonne Center         Red Hill, Inc.                   8901 E Trent Ave                     Spokane Valley       WA      99212       (509) 892-1410
