                                                                     GREAT CLIPS® FRANCHISEES
                                                                 OPEN SALONS AS OF DECEMBER 31, 2024
                                                                          *DENOTES MDA


Salon Name                      Franchisee                            Address                      City                  State   Zip         Phone
 Andresen Market Place          Deltennium Clips, LLC                 6715 NE 63rd St              Vancouver             WA      98661       (360) 694-1823
 Salmon Center                  Deltennium Clips, LLC                 14300 NE 20th Ave            Vancouver             WA      98686       (360) 546-2535
 Hazel Dell                     Deltennium Clips, LLC                 7720 NE Highway 99           Vancouver             WA      98665       (360) 696-1979
 Evergreen Crossing             Tambry Ventures Washington LLC        14405 NE Fourth Plain Blvd   Vancouver             WA      98682       (360) 253-3002
 Columbia Tech                  Tambry Ventures Washington LLC        322 SE 192nd Ave             Vancouver             WA      98683       (360) 896-0157
 Mill Plain Plaza               Tambry Ventures Washington LLC        221A NE 104th Ave            Vancouver             WA      98664       (360) 896-2099
 Plaza Center                   Decck, Inc.                           1423 Plaza Way               Walla Walla           WA      99362       (509) 522-5460
 Valley North Center            Decck, Inc.                           1304 N Miller St             Wenatchee             WA      98801       (509) 886-7400
 Admiral Safeway                Zahoomi Seattle, LLC                  2620 California Ave SW       West Seattle          WA      98116       (206) 701-9870
 Downtown Woodinville           Zahoomi LLC                           13620 NE 175th St            Woodinville           WA      98072       (425) 398-1271
 Walmart-Nob Hill               Zahoomi Yakima LLC                    6530 W Nob Hill Rd           Yakima                WA      98908       (509) 902-8214
 Yelm Safeway                   Kanga, Inc.                           1201 E Yelm Ave              Yelm                  WA      98597       (360) 458-1600
 River Prairie                  Superior-Clearwater, Inc.             3063 Meadowlark Ln           Altoona               WI      54720       (715) 833-1499
 Calumet Center                 Shrayom, LLC                          3525 E Calumet St            Appleton              WI      54915       (920) 882-5444
 Meijer Grand Chute             Shrayom, LLC                          3801 N Richmond St           Appleton              WI      54913       (920) 666-0180
 Beaver Dam                     Shorty's, Inc.                        100 Frances Ln               Beaver Dam            WI      53916       (920) 356-9310
 Bellevue Commons               Shrayom, LLC                          2360 Costco Way              Bellevue              WI      54311       (920) 965-6272
 Starbucks Center               CHI-TEX, Inc.                         2600 Branigan Rd             Beloit                WI      53511       (608) 362-6220
 Shoppers World of Brookfield   DHM Enterprises, LLC                  12455 W Capitol Dr           Brookfield            WI      53005       (262) 754-4888
 Burlington                     Saylaco, Inc.                         1448 S Teut Rd               Burlington            WI      53105       (262) 661-4440
 West De Pere                   Shrayom, LLC                          1301 Lawrence Dr             De Pere               WI      54115       (920) 338-8300
 Delavan Crossings              JDF, Inc.                             1823 E Geneva St             Delavan               WI      53115       (262) 740-1111
 Clairemont Avenue              Superior-Clearwater, Inc.             915 W Clairemont Ave         Eau Claire            WI      54701       (715) 833-7177
 South Pointe Shopping Center   Superior-Clearwater, Inc.             2919 Mall Dr                 Eau Claire            WI      54701       (715) 833-3525
 Elkhorn                        DHM Enterprises, LLC                  58 Market St                 Elkhorn               WI      53121       (262) 379-1488
 Orchard Pointe                 J.P. Madson, Inc.                     6309 McKee Rd                Fitchburg             WI      53711       (608) 288-9155
 Fond du Lac                    PAPAGIORGIO, LLC                      731 W Johnson St             Fond du Lac           WI      54935       (920) 266-8285
 Fort Atkinson                  Shorty's, Inc.                        1511 Madison Ave             Fort Atkinson         WI      53538       (920) 563-2300
 River Point Village            PAPAGIORGIO, LLC                      8689 N Port Washington Rd    Fox Point             WI      53217       (414) 973-0055
 South 27th Street              JW Clips Inc.                         6535 S 27th St               Franklin              WI      53132       (414) 761-0100
 Franklin Plaza                 JW Clips Inc.                         7237 S 76th St               Franklin              WI      53132       (414) 427-8058
 Sendik's Village Centre        Saylaco, Inc.                         N112W15800 Mequon Rd         Germantown            WI      53022       (262) 255-7010
 Schmit's Pavilion Grafton      JDF, Inc.                             1223 Port Washington Rd      Grafton               WI      53024       (262) 387-0422
 Coldspring                     Top Spin Ventures Limited             4289 S 76th St               Greenfield            WI      53220       (414) 546-9000
 In Store Meijer Greenfield     Top Spin Ventures Limited             5830 W Layton Ave            Greenfield            WI      53220       (414) 585-9123
 Hales Corners                  Saylaco, Inc.                         5301 S 108th St              Hales Corners         WI      53130       (414) 425-6170
 The Shoppes at Hartford        Shorty's, Inc.                        45 Liberty Ave               Hartford              WI      53027       (262) 397-8850
 Village Square                 JDF, Inc.                             3146 Village Square Dr       Hartland              WI      53029       (262) 367-2120
 The Shoppes at Hale Drive      Roch-N-Roll, Inc.                     129 Hale Dr                  Holmen                WI      54636       (608) 898-0325
 Meijer Howard                  Shrayom, LLC                          2015 Shawano Ave             Howard                WI      54313       (920) 965-6276
 Hudson                         W. Peyton Co.                         2312 Crestview Dr            Hudson                WI      54016       (715) 386-1996
 Janesville Junction            J.P. Madson, Inc.                     2027 Humes Rd                Janesville            WI      53545       (608) 754-2922
 Southport Plaza                DHM Enterprises, LLC                  7260 Green Bay Rd            Kenosha               WI      53142       (262) 942-1161
 Glenwood Crossing              DHM Enterprises, LLC                  2723 18th St                 Kenosha               WI      53140       (262) 597-9999
 Windsor Point                  DHM Enterprises, LLC                  7224 118th Ave               Kenosha               WI      53142       (262) 891-3135
 Deer Trace Plaza               DHM Enterprises, LLC                  4109 State Hwy 28            Kohler                WI      53044       (920) 457-9000
 The Village                    Roch-N-Roll, Inc.                     1631 Losey Blvd S            La Crosse             WI      54601       (608) 788-6868
 Lake Geneva Commons            L.A.C.E., Inc.                        654 N Edwards Blvd           Lake Geneva           WI      53147       (262) 248-3222
 Lake Hallie                    Superior-Clearwater, Inc.             2975 Commercial Blvd         Lake Hallie           WI      54729       (715) 726-0366
 Grandview Commons              J.P. Madson, Inc.                     6034 Gemini Dr               Madison               WI      53718       (608) 441-9838
 University Station             Midale, LLC                           2860 University Avenue       Madison               WI      53705       (608) 233-7067
 Harbor Town Center             Shrayom, LLC                          4140 Harbor Town Ln          Manitowoc             WI      54220       (920) 482-0506
* Dunham's Shopping Center      Superior-Clearwater, Inc.             1901 N Central Ave           Marshfield            WI      54449       (715) 221-0204
 Menasha                        Shrayom, LLC                          1490 Oneida St               Menasha               WI      54952       (920) 944-3601
 Crossroads                     Saylaco, Inc.                         W186 N9509 Bancroft Dr       Menomonee Falls       WI      53051       (262) 250-0848
 Broadway Plaza                 W. Peyton Co.                         1400 N Broadway St           Menomonie             WI      54751       (715) 309-4500
 Mequon at Pavillion            Saylaco, Inc.                         10992 N Port Washington Rd   Mequon                WI      53092       (262) 241-1195
 Avenir                         DHM Enterprises, LLC                  1429 N Jefferson St          Milwaukee             WI      53202       (414) 291-8887
 Holt Plaza                     JW Clips Inc.                         260 W Holt Ave               Milwaukee             WI      53207       (414) 481-9500
 Shorewood                      PAPAGIORGIO, LLC                      4164 N Oakland Ave           Milwaukee             WI      53211       (414) 963-9301
 Pier 37                        J.P. Madson, Inc.                     6528 Monona Dr               Monona                WI      53716       (608) 221-8799
 Monroe                         J.P. Madson, Inc.                     118 S 8th St                 Monroe                WI      53566       (608) 325-4175
 Muskego Plaza                  Saylaco, Inc.                         S74W17039 Janesville Rd      Muskego               WI      53150       (414) 422-0988
 Neenah                         Shrayom, LLC                          1167 W Winneconne Ave        Neenah                WI      54956       (920) 967-4648
 Moorland Commons               Saylaco, Inc.                         15440 W Beloit Rd            New Berlin            WI      53151       (262) 782-4555
 New Richmond                   W. Peyton Co.                         1655 Dorset Ln               New Richmond          WI      54017       (715) 246-9888
 Oak Creek Plaza                JW Clips Inc.                         8770 S Howell Ave            Oak Creek             WI      53154       (414) 571-6233
 Oconomowoc                     Shorty's, Inc.                        530 E Wisconsin Ave          Oconomowoc            WI      53066       (262) 569-7780
 The Marketplace                Roch-N-Roll, Inc.                     2928 Market Place            Onalaska              WI      54650       (608) 779-4571
 East Town Plaza                Roch-N-Roll, Inc.                     9382 State Road 16           Onalaska              WI      54650       (608) 783-8066
 Witzel Retail Center           PAPAGIORGIO, LLC                      2075 Witzel Ave              Oshkosh               WI      54904       (920) 233-5200
 Racine                         DHM Enterprises, LLC                  2506 South Green Bay Road    Racine                WI      53406       (262) 664-7168
 Rice Lake                      Rice Lake Clippers, Inc.              2492 S Main St               Rice Lake             WI      54868       (715) 234-5263
 Village Square                 Rice Lake Clippers, Inc.              620 S Main St                Rice Lake             WI      54868       (715) 736-9101
 River Falls Center             W. Peyton Co.                         1680 Commerce Ct             River Falls           WI      54022       (715) 426-9018
 Saint Croix Falls              Stevens Unlimited of St. Paul, Inc.   2071 Glacier Dr              Saint Croix Falls     WI      54024       (715) 483-1030
 St. Francis                    JW Clips Inc.                         2310 E Layton Ave            Saint Francis         WI      53235       (414) 481-9795
 Grant Park Plaza               JW Clips Inc.                         2961 S Chicago Ave           South Milwaukee       WI      53172       (414) 571-6333
* The Shoppes at Point          Superior-Clearwater, Inc.             5423 US Hwy 10 E             Stevens Point         WI      54482       (715) 544-1999
 Kettle Park West               J.P. Madson, Inc.                     2420 State Hwy 138           Stoughton             WI      53589       (608) 205-6442




