                                                                    GREAT CLIPS® FRANCHISEES
                                                                OPEN SALONS AS OF DECEMBER 31, 2024
                                                                         *DENOTES MDA


Salon Name                          Franchisee                     Address                        City                 State   Zip         Phone
 Sturgeon Bay                       Shrayom, LLC                   1429 Egg Harbor Rd             Sturgeon Bay         WI      54235       (920) 965-8301
 Prairie Lakes                      J.P. Madson, Inc.              2804 Prairie Lakes Dr          Sun Prairie          WI      53590       (608) 837-0123
 Colonial Square                    BJStevens Unlimited, LLC       3712 Tower Ave                 Superior             WI      54880       (715) 392-5473
 Waterford Center                   DHM Enterprises, LLC           814 Fox Ln                     Waterford            WI      53185       (262) 332-7888
 Watertown                          Shorty's, Inc.                 1638 S Church St               Watertown            WI      53094       (920) 262-3000
 Panda Starbucks                    JW Clips Inc.                  2730 N Grandview Blvd          Waukesha             WI      53188       (262) 549-3022
 Fox Run                            Shorty's, Inc.                 2140 W Saint Paul Ave          Waukesha             WI      53188       (262) 522-6705
 Village Square                     J.P. Madson, Inc.              241 S Century Ave              Waunakee             WI      53597       (608) 849-4545
* Stewart Avenue                    Superior-Clearwater, Inc.      2205 Stewart Ave               Wausau               WI      54401       (715) 845-4651
 Wauwatosa                          DHM Enterprises, LLC           6650 W State St                Wauwatosa            WI      53213       (414) 475-0800
 Sentry Plaza                       JW Clips Inc.                  10230 W National Ave           West Allis           WI      53227       (414) 543-6698
 West Bend                          JDF, Inc.                      1201 W Paradise Dr             West Bend            WI      53095       (262) 334-9992
 Centennial Marketplace             JW Clips Inc.                  2153 Miller Park Way           West Milwaukee       WI      53219       (414) 645-8500
* Weston                            Superior-Clearwater, Inc.      2410 Schofield Ave             Weston               WI      54476       (715) 298-4200
 Commerce Street                    Midale, LLC                    69 Commerce St                 Wisconsin Dells      WI      53965       (608) 678-2265
* Walmart Center                    Superior-Clearwater, Inc.      4323 8th St S                  Wisconsin Rapids     WI      54494       (715) 421-2300
 Merritt Creek Farm                 Hamilton Enterprises, LLC      3030 Champion Drive            Barboursville        WV      25504       (304) 955-5129
* Shops at MacArthur                Darhaleah, Inc.                125 Dayton St                  Beckley              WV      25801       (304) 223-2000
 Southridge                         Mountainview Cutters, LLC      2822 Mountaineer Blvd          Charleston           WV      25309       (304) 533-4169
* Eastpointe Plaza                  MSA Enterprises, LLC           124 Emily Dr.                  Clarksburg           WV      26301       (304) 624-9847
 Nitro Marketplace                  Hamilton Enterprises, LLC      60 Nitro Marketplace           Cross Lanes          WV      25313       (304) 776-7943
 Hurricane Marketplace              Mountainview Cutters, LLC      270 Progress Way               Hurricane            WV      25526       (304) 562-8288
 Foxcroft Towne Center              DGLT Incorporated              880 Foxcroft Ave               Martinsburg          WV      25401       (304) 504-6656
 Suncrest Town Center               MSA Enterprises, LLC           356 Suncrest Towne Centre Dr   Morgantown           WV      26505       (304) 241-1361
 Granville Square Shops             MSA Enterprises, LLC           525 Granville Square Shops     Morgantown           WV      26501       (304) 241-6100
* North Lafayette Shopping Center   R.L.O., Inc.                   144A Lafayette Ave             Moundsville          WV      26041       (304) 830-0840
* Moundsville Plaza                 R.L.O., Inc.                   1202 Lafayette Ave             Moundsville          WV      26041       (304) 810-4193
* Martin Plaza                      R.L.O., Inc.                   2826B Pike St                  Parkersburg          WV      26101       (304) 489-9090
* The Highlands                     R.L.O., Inc.                   470 Cabela Dr                  Triadelphia          WV      26059       (304) 909-0064
* The PM Center                     R.L.O., Inc.                   107 Grand Central Ave          Vienna               WV      26105       (304) 834-3952
* Three Springs Crossing            R.L.O., Inc.                   243 Three Springs Dr           Weirton              WV      26062       (304) 721-2235
* National Pike Plaza               R.L.O., Inc.                   1000 National Rd               Wheeling             WV      26003       (304) 721-2240
* Studio City                       Susa Services, Ltd.            5040 E 2nd St                  Casper               WY      82609       (307) 265-0474
* Casper Retail Center              Susa Services, Ltd.            4070 Plaza Dr                  Casper               WY      82604       (307) 265-2827
* Vandehei Plaza                    Susa Services, Ltd.            459 Vandehei Ave               Cheyenne             WY      82009       (307) 772-9949
* Dell Range Market Place           Susa Services, Ltd.            3610 Dell Range Blvd           Cheyenne             WY      82009       (307) 632-2701
* Silverado Center                  Headwaters Salons, LLC         1103 E Boxelder Rd             Gillette             WY      82718       (307) 682-4244
 Rock Springs Plaza                 Hutchinson-Hill, LC            1403 Dewar Dr                  Rock Springs         WY      82901       (307) 382-3477
* Parkway Plaza                     Headwaters Salons, LLC         727 E Brundage Ln              Sheridan             WY      82801       (307) 673-4477




       GREAT CLIPS®                                                                  56 of 56                        EXHIBIT A - CURRENT FRANCHISEES
       FRANCHISE DISCLOSURE DOCUMENT 2025                                                                                                OPEN SALONS

