                                                              GREAT CLIPS® FRANCHISEES
                                                   FRANCHISE AGREEMENT SIGNED BUT SALON NOT OPEN
                                                                   *DENOTES MDA


                         Franchisee                              City         State          Zip Code            Phone    Location State
S.E. Paul, Inc.                                           Irvine         CA           92620              (714) 955-3221        CA
Vuppula LLC                                               Irvine         CA           92618              (949) 354-8561        CA
Nilam Patel                                               Irvine         CA           92618              (916) 298-4682        CA
Hermosa Franchise Consulting, Inc./VStyles, Inc.          Laguna Beach   CA           92651              (714) 686-3565        CA
VStyles, Inc.                                             Laguna Beach   CA           92651              (714) 686-3565        CA
VStyles, Inc.                                             Laguna Beach   CA           92651              (714) 686-3565        CA
Great Group, LLC                                          Livermore      CA           94550              (925) 353-8567        CA
Great Group, LLC                                          Livermore      CA           94550              (925) 353-8567        CA
Joseph Rumenapp                                           Loomis         CA           95650              (916) 435-2737        CA
CAMP CLIPS, INC.                                          Merced         CA           95340              (209) 769-2658        CA
KCS Group, Inc/Sirous, Inc.                               Oakland        CA           94619              (510) 531-5555        CA
Peludo, Inc. / Olyaie                                     Oakland        CA           94619              (510) 531-5555        CA
Peludo, Inc. / Olyaie                                     Oakland        CA           94619              (510) 531-5555        CA
Redpoint Salon Services, Inc.                             Palo Alto      CA           94301              (650) 906-4336        CA
RSM Enterprises, Inc.                                     Placerville    CA           95667              (530) 391-0370        CA
RMCM Holdings, LLC                                        Pleasanton     CA           94566              (203) 984-9057        CA
Huda Khan                                                 Riverside      CA           92503              (951) 216-4404        CA
Hoopala, Inc.                                             Sacramento     CA           95835              (916) 747-7122        CA
Hoopala, Inc.                                             Sacramento     CA           95835              (916) 747-7122        CA
Hoopala, Inc.                                             Sacramento     CA           95835              (916) 747-7122        CA
Hoopala, Inc.                                             Sacramento     CA           95835              (916) 747-7122        CA
Hoopala, Inc.                                             Sacramento     CA           95835              (916) 747-7122        CA
Hoopala, Inc.                                             Sacramento     CA           95835              (916) 747-7122        CA
Agarwal/Malomar, Inc.                                     San Diego      CA           92131              (858) 724-1388        CA
Alpha Clips LLC                                           San Diego      CA           92130              (703) 798-0930        CA
Mad Ant Investments LLC                                   San Diego      CA           92108              (757) 880-1337        CA
Buena Vista Business Services, LP                         San Jose       CA           95125              (908) 452-9002        CA
Buena Vista Business Services, LP                         San Jose       CA           95125              (908) 452-9002        CA
Buena Vista Business Services, LP                         San Jose       CA           95125              (908) 452-9002        CA
Buena Vista Business Services, LP                         San Jose       CA           95125              (908) 452-9002        CA
Central Coast CC8551 LLC                                  San Jose       CA           95160              (408) 203-7667        CA
Central Coast CC8551 LLC                                  San Jose       CA           95160              (408) 203-7667        CA
Monterey Bay MB8281 LLC                                   San Jose       CA           95160              (408) 203-7667        CA
Peninsula PE8071 LLC                                      San Jose       CA           95160              (408) 203-7667        CA
THETRANSALONS LLC                                         San Jose       CA           95127              (408) 906-9611        CA
Navish Inc                                                San Marcos     CA           92078              (708) 669-6655        CA
Jotstick, Inc.                                            Santa Clara    CA           95051-2103         (408) 247-8364        CA
Jotstick, Inc.                                            Santa Clara    CA           95051-2103         (408) 247-8364        CA
Jotstick, Inc.                                            Santa Clara    CA           95051-2103         (408) 247-8364        CA
Jotstick, Inc.                                            Santa Clara    CA           95051-2103         (408) 247-8364        CA
Kesson Company, Inc./Withers                              Santa Rosa     CA           95401-5507         (707) 526-7300        CA
Kesson Company, Inc./Withers                              Santa Rosa     CA           95401-5507         (707) 526-7300        CA
Ramgopal Pakanati                                         Simi Valley    CA           93063              (805) 404-9481        CA
MB Holding, Inc.                                          Temecula       CA           92591              (951) 775-4883        CA
MB Holding, Inc.                                          Temecula       CA           92591              (951) 775-4883        CA
MB Holding, Inc.                                          Temecula       CA           92591              (951) 775-4883        CA
Mrunal Deshmukh                                           Torrance       CA           90505              (248) 982-2245        CA
Divine Kuts Inc.                                          Vallejo        CA           94589              (831) 970-8634        CA
Divine Kuts Inc.                                          Vallejo        CA           94589              (831) 970-8634        CA
Coastal Business Enterprises, Inc.                        Ventura        CA           93003              (805) 340-4968        CA
Provost Management LLC                                    Ventura        CA           93003              (323) 719-3602        CA
Ridgewood Enterprises, Inc.                               Woodbridge     CA           95258              (209) 402-6447        CA
Ridgewood Enterprises, Inc.                               Woodbridge     CA           95258              (209) 402-6447        CA
Holtzman Enterprises, Inc.                                Aspen          CO           81611              (303) 884-9343        CO
Holtzman Enterprises, Inc.                                Aspen          CO           81611              (303) 884-9343        CO
Holtzman Enterprises, Inc.                                Aspen          CO           81611              (303) 884-9343        CO
Holtzman Enterprises, Inc.                                Aspen          CO           81611              (303) 884-9343        CO
Holtzman Enterprises, Inc.                                Aspen          CO           81611              (303) 884-9343        CO
Holtzman Enterprises, Inc.                                Aspen          CO           81611              (303) 884-9343        CO
Holtzman Enterprises, Inc.                                Aspen          CO           81611              (303) 884-9343        CO
Up Corporation/Holtzman Enterprises, Inc.                 Aspen          CO           81611              (303) 884-9343        CO
United Salons LLC                                         Aurora         CO           80015              (720) 998-7837        CO
Peak 9 Enterprises, Inc.                                  Denver         CO           80209              (303) 550-1813        CO
Whobubs, Inc.                                             Denver         CO           80210              (303) 871-0532        CO
Aldie, LLC                                                Fort Collins   CO           80525              (925) 989-6422        CO
Aldie, LLC                                                Fort Collins   CO           80525              (925) 989-6422        CO




      GREAT CLIPS®                                                       2 of 15                   EXHIBIT A - CURRENT FRANCHISEES
      FRANCHISE DISCLOSURE DOCUMENT 2025                                                           AGREEMENT SIGNED BUT NOT OPEN

