                                                         GREAT CLIPS® FRANCHISEES
                                              FRANCHISE AGREEMENT SIGNED BUT SALON NOT OPEN
                                                              *DENOTES MDA


                         Franchisee                         City             State          Zip Code            Phone    Location State
Tabor Clips, Inc.                                    Roswell            GA           30075              (404) 314-7899        GA
Tabor Clips, Inc.                                    Roswell            GA           30075              (404) 314-7899        GA
Tabor Clips, Inc.                                    Roswell            GA           30075              (404) 314-7899        GA
Corbets Company of Georgia                           Woodstock          GA           30189              (678) 494-5827        GA
Corbets Company of Georgia                           Woodstock          GA           30189              (678) 494-5827        GA
Corbets Company of Georgia                           Woodstock          GA           30189              (678) 494-5827        GA
Corbets Company of Georgia                           Woodstock          GA           30189              (678) 494-5827        GA
Corbets Company of Georgia                           Woodstock          GA           30189              (678) 494-5827        GA
Corbets Company of Georgia                           Woodstock          GA           30189              (678) 494-5827        GA
Ohana Clips, LLC                                     Hauula             HI           96717              (808) 428-1362         HI
This Is It, Inc.                                     Polk City          IA           50226              (515) 480-4878         IA
This Is It, Inc.                                     Polk City          IA           50226              (515) 480-4878         IA
This Is It, Inc.                                     Polk City          IA           50226              (515) 480-4878         IA
Roch-N-Roll, Inc.                                    Sparta             WI           54656              (608) 386-2230         IA
Roch-N-Roll, Inc.                                    Sparta             WI           54656              (608) 386-2230         IA
A Little On The Side, LLC                            Waukee             IA           50263              (515) 556-4367         IA
*TriState Salons, LLC                                Clancy             MT           59634              (406) 202-0094        ID
Treasure Valley Salons, LLC                          Clancy             MT           59634              (406) 202-0094        ID
Treasure Valley Salons, LLC                          Clancy             MT           59634              (406) 202-0094        ID
Idaho Franchise Partners, LLC                        Idaho Falls        ID           83401              (208) 716-5054        ID
Idaho Franchise Partners, LLC                        Idaho Falls        ID           83401              (208) 716-5054        ID
Idaho Franchise Partners, LLC                        Idaho Falls        ID           83401              (208) 716-5054        ID
Riverside Capital PLLC                               Barrington         IL           60010              (331) 210-2101         IL
Riverside Capital PLLC                               Barrington         IL           60010              (331) 210-2101         IL
Riverside Capital PLLC                               Barrington         IL           60010              (331) 210-2101         IL
BM KRYCKI, LLC                                       Chesterton         IN           46304              (219) 644-8996         IL
Alpine Cuts, Inc.                                    Chicago            IL           60612              (312) 804-3192         IL
Parsan, LLC                                          Chicago            IL           60605              (815) 405-6860         IL
PND Enterprises, Inc./NMS Investments, Inc.          Glenview           IL           60026              (847) 612-9597         IL
L.A.C.E., Inc.                                       Lake Zurich        IL           60047              (312) 816-1237         IL
L.A.C.E., Inc.                                       Lake Zurich        IL           60047              (312) 816-1237         IL
Red Sky At Night, Inc.                               Lake Zurich        IL           60047              (641) 512-4403         IL
Red Sky At Night, Inc.                               Lake Zurich        IL           60047              (641) 512-4403         IL
Deva Ashtavinayak, Inc.                              Lyons              IL           60534              (708) 609-1475         IL
BrynCorp Concepts, Ltd.                              Miami Beach        FL           33154              (305) 965-9004         IL
BrynCorp Concepts, Ltd.                              Miami Beach        FL           33154              (305) 965-9004         IL
AdvantEdge Clips, Inc/PRJ Enterprises, Inc           Naperville         IL           60540              (630) 222-1248         IL
Foulkes/The Richard Lynn Company                     Naperville         IL           60540-9307         (630) 240-3526         IL
Hanumanji, Inc.                                      Naperville         IL           60564              (630) 276-9703         IL
The Richard Lynn Company                             Naperville         IL           60540-9307         (630) 240-3526         IL
CMC Service of Chicago 1 LLC                         South Barrington   IL           60010              (630) 917-0827         IL
CMC Service of Chicago 1 LLC                         South Barrington   IL           60010              (630) 917-0827         IL
C Clips Corporation                                  Carmel             IN           46033              (317) 441-6108        IN
C Clips Corporation                                  Carmel             IN           46033              (317) 441-6108        IN
C Clips Corporation                                  Carmel             IN           46033              (317) 441-6108        IN
FK3, LLC                                             Carmel             IN           46033              (612) 865-3365        IN
FK3, LLC                                             Carmel             IN           46033              (612) 865-3365        IN
FK3, LLC                                             Carmel             IN           46033              (612) 865-3365        IN
FK3, LLC                                             Carmel             IN           46033              (612) 865-3365        IN
FK3, LLC                                             Carmel             IN           46033              (612) 865-3365        IN
*CHALEXBEE CUTS, LLC                                 Evansville         IN           47725              812-573-7138          IN
Alternative Dimensions, Inc.                         Noblesville        IN           46062              (317) 439-0576        IN
Alternative Dimensions, Inc.                         Noblesville        IN           46062              (317) 439-0576        IN
Alternative Dimensions, Inc.                         Noblesville        IN           46062              (317) 439-0576        IN
BLOWN AWAY BY U LLC                                  Plainfield         IN           46168              (317) 656-7967        IN
BLOWN AWAY BY U LLC                                  Plainfield         IN           46168              (317) 656-7967        IN
Future Keys II, LLC                                  Poland             IN           47868              (317) 997-9510        IN
Shear Energy, Inc.                                   Andale             KS           67001              (316) 706-5090        KS
Shear Energy, Inc.                                   Andale             KS           67001              (316) 706-5090        KS
FK3, LLC                                             Carmel             IN           46033              (612) 865-3365        KY
FK3, LLC                                             Carmel             IN           46033              (612) 865-3365        KY
LLD, Inc.                                            Crestwood          KY           40014              (502) 222-8977        KY
LLD, Inc.                                            Crestwood          KY           40014              (502) 222-8977        KY
H.H. Holdings Corp.                                  Danville           KY           40423              (859) 319-8829        KY
SUBRA, LLC                                           Jeffersonville     IN           47130              (812) 989-2919        KY
*McRocket, LLC                                       Knoxville          TN           37934              (865) 804-3136        KY




      GREAT CLIPS®                                                      5 of 15                   EXHIBIT A - CURRENT FRANCHISEES
      FRANCHISE DISCLOSURE DOCUMENT 2025                                                          AGREEMENT SIGNED BUT NOT OPEN

