                                                          GREAT CLIPS® FRANCHISEES
                                               FRANCHISE AGREEMENT SIGNED BUT SALON NOT OPEN
                                                               *DENOTES MDA


                         Franchisee                            City            State           Zip Code            Phone       Location State
AMJAY Corp.                                             West Chester      OH           45069               (513) 509-1480           MI
AMJAY Corp.                                             West Chester      OH           45069               (513) 509-1480           MI
AMJAY Corp.                                             West Chester      OH           45069               (513) 509-1480           MI
AMJAY Corp.                                             West Chester      OH           45069               (513) 509-1480           MI
AMJAY Corp.                                             West Chester      OH           45069               (513) 509-1480           MI
AMJAY Corp.                                             West Chester      OH           45069               (513) 509-1480           MI
Snip, Inc.                                              Chanhassen        MN           55317               (952) 239-6751           MN
W. Peyton Co.                                           Edina             MN           55436               (612) 723-0467           MN
W. Peyton Co.                                           Edina             MN           55436               (612) 723-0467           MN
RAS Corporation                                         Long Lake         MN           55356               (952) 270-1484           MN
RAS Corporation                                         Long Lake         MN           55356               (952) 270-1484           MN
RAS Corporation                                         Long Lake         MN           55356               (952) 270-1484           MN
Stevens Unlimited of St. Paul, Inc.                     Mendota Heights   MN           55118               (612) 210-9427           MN
Stevens Unlimited of St. Paul, Inc.                     Mendota Heights   MN           55118               (612) 210-9427           MN
Stevens Unlimited of St. Paul, Inc.                     Mendota Heights   MN           55118               (612) 210-9427           MN
Stevens Unlimited of St. Paul, Inc.                     Mendota Heights   MN           55118               (612) 210-9427           MN
Give Me A Break, Inc.                                   Prior Lake        MN           55372               (904) 910-7744           MN
Catch the Wave, Inc.                                    Shakopee          MN           55379               (612) 850-4573           MN
Roch-N-Roll, Inc.                                       Sparta            WI           54656               (608) 386-2230           MN
Newport Clippers, Inc.                                  Watertown         MN           55388               (612) 812-5305           MN
Newport Clippers, Inc.                                  Watertown         MN           55388               (612) 812-5305           MN
Windjammers Corporation                                 Wayzata           MN           55391               (612) 889-8891           MN
Aster Clips LLC                                         Woodbury          MN           55129               (763) 350-0063           MN
Aster Clips LLC                                         Woodbury          MN           55129               (763) 350-0063           MN
Aster Clips LLC                                         Woodbury          MN           55129               (763) 350-0063           MN
Aster Clips LLC                                         Woodbury          MN           55129               (763) 350-0063           MN
Holtzman Enterprises, Inc.                              Aspen             CO           81611               (303) 884-9343           MO
Holtzman Enterprises, Inc.                              Aspen             CO           81611               (303) 884-9343           MO
Holtzman Enterprises, Inc.                              Aspen             CO           81611               (303) 884-9343           MO
MPE, Inc.                                               Belleville        IL           62221               (618) 334-4574           MO
MPE, Inc.                                               Belleville        IL           62221               (618) 334-4574           MO
Devang Thakore                                          Bentonville       AR           72712               (262) 344-3311           MO
Devang Thakore                                          Bentonville       AR           72712               (262) 344-3311           MO
Adlib, Inc.                                             Edina             MN           55439               (612) 799-8389           MO
Adlib, Inc.                                             Edina             MN           55439               (612) 799-8389           MO
Adlib, Inc.                                             Edina             MN           55439               (612) 799-8389           MO
Modern Day Clippers, Inc.                               Ely               IA           52227               (618) 779-3849           MO
The Mane Group, Inc.                                    Kevil             KY           42053               (270) 559-0461           MO
Kansas City Clippers, Inc.                              Loch Lloyd        MO           64012               (913) 271-8585           MO
Kansas City Clippers, Inc.                              Loch Lloyd        MO           64012               (913) 271-8585           MO
Kansas City Clippers, Inc.                              Loch Lloyd        MO           64012               (913) 271-8585           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Carpe Diem, Inc.                                        Olathe            KS           66062               (913) 940-0773           MO
Fangman Enterprises, Inc.                               Overland Park     KS           66213               (913) 638-8607           MO
Fangman Enterprises, Inc.                               Overland Park     KS           66213               (913) 638-8607           MO
IRIS Corporation                                        Overland Park     KS           66221               (913) 617-3225           MO
IRIS Corporation                                        Overland Park     KS           66221               (913) 617-3225           MO
Cardinal Clippers, Inc./Gateway Clippers Holdings LLC   St. Louis         MO           63105               (314) 918-0045 x5        MO
Cardinal Clippers, Inc./Gateway Clippers Holdings LLC   St. Louis         MO           63105               (314) 918-0045 x5        MO
Gateway Clippers Holdings II, LLC                       St. Louis         MO           63105               (314) 918-0045 x5        MO
Gateway Clippers Holdings LLC                           St. Louis         MO           63105               (314) 918-0045 x5        MO
*Conch Republic, LLC                                    Hattiesburg       MS           39402               (601) 433-4129           MS
*Headwaters Salons, LLC                                 Clancy            MT           59634               (406) 202-0094           MT
KA TRIANGLE VENTURES LLC                                Apex              NC           27523               (919) 325-6403           NC
Sawyer Holdings, Inc.                                   Asheboro          NC           27205               (919) 673-8455           NC
Sawyer Holdings, Inc.                                   Asheboro          NC           27205               (919) 673-8455           NC
Sawyer Holdings, Inc.                                   Asheboro          NC           27205               (919) 673-8455           NC
Premier Clips, LLC                                      Cary              NC           27519               (704) 258-5957           NC
Premier Clips, LLC                                      Cary              NC           27519               (704) 258-5957           NC
Premier Clips, LLC                                      Cary              NC           27519               (704) 258-5957           NC




      GREAT CLIPS®                                                        7 of 15                    EXHIBIT A - CURRENT FRANCHISEES
      FRANCHISE DISCLOSURE DOCUMENT 2025                                                             AGREEMENT SIGNED BUT NOT OPEN

