                                                         GREAT CLIPS® FRANCHISEES
                                              FRANCHISE AGREEMENT SIGNED BUT SALON NOT OPEN
                                                              *DENOTES MDA


                         Franchisee                         City           State           Zip Code            Phone    Location State
Radhe Kishan, Inc.                                   Frisco          TX            75035               (214) 404-1543        TX
Radhe Kishan, Inc.                                   Frisco          TX            75035               (214) 404-1543        TX
Radhe Kishan, Inc.                                   Frisco          TX            75035               (214) 404-1543        TX
Radhe Kishan, Inc.                                   Frisco          TX            75035               (214) 404-1543        TX
Radhe Kishan, Inc.                                   Frisco          TX            75035               (214) 404-1543        TX
Radhe Kishan, Inc.                                   Frisco          TX            75035               (214) 404-1543        TX
Radhe Kishan, Inc.                                   Frisco          TX            75035               (214) 404-1543        TX
Synectics, LLC                                       Frisco          TX            75034               (214) 673-5660        TX
Synectics, LLC                                       Frisco          TX            75034               (214) 673-5660        TX
Synectics, LLC                                       Frisco          TX            75034               (214) 673-5660        TX
Todd McCown                                          Frisco          TX            75034               (214) 476-3201        TX
Winnergy, LLC/Kitty Paw, LLC                         Frisco          TX            75034               (214) 476-3201        TX
MegaClips, LLC                                       Granbury        TX            76048               (214) 212-4599        TX
MegaClips, LLC                                       Granbury        TX            76048               (214) 212-4599        TX
Ethereal Holdings LLC                                Houston         TX            77044               (713) 485-9602        TX
Horse Thieving Investments, Inc.                     Houston         TX            77002               (832) 971-3085        TX
Horse Thieving Investments, Inc.                     Houston         TX            77002               (832) 971-3085        TX
PSP Resources, LLC                                   Hurst           TX            76054               (817) 320-4690        TX
PSP Resources, LLC                                   Hurst           TX            76054               (817) 320-4690        TX
*DFW Salons, LLC                                     Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
DFW Salons, LLC                                      Irving          TX            75038               (972) 816-6135        TX
RDM CLIPS LLC                                        Katy            TX            77493               (254) 396-3046        TX
Duc Do                                               Lakeway         TX            78738               (512) 296-1681        TX
Chop It! LLC                                         League City     TX            77573               (501) 247-0392        TX
Chop It! LLC                                         League City     TX            77573               (501) 247-0392        TX
Chop It! LLC                                         League City     TX            77573               (501) 247-0392        TX
Chop It! LLC                                         League City     TX            77573               (501) 247-0392        TX
Chop It! LLC                                         League City     TX            77573               (501) 247-0392        TX
Chop It! LLC                                         League City     TX            77573               (501) 247-0392        TX
A3K Ventures, LLC                                    McKinney        TX            75070               (803) 720-9207        TX
Windward Associates LLC                              Missouri City   TX            77459               (832) 287-9220        TX
Windward Associates LLC                              Missouri City   TX            77459               (832) 287-9220        TX
Windward Associates LLC                              Missouri City   TX            77459               (832) 287-9220        TX
Alamda Ventures, LLC                                 Pearland        TX            77581               (832) 748-0462        TX
Alamda Ventures, LLC                                 Pearland        TX            77581               (832) 748-0462        TX
Alamda Ventures, LLC                                 Pearland        TX            77581               (832) 748-0462        TX
MAZAMS ENTERPRISES LLC                               Pearland        TX            77584               (405) 216-9876        TX
AHA Ventures, LLC                                    Plano           TX            75025               (972) 838-7647        TX
AHA Ventures, LLC                                    Plano           TX            75025               (972) 838-7647        TX
AHA Ventures, LLC                                    Plano           TX            75025               (972) 838-7647        TX
CE Shepler Partners, L.P./AHA Ventures, LLC          Plano           TX            75025               (972) 838-7647        TX
North Hill Star, LLC/R2Y2M Clips, LLC                Plano           TX            75024               (972) 971-8969        TX
Rajiv Saxena                                         Plano           TX            75024               (972) 971-8969        TX
Nick and Sam Clips Inc.                              Richmond        TX            77406               (832) 434-8320        TX
Nick and Sam Clips Inc.                              Richmond        TX            77406               (832) 434-8320        TX
Westend Holdings, Inc.                               Round Rock      TX            78681               (512) 695-9103        TX
Binepal Malhi Joint Ventures LLC                     San Antonio     TX            78249               (210) 843-0264        TX
Binepal Malhi Joint Ventures LLC                     San Antonio     TX            78249               (210) 843-0264        TX
Clip Clip Boom LLC                                   San Antonio     TX            78260               (210) 425-4018        TX
Clip Clip Boom LLC                                   San Antonio     TX            78260               (210) 425-4018        TX
Jet Clips LLC                                        San Antonio     TX            78254               (210) 415-5153        TX
Jet Clips LLC                                        San Antonio     TX            78254               (210) 415-5153        TX
Jet Clips LLC                                        San Antonio     TX            78254               (210) 415-5153        TX




      GREAT CLIPS®                                                   13 of 15                    EXHIBIT A - CURRENT FRANCHISEES
      FRANCHISE DISCLOSURE DOCUMENT 2025                                                         AGREEMENT SIGNED BUT NOT OPEN

