                                                 GREAT CLIPS® FRANCHISEES
                                      FRANCHISE AGREEMENT SIGNED BUT SALON NOT OPEN
                                                      *DENOTES MDA


                         Franchisee                 City              State           Zip Code            Phone         Location State
Jet Clips LLC                                San Antonio        TX            78254               (210) 415-5153             TX
Jet Clips LLC                                San Antonio        TX            78254               (210) 415-5153             TX
Jet Clips LLC                                San Antonio        TX            78254               (210) 415-5153             TX
Jet Clips LLC                                San Antonio        TX            78254               (210) 415-5153             TX
Jet Clips LLC                                San Antonio        TX            78254               (210) 415-5153             TX
Raul Fernandez                               San Antonio        TX            78211               (210) 884-8951             TX
Rockit Shears Inc.                           San Antonio        TX            78255               (707) 330-6330             TX
Rockit Shears Inc.                           San Antonio        TX            78255               (707) 330-6330             TX
Rockit Shears Inc.                           San Antonio        TX            78255               (707) 330-6330             TX
Team Sailing, Inc.                           San Antonio        TX            78015               (210) 391-3987             TX
Team Sailing, Inc.                           San Antonio        TX            78015               (210) 391-3987             TX
Team Sailing, Inc.                           San Antonio        TX            78015               (210) 391-3987             TX
Team Sailing, Inc.                           San Antonio        TX            78015               (210) 391-3987             TX
Team Sailing, Inc.                           San Antonio        TX            78015               (210) 391-3987             TX
OM JN, LLC                                   Spring             TX            77389               (713) 253-1546             TX
Hinan Corporation                            Sugarland          TX            77479               (832) 276-2331             TX
Hinan Corporation                            Sugarland          TX            77479               (832) 276-2331             TX
Hinan Corporation                            Sugarland          TX            77479               (832) 276-2331             TX
Hinan Corporation                            Sugarland          TX            77479               (832) 276-2331             TX
Hinan Corporation                            Sugarland          TX            77479               (832) 276-2331             TX
Hinan Corporation                            Sugarland          TX            77479               (832) 276-2331             TX
Sunset Rock, Inc.                            Sunset Valley      TX            78745               (512) 589-8494             TX
Sunset Rock, Inc.                            Sunset Valley      TX            78745               (512) 589-8494             TX
Sunset Rock, Inc.                            Sunset Valley      TX            78745               (512) 589-8494             TX
Sunset Rock, Inc.                            Sunset Valley      TX            78745               (512) 589-8494             TX
Sunset Rock, Inc.                            Sunset Valley      TX            78745               (512) 589-8494             TX
Sunset Rock, Inc.                            Sunset Valley      TX            78745               (512) 589-8494             TX
Aristoxus, LLC                               Temple             TX            76502               (254) 913-3627             TX
Aristoxus, LLC                               Temple             TX            76502               (254) 913-3627             TX
D&J Worldwide, LLC                           The Woodlands      TX            77381               (281) 380-7126             TX
D&J Worldwide, LLC                           The Woodlands      TX            77381               (281) 380-7126             TX
D&J Worldwide, LLC                           The Woodlands      TX            77381               (281) 380-7126             TX
D&J Worldwide, LLC                           The Woodlands      TX            77381               (281) 380-7126             TX
D&J Worldwide, LLC                           The Woodlands      TX            77381               (281) 380-7126             TX
RK Ajer Ventures, LLC                        Herriman           UT            84096               (801) 550-5747             UT
RK Ajer Ventures, LLC                        Herriman           UT            84096               (801) 550-5747             UT
RK Ajer Ventures, LLC                        Herriman           UT            84096               (801) 550-5747             UT
Sail-On Ventures, LLC                        Park City          UT            84098               (801) 814-1368             UT
Sail-On Ventures, LLC                        Park City          UT            84098               (801) 814-1368             UT
Sail-On Ventures, LLC                        Park City          UT            84098               (801) 814-1368             UT
Jenick, Inc.                                 Salt Lake City     UT            84124               (801) 870-2932             UT
Jenick, Inc.                                 Salt Lake City     UT            84124               (801) 870-2932             UT
Jenick, Inc.                                 Salt Lake City     UT            84124               (801) 870-2932             UT
JNL Ventures, Inc.                           Salt Lake City     UT            84124               (801) 870-2932             UT
JNL Ventures, Inc.                           Salt Lake City     UT            84124               (801) 870-2932             UT
WINNING STYLES LLC                           Chesapeake         VA            23322               (910) 751-3242             VA
WINNING STYLES LLC                           Chesapeake         VA            23322               (910) 751-3242             VA
Clips 4 M and E, Inc.                        Chesterfield       VA            23838               (804) 873-1629             VA
Radia Holdings LLC                           Henrico            VA            23233               (312) 715-8388             VA
Radia Holdings LLC                           Henrico            VA            23233               (312) 715-8388             VA
Southeast Salons, LLC                        Lewisville         NC            27023               (336) 946-0432 X151        VA
Southeast Salons, LLC                        Lewisville         NC            27023               (336) 946-0432 X151        VA
Jesse Johnson Inc.                           Lynchburg          VA            24502               (434) 941-9555             VA
Jesse Johnson Inc.                           Lynchburg          VA            24502               (434) 941-9555             VA
Mountainview Cutters, LLC                    Maineville         OH            45039               (513) 607-1269             VA
Paradocs, Inc.                               Powhatan           VA            23139               (804) 647-3002             VA
*Medusa Too, LLC                             Providence Forge   VA            23140               (804) 874-4490             VA
*Medusa Too, LLC                             Providence Forge   VA            23140               (804) 874-4490             VA
Medusa Enterprises, Inc.                     Providence Forge   VA            23140               (804) 874-4490             VA
Medusa Enterprises, Inc.                     Providence Forge   VA            23140               (804) 874-4490             VA
Medusa Enterprises, Inc.                     Providence Forge   VA            23140               (804) 874-4490             VA
Medusa Enterprises, Inc.                     Providence Forge   VA            23140               (804) 874-4490             VA
Medusa Enterprises, Inc.                     Providence Forge   VA            23140               (804) 874-4490             VA
Medusa Enterprises, Inc.                     Providence Forge   VA            23140               (804) 874-4490             VA
Blue Sky Cuts, LLC                           Roanoke            VA            24018               (540) 525-4643             VA
Christopher Jeffords                         Roanoke            VA            24018               (540) 525-4643             VA




      GREAT CLIPS®                                              14 of 15                    EXHIBIT A - CURRENT FRANCHISEES
      FRANCHISE DISCLOSURE DOCUMENT 2025                                                    AGREEMENT SIGNED BUT NOT OPEN

