                                            GREAT CLIPS® FORMER FRANCHISEES
                 FRANCHISEES WHO LEFT THE SYSTEM DUE TO TERMINATION, NON-RENEWAL, OR CEASED OPERATIONS


Franchisee                              City              State                Phone                    Salon State
Quo Clips, LLC                          Little Rock       AR                   (501) 258-8639               AR
Sonora Services of Colorado, LLC        Gilbert           AZ                   (602) 418-9276               AZ
PDB Holdings, Ltd.                      Kelowna           BC                   (250) 215-9438               BC
CKHD, LLC                               Elk Grove         CA                   (916) 205-8410               CA
Ventura VE8031 LLC                      San Jose          CA                   (408) 203-7667               CA
Navish Inc                              San Marcos        CA                   (708) 669-6655               CA
Omar Suchedina                          San Mateo         CA                   (650) 218-5782               CA
JCURVE-DENVER LLC                       Salt Lake City    UT                   (801) 870-2932               CO
BT GC, LLC                              Mineaola          NY                   (917) 903-4610               CT
Loola Holdings, LLC                     Boca Raton        FL                   (305) 766-6621               FL
Totalee Holdings LLC                    Boca Raton        FL                   (561) 900-6984               FL
Totalee Holdings LLC                    Boca Raton        FL                   (561) 900-6984               FL
Totalee Holdings LLC                    Boca Raton        FL                   (561) 900-6984               FL
FourFold Enterprises, Inc.              Land O' Lakes     FL                   (813) 760-7382               FL
JS Team Holdings, LLC                   Miami             FL                   (305) 978-4343               FL
KJA Holdings LLC                        Miami Beach       FL                   (973) 610-1381               FL
Alabama Clips, LLC                      Miramar Beach     FL                   (205) 601-0120               FL
G5975 GC, LLC                           Tampa             FL                   (813) 758-0273               FL
Cherry BIM Inc.                         White Plains      GA                   (706) 910-4219               GA
Cherry BIM Inc.                         White Plains      GA                   (706) 910-4219               GA
Sharpness Inc.                          Cedar Rapids      IA                   (319) 540-9196               IA
This Is It, Inc.                        Polk City         IA                   (515) 480-4878               IA
BrynCorp Concepts, Ltd.                 Miami Beach       FL                   (305) 965-9004               IL
Modern Day Clippers, Inc.               Ely               IA                   (618) 779-3849               IL
Alpine Cuts, Inc.                       Chicago           IL                   (312) 804-3192               IL
Red Sky At Night, Inc.                  Lake Zurich       IL                   (641) 512-4403               IL
Bengal Renaissance Group, Inc.          Naperville        IL                   (630) 533-1153               IL
PROH Enterprises, Inc.                  Naperville        IL                   (630) 730-8878               IL
The Richard Lynn Company                Naperville        IL                   (630) 240-3526               IL
PRJ Enterprises, Inc.                   Naprville         IL                   (630) 222-1248               IL
The Hands Group, Inc.                   Peoria            IL                   (309) 339-4116               IL
The Hands Group, Inc.                   Peoria            IL                   (309) 339-4116               IL
The Mane Group, Inc.                    Kevil             KY                   (270) 559-0461               IL
C Clips Corporation                     Carmel            IN                   (317) 441-6108               IN
LLD, Inc.                               Crestwood         KY                   (502) 222-8977               IN
Eckert, Inc.                            Loveland          OH                   (513) 678-0511               IN
IRIS Corporation                        Overland Park     KS                   (913) 617-3225               KS
MCD Enterprises 3, LLC                  Beverly Hills     MI                   (248) 990-4160               MI
GC Dearborn Heights, LLC                Troy              MI                   (248) 345-8763               MI
JETTIM, LLC                             Union Lake        MI                   (248) 330-6402               MI
Cian MacSweeney Holdings, LLC           Williamston       MI                   (248) 719-8022               MI
Cian MacSweeney Holdings, LLC           Williamston       MI                   (248) 719-8022               MI
Cian MacSweeney Holdings, LLC           Williamston       MI                   (248) 719-8022               MI
Caycor, Inc.                            Deephaven         MN                   (952) 401-1033               MN
Caycor, Inc.                            Deephaven         MN                   (952) 401-1033               MN
Stevens Unlimited of St. Paul, Inc.     Mendota Heights   MN                   (612) 210-9427               MN
Give Me A Break, Inc.                   Prior Lake        MN                   (904) 910-7744               MN
MPE, Inc.                               Belleville        IL                   (618) 334-4574               MO
Gateway Clippers Holdings LLC           St. Louis         MO                   (314) 918-0045 x5            MO
Headwaters Salons, LLC                  Clancy            MT                   (406) 202-0094               MT
Dixie Clippers, Inc.                    Lawrenceville     GA                   (678) 428-8324               NC
Mascott Industries, Inc.                Clemmons          NC                   (336) 970-1381               NC
Southeast Salons, LLC                   Lewisville        NC                   (336) 946-0432 X151          NC
Triangle Holdings, Inc.                 Raleigh           NC                   (919) 395-4876               NC
Sabana Salons, LLC                      Jaffrey           NH                   (603) 313-1565               NH
HODA Group, LLC                         Pittstown         NJ                   (908) 334-4708               NJ
Folk Design Group, LLC                  Wallingford       PA                   (610) 566-1428               NJ
Kokopelli New Mexico, Inc.              Albuquerque       NM                   (505) 899-9321               NM
Kokopelli New Mexico, Inc.              Albuquerque       NM                   (505) 899-9321               NM
Sukhbir Pannu                           Henderson         NV                   (702) 204-7747               NV
Zeetrio of Ohio, Inc.                   Miami Beach       FL                   (305) 965-9004               OH
Ramsey Rooney & Co.                     Avon Lake         OH                   (440) 933-8364               OH


      GREAT CLIPS®                                        1 of 2                    EXHIBIT B - FORMER FRANCHISEES
      FRANCHISE DISCLOSURE DOCUMENT 2025                           TERMINATION, NON-RENEWAL OR CEASED OPERATIONS

