                                         GREAT CLIPS® FORMER FRANCHISEES
                     FRANCHISEES WHO LEFT THE SYSTEM DUE TO ASSIGNMENT/TRANSFER OF OWNERSHIP
                           *DENOTES AN AGREEMENT THAT WAS SOLD PRIOR TO SALON OPENING


               Franchisee                       City             State            Phone            Salon State
McClips, LLC                          Parlin                    NJ       (908) 510-9838                NJ
McClips, LLC                          Parlin                    NJ       (908) 510-9838                NJ
McClips, LLC                          Parlin                    NJ       (908) 510-9838                NJ
KWIS, LLC                             Albuquerque               NM       (505) 264-0334                NM
KWIS, LLC                             Albuquerque               NM       (505) 264-0334                NM
KWIS, LLC                             Albuquerque               NM       (505) 264-0334                NM
*KWIS, LLC                            Albuquerque               NM       (505) 264-0334                NM
*KWIS, LLC                            Albuquerque               NM       (505) 264-0334                NM
Two Tees Mechanical, Inc.             Los Ranchos               NM       (505)681-4456                 NM
Beetee #2, LLC                        Henderson                 NV       (702) 622-1060                NV
Beetee #2, LLC                        Henderson                 NV       (702) 622-1060                NV
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                NV
EM3, LLC                              East Amherst              NY       (716) 348-0600                NY
JELEA Enterprises, Inc.               Lancaster                 NY       (716) 207-4235                NY
Saylon, Inc.                          Powell                    OH       (614) 323-3426                OH
Flight of the Phoenix, Inc.           Bend                      OR       (541) 410-6954                OR
Flight of the Phoenix, Inc.           Bend                      OR       (541) 410-6954                OR
LRH Associates Incorporated           Bend                      OR       (541) 410-6954                OR
LRH Associates Incorporated           Bend                      OR       (541) 410-6954                OR
*LRH Associates Incorporated          Bend                      OR       (541) 410-6954                OR
CWS, LLC                              Portland                  OR       (503) 449-3916                OR
Diamond State Group, LLC              Hockessin                 DE       (302) 563-3514                PA
Sanskar, LLC                          Pennington                NJ       (609) 558-5018                PA
CAS, Inc.                             Brandon                   SD       (605) 582-6548                SD
CAS, Inc.                             Brandon                   SD       (605) 582-6548                SD
CAS, Inc.                             Brandon                   SD       (605) 582-6548                SD
CAS, Inc.                             Brandon                   SD       (605) 582-6548                SD
CAS, Inc.                             Brandon                   SD       (605) 582-6548                SD
*CAS, Inc.                            Brandon                   SD       (605) 582-6548                SD
Shear Vision, LLC                     Rapid City                SD       (605) 431-9202                SD
Shear Vision, LLC                     Rapid City                SD       (605) 431-9202                SD
Shear Vision, LLC                     Rapid City                SD       (605) 431-9202                SD
JSK Clips, LLC                        Houston                   TX       (254) 541-5774                TX
Kazlon, LLC                           McAllen                   TX       (956) 778-8267                TX
What a Clip, LLC                      San Antonio               TX       (210) 473-0829                TX
What a Clip, LLC                      San Antonio               TX       (210) 473-0829                TX
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
Fifth Avenue Ventures, Inc.           Salt Lake City            UT       (801) 864-3196                UT
C & J Virginia, LLC                   Bon Air                   VA       (804) 323-1464                VA


    GREAT CLIPS®                                       4 of 5                    EXHIBIT B - FORMER FRANCHISEES
    FRANCHISE DISCLOSURE DOCUMENT 2025                                      ASSIGNMENT/TRANSFER OF OWNERSHIP

