                                 Mark                    Registration /   Registration /
                                                          Application      Application
                                                           Number            Date*
                    Authentic Originals Logo               7,255,003       12/26/2023
                          Block C Logo                     4,213,524       09/25/2012
                          Block C Logo                     7,018,860       04/04/2023
                             C Logo                        2,298,157       12/07/1999
                             C Logo                         873,925        07/29/1969
                             C Logo                        1,211,656       10/05/1982
                             C Logo                        2,307,404       01/11/2000
                             C Logo                        2,316,050       02/08/2000
                             C Logo                        2,316,051       02/08/2000
                             C Logo                        2,313,854       02/01/2000
                        C (Stylized) (Red)                 2,341,163       04/11/2000
                         Central Avenue                    7,626,296       12/24/2024
                    Central Avenue & Design               98/483,742       04/04/2024
                               CFA                         6,038,359       04/21/2020
                          Circle C Logo                    6,562,865       11/16/2021
                          Circle C Logo                   98/914,464       12/20/2024
                         Cropped C Logo                    5,750,250       05/14/2019
                         Cropped C Logo                   98/914,354       12/20/2024
                      Cropped C Logo (Red)                 5,750,424       05/14/2019
                            Chick-fil-A                    6,042,675       04/28/2020
                            Chick-fil-A                    1,209,211       09/14/1982
                            Chick-fil-A                    2,196,099       10/13/1998
                            Chick-fil-A                    2,196,100       10/13/1998
                            Chick-fil-A                    2,211,210       12/15/1998
                            Chick-fil-A                    2,340,814       04/11/2000
                            Chick-fil-A                    7,018,859       04/04/2023
                            Chick-fil-A                  98/403,995**      02/13/2024
                            Chick-fil-A                   98/785,288       10/04/2024
                      Chick-fil-A (Stylized)                866,527        03/11/1969
                      Chick-fil-A (Stylized)                995,935        10/15/1974
                      Chick-fil-A (Stylized)               1,238,459       05/17/1983
                      Chick-fil-A (Stylized)               1,065,507       05/10/1977
                      Chick-fil-A (Stylized)               4,865,535       12/08/2015
                      Chick-fil-A (Stylized)               6,866,465       10/04/2022
                      Chick-fil-A (Stylized)               7,019,097       04/04/2023
                   Chick-fil-A (Red) (Stylized)            2,335,546       03/28/2000
                  Chick-fil-A Impact Accelerator          98/799,943       10/14/2024



Exhibit “B” to Franchise Agreement                 B-2

