                                                       FRANCHISE LOCATIONS
                                                     (open as of December 31, 2024)


                                                                                                                               Under
                                                                                                                               ADA?
          Franchisee                            Address                         City       State    Zip Code       Phone       Y/N)
      GMS Dimond, LLC               1920 W Dimond Blvd, Unit I-3            Anchorage       AK       99515      907-341-5500    No
      FJMPF Benson LLC               670 E Northern Lights Blvd             Anchorage       AK       99503      907-444-4400    No
     GMS Northway, LLC                    3101 Penland Pkwy                 Anchorage       AK       99508      907-868-7600    No
         Eagle Fit LLC                   17151 N Juanita Loop              Eagle River      AK       99577      907-694-5566    No
       GMS Fairbanks LP                    1255 Airport Way                  Fairbanks      AK       99701      907-374-4441    No
        Wasilla Fit LLC               2241 E Sun Mountain Ave                  Wasilla      AK       99654      907-376-3320    No
    PFMW Albertville LLC                   5850 US Hwy 431                  Albertville     AL       35950      256-660-0410    No
MAK Fitness Alexander City LLC              987 Market Place              Alexander City    AL       35010      256-392-4866    No
     United FP LAN, LLC                    528 W Town Plaza                  Bessemer       AL       35020      205-774-6888    Yes
     United FP LAN, LLC                   4500 Montevallo Rd               Birmingham       AL       35210      205-703-0571    Yes
     United FP LAN, LLC                  140 Wildwood Pkwy                 Birmingham       AL       35209      205-719-1722    Yes
     United FP LAN, LLC                    168 Inverness Plz               Birmingham       AL     35242-4896   205-408-0020    Yes
     United FP LAN, LLC                     9118 Parkway E                 Birmingham       AL     35206-1507   205-208-0414    Yes
     PFMW Cullman LLC                      1727 2nd Ave SW                    Cullman       AL       35055      256-747-5405    No
     Habit Enterprises, Inc.           29685 Renaissance Blvd                 Daphne        AL       36526      251-621-7800    No
    Two Marks Decatur LLC              809 Beltline Rd Sw Ste B               Decatur       AL     35601-6337   256-724-0979    Yes
     Vantage Panama, LLC                  3121 Ross Clark Cir                  Dothan       AL     36303-3051   334-792-1701    Yes
     Vantage Rucker, LLC                    913 Rucker Blvd                  Enterprise     AL       36330      334-475-2328    Yes
      East Bay Fitness Inc                   175 Baldwin Sq                   Fairhope      AL       36532      251-308-1020    No
   Two Marks Florence, LLC                1518 Florence Blvd                  Florence      AL       35630      256-924-6191    Yes
        AK Fitness, LLC                   1639 S McKenzie St                   Foley        AL       36535      251-943-9370    No
     Gadsden Fitness, LLC                  1001 Rainbow Dr                    Gadsden       AL     35901-5376   256-438-5459    No
     Hartselle Fitness LLC                  240 Highway 31                    Hartselle     AL       35640      256-387-7005    Yes
     United FP LAN, LLC             1839 Montgomery Hwy Ste 40                Hoover        AL     35244-2524   205-444-2282    Yes
  Two Marks Huntsville LLC               1001 Memorial Pkwy                  Huntsville     AL       35801      256-945-0501    Yes
      PFMW Jasper LLC                         714 Hwy 78 E                     Jasper       AL       35501      205-384-9161    No
  Two Marks Properties, LLC                 8050 Hwy 72 W                     Madison       AL       35758      256-724-0990    Yes
  Dauphin Street Fitness, LLC               3055 Dauphin St                    Mobile       AL     36606-4040   251-287-1108    No
       CCD Fitness, LLC                     5363 Hwy 90 W                      Mobile       AL       36619      251-660-1700    No
        Mas II Mas, LLC                 308 S University Blvd                  Mobile       AL       36609      251-414-2700    No
   North Mobile Fitness, LLC              900B Schillinger Rd                  Mobile       AL       36695      251-776-5600    No
 PF Muscle Shoals Fitness, LLC           1306 Woodward Ave                Muscle Shoals     AL       35661      256-826-3530    Yes
     Northport Fitness, Inc.         3380 McFarland Blvd, Ste 1              Northport      AL       35476      205-686-6004    No
      PFMW Oxford LLC                   140 Spring Branch Rd                   Oxford       AL       36203      256-403-6348    No
      PMW Pell City LLC                     300 Vaughan Ln                    Pell City     AL       35125      205-644-7048    No
PF South Huntsville Fitness, LLC       11319 S Memorial Pkwy                 Huntsville     AL       35803      256-427-4285    Yes
    MAK Fitness Troy LLC                  1267 US Hwy 231 S                     Troy        AL       36081      334-670-9000    No
       Bama Fitness, Inc.          1800 McFarland Blvd E, Ste 321           Tuscaloosa      AL       35404      205-752-7878    No
      Bama Fitness II, Inc.                635 Skyland Blvd                 Tuscaloosa      AL       35405      205-506-2717    No
     United FP LAN, LLC             700 Montgomery Hwy, Ste 138           Vestavia Hills    AL       35216      205-208-0398    Yes
     United FP JLM, LLC                     1515 Military Rd                   Benton       AR       72015      501-408-2888    Yes
  Excel Fitness BEB IV, LLC             1001 SW Westpark Dr                 Bentonville     AR       72712      479-255-5756    Yes
     United FP JLM, LLC                       150 E Oak St                    Conway        AR       72032      501-358-6261    Yes
     United FP JLM, LLC                     2028 N West Ave                  El Dorado      AR       71730      870-639-4700    Yes
  Excel Fitness BEB VII LLC              1768 N Crossover Rd                Fayetteville    AR       72701      479-334-2963    Yes
   Excel Fitness BEB II, LLC               3300 W Grove Dr                  Fayetteville    AR     72704-5001   479-368-0359    Yes
     United FP JLM, LLC                     5825 Rogers Ave                 Fort Smith      AR       72903      479-755-9888    Yes
     United FP JLM, LLC                  615 Hwy 62 65 North                  Harrison      AR       72601      870-716-2380    Yes
     United FP JLM, LLC                     3310 Central Ave               Hot Springs      AR       71913      501-651-2424    Yes
     United FP JLM, LLC                612 NJP Wright Loop Rd              Jacksonville     AR       72076      501-596-8080    Yes
     United FP JLM, LLC               1525 S Caraway Rd, Ste A               Jonesboro      AR       72401      870-819-4455    Yes
     United FP JLM, LLC                 8721 Geyer Springs Rd               Little Rock     AR       72209      501-291-3925    Yes
     United FP JLM, LLC                  11400 W Markham St                 Little Rock     AR       72211      501-313-5074    Yes
     United FP JLM, LLC               4617 John F Kennedy Blvd              Little Rock     AR       72116      501-377-9535    Yes
     United FP JLM, LLC                      2901 S Olive St                 Pine Bluff     AR       71603      870-727-9988    Yes
    Excel Fitness BEB, LLC           100 N Dixieland Rd, Suite G               Rogers       AR     72756-1123   479-278-4564    Yes
     United FP JLM, LLC                   405 N Arkansas Ave                Russellville    AR       72801      479-498-9559    Yes
     United FP JLM, LLC                      3500 E Race St                    Searcy       AR       72143      501-254-0009    Yes
  Excel Fitness BEB VI, LLC             2137 Ravenwood Plaza              Siloam Springs    AR       72761      479-368-0484    Yes
  Excel Fitness BEB III, LLC         4093 W Sunset Ave Ste 108              Springdale      AR     72762-4700   479-262-0747    Yes




                                                                    I-1

