                                                                                                                                 Under
                                                                                                                                 ADA?
          Franchisee                             Address                       City          State    Zip Code       Phone       Y/N)
     United FP JLM, LLC                    280 Cloverleaf Plaza             Van Buren         AR       72956      479-235-2075    Yes
     United FP TOM, LLC                 3003 W Apache Trl Ste 1           Apache Junction     AZ     85120-3635   480-845-1021    Yes
     United FP TOM, LLC                   200 N Avondale Blvd               Avondale          AZ       85323      623-882-9228    Yes
     United FP TOM, LLC                     1341 S Watson Rd                 Buckeye          AZ       85326      480-360-2770    Yes
      IFH Arizona, LLC                      1568 Marina Blvd               Bullhead City      AZ       86442      928-299-5074    No
                                    Tri Valley Plaza, 1325 E Florence
     United FP TOM, LLC                            Blvd                       Casa Grande    AZ        85122      520-788-6200    Yes
     United FP TOM, LLC                       1020 N 54th St                    Chandler     AZ        85226      480-705-3264    Yes
     United FP TOM, LLC                    1420 S Arizona Ave                   Chandler     AZ      85286-6518   480-963-4200    Yes
     United FP TOM, LLC                  2980 N Alma School Rd                  Chandler     AZ        85224      480-634-4773    Yes
     United FP TOM, LLC                   1655 E Cottonwood St                Cottonwood     AZ        86326      928-963-9300    Yes
     United FP TOM, LLC                 4650 US Hwy 89, Ste B-2                 Flagstaff    AZ        86004      928-326-2990    Yes
     United FP TOM, LLC                      915 S Gilbert Rd                    Gilbert     AZ        85296      480-372-2555    Yes
     United FP TOM, LLC                      5382 S Power Rd                     Gilbert     AZ        85295      602-730-7400    Yes
     United FP TOM, LLC                    858 S Greenfield Rd                   Gilbert     AZ        85296      602-904-5060    Yes
     United FP TOM, LLC                    706 N McQueen Rd                      Gilbert     AZ      85233-3500   623-250-5520    Yes
     United FP TOM, LLC                    4874 S Val Vista Dr                   Gilbert     AZ        85298      480-508-8815    Yes
     United FP TOM, LLC                     4414 W Cactus Rd                    Glendale     AZ      85304-2338   602-767-7007    Yes
     United FP TOM, LLC                   5121 W Glendale Ave                   Glendale     AZ        85301      623-748-9223    Yes
     United FP TOM, LLC                      515 S Cotton Ln                   Goodyear      AZ        85338      623-900-2005    Yes
     United FP TOM, LLC                    409 N Litchfield Rd                 Goodyear      AZ      85338-1300   623-777-4300    Yes
   Evolution Management LLC          100 W Duval Mine Rd, Ste 170               Sahuarita    AZ        85614      520-284-6484    Yes
       IFH Arizona, LLC                  3911 N Stockton Hill Rd                Kingman      AZ        86409      928-263-6446    No
                                                                              Lake Havasu
        IFH Arizona, LLC                 1755 McCulloch Blvd N                     City      AZ        86403      928-302-2025    No
         Marana FP LLC                       3840 W River Rd                     Tucson      AZ      85741-3793   520-350-9505    Yes
      United FP TOM, LLC           20595 N John Wayne Pkwy, Ste 400            Maricopa      AZ        85139      520-666-2300    Yes
