                                                                                                                                      Under
                                                                                                                                      ADA?
              Franchisee                             Address                          City        State    Zip Code       Phone       Y/N)
      GFP Arroyo Grande, LLC                1576 West Branch Street             Arroyo Grande      CA       93420      805-270-7588    Yes
        GFP Atascadero, LLC                   8210 El Camino Real                 Atascadero       CA     93422-5215   805-464-6686    Yes
         Airport Fitness, LLC                      731 Airport Dr                 Bakersfield      CA       93308      661-391-8525    No
         Cal Ave Fitness LLC                   4001 California Ave                Bakersfield      CA       93309      661-374-8429    No
          Niles Fitness, LLC                       6151 Niles St                  Bakersfield      CA       93306      661-742-1920    No
            JKG Fitness Inc                        6300 Ashe Rd                   Bakersfield      CA       93313      661-735-8467    No
   MLM Group Baldwin Park LLC                  14121 Ramona Blvd                Baldwin Park       CA     91706-3146   626-869-9919    Yes
    Saber Fitness Beaumont, LLC                    1579 E 2nd St                  Beaumont         CA       92223      951-845-0966    Yes
    Saber Fitness Bellflower, LLC                9055 Artesia Blvd                Bellflower       CA       90706      562-866-8800    No
   Saber Fitness Buena Park, LLC                  8960 Knott Ave                  Buena Park       CA     90620-4137   714-952-3000    No
   Buena Park Fitness Group, LLC                8379 La Palma Ave                 Buena Park       CA       90620      714-676-0944    Yes
     MLM Group Burbank, LLC               10950 Sherman Way, Ste 160               Burbank         CA       91505      818-847-0100    Yes
     Evolution Management LLC                   2304 Imperial Ave                  Calexico        CA       92231      760-768-2962    No
      Baseline Fitness MV, LLC                  2440 Las Posas Rd                  Camarillo       CA       93010      805-388-8838    No
         Carlsbad Gyms, LLC                   2502 El Camino Real                  Carlsbad        CA       92008      760-607-6232    No
         So Cal Carson, LLC                     123 E Lomita Blvd                   Carson         CA     90745-6305   310-830-1300    Yes
  So Cal Carson Town Center, LLC           504 Carson Town Center N                 Carson         CA       90745      424-570-9494    Yes
      Baseline Fitness MV, LLC                 34461 Date Palm Dr               Cathedral City     CA       92234      760-202-9999    No
           PCV Ceres 1 LLC                    2916 E Whitmore Ave                    Ceres         CA       95307      209-581-0931    Yes
         So Cal Cerritos, LLC                12831 Towne Center Dr                  Cerritos       CA       90703      562-860-2031    Yes
   Chatsworth Fitness Group LLC                  9825 Mason Ave                   Chatsworth       CA       91311      818-531-0399    Yes
          Chico Fitness, LLC                     1950 East 20th St                   Chico         CA       95928      530-965-5492    No
   Chino Town Fitness Group LLC                5515 Philadelphia St                  Chino         CA       91710      909-342-6360    Yes
         PF Chula Vista, LLC                      1210 Broadway                   Chula Vista      CA       91911      619-869-8368    Yes
         PF Otay Ranch, LLC                 2015 Birch Rd, Unit 0150              Chula Vista      CA       91915      619-271-1073    Yes
   PF Citrus Heights Fitness, LLC               7016 Sunrise Blvd               Citrus Heights     CA       95610      916-727-3300    Yes
           GFP Clovis LLC                          634 Shaw Ave                      Clovis        CA       93612      559-297-3455    Yes
      Baseline Fitness MV, LLC               50249 Cesar Chavez St                 Coachella       CA       92236      760-398-8888    No
        So Cal Compton, LLC                   235 E Compton Blvd                   Compton         CA       90220      424-704-2044    Yes
       PF Concord Fitness, LLC          3375 Port Chicago Hwy, Suite 51            Concord         CA       94520      925-826-5709    Yes
      Saber Fitness Corona, LLC                    1540 W 6th St                    Corona         CA       92882      951-808-9705    Yes
 Saber Fitness Corona Crossing, LLC              3685 Grand Oaks                    Corona         CA       92881      951-371-7825    Yes
   Saber Fitness Costa Mesa, LLC                 2200 Harbor Blvd                 Costa Mesa       CA       92627      949-548-4090    No
      Saber Fitness Covina, LLC             1480 N Azusa Ave, Ste A                 Covina         CA       91722      626-332-2190    No
        JMCL Properties, LLC                2945 Junipero Serra Blvd               Daly City       CA     94014-2549   650-994-9080    No
          Delano Fitness LLC                       625 Cecil Ave                    Delano         CA       93215      661-778-0049    No
  Diamond Bar Fitness Group LLC            2797 S Diamond Bar Blvd               Diamond Bar       CA     91765-3414   909-323-2060    Yes
         So Cal Downey, LLC                   9501 Lakewood Blvd                   Downey          CA     90240-3306   562-299-3008    Yes
      MLM Group Duarte, LLC                    1193 Huntington Dr                   Duarte         CA       91010      626-593-0039    Yes
           PF El Centro LLC                    1910 N Imperial Ave                 El Centro       CA       92243      760-370-9435    Yes
     MLM Group El Monte LLC                       3542 N Peck Rd                   El Monte        CA       91731      626-401-1100    Yes
     Encino Fitness Group, LLC                 17401 Ventura Blvd                   Encino         CA       91316      818-796-5575    Yes
       Clayton D. Griffin, LLC                 1349 E Valley Pkwy                 Escondido        CA     92027-2311   760-489-8202    No
          PF Escondido LLC                     1256 Auto Park Way                 Escondido        CA       92029      442-257-2220    Yes
         FJMPF Eureka, LLC                 3300 Broadway St, Ste 700                Eureka         CA       95501      707-492-5353    No
       PF Fairfield Fitness, LLC             2525 N Texas St, Ste D                Fairfield       CA       94533      707-759-5013    Yes
     PF Northridge Fitness, LLC                 4854 San Juan Ave                  Fair Oaks       CA       95628      916-546-1940    Yes
         Folsom Fitness LLC                      875 E Bidwell St                   Folsom         CA     95630-3349   916-954-0275    Yes
     Saber Fitness Fontana, LLC                 10200 Juniper Ave                   Fontana        CA       92335      909-350-3325    Yes
 Saber Fitness Summit Fontana, LLC              14940 Summit Ave                    Fontana        CA       92336      909-646-7181    Yes
  Foothill Ranch Fitness Group LLC             26682 Portola Pkwy               Foothill Ranch     CA       92610      949-619-4600    Yes
   16201 Harbor Boulevard Fitness
