                                                                                                                                   Under
                                                                                                                                   ADA?
             Franchisee                           Address                       City           State    Zip Code       Phone       Y/N)
     Baseline Fitness MV, LLC               72250 Highway 111               Palm Desert         CA       92260      760-797-7196    No
       So Cal Paramount LLC                14601 Lakewood Blvd               Paramount          CA     90723-3602   562-543-0297    Yes
   MLM Group Pasadena, LLC                345 S Lake Ave Ste 201              Pasadena          CA     91101-5045   626-239-9007    Yes
       GFP Paso Robles, LLC               1131 Creston Rd, Ste 97           Paso Robles         CA       93446      805-239-4023    Yes
     Saber Fitness Perris, LLC               1690 N Perris Blvd                 Perris          CA       92571      951-940-4649    Yes
       Petaluma Fitness LLC            373 S McDowell Blvd, Ste 10C           Petaluma          CA       94952      707-769-3177    No
     Saber Fitness Pinole, LLC               1570 Fitzgerald Dr                Pinole           CA       94564      510-243-8791    No
     PF Pittsburg Fitness, LLC               2240 Loveridge Rd                Pittsburg         CA       94565      925-439-1518    Yes
  Rio Rancho Fitness Group, LLC            2057 Rancho Valley D               Pomona            CA       91766      909-417-0039    Yes
         T5 Porterville, LLC                 1326 W Olive Ave                Porterville        CA       93257      559-306-6767    No
           PF Poway LLC                       12342 Poway Rd                   Poway            CA     92064-4243   858-883-4308    Yes
 PF Rancho Cordova Fitness, LLC             10373 Folsom Blvd             Rancho Cordova        CA     95670-3518   916-368-5000    Yes
Saber Fitness Rancho Cucamonga                                                 Rancho
                LLC                       8776 Base Line Rd Ste A           Cucamonga          CA      91701-5597   840-800-4005    Yes
     PF Red Bluff Fitness, LLC                1025 S Main St                 Red Bluff         CA        96080      530-602-5125    Yes
        Redding Fitness, LLC                  1725 Hilltop Dr                 Redding          CA        96002      530-395-5800    No
Saber Fitness Redwood City, LLC                242 Walnut St               Redwood City        CA      94063-1717   650-363-1641    Yes
     Saber Fitness Rialto, LLC             2008 N Riverside Ave                 Rialto         CA        92377      909-421-4815    Yes
    Saber Fitness Rialto II, LLC            585 S Riverside Ave                 Rialto         CA        92376      909-820-9417    Yes
   Saber Fitness Riverside, LLC          4135 Chicago Ave, Ste 190           Riverside         CA        92507      951-779-2977    Yes
      PF Rocklin Fitness, LLC               6831 Lonetree Blvd                 Rocklin         CA        95765      916-755-6015    Yes
         GMS Rohnert LLC                   6599 Commerce Blvd              Rohnert Park        CA      94928-2407   707-585-8900    No
   Bradville Square Fitness LLC           3615 Bradshaw Rd Ste C            Sacramento         CA      95827-3276   916-758-8995    Yes
     PF Roseville Fitness LLC            1159 Roseville Sq, Ste 100          Roseville         CA        95678      916-604-8235    Yes
       MLM Group RH LLC                      17584 Colima Rd              Rowland Heights      CA        91748      626-225-0030    Yes
   PF Country Club Plaza, LLC                  2400 Watt Ave                Sacramento         CA        95825      916-407-3280    Yes
   PF Mack Road Fitness, LLC                  6051 Mack Rd                  Sacramento         CA        95823      916-427-1781    Yes
     PF Stockton Fitness, LLC               5138 Stockton Blvd              Sacramento         CA        95820      916-457-7701    Yes
Scenic Investments Salinas Fitness,
                LLC                        1210 Northridge Mall                Salinas         CA        93906      831-272-3558    No
Saber Fitness San Bernardino, LLC           435 E Hospitality Ln          San Bernardino       CA        92408      909-381-1444    Yes
    San Bernadino Fitness, LLC             2041 E Highland Ave            San Bernardino       CA        92404      909-863-0718    No
     Baseline Fitness MV, LLC             570 S Mount Vernon Ave          San Bernardino       CA      92410-2760   909-885-8883    No
    AGPCAL San Bruno, LLC              1150 El Camino Real, Unit 209        San Bruno          CA        94066      650-870-2700    Yes
           PF Euclid, LLC                     1725 Euclid Ave               San Diego          CA        92105      619-564-6619    Yes
          PF Sorrento LLC                    9420 Scranton Rd               San Diego          CA        92121      858-281-0408    Yes
      PF University Ave, LLC                6501 University Ave             San Diego          CA        92115      619-550-5808    Yes
  San Dimas Fitness Group, LLC               601 W Arrow Hwy                San Dimas          CA        91773      909-505-1525    Yes
       JMCL Properties, LLC                 417 Montgomery St              San Francisco       CA        94104      415-433-3033    No
     Saber Fitness Aborn, LLC                 3251 S White Rd                 San Jose         CA        95148      408-532-1215    Yes
  Saber Fitness Gould Plaza, LLC        1035 E Capitol Expy Ste 20            San Jose         CA      95121-2415   669-317-1183    Yes
   Saber Fitness Princeton, LLC            1375 Blossom Hill Rd               San Jose         CA        95118      408-266-6980    Yes
   Saber Fitness Saratoga, LLC               1328 Saratoga Ave                San Jose         CA        95129      408-248-1566    Yes
   AHFC San Luis Obispo, LLC                   3880 Broad St              San Luis Obispo      CA      93401-7110   805-242-1951    Yes
        PF San Marcos LLC                641 S Rancho Santa Fe Rd           San Marcos         CA      92078-3973   442-515-3002    Yes
          LJS Fitness, Inc.                   2725 N Bristol St              Santa Ana         CA        92706      714-568-9700    No
 1760 East Edinger Fitness Group,
                LLC                         1760 E Edinger Ave                  Santa Ana      CA        92705      714-912-9450    Yes
     Wingman Partners IV, Inc.           19150 Soledad Canyon Rd               Santa Clarita   CA      91351-3364   661-560-9900    No
        So Cal Santa Fe, LLC                13469 Telegraph Rd                   Whittier      CA      90605-3435   562-941-0051    Yes
       GFP Santa Maria, LLC              1505 Stowell Center Plaza             Santa Maria     CA        93454      805-621-7405    Yes
      Santa Rosa Fitness, LLC               2705 Santa Rosa Ave                 Santa Rosa     CA      95407-6232   603-446-6794    No
     Wingman Partners III, Inc.              2803 E Cochran St                 Simi Valley     CA        93065      805-755-2222    No
      So Cal South Gate, LLC                 8724 Garfield Ave                  South Gate     CA      90280-3722   562-927-7766    Yes
     PCV Stockton No. 1, LLC                 1175 W March Ln                     Stockton      CA      95207-6212   209-477-7800    Yes
     PCV Stockton No. 2, LLC               1010 E. Hammer Lane                   Stockton      CA        95210      209-623-1499    Yes
