                                                                                                                                 Under
                                                                                                                                 ADA?
           Franchisee                           Address                         City        State    Zip Code       Phone        Y/N)
    IFH CT Operations, Inc.                 19 Backus Ave                     Danbury        CT     06810-7402   475-454-2001     Yes
    IFH CT Operations, Inc.               710 Hartford Pike                   Dayville       CT     06241-2114   860-412-9009     Yes
    IFH CT Operations, Inc.                 56 Pershing Dr                      Derby        CT       06418      203-712-2332     Yes
Keystone NFP East Granby, LLC                  10 East St                   East Granby      CT       06026      860-844-1235     No
    IFH CT Operations, Inc.                265 Ellington Rd                 East Hartford    CT       06118      860-904-2215     Yes
    IFH CT Operations, Inc.                  836 Foxon Rd                    East Haven      CT       06513      203-469-7763     Yes
  Keystone NFP Enfield, LLC                 139 Hazard Ave                     Enfield       CT       06082      860-749-6443     No
    IFH CT Operations, Inc.                  740 Villa Ave                    Fairfield      CT       06825      475-888-4411     Yes
    IFH CT Operations, Inc.                656 Long Hill Rd                    Groton        CT       06340      860-449-0011     Yes
    IFH CT Operations, Inc.              705 Boston Post Rd                   Guilford       CT       06437      203-458-8822     Yes
    IFH CT Operations, Inc.               2100 Dixwell Ave                    Hamden         CT       06514      203-281-7213     Yes
    IFH CT Operations, Inc.              346 Middle Tpke W                   Manchester      CT       06040      860-646-8000     Yes
    IFH CT Operations, Inc.                 454 S Broad St                    Meriden        CT     06450-6656   203-235-7300     Yes
    IFH CT Operations, Inc.               840 Washington St                 Middletown       CT     06457-2912   860-854-1004     Yes
    IFH CT Operations, Inc.            177 Cherry St, Ste 155                  Milford       CT       06460      203-301-0180     Yes
    IFH CT Operations, Inc.             1188 New Haven Rd                    Naugatuck       CT       06770      203-723-4058     Yes
    IFH CT Operations, Inc.                  76 E Main St                   New Britain      CT       06051      860-770-6009     Yes
    IFH CT Operations, Inc.                  160 Amity Rd                    New Haven       CT       06515      203-392-3558     Yes
    IFH CT Operations, Inc.                   182 Kitts Ln                   Newington       CT     06111-4250   860-667-1995     Yes
    IFH CT Operations, Inc.             360 Connecticut Ave                   Norwalk        CT       06854      203-846-4588     Yes
    IFH CT Operations, Inc.                   42 Town St                      Norwich        CT       06360      860-800-1500     Yes
    IFH CT Operations, Inc.              440 Boston Post Rd                    Orange        CT       06477      203-795-9848     Yes
    IFH CT Operations, Inc.               150 Main Street S                  Southbury       CT       06487      475-222-0019     Yes
    IFH CT Operations, Inc.                  342 Queen St                   Southington      CT       06489      860-736-0010     Yes
    IFH CT Operations, Inc.              85 Harbor View Ave                   Stamford       CT       06902      203-921-1322     Yes
    IFH CT Operations, Inc.                   675 Main St                    Torrington      CT     06790-3604   860-201-0033     Yes
    IFH CT Operations, Inc.                25 Lindeman Dr                     Trumbull       CT       06611      203-372-7995     Yes
    IFH CT Operations, Inc.               425 Talcottville Rd                  Vernon        CT       06066      860-288-4880     Yes
    IFH CT Operations, Inc.               855 Lakewood Rd                    Waterbury       CT       06704      203-757-8032     Yes
    IFH CT Operations, Inc.               40 Boston Post Rd                   Waterford      CT       06385      860-447-2279     Yes
    IFH CT Operations, Inc.                    52 Kane St                  West Hartford     CT     06119-2109   959-777-3325     Yes
    IFH CT Operations, Inc.            1293 Silas Deane Hwy                 Wethersfield     CT       06109      860-372-4177     Yes
    IFH CT Operations, Inc.                  1315 Main St                    Willimantic     CT       06226      860-576-8411     Yes
  AGPDC Gallery Place, LLC                  783 7th St NW                    Washington      DC     20001-3715   202-221-8235     Yes
AGPDC New York Avenue, LLC                 1406 Okie St NE                   Washington      DC       20002      202-768-8300     Yes
  AGPDC Penn Branch, LLC             3200 Pennsylvania Ave SE                Washington      DC       20020      202-860-1122     Yes
 MAR Fitness Enterprises, Inc.              1005 N State St                     Dover        DE       19901      302-730-1234     No
Keystone NFP Middletown, LLC             703 North Broad St                 Middletown       DE       19709      302-378-2777     No
  Keystone NFP Milford, LLC             696A N Dupont Blvd                     Milford       DE       19963      302-491-4215     Yes
 Keystone NFP Millsboro, LLC           28595 DuPont Blvd #5                   Millsboro      DE       19966      302-551-2437     Yes
       Jacta Alea Est, Inc.                 53 Marrows Rd                      Newark        DE       19713      302-731-7360     No
  Keystone NFP Seaford, LLC          800 Norman Eskridge Hwy                   Seaford       DE       19973      302-262-8676.    Yes
  Keystone NFP Smyrna, LLC                   36 N Cory Ln                      Smyrna        DE       19977      302-327-6800     Yes
    Easy Mile Arcadia LLC               2231 Se Highway 70                     Arcadia       FL       34266      863-485-8290     Yes
    PF Atlantic Beach, LLC             253 Royal Palms Drive               Atlantic Beach    FL       32233      904-595-5594     Yes
     Easy Mile Bonita LLC             11601 Bonita Beach Rd                Bonita Springs    FL       34135      239-494-3254     Yes
Easy Mile West Bradenton, LLC             6605 Manatee Ave                   Bradenton       FL       34209      941-896-8833     Yes
  Easy Mile Bradenton, LLC                  4301 14th St W                   Bradenton       FL       34205      941-253-5588     Yes
  R & H Fitness Parker, LLC              208 S Tyndall Pkwy                    Parker        FL     32404-6723   850-640-0117     No
 AIM Fitness Cape Coral, LLC        1502 Del Prado Blvd, Unit B              Cape Coral      FL       33990      239-800-3155     No
      Good Looking, LLC                   204 Sausalito Blvd                 Casselberry     FL       32707      407-755-6740     No
      Pinellas View, LLC                11141 US Hwy 19 N                    Clearwater      FL       33764      727-201-8392     No
   Bayside Bridge View LLC           1580 McMullen Booth Rd                  Clearwater      FL     33759-2547   727-335-3883     No
      CW Sunsetview LLC             1883-1885 N. Highland Ave                Clearwater      FL       33755      727-288-9877     No
 AGPFL Coconut Creek, LLC            4911 Coconut Creek Pkwy               Coconut Creek     FL     33063-3909   954-526-2100     Yes
    AGPFL Hillsboro, LLC               4291 W Hillsboro Blvd               Coconut Creek     FL       33073      954-289-3939     Yes
  AGPFL Coral Springs, LLC              2101 N University Dr               Coral Springs     FL       33071      954-361-6007     Yes
     GFP Cutler Bay, LLC                 19189 S Dixie Hwy                   Cutler Bay      FL       33157      305-238-5755     Yes
        GFP Davie, LLC                  2310 S University Dr                    Davie        FL       33324      954-556-5235     Yes
      Atomic Fitness, LLC                  1423 S Nova Rd                  Daytona Beach     FL     32114-5838   386-253-4300     No
     Good Looking III, LLC       111 E International Speedway Blvd             Deland        FL       32724      386-873-4911     No
  AGPFL Delray Beach, LLC            3065-3075 S Federal Hwy                Delray Beach     FL       33483      561-359-0101     Yes
         JF Fitness, LLC           1514 County Rd 220, Unit 400            Fleming Island    FL       32003      904-639-5667     No




                                                                     I-7

