                                                                                                                            Under
                                                                                                                            ADA?
         Franchisee                         Address                         City        State    Zip Code       Phone       Y/N)
  AHFC Ft Lauderdale, LLC              3600 N Federal Hwy             Fort Lauderdale    FL     33308-6217   954-368-9484    Yes
     GFP Riverbend, LLC               2670 W Broward Blvd             Fort Lauderdale    FL       33312      954-587-5887    Yes
  Easy Mile Cleveland, LLC             3853 Cleveland Ave                Fort Myers      FL       33901      239-267-5391    Yes
  Easy Mile Fort Myers, LLC         15501 Old McGregor Blvd              Fort Myers      FL       33908      239-433-1616    Yes
                                                                         North Fort
     Easy Mile NFM LLC                 15201 N Cleveland Ave               Myers         FL       33903      239-237-0890    Yes
  Easy Mile Tamiami, LLC               18011 S Tamiami Trail             Fort Myers      FL       33908      239-466-5391    Yes
     JDA Enterprises, Inc.                 2210 NW 13th St               Gainesville     FL       32609      352-505-6685    No
     GFP Hialeah 2, LLC                     502a W 49th St                 Hialeah       FL     33012-3605   305-822-4344    Yes
     GFP Hialeah 3, LLC                    3505 W 20th Ave                 Hialeah       FL       33012      305-787-3320    Yes
      GFP Hialeah, LLC               8350 Hialeah Gardens Blvd        Hialeah Gardens    FL       33018      305-558-7770    Yes
    GFP Homestead, LLC                     2650 Ne 10th Ct               Homestead       FL     33033-4712   305-242-4300    Yes
        PF Durbin LLC                14858 Old St Augustine Rd          Jacksonville     FL       32258      904-329-1930    Yes
       PF Jax Four, LLC                 8661 Old Kings Rd S             Jacksonville     FL       32217      904-443-6200    Yes
      PF Jax Three, LLC                   14444 Beach Blvd              Jacksonville     FL       32250      904-992-8484    Yes
   Cedar Hills Fitness LLC            3566 Blanding Blvd # 3            Jacksonville     FL     32210-5253   904-659-8160    Yes
     PF Fort Caroline LLC               6060 Fort Caroline Rd           Jacksonville     FL       32277      904-802-7995    Yes
 Jax Lakewood Fitness, LLC            2777 University Blvd W            Jacksonville     FL     32217-2176   904-902-1640    Yes
   PF West Side Plaza, LLC              5810 Normandy Blvd              Jacksonville     FL       32205      904-551-6903    Yes
 Highland Square Fitness LLC            1102 Dunn Ave Unit 1            Jacksonville     FL     32218-4998   904-902-2050    Yes
    Norwood Fitness LLC                5290 Norwood Ave, #2             Jacksonville     FL       32208      904-456-8430    Yes
        JF Fitness, LLC              7628 103rd St, Units 16-20         Jacksonville     FL       32210      904-900-1651    No
        JF Fitness, LLC                     1980 Wells Rd               Orange Park      FL       32073      904-272-2224    No
 South Blanding Fitness LLC               700 Blanding Blvd             Orange Park      FL     32065-5806   904-644-5115    Yes
       PF Beach 2 LLC                  8595 Beach Boulevard             Jacksonville     FL       32216      904-802-0565    Yes
       PF Jax One, LLC           651 Commerce Center Dr, Unit 300       Jacksonville     FL       32225      904-667-3470    Yes
      GFP Kendall, LLC                   10872 SW 104th St                 Miami         FL       33176      305-279-1950    Yes
      PF Lake City LLC                   2782 W US Hwy 90                Lake City       FL       32055      386-319-7244    Yes
    Good Looking VI, LLC                   6208 US Hwy 98                 Lakeland       FL       33809      863-853-3322    No
 Atomic Fitness Central, LLC             4315 S Florida Ave               Lakeland       FL     33813-1654   863-816-6800    No
       Largo View LLC                   11912 Seminole Blvd                 Largo        FL     33778-2803   727-286-5031    No
     GFP Lauderhill, LLC                  2629 N State Rd 7              Lauderhill      FL       33313      954-874-3641    Yes
   GFP Little Havana, LLC                  775 SW 8th Ave                  Miami         FL       33130      305-858-2249    Yes
    AGPFL Margate, LLC                   5470 W Sample Rd                 Margate        FL       33073      954-289-3999    Yes
    Good Looking X, LLC                   840 N Apollo Blvd              Melbourne       FL       32935      321-242-7900    No
     GFP Allapattah, LLC           1440 NW North River Dr, #440            Miami         FL       33125      305-504-6980    Yes
      GFP Cal Club, LLC                   850 Ives Dairy Rd             North Miami      FL       33179      305-690-9699    Yes
 GFP Miami Northside, LLC             7900 NW 27th Ave #200                Miami         FL     33147-4046   305-357-1685    Yes
   GFP Country Club LLC                  18620 Nw 67th Ave                 Hialeah       FL     33015-2406   305-621-0400    Yes
    GFP Westchester, LLC                    8524 SW 8th St                 Miami         FL       33144      305-261-5440    Yes
   GFP West Kendall, LLC                  15725 Sw 72nd St                 Miami         FL     33193-5070   305-752-5551    Yes
  GFP Miami Gardens, LLC                 17165 NW 27th Ave            Miami Gardens      FL       33056      305-625-5999    Yes
      GFP Miramar, LLC                  12531 Miramar Pkwy                Miramar        FL       33027      954-556-6449    Yes
    Easy Mile Naples, LLC               2650 Tamiami Trail E               Naples        FL       34112      239-417-1010    Yes
 Easy Mile Golden Gate, LLC          4955 Golden Gate Parkway              Naples        FL       34116      239-228-5000    Yes
         PFJEB, LLC                         9023 Little Rd            New Port Richey    FL     34654-4221   727-863-5292    No
   GFP North Miami, LLC                    900 NE 125th St                 Miami         FL       33161      305-884-9771    Yes
                                                                        North Miami
AGPFL North Miami Beach, LLC             1630 NE 163rd St                  Beach         FL       33162      305-947-4100    Yes
      Skipper View LLC               2546 E Bearss Ave, Unit C             Tampa         FL       33613      813-344-4488    No
    Good Looking II, LLC          3233 SE Maricamp Rd, Unit 500             Ocala        FL       34471      352-624-7301    No
    POB Management, Inc                  910 S Atlantic Ave            Ormond Beach      FL       32176      386-677-4000    No
  Ormond Beach Fitness LLC             110 S Nova Rd # 116             Ormond Beach      FL     32174-6115   386-368-7815    Yes
       PF Palatka LLC                111 Town and Country Dr               Palatka       FL       32177      386-385-3508    Yes
    PF Palm Coast 2, LLC          5615 State Hwy 100 E Unit 100         Palm Coast       FL       32164      386-387-3415    Yes
     PF Palm Coast, LLC            7 Old Kings Rd N, Units 20-32        Palm Coast       FL       32137      386-283-4973    Yes
       Palm View, LLC                   30701 US Hwy 19 N               Palm Harbor      FL       34684      727-786-1915    No
R & H Fitness Panama City, LLC      2614 Hwy 77 MLK Jr Blvd)            Panama City      FL       32405      850-215-2173    No
    AGPFL Parkland, LLC                  9535 Westview Dr              Coral Springs     FL     33076-2512   754-336-9330    Yes
  GFP Pembroke Pines, LLC                 9930 Johnson St             Pembroke Pines     FL       33024      954-885-0330    Yes
     GFP Plantation, LLC               8219 W Sunrise Blvd               Plantation      FL       33322      954-424-9190    Yes
       Plant View, LLC              1864 James L Redman Pkwy             Plant City      FL       33563      813-704-6955    No
    AGPFL Pompano, LLC                   1434 Powerline Rd                Pompano        FL       33069      954-289-3900    Yes




                                                                    I-8

