                                                                                                                                     Under
                                                                                                                                     ADA?
           Franchisee                               Address                         City         State    Zip Code       Phone       Y/N)
     Easy Mile Peachland LLC                 24123 Peachland Blvd              Port Charlotte     FL       33954      941-764-1613    Yes
Easy Mile Village Marketplace, LLC             1825 Tamiami Trl                Port Charlotte     FL     33948-1077   941-273-0030    Yes
      Tampa Riverview LLC                        9822 B US-301                   Riverview        FL       33578      813-302-1863    No
  Rockledge Atomic Fitness, LLC                 1802 US Hwy 1                    Rockledge        FL       32955      321-433-1331    No
        Easy Mile TC, LLC                      501 N Beneva Rd                    Sarasota        FL       34232      941-313-8338    Yes
     GL Satellite Beach, LLC                  1024 Highway A1A                 Satellite Beach    FL       32937      321-425-3461    No
                                       725 W Dr Martin Luther King Jr
         Seffner View LLC                             Blvd                      Seffner          FL        33584      813-575-2757    No
  Easy Mile South Naples, LLC            12725 Tamiami Trail E #128             Naples           FL        34113      239-544-9171    Yes
  Easy Mile South Sarasota LLC               8195 S Tamiami Trail              Sarasota          FL        34231      941-271-0040    Yes
 Vantage South Tallahassee, LLC               110 Paul Russell Rd            Tallahassee         FL        32301      850-692-3240    Yes
         PF Jax Two, LLC                    80 Epic Blvd, FL - 207          St. Augustine        FL        32086      904-794-0559    Yes
     Kuiken Enterprises LLC                      5335 66th St N             St. Petersburg       FL        33709      727-826-0976    No
   Vantage Capital Circle LLC           1212 Capital Circle SE, Unit C       Tallahassee         FL        32301      850-597-7375    Yes
   Vantage North Monroe LLC                    1925 N Monroe St              Tallahassee         FL        32303      850-329-6091    Yes
    Northampton Fitness LLC                2910 Kerry Forest Pkwy            Tallahassee         FL      32309-6892   850-848-5375    Yes
  Tallahassee West Fitness LLC           2020 W Pensacola St Ste 250         Tallahassee         FL      32304-0501   448-231-0800    Yes
      AGPFL Tamarac, LLC                       7501 NW 57th St                 Tamarac           FL        33319      954-526-1900    Yes
     Tampa Waterview LLC                       210 W Waters Ave                 Tampa            FL        33604      813-444-9955    No
        Fit Guys Walk LLC                     5681 E Fowler Ave                 Tampa            FL      33617-2307   813-898-8993    No
          Gunn View LLC                         5353 Gunn Hwy                   Tampa            FL        33624      813-690-8307    No
           Fit Guys LLC                       7310 W Waters Ave                 Tampa            FL        33634      813-999-4980    No
      Easy Mile Venice LLC                   4125 S Tamiami Trail               Venice           FL        34293      941-800-1430    Yes
      GFP West Pines, LLC                      14802 Pines Blvd            Pembroke Pines        FL        33027      954-969-3341    Yes
     Easy Mile Athens, LLC                 3658 Atlanta Hwy, Ste O              Athens           GA        30606      706-549-4000    No
           AP MLK LLC                3599 Martin Luther King Jr Dr SW           Atlanta          GA        30331      404-699-7620    Yes
          AP Embry LLC                    3535 Chamblee Tucker Rd               Atlanta          GA        30341      770-452-8373    Yes
    Good Looking XVI, LLC                   2860 Cumberland Mall                Atlanta          GA        30339      470-922-6171    Yes
        AP Greenbriar LLC             2841 Greenbriar Pkwy Sw Unit B            Atlanta          GA      30331-2620   404-494-3211    Yes
        AP Kirkwood LLC                      1599 Memorial Dr SE                Atlanta          GA        30317      470-851-1146    Yes
           AP Fiesta LLC               4166 Buford Hwy Ne Ste 1101b             Atlanta          GA      30345-1081   404-315-7999    Yes
        AP West End LLC                          854 Oak St SW                  Atlanta          GA        30310      404-755-6922    Yes
         AP Midtown LLC               675 W Peachtree St NW, Ste 202            Atlanta          GA        30308      404-748-4127    Yes
       AP Brookhaven LLC               3944 Peachtree Rd NE, Unit 3b         Brookhaven          GA      30319-5253   404-963-2007    Yes
         BDP Buford, LLC                         4125 Buford Dr                 Buford           GA        30518      470-589-1181    No
      Fit Guys Calhoun, LLC                  122 Wc Bryant Pkwy                Calhoun           GA        30701      706-979-4674    No
       Fit Guys Canton LLC               2243 Cumming Hwy, Ste 108              Canton           GA        30115      678-880-8113    No
   Fit Guys Cartersville, LLC           867 Joe Frank Harris Pkwy SE         Cartersville        GA        30120      678-719-8200    No
        GL Cedartown LLC                         770 N Main St               Cedartown           GA        30125      678-861-5222    Yes
   Easy Mile Commerce, LLC                  160 Banks Crossing Dr            Commerce            GA        30529      762-778-5050    Yes
         AP Conyers LLC                      1680 Highway 138 Se               Conyers           GA      30013-1281   678-413-9755    Yes
    Easy Mile Cornelia, LLC             365 Habersham Village Circle           Cornelia          GA        30531      706-894-9292    Yes
     Fit Guys Covington LLC                   3173B Hwy 278 NE                Covington          GA        30014      470-444-1740    No
       BDP Cumming, LLC                        131 Merchants Sq               Cumming            GA        30040      470-297-3555    No
          Tri Golden LLC                      1515 W Walnut Ave                 Dalton           GA        30720      706-305-4930    No
 BDP Dawsonville Georgia, LLC               78 Dawson Village Way            Dawsonville         GA        30534      706-203-1191    Yes
        AP Belvedere LLC                   3503 Memorial Dr, Ste Q             Decatur           GA        30032      404-343-1552    Yes
     AP Wesley Chapel LLC                   2460 Wesley Chapel Rd              Decatur           GA      30035-3420   678-691-0660    Yes
    Eclipse Fitness XIX, LLC              6700 Douglas Blvd Ste E-1         Douglasville         GA      30135-1861   678-884-9291    Yes
     Good Looking IV, LLC               3545 Peachtree Industrial Blvd          Duluth           GA        30096      770-622-7797    No
        AP Ellenwood LLC                  2828 E Atlanta Rd, Ste 7A          Ellenwood           GA        30294      770-742-0211    Yes
       AP Fayetteville LLC                   180 Banks Xing # 182            Fayetteville        GA      30214-7309   770-719-3451    Yes
         Fitness Four, LLC                   1887 Battlefield Pkwy         Fort Oglethorpe       GA        30742      706-406-2999    Yes
      BDP Gainesville, LLC                  1025 Dawsonville Hwy             Gainesville         GA      30501-8530   678-971-5558    No
       Fit Guys Griffin, LLC                   1207 W Taylor St                 Griffin          GA        30223      770-228-8406    No
    Good Looking VIII, LLC               4215 Jimmy Lee Smith Pkwy              Hiram            GA        30141      770-222-9363    Yes
