                                                                                                                                    Under
                                                                                                                                    ADA?
          Franchisee                                Address                        City       State    Zip Code       Phone         Y/N)
    BDP Lawrenceville, LLC            1404 Lawrenceville Suwanee Rd           Lawrenceville    GA     30043-4331   678-878-3730      No
        AP Lithonia LLC                     6152 Covington Hwy                   Lithonia      GA       30058      770-609-8593      Yes
       AP Lithonia II LLC                  8000A Rockbridge Rd                   Lithonia      GA     30058-5843   470-679-1054      Yes
       AP Loganville LLC                       310 Athens Hwy                   Loganville     GA       30052      470-679-2005      Yes
     Good Looking IX, LLC                   5590 Mableton Pkwy                  Mableton       GA       30126      770-732-0076      Yes
     Good Looking XI, LLC                       2932 Canton Rd                   Marietta      GA       30066      770-672-4464      Yes
    Good Looking XIV, LLC                1355 Roswell Rd, Ste 210                Marietta      GA       30062      678-384-4477      Yes
    Fit Guys Martinez, LLC                 222 Bobby Jones Expy                  Martinez      GA       30907      762-994-0743      No
      AP McDonough LLC                        252 Jonesboro Rd                 McDonough       GA       30253      770-898-6222      Yes
         AP Milton LLC                           13071 Hwy 9                      Milton       GA       30004      770-750-0024      Yes
       BDP Monroe, LLC                     614 Pavilion Parkway                  Monroe        GA       30655      470-758-4490      Yes
        AP Morrow LLC                    1964 Mt Zion Rd, Ste 204                Morrow        GA       30260      770-472-2518      Yes
        AP Norcross LLC                   5345 Jimmy Carter Blvd                 Norcross      GA       30093      678-615-2850      Yes
                                     7050 Jimmy Carter Blvd, Ste 115-           Peachtree
    AP Peachtree Corners LLC                         118b                        Corners      GA      30092-3257    770-696-1605     Yes
    Good Looking XVII, LLC              2667 Powder Springs Rd Sw                Marietta     GA      30064-4559    770-766-2121     Yes
        AP Riverdale LLC                       7055 Highway 85                  Riverdale     GA        30274       678-489-6644     Yes
          Tri Golden LLC                  2515 Redmond Cir NW                     Rome        GA        30165       706-309-1040     No
     Good Looking XV, LLC                   4905 Alabama Rd NE                   Roswell      GA        30075       770-864-5044     Yes
        AP Roswell II LLC                  10790 Alpharetta Hwy                  Roswell      GA        30076       770-993-4817     Yes
         AP Roswell LLC                  1570 Holcomb Bridge Rd                  Roswell      GA      30076-4703    770-645-2345     Yes
      AP Sandy Springs LLC                     6335 Roswell Rd                Sandy Springs   GA      30328-3225    404-254-1529     Yes
     Good Looking VII, LLC                   3315 S Cobb Dr Se                   Smyrna       GA      30080-4191    678-305-0606     Yes
         AP Wisteria LLC                    2420 Wisteria Dr SW                 Snellville    GA        30078       770-736-7147     Yes
       AP Stockbridge LLC                     3885 GA Hwy 138                  Stockbridge    GA        30281       678-489-7453     Yes
     AP Stone Mountain LLC                    5211 Memorial Dr               Stone Mountain   GA      30083-3112    404-299-2000     Yes
       AP Stonebridge LLC                   1900 Rockbridge Rd               Stone Mountain   GA      30087-3333    404-501-0056     Yes
 Vantage South Thomasville LLC               14669 US Hwy 19 S                 Thomasville    GA        31792       229-236-2094     Yes
          PF Tifton, LLC                      1912 Larkin Road                    Tifton      GA        31794       229-382-1553     Yes
      Easy Mile Toccoa, LLC                     620 S Big A Rd                    Toccoa      GA        30577       706-391-6209     Yes
        AP Union City LLC                     4700 Jonesboro Rd                Union City     GA        30291      ?770-306-1177?    Yes
   Vantage North Valdosta LLC                  3200 N Ashley St                  Valdosta     GA      31602-5912    229-244-0084     Yes
        PF Waycross, LLC                      2215 Memorial Dr                  Waycross      GA        31501       912-387-0376     Yes
    Fit Guys Woodstock, LLC                      299 Molly Ln                  Woodstock      GA        30189       678-903-8846     No
  Ala Moana Fitness Group LLC           Center 1450 Ala Moana Blvd              Honolulu      HI        96814       808-638-2212     Yes
    Kahala Fitness Group LLC                   4211 Waialae Ave                 Honolulu      HI      96816-5319    808-210-6830     Yes
   Puunene Fitness Group LLC                     32 Ho'okele St                  Kahului      HI        96732       808-215-7468     Yes
  Kona Island Fitness Group LLC          75-1000 Henry St, Ste 100             Kailua-Kona    HI        96740       808-451-2900     Yes
   Waianae Fitness Group LLC           86-120 Farrington Hwy, Bdg 4              Waianae      HI        96792       808-466-3844     Yes
Baseline Fitness Cedar Rapids, LLC              2801 Grand Ave                    Ames        IA        50010       515-450-5351     Yes
