                                                                                                                              Under
                                                                                                                              ADA?
         Franchisee                          Address                          City        State    Zip Code       Phone       Y/N)
  CM3 CDA Silver Lake LLC               200 W Hanley Ave                Coeur d'Alene      ID       83815      208-518-0037    Yes
 Academy Club Idaho Falls, LLC       200 S Woodruff Ave, Ste A            Idaho Falls      ID       83401      208-538-1812    No
      CM3 Lewiston LLC                     1806 19th Ave                   Lewiston        ID     83501-4068   208-298-9887    Yes
       CM3 Nampa LLC                    2040 Caldwell Blvd                  Nampa          ID       83651      208-408-0880    Yes
     CM3 Twin Falls, LLC                 1763 Fillmore St                 Twin Falls       ID       83301      208-825-3437    Yes
      BDP Addison, LLC                    525 W Lake St                     Addison        IL       60101      630-364-4218    No
      PFMW Alton LLC                3000 Homer M Adams Pkwy                  Alton         IL       62002      618-433-1816    Yes
                                                                           Arlington
 Arlington Heights Fitness, LLC             50 W Rand Rd                    Heights        IL       60004      847-749-4212    Yes
        EFG Aurora, LLC                 4306 E New York St                  Aurora         IL       60504      630-995-9555    Yes
        BDP Aurora LLC                      954 N Lake St                   Aurora         IL       60506      630-801-1700    No
 Pizzazz Fitness Belvidere, LLC            Riverside Plaza                 Belvidere       IL       61008      779-800-2143    No
    EFG Bloomingdale, LLC             152 S Gary Ave, Unit 101          Bloomingdale       IL       60108      630-582-7800    Yes
     BDP Bloomington, LLC                 1615 E Empire St               Bloomington       IL       61701      309-336-9994    Yes
     BDP Bolingbrook, LLC                  157 N Weber Rd                Bolingbrook       IL       60490      312-224-3759    No
     Bridgeview Fitness LLC            8741-51 S Harlem Ave               Bridgeview       IL       60455      708-741-1700    Yes
      Ford City Fitness LLC              7455 S Cicero Ave                  Chicago        IL       60629      708-741-1900    Yes
       Rhino Calumet, LLC               13035 S Ashland Ave              Calumet Park      IL       60827      708-629-0217    No
     Carbondale Fitness LLC             675 N Giant City Rd               Carbondale       IL       62902      618-733-3377    No
     EFG Carol Stream, LLC                891 E Geneva Rd                Carol Stream      IL       60188      331-226-0020    Yes
    BDP Champaign IL, LLC                 1901 N Market St                Champaign        IL       61822      217-356-8500    Yes
     Avenue O Fitness LLC                3512 14 E 118th St                 Chicago        IL       60617      773-359-2300    Yes
      Avondale Fitness LLC               3120 N Pulaski Rd                  Chicago        IL       60641      773-685-4140    Yes
   Back of Yards Fitness LLC             4646 S Damen Ave                   Chicago        IL     60609-4043   773-376-1010    Yes
      Chatham Fitness LLC                8331 S Holland Dr                  Chicago        IL       60620      773-488-8848    Yes
   Hyde Park IL Fitness LLC                 1301 E 47th St                  Chicago        IL     60653-4507   773-538-3136    Yes
   Little Village Fitness LLC            2558 W Cermak Rd                   Chicago        IL       60608      773-523-2345    Yes
   Logan Square Fitness LLC            2719 N California Ave                Chicago        IL       60647      773-687-9982    Yes
    Wrigleyville Fitness LLC            3636 N Broadway St                  Chicago        IL       60613      773-281-6700    Yes
