                                                                                                                                   Under
                                                                                                                                   ADA?
               Franchisee                            Address                        City       State    Zip Code       Phone       Y/N)
  Fitness at Covington Plaza, LLC           6360 W Jefferson Blvd              Fort Wayne       IN       46804      260-267-9801    Yes
          Goshen FitIN, LLC               2616 Peddlers Village Rd                Goshen        IN       46526      574-312-4251    Yes
       Greenfield Fitness LLC                    1707 Melody Ln                 Greenfield      IN       46140      317-467-8200    No
           HM Fitness, LLC                  7929 Indianapolis Blvd              Hammond         IN       46324      219-845-0700    No
        Highland Fitness, LLC                      3315 45th St                  Highland       IN       46322      219-595-5111    No
          Hobart Fitness LLC                     1901 E 37th Ave                  Hobart        IN       46342      219-940-3956    No
        Huntington FitIN, LLC                   230 S Jefferson St              Huntington      IN     46750-3324   260-200-2085    Yes
       38th Street Fitness, LLC                  5206 W 38th St                Indianapolis     IN       46254      317-328-0300    Yes
       86th Street Fitness, LLC                  2302 W 86th St                Indianapolis     IN       46260      317-731-5926    Yes
      Beech Grove Fitness, LLC               5239 E Thompson Rd                Indianapolis     IN       46237      317-780-0100    No
East Washington Avenue Fitness LLC          10429 E Washington St              Indianapolis     IN     46229-2633   317-890-9800    No
    Hardegan Street Fitness LLC                 8707 Hardegan St               Indianapolis     IN       46227      317-893-2775    No
   Kentucky Avenue Fitness LLC                3479 Kentucky Ave                Indianapolis     IN     46221-2308   317-248-0338    No
    Madison Avenue Fitness LLC                 2738 Madison Ave                Indianapolis     IN     46225-2113   317-783-5500    No
        Keystone Fitness, LLC                5302 N Keystone Ave               Indianapolis     IN       46220      317-257-7008    Yes
       Shadeland Fitness, LLC               7451 N Shadeland Ave               Indianapolis     IN     46250-2077   317-915-6000    Yes
       10th Street Fitness, LLC                  7425 W 10th St                Indianapolis     IN       46214      317-455-8500    Yes
   Kueber Fitness Louisville, LLC     2015 Jeffersonville Commons Dr          Jeffersonville    IN       47130      812-913-5704    No
         Kokomo Fitness LLC                  2160 E Markland Ave                 Kokomo         IN       46901      765-868-5000    No
        Lafayette Fitness LLC              2121 Sagamore Pkwy S                  Lafayette      IN       47905      765-446-6600    No
          LaPorte FitIN LLC                      1450 West SR 2                  La Porte       IN       46350      219-344-5362    Yes
     PFMW Lawrenceburg, LLC              401 W Eads Pkwy, Unit 200            Lawrenceburg      IN       47025      812-539-2191    No
         Lebanon Fitness LLC                   2425 N Lebanon St                 Lebanon        IN       46052      765-484-5000    Yes
       Logansport Fitness LLC                   3902 E Market St                Logansport      IN       46947      574-900-1500    No
  Kueber Fitness Evansville, LLC                 431 E Clifty Dr                 Madison        IN       47250      812-801-4444    No
         Marion Fitness, LLC            1129 N Baldwin Ave, Ste 40                Marion        IN       46952      765-400-2400    No
      Martinsville Fitness LLC                   2082 Burton Ln                Martinsville     IN     46151-3010   765-516-6800    No
           MV Fitness LLC                         520 E 81st Ave                Merrillville    IN       46410      219-750-9634    No
      Michigan City FitIN, LLC                 4067 S Franklin St             Michigan City     IN       46360      219-809-4348    Yes
     Fitness at Mishawaka, LLC               424 W McKinley Ave                 Mishawaka       IN       46545      574-255-9000    Yes
         Muncie Fitness LLC                  1301 E Mcgalliard Rd                 Muncie        IN     47303-2275   765-282-1120    No
   Kueber Fitness Louisville, LLC             3527 Grant Line Rd               New Albany       IN     47150-2147   812-542-6492    Yes
        New Haven FitIN LLC               701 Lincoln Hwy W # 709              New Haven        IN     46774-2137   260.245.6952    Yes
        Plainfield Fitness, LLC            2437 E Main St Ste 150                Plainfield     IN     46168-2715   317-837-1629    Yes
     Plymouth FitIndiana, L.L.C.              2009 N Michigan St                 Plymouth       IN       46563      574-540-4012    Yes
         Portage Fitness, LLC                    6221 US Hwy 6                    Portage       IN       46368      219-706-5059    No
     FG Fitness Richmond, LLC                 3783 National Rd E                Richmond        IN       47374      765-373-3947    Yes
            SV Fitness, LLC                     1040 US Hwy 41                 Schererville     IN     46375-1304   219-515-6973    No
       Shelbyville Fitness LLC                 2539 E State Rd 44               Shelbyville     IN       46176      317-401-8484    No
     Fitness at South Bend, LLC                 4848 Western Ave               South Bend       IN       46619      574-334-9009    Yes
      South Bend FitMI II, LLC                 1910 E Ireland Rd               South Bend       IN     46614-2863   574-703-3861    Yes
         St. John Fitness, LLC                    10103 Earl Dr                 Saint John      IN       46373      219-351-5620    No
       Terre Haute Fitness LLC            138 W Honey Creek Pkwy               Terre Haute      IN       47802      812-235-5001    No
   Terre Haute North Fitness LLC            1800 Fort Harrison Rd              Terre Haute      IN     47804-1413   930-666-0444    No
          Valpo Fitness, LLC         1270 Strongbow Center Dr, Unit 200         Valparaiso      IN       46383      219-510-5865    No
      Kueber Fitness STC, LLC                      2419 N 6th St                Vincennes       IN       47591      812-291-1590    No
          Warsaw FitIN LLC                 2874 Frontage Rd Ste 14                Warsaw        IN     46580-3912   574-549-9418    Yes
        Westfield Fitness, LLC           3440 E State Rd 32, Unit B              Westfield      IN       46074      317-896-9002    Yes
      Whitestown Fitness LLC                 6298 Mills Dr Ste 500             Whitestown       IN     46075-4533   317-930-1265    Yes
     Shreveport Fitness III, LLC                 317 N Rock Rd                     Derby        KS       67037      316-260-7474    No
         United FP JLM, LLC                       401 E 4th Ave                 Hutchinson      KS       67501      620-860-0201    Yes
         United FP JLM, LLC                     435 E Chestnut St             Junction City     KS       66441      785-530-5523    Yes
     CFP Kansas City West LLC                 10500 Parallel Pkwy              Kansas City      KS       66109      913-299-8646    No
         United FP HEN, LLC                        2525 Iowa St                  Lawrence       KS       66046      785-865-3771    Yes
         United FP HEN, LLC                     6765 Johnson Dr                   Mission       KS       66202      913-831-4050    Yes
         United FP HEN, LLC                 13509 S Mur-Len Road                  Olathe        KS       66062      913-732-9350    Yes
         United FP HEN, LLC                     11320 W 135th St              Overland Park     KS       66221      913-402-0999    No
         United FP HEN, LLC                      9331 Quivira Rd              Overland Park     KS       66215      913-717-6070    Yes
         United FP HEN, LLC                    11411 Metcalf Ave              Overland Park     KS       66210      913-788-6960    Yes
         United FP JLM, LLC                       2012 S Ohio St                   Salina       KS       67401      785-914-4182    Yes
         United FP HEN, LLC                    13320 W 62nd Ter                  Shawnee        KS       66216      913-248-2883    Yes
       Wichita Fitness IV, LLC         2190 SW Wanamaker Rd, Ste B                Topeka        KS       66614      785-286-7600    No
       Wichita Fitness II, LLC                  2350 N Maize Rd                   Wichita       KS     67205-7304   316-440-5520    No




                                                                     I - 13

