                                                                                                                              Under
                                                                                                                              ADA?
           Franchisee                          Address                         City       State    Zip Code       Phone       Y/N)
      Wichita Fitness LLC                2021 N Amidon Ave                   Wichita       KS     67203-2100   316-440-4808    No
      Wichita Fitness LLC                6592 E Central Ave                  Wichita       KS     67206-1925   316-719-3860    No
     Wichita Falls IV LLC             3535 N Rock Rd, Ste 200                Wichita       KS       67226      316-831-7380    No
   Wichita Fitness III, LLC                3113 S Seneca St                  Wichita       KS       67217      316-272-5569    No
   PFMW Alexandria, LLC                 7009 Alexandria Pike               Alexandria      KY       41001      859-448-9109    No
Kueber Fitness Arkansas, LLC             711 12th St, Ste 160                Ashland       KY       41101      606-393-6656    No
   Kueber Fitness STC, LLC        225 Kentucky Home Sq, Unit A             Bardstown       KY       40004      502-337-3181    No
Kueber Fitness Evansville, LLC           1751 Scottsville Rd            Bowling Green      KY     42104-3357   270-599-0376    No
Kueber Fitness Arkansas, LLC     399 Campbellsville Byp Ste 1050        Campbellsville     KY     42718-8831   502-208-1799    No
   Kueber Fitness STC, LLC              1560 Hustonville Rd                  Danville      KY       40422      859-755-4440    No
Kueber Fitness Evansville, LLC      1111 N Dixie Hwy, Unit 17            Elizabethtown     KY       42701      270-506-2102    No
     PFMW Florence, LLC                      8000 Mall Rd                    Florence      KY       41042      859-918-1059    No
    PFMW Ft. Wright, LLC                  470 Viewpoint Dr                 Fort Wright     KY       41017      859-331-0678    No
Kueber Fitness Arkansas, LLC                101 Allen Way                   Frankfort      KY       40601      502-234-1155    No
   Kueber Fitness STC, LLC                 101 Fitness Path               Georgetown       KY       40324      502-316-6325    No
Kueber Fitness Evansville, LLC           2068 US-41, Unit B                Henderson       KY       42420      270-957-8989    No
Kueber Fitness Arkansas, LLC          2613 Fort Campbell Blvd             Hopkinsville     KY     42240-4938   270-881-4200    No
   Kueber Fitness STC, LLC                406 S 1st St, Ste 2              La Grange       KY       40031      502-565-2929    No
      PF Lexington, LLC                1650 Bryan Station Rd                Lexington      KY     40505-2138   859-309-0063    No
  PFMW Richmond Rd, LLC                       250 Life Ln                   Lexington      KY     40502-1307   859-303-6345    No
 PMW Nicholasville Rd LLC                  125 E Lowry Ln                   Lexington      KY     40503-2402   859-303-6813    No
