                                                                                                                                Under
                                                                                                                                ADA?
            Franchisee                            Address                        City       State    Zip Code       Phone       Y/N)
       United FP ROB, LLC                   4800 Lapalco Blvd                   Marrero      LA     70072-4326   504-702-1001    Yes
       United FP ROB, LLC                    100 N Labarre Rd                   Metairie     LA       70001      504-304-8642    Yes
                                     7000 Veterans Memorial Blvd, Ste
       United FP ROB, LLC                           #C2                         Metairie    LA      70003-4437   504-949-0094    Yes
       United FP ROB, LLC                      1205 Lamy Ln                     Monroe      LA        71201      318-398-8488    Yes
      Westpark Fitness, LLC            820 E Admiral Doyle Dr, Ste E           New Iberia   LA        70560      337-608-9925    No
       United FP ROB, LLC               4001 General De Gaulle Dr             New Orleans   LA        70114      504-300-8085    Yes
       United FP ROB, LLC                   5790 Crowder Blvd                 New Orleans   LA        70127      504-309-1600    Yes
      Opelousas Fitness LLC                   901 Creswell Ln                  Opelousas    LA        70570      337-948-2000    No
       United FP ROB, LLC                      108 Sauve Rd                   River Ridge   LA        70123      504-305-6359    Yes
       United FP ROB, LLC                   103 N Service Rd E                  Ruston      LA        71270      318-436-4848    Yes
     Shreveport Fitness I, LLC       1450 E Bert Kouns Industrial Loop         Shreveport   LA      71105-5633   318-220-4911    No
     Shreveport Fitness II LLC                2729 W 70th St                   Shreveport   LA        71108      318-220-4505    No
    Shreveport Fitness III, LLC               5711 Youree Dr                   Shreveport   LA        71105      318-585-1221    No
       United FP ROB, LLC                   131 Gause Blvd W                     Slidell    LA      70460-2624   985-288-5787    Yes
       United FP ROB, LLC                       1901 Ruth St                    Sulphur     LA        70663      337-527-9845    Yes
      Thibodaux Fitness LLC                  337 N Canal Blvd                  Thibodaux    LA        70301      985-492-1044    No
       United FP ROB, LLC                   115 Constitution Dr               West Monroe   LA        71292      318-388-6000    Yes
         Andover Fit, LLC             Shawsheen Plaza, 209 N Main St            Andover     MA        01810      978-409-2363    Yes
 Keystone NFP Belchertown, LLC               40 Turkey Hill Rd                Belchertown   MA        01007      413-323-1003    No
         Billerica Fit, LLC                    480 Boston Rd                    Billerica   MA      01821-2709   978-667-5900    Yes
   Newbury Fitness Group LLC                  361 Newbury St                    Boston      MA      02115-2738   857-302-0860    Yes
  3521 Washington Street Fitness
            Group LLC                    3525 Washington Street               Boston        MA        02130      857-453-3443    Yes
  Core Fitness of Braintree, LLC              749 Granite St                Braintree       MA        02184      781-428-3382    Yes
