                                                                                                                                  Under
                                                                                                                                  ADA?
             Franchisee                             Address                      City         State   Zip Code        Phone       Y/N)
     Core Fitness of Natick, LLC                215 W Central St                Natick        MA       01760       508-319-2000    Yes
        Newburyport Fit LLC                      45 Storey Ave               Newburyport      MA       01950       978-462-2500    Yes
 Keystone NFP North Adams, LLC                     82 Main St                North Adams      MA       01247       413-664-7300    No
  Keystone NFP Northampton, LLC                  122 N King St               Northampton      MA       01060       413-727-8885    No
Core Fitness of North Attleboro LLC           40 Cumberland Ave             North Attleboro   MA       02760       508-639-5382    Yes
         Norton RU One LLC                    175 Mansfield Ave                 Norton        MA       02766       508-226-7400    No
    Core Fitness of Norwood, LLC                 418 Walpole St                Norwood        MA       02062       781-762-3555    Yes
    Keystone NFP Pittsfield, LLC                 690 Merrill Rd                Pittsfield     MA       01201       413-445-5100    No
            HWGA, LLC                          84 Shops at 5 Way               Plymouth       MA       02360       508-732-8900    No
           AP Quincy LLC                          50 Adams St                   Quincy        MA       02169       617-471-3333    No
           Reading Fit, LLC                       275 Salem St                 Reading        MA       01867       781-872-1412    Yes
           AP Revere LLC                         270 Charger St                 Revere        MA       02151       781-629-5409    No
         AP Wonderland LLC                     151 VFW Pkwy H                   Revere        MA       02151       781-629-5626    No
     Core Fitness of Saugus, LLC                367 Broadway St                 Saugus        MA       01906       781-813-3757    Yes
  Core Fitness of Shrewsbury, LLC               100 Boston Tpke               Shrewsbury      MA       01545       508-755-4110    Yes
      RISMA-SMS Fitness, LLC                 887 Grand Army Hwy                Somerset       MA       02726       774-365-6470    Yes
Core Fitness of South Yarmouth, LLC            17 Long Pond Dr              South Yarmouth    MA       02664       508-760-2300    Yes
 Keystone NFP Springfield - Liberty,
                 LLC                            1387 Liberty St                 Springfield   MA        01104      413-788-0448    No
 Keystone NFP Springfield - Parker,
                 LLC                              510 Parker St              Springfield      MA        01129      413-782-6000    No
   Core Fitness of Stoughton, LLC              638 Washington St             Stoughton        MA        02072      781-436-8133    Yes
   Core Fitness of Sturbridge, LLC                 194 Main St               Sturbridge       MA      01566-1258   774-490-9061    Yes
        Taunton RU Two LLC                       690 County St                 Taunton        MA        02780      508-821-3260    No
   Core Fitness of Tewksbury, LLC                  553 Main St               Tewksbury        MA      01876-5240   351-500-7104    Yes
          Townsend Fit, LLC                         18 Main St               Townsend         MA        01469      978-300-5490    Yes
    Core Fitness of Waltham, LLC                108 Clematis Ave              Waltham         MA        02453      781-891-6002    Yes
   Core Fitness of Wareham, LLC              2991 Cranberry Hwy               Wareham         MA        02538      774-678-0496    Yes
     Core Fitness of Newton LLC                 191 Watertown St             Watertown        MA        02472      617-467-4890    Yes
    Core Fitness of Webster, LLC                 114 E Main St                 Webster        MA        01570      508-461-5544    Yes
  Core Fitness of Westborough LLC              166 Milk St, #1114           Westborough       MA      01581-1156   508-948-0411    Yes
      New England Fitness, Inc.                184 W Boylston St            West Boylston     MA        01583      508-835-2551    No
    Keystone NFP Westfield, LLC                 93 Springfield St.            Westfield       MA        01085      413-568-0578    No
