                                                                                                                              Under
                                                                                                                              ADA?
           Franchisee                             Address                     City        State    Zip Code       Phone       Y/N)
       Fenton FitMI, LLC                       3150 Owen Rd                 Fenton         MI     48430-1838   810-714-8000    Yes
         EFG Flint, LLC                      3333 S Linden Rd           Flint Township     MI       48507      810-733-5400    Yes
     EFG Garden City, LLC                   5866 Middlebelt Rd           Garden City       MI       48135      734-742-5924    Yes
     Grand Blanc FitMI, LLC                 11527 S Saginaw St           Grand Blanc       MI       48439      810-866-4911    Yes
      JP Grand Haven, LLC                  1305 S Beacon Blvd            Grand Haven       MI       49417      616-414-7121    No
     EFG Grand Rapids, LLC                     3681 28th St Se          Grand Rapids       MI     49512-1707   616-464-2000    Yes
   JP West Grand Rapids, LLC           2807 Lake Michigan Dr NW         Grand Rapids       MI       49504      616-805-4686    No
    EFG Grand Rapids II, LLC               234 Market Ave, SW           Grand Rapids       MI       49503      616-551-0981    Yes
      EFG Grandville, LLC               3845 Rivertown Pkwy Sw            Grandville       MI     49418-3141   616-259-7485    Yes
       JP Greenville, LLC                300 S Greenville West Dr         Greenville       MI     48838-1594   616-232-2269    No
       Hartland FitMI LLC                   10552 Highland Rd              Hartland        MI     48353-2623   810-746-9508    Yes
                                    Holland Town Center, 12330 James
         JP Fitness, LLC                              St                    Holland        MI       49424      616-396-9696    No
     JP South Holland, LLC                      661 E 24th St               Holland        MI       49423      616-377-5049    No
         CF of Holt, LLC                        2380 Cedar St                 Holt         MI       48842      517-694-5500    Yes
       Howell FitMI, LLC                 1135 E Grand River Ave             Howell         MI       48843      517-338-9800    Yes
        EFG Jackson, LLC                     1855 N Wisner St               Jackson        MI       49202      517-784-5551    Yes
     Kalamazoo FitMI, LLC                     4408 Stadium Dr             Kalamazoo        MI     49008-1447   269-488-8518    Yes
      EFG Kentwood, LLC                    5270 Eastern Ave, SE            Kentwood        MI       49508      616-288-5121    Yes
      EFG Lake Orion, LLC                    1101 S Lapeer Rd             Lake Orion       MI       48360      248-783-7200    Yes
Cambridge Fitness of Lansing, LLC         5833 W Saginaw Hwy                Lansing        MI     48917-2460   517-321-3300    Yes
        Lapeer FitMI, LLC                   1935 W Genesee St                Lapeer        MI       48446      810-660-7882    Yes
        EFG Livonia, LLC                 29475 W Seven Mile Rd              Livonia        MI       48152      248-427-0043    Yes
      EFG Livonia II, LLC                   37685 Five Mile Rd              Livonia        MI       48154      734-744-4011    Yes
      Marysville FitMI LLC                   2305 Gratiot Blvd            Marysville       MI     48040-1282   810-276-7208    Yes
       EFG Midland, LLC                      6834 Eastman Ave               Midland        MI       48642      989-832-7300    Yes
        EFG Milford, LLC                      161 S Milford Rd              Milford        MI       48381      248-717-3554    Yes
       Monroe FitMI, LLC               2121 N Monroe St, Unit 440           Monroe         MI       48162      734-289-9800    Yes
     EFG MT Clemens, LLC                   50 N Groesbeck Hwy          Mount Clemens       MI       48043      586-649-7841    Yes
   Mount Pleasant FitMI, LLC                 2135 S Mission St            Mt Pleasant      MI       48858      989-317-3615    Yes
       JP Muskegon, LLC                        2520 Henry St              Muskegon         MI     49441-3024   231-747-6541    No
    JP North Muskegon LLC                    1501 E Apple Ave             Muskegon         MI       49442      231-375-8187    No
  Water Wheel Health Club, Inc.                 235 E Main St              Northville      MI       48167      248-449-7634    No
         Novi FitMI, LLC                       31124 Beck Rd                  Novi         MI       48377      248-668-1100    No
         EFG Novi, LLC                    26885 Adell Center Dr               Novi         MI       48375      248-516-3572    Yes
       EFG Oak Park, LLC                   13151 W 10 Mile Rd              Oak Park        MI       48237      248-677-4757    Yes
Cambridge Fitness of Okemos, LLC         1982 W Grand River Ave             Okemos         MI     48864-1736   517-381-8200    Yes
       Owasso FitMI, LLC                       1580 E Main St               Owosso         MI       48867      989-720-8484    Yes
        JP Plainfield, LLC                4180 Plainfield Ave NE        Grand Rapids       MI     49525-1648   616-226-6701    No
       EFG Plymouth, LLC                       250 N Main St               Plymouth        MI       48170      734-392-7080    Yes
       Portage FitMI, LLC                 6420 S Westnedge Ave              Portage        MI       49002      269-459-8899    Yes
      EFG Port Huron, LLC                 4350 24th Ave Ste 504           Fort Gratiot     MI     48059-3852   810-385-7400    Yes
       EFG Redford, LLC                     27330 Plymouth Rd               Redford        MI       48239      313-694-3233    Yes
    EFG Rochester Hills, LLC                345 S Livernois Rd          Rochester Hills    MI     48307-1839   248-923-2014    Yes
      EFG Royal Oak, LLC                      2560 Crooks Rd              Royal Oak        MI       48073      248-629-9095    Yes
       EFG Saginaw, LLC                      4572 State St Ste 1            Saginaw        MI     48603-3803   989-799-1300    Yes
      EFG Saginaw II, LLC                 2270 Tittabawassee Rd             Saginaw        MI     48604-9427   989-321-9350    Yes
        Saline FitMI LLC                   932 E Michigan Ave                Saline        MI     48176-1586   734-977-2021    Yes
      EFG Shelby III, LLC                     2020 Auburn Rd           Shelby Township     MI       48317      586-803-3766    Yes
     EFG Shelby Plaza, LLC           Shelby Plaza, 8260 23 Mile Rd     Shelby Township     MI       48316      586-884-4295    Yes
      EFG Southfield, LLC                  29816 Southfield Rd             Southfield      MI       48076      248-327-6131    Yes
      Southgate FitMI, LLC                    13591 Eureka Rd              Southgate       MI       48195      734-281-7828    No
  EFG Sterling Heights II, LLC            13255 Fifteen Mile Rd        Sterling Heights    MI       48312      586-825-2020    Yes
   EFG Sterling Heights, LLC                   40752 Ryan Rd           Sterling Heights    MI       48310      586-274-2310    Yes
        EFG Taylor, LLC                     11420 Telegraph Rd               Taylor        MI       48180      734-947-9119    Yes
       EFG Taylor II, LLC                     22565 Ecorse Rd                Taylor        MI       48180      313-254-2059    Yes
   BDP Traverse City MI, LLC               3111 S Airport Rd W           Traverse City     MI       49684      231-714-3383    No
         EFG Troy, LLC                         288 John R Rd                  Troy         MI       48083      248-588-0141    Yes
        EFG Troy II, LLC                     2880 W Maple Rd                  Troy         MI       48084      248-712-6672    Yes
     EFG Shelby Twp, LLC                   45501 Schoenherr Rd               Utica         MI     48315-6023   586-726-4840    Yes
    Players Athletic Club, Inc.          13750 E Eleven Mile Rd             Warren         MI       48089      586-774-6900    Yes
        EFG Warren, LLC                    8393 Twelve Mile Rd              Warren         MI       48093      586-806-5618    Yes
      Waterford FitMI, LLC                   5142 Highland Rd              Waterford       MI       48327      248-599-9795    No




                                                                   I - 18

