                                                                                                                                 Under
                                                                                                                                 ADA?
             Franchisee                            Address                        City       State    Zip Code       Phone       Y/N)
         EFG Wayne, LLC                    34610 W Michigan Ave                 Wayne         MI       48184      734-486-1607    Yes
    EFG West Bloomfield, LLC                6433 Orchard Lake Rd           West Bloomfield    MI       48322      248-847-3815    Yes
        EFG Westland, LLC                      34634 Warren Rd                 Westland       MI       48185      734-525-4800    Yes
       EFG Woodhaven, LLC                       19001 West Rd                Woodhaven        MI       48183      734-675-1800    Yes
        EFG Wyoming, LLC                        958 28th St SW                Wyoming         MI       49509      616-649-3833    Yes
       Ypsilanti Fitness, LLC                2748 Washtenaw Ave                Ypsilanti      MI       48197      734-390-0139    Yes
  Baseline Fitness Minnesota LLC               7382 153rd St W               Apple Valley    MN        55124      952-595-6464    Yes
  Baseline Fitness Minnesota LLC              10650 Baltimore St                Blaine       MN        55449      763-270-5601    Yes
  Baseline Fitness Minnesota LLC           4405 Pheasant Ridge Dr               Blaine       MN        55449      763-208-7265    Yes
Baseline Fitness Bloomington, LLC             10590 France Ave S            Bloomington      MN        55431      952-948-1000    Yes
  Baseline Fitness Minnesota LLC               14136 Baxter Dr                 Brainerd      MN        56425      218-270-2036    Yes
Baseline Fitness Brooklyn Park, LLC          8081 Brooklyn Blvd             Brooklyn Park    MN        55428      763-424-4447    Yes
  Baseline Fitness Minnesota LLC             14232 Burnhaven Dr               Burnsville     MN      55306-4930   952-303-4300    Yes
                                                                              Columbia
  Baseline Fitness Minnesota LLC                   5045 51st Ct                 Heights      MN        55421      763-432-0996    Yes
  Baseline Fitness Minnesota LLC           60 Coon Rapids Blvd Nw            Coon Rapids     MN      55448-5809   763-784-7677    Yes
  Baseline Fitness Minnesota LLC           12658 Riverdale Blvd Nw           Coon Rapids     MN      55448-6711   763-270-2090    Yes
  Baseline Fitness Minnesota LLC      7240 E Point Douglas Rd S, Ste 210    Cottage Grove    MN        55016      651-200-3824    Yes
   Baseline Fitness Crystal, LLC                203 Willow Bend                 Crystal      MN        55428      763-537-1321    Yes
  Baseline Fitness Minnesota LLC          2325 Mountain Shadow Dr               Duluth       MN      55811-3803   218-607-0680    Yes
  Baseline Fitness Minnesota LLC       1278 Town Centre Dr, Space #135           Eagan       MN        55123      651-330-6135    Yes
  Baseline Fitness Minnesota LLC                 11609 Leona Rd              Eden Prairie    MN      55344-3804   612-452-5490    Yes
  Baseline Fitness Minnesota LLC                3441 Hazelton Rd                 Edina       MN        55435      612-452-5030    Yes
  Baseline Fitness Minnesota LLC                19250 Freeport St             Elk River      MN        55330      763-274-1296    Yes
  Baseline Fitness Minnesota LLC            18350 Orchard Trail Rd            Lakeville      MN        55044      952-460-1118    Yes
  Baseline Fitness Minnesota LLC                  1859 Adams St                Mankato       MN      56001-4867   507-779-7711    Yes
  Baseline Fitness Minnesota LLC             12059 Elm Creek Blvd           Maple Grove      MN        55369      763-205-6918    Yes
  Baseline Fitness Minnesota LLC              2852 26th Ave South            Minneapolis     MN        55406      612-236-4176    Yes
  Baseline Fitness Minnesota LLC                   11323 MN-7                Minnetonka      MN        55343      952-500-8627    Yes
  Baseline Fitness Minnesota LLC              4900 County Rd 101             Minnetonka      MN        55345      952-446-7982    Yes
  Baseline Fitness Minnesota LLC              12431 Wayzata Blvd             Minnetonka      MN      55305-1974   952-395-0560    Yes
  Baseline Fitness Moorhead, LLC                  800 Holiday Dr              Moorhead       MN        56560      218-477-1955    Yes
     DSG Rochester MN, LLC                      1021 15th Ave SE              Rochester      MN        55904      507-258-6283    No
  Baseline Fitness Minnesota LLC              1750 Highway 36 W               Roseville      MN        55113      651-200-3166    Yes
  Baseline Fitness Minnesota LLC                 1633 17th Ave E              Shakopee       MN        55379      952-445-3806    Yes
  Baseline Fitness Minnesota LLC               2540 W Division St             St. Cloud      MN        56301      320-774-3711    Yes
  Baseline Fitness Minnesota LLC                  2401 W 7th St                 St. Paul     MN        55116      651-447-2294    Yes
  Baseline Fitness Minnesota LLC              2167 Old Hudson Rd                St. Paul     MN        55119      651-330-4333    Yes
  Baseline Fitness Minnesota LLC                 1820 Market Dr               Stillwater     MN        55082      651-342-0681    Yes
  Baseline Fitness Minnesota LLC                 1675 S Robert St           West St. Paul    MN        55118      651-340-5186    Yes
  Baseline Fitness Minnesota LLC                 1930 Buerkle Rd           White Bear Lake   MN        55110      651-444-8218    Yes
        PFMW Ballwin LLC                     14890 Manchester Rd               Ballwin       MO        63011      636-438-5091    Yes
       United FP HEN, LLC                       124 Cedar Tree Sq               Belton       MO      64012-2132   816-322-3395    Yes
       United FP HEN, LLC                     601 SW US 40 Hwy.              Blue Springs    MO        64014      816-228-7327    Yes
      PMW Brentwood LLC                           8340 Eager Rd               Brentwood      MO      63144-1412   314-405-2081    Yes
      PFMW Bridgeton LLC                 12425 Saint Charles Rock Rd          Bridgeton      MO      63044-2507   314-274-2830    Yes
   Cape Girardeau Fitness LLC                  2136 William Street         Cape Girardeau    MO        63703      573-339-2002    No
       United FP JLM, LLC                      2101 W. Broadway               Columbia       MO        65203      573-355-5858    Yes
       United FP JLM, LLC                 205 E Nifong Blvd, Ste 100          Columbia       MO        65203      573-303-9192    Yes
     PFMW Crestwood, LLC                       9450 Watson Road               Crestwood      MO        63126      314-849-2725    Yes
         PMW Fenton LLC                     687 Gravois Bluffs Blvd             Fenton       MO      63026-7715   636-600-0168    Yes
      PFMW Ferguson, LLC                    10803 W. Florissant Ave            Ferguson      MO        63136      314-755-1890    Yes
         PFMW Festus LLC                         1318 Shapiro Ln                Festus       MO        63028      636-933-9497    Yes
      PFMW Florissant LLC             175 Flower Valley Shopping Center       Florissant     MO        63033      314-274-2007    Yes
       United FP HEN, LLC                 4545 B South Noland Road          Independence     MO        64055      816-478-7095    Yes
       United FP HEN, LLC                       2337 S Route 291            Independence     MO        64057      913-826-6432    Yes
   BDP Jefferson City MO, LLC                  3239 Missouri Blvd           Jefferson City   MO      65109-5722   573-636-0470    No
    Excel Fitness BEB X LLC                     2113 Geneva Ave                  Joplin      MO        64801      417-208-9565    Yes
       United FP HEN, LLC                2415 North East Vivion Road         Kansas City     MO        64118      816-413-8249    Yes
       United FP HEN, LLC                  470 Northeast Barry Road          Kansas City     MO        64155      816-420-0700    Yes
       United FP HEN, LLC               1201 E Emanuel Cleaver II Blvd       Kansas City     MO        64110      816-237-7001    Yes
       United FP HEN, LLC                         8720 E 63rd St             Kansas City     MO      64133-4726   816-353-7352    Yes
       United FP HEN, LLC                     6238 N Chatham Ave             Kansas City     MO      64151-2472   816-293-3040    Yes




                                                                       I - 19

