                                                                                                                                    Under
                                                                                                                                    ADA?
        Franchisee                           Address                             City         State   Zip Code        Phone         Y/N)
     Wadsworth Fit, LLC             1048 Williams Reserve Blvd                Wadsworth        OH      44281       330-334-0550      No
                                                                              West Chester
     PFMW Liberty, LLC                    7481 Foster Ln                       Township       OH        45069      513-755-0048      No
     Westerville Fit, LLC                865 Polaris Pkwy                     Westerville     OH        43082      614-423-6199      No
   Westerville Plaza Fit, LLC            Westerville Plaza                    Westerville     OH        43081      614-310-4544      No
  Hamilton Road Fitness, LLC            920 S Hamilton Rd                      Columbus       OH        43213      614-601-5556      No
Cambridge Fitness of Willowick,
              LLC                  30008 Lake Shore Blvd Unit 5             Willowick         OH      44095-4615   440-944-9000      No
    United FP LOM, LLC                    1215 Rombach Ave                 Wilmington         OH        45177      937-566-0206      Yes
       Wooster Fit LLC                      2075 Portage Rd                   Wooster         OH        44691      330-601-1000      No
    Worthington Fit, LLC                    104 Dillmont Dr                 Columbus          OH        43235      614-844-6100      No
   Ohio Fit Zanesville, LLC                 3575 Maple Ave                  Zanesville        OH        43701      740-487-1723      No
  ARD Fitness Partners, LLC             1211 N Commerce St                   Ardmore          OK        73401      580-352-5134      Yes
  Excel Fitness BEB IX, LLC           514 SE Washington Blvd                Bartlesville      OK        74006      539-202-1361      Yes
   Excel Fitness TJ V, LLC                   1808 N Elm St                Broken Arrow        OK        74012      918-739-6224      Yes
  Excel Fitness BEB V, LLC             215 N Lynn Riggs Blvd                Claremore         OK        74017      918-923-0162      Yes
  DUN Fitness Partners, LLC                 2380 N Hwy 81                     Duncan          OK        73533      580-352-5121      Yes
    United FP JLM, LLC                   2209 W Edmond Rd                    Edmond           OK        73003      405-697-1700      Yes
    United FP JLM, LLC                  800 W Broadway Ave                      Enid          OK        73703      580-297-8221      Yes
 Lawton Fitness Holdings, LLC            3801 NW Cache Rd                     Lawton          OK        73505      580-344-0782      Yes
    United FP JLM, LLC                5701 E Reno Ave, Ste B              Midwest City        OK        73110      405-458-9900      Yes
  Excel Fitness BEB 12, LLC              2416 E Shawnee Rd                  Muskogee          OK        74403      918-238-2950      Yes
    United FP JLM, LLC                     1000 Alameda St                    Norman          OK      73071-5265   405-633-1900      Yes
    United FP JLM, LLC               9118 S Western Ave, Ste A            Oklahoma City       OK        73139      405-237-3709      Yes
    United FP JLM, LLC                  4202 NW Expressway                Oklahoma City       OK        73116      405-242-4141      Yes
    United FP JLM, LLC                10908 N May Ave, Ste A              Oklahoma City       OK        73120      405-697-1750      Yes
    United FP JLM, LLC                     2936 SW 59th St                Oklahoma City       OK        73119      405-605-8150      Yes
    United FP JLM, LLC                       2620 N 14th St                 Ponca City        OK        74601      580-304-7200      Yes
  Excel Fitness BEB 13, LLC                61 W Morrow Rd                  Sand Springs       OK        74063      918-977-3773      Yes
    United FP JLM, LLC                 600 W Independence St                 Shawnee          OK        74804      405-695-6888      Yes
   Excel Fitness TJ II, LLC                  8405 E 91st Pl                    Tulsa          OK        74133      539-664-7592      Yes
    United FP JLM, LLC                    805 E Virginia Ave                 Stillwater       OK        74075      405-338-1818      Yes
   Excel Fitness TJ III, LLC              6925 E Admiral Pl                    Tulsa          OK      74115-8708   539-664-7602      Yes
    Excel Fitness TJ, LLC                    5313 E 41st St                    Tulsa          OK        74135      918-238-1890      Yes
   Excel Fitness TJ IV, LLC                 1331 E 71st St S                   Tulsa          OK        74136      539-525-9151      Yes
    United FP JLM, LLC                1101 Garth Brooks Blvd                  Yukon           OK        73099      405-350-3100      Yes
     Easy Mile US, LLC                     1880 14th Ave SE                   Albany          OR      97322-8501   541-872-8000      Yes
        Aloha Fit, LLC             20225 SW Tualatin Valley Hwy                Aloha          OR      97003-1755   503)608-7286      Yes
       Murrayhill, LLC                   14755 Sw Teal Blvd                 Beaverton         OR      97007-8109   503-430-8586      Yes
     Greenwood Fit LLC                725 NE Greenwood Ave                     Bend           OR        97701      541-306-6084      Yes
    GMS Coos Bay, LLC                    1236 Teakwood Ave                   Coos Bay         OR        97420      541-512-5858      No
     Easy Mile US, LLC                      1900 NW 9th St                   Corvallis        OR        97330      541-752-8000      Yes
     Easy Mile US, LLC                 2370 West 11th Avenue                  Eugene          OR        97402      541-465-9000      Yes
FJM Grants Pass Associates LLC           1555 Williams Hwy                  Grants Pass       OR        97527      541-434-9588      No
     Easy Mile US, LLC                   2456 E Powell Blvd                  Gresham          OR      97080-1311   503-342-7000      Yes
                                  1001 SE Tualatin Valley Hwy, Ste
        Shute Fit, LLC                            B15                           Hillsboro     OR      97123-5098    503-596-2119     Yes
       K Falls Fit, LLC                       2740 S 6th St                   Klamath Falls   OR        97603       541-591-2496     Yes
      Easy Mile US, LLC               1199 NE Highway 99W                     McMinnville     OR        97128       503-472-7600     Yes
    Milwaukie MP Fit, LLC                  10898 Se Oak St                     Milwaukie      OR      97222-6694    503-744-0494     Yes
  FJMPF Medford North LLC              3655 Crater Lake Hwy                     Medford       OR        97504       541-414-6683     No
     Beavercreek Fit, LLC             19003 S Beavercreek Rd                  Oregon City     OR        97045       503.344.4366     Yes
      Easy Mile US, LLC                  1640 NE 122nd Ave                      Portland      OR        97230      ?503-254-4000?    Yes
    Raleigh Hills Fit, LLC               8235 SW Apple Way                      Portland      OR        97225      ?503-477-4107?    Yes
      Easy Mile US, LLC                  2330 SE 182nd Ave                      Portland      OR        97233       503-912-3572     Yes
      Southgate Fit LLC                  10319 SE 82nd Ave                      Portland      OR        97266       503-974-9737     Yes
      Easy Mile US, LLC                   9280 SE Foster Rd                     Portland      OR        97266       503-771-3000     Yes
    FJMPF Roseburg, LLC           2100 NW Stewart Pkwy, Ste 120                 Roseburg      OR        97471       541-537-4392     No
    Aneroid Holdings, LLC               2787 Lancaster Dr NE                     Salem        OR        97305       503-990-8114     Yes
     Creek Plaza Fit, LLC                 16852 SW Edy Rd                      Sherwood       OR        97140       503-610-1731     Yes
     FJMPF Medford LLC                  1341 Center Dr, Ste A                   Medford       OR        97501       541-897-6323     No
     Commercial Fit, LLC              5240 Commercial St SE                      Salem        OR        97306       971-332-5447     Yes
      Easy Mile US, LLC                       4223 Main St                     Springfield    OR        97478       541-744-9000     Yes
     Town Square Fit LLC            16200 Pacific Highway, Ste N                 Tigard       OR        97224       971-724-0867     Yes




                                                                     I - 28

