                                                                                                                                Under
                                                                                                                                ADA?
            Franchisee                          Address                         City        State    Zip Code       Phone       Y/N)
      Tigard Triangle Fit, LLC          7255 SW Dartmouth St                   Tigard        OR     97223-8623   503-746-6489    Yes
         Team Fitness, LLC                4701 W Tilghman St                Allentown        PA     18104-3211   610-366-1020    No
   Keystone NFP Altoona, LLC           3240 Pleasant Valley Blvd              Altoona        PA       16602      814-283-8899    Yes
   Keystone NFP Ardmore, LLC          50 Greenfield Ave, 2nd floor           Ardmore         PA       19003      484-416-3017    Yes
     Keystone NFP Aston, LLC                4952 Pennell Rd                    Aston         PA       19014      610-485-0800    Yes
  Keystone NFP Street Road, LLC              1851 Street Rd                  Bensalem        PA     19020-4351   215-645-1181    Yes
    PF Bethel Park Fitness, LLC             5821 Library Rd                Bethel Park       PA       15102      412-595-1010    Yes
    DJD Fitness Bethlehem Inc.              1740 Stefko Blvd                Bethlehem        PA       18017      610-849-2130    No
   FG Fitness Bloomsburg LLC             225 Columbia Mall Dr              Bloomsburg        PA       17815      570-317-2729    Yes
    PF Bridgeville Fitness, LLC          1025 Washington Pike               Bridgeville      PA       15017      412-861-8120    Yes
    Keystone NFP Bristol, LLC            232 Commerce Circle                   Bristol       PA       19007      215-240-6521    Yes
   Keystone NFP Broomall, LLC             2920 Springfield Rd                Broomall        PA       19008      484-420-4676    Yes
      FG Fitness Butler, LLC               152 Alameda Plaza                   Butler        PA       16001      724-256-9500    Yes
   Keystone NFP Carlisle, LLC           1186 Walnut Bottom Rd                 Carlisle       PA     17015-9578   717-701-8581    Yes
  PF Castle Shannon Fitness, LLC       300 Mount Lebanon Blvd             Castle Shannon     PA       15234      412-318-8980    Yes
 Keystone NFP Chambersburg, LLC           1695 Lincoln Way E              Chambersburg       PA       17202      717-261-9980    Yes
  Keystone NFP Cheltenham, LLC               1000 Easton Rd                  Wyncote         PA       19095      267-403-5199    Yes
    Keystone NFP Clifton, LLC            5210 W Baltimore Ave             Clifton Heights    PA       19018      610-626-1770    Yes
      PF Crafton Fitness, LLC                 1 Foster Ave                    Crafton        PA       15205      412-520-8810    Yes
                                                                            Cranberry
    FG Fitness Cranberry, LLC               47 Dutilh Rd                     Township        PA       16066      724-553-5222    Yes
  Keystone NFP Doylestown, LLC            442 N Main Street                Doylestown        PA       18901      267-895-3711    Yes
  Keystone NFP Drexel Hill, LLC         830 N Lansdowne Ave                 Drexel Hill      PA       19026      484-461-1229    Yes
      FG Fitness Dubois, LLC           5820 Shaffer Rd, Ste 203               DuBois         PA       15801      814-299-8282    Yes
      DJD Fitness Easton Inc.          3143 William Penn Hwy                   Easton        PA       18045      610-438-5590    No
 Keystone NFP Elizabethtown, LLC          1605 S Market St                Elizabethtown      PA     17022-2852   717-955-8094    Yes
    Keystone NFP Enola, LLC                314 E Penn Dr                       Enola         PA       17025      717-510-6456    Yes
    Keystone NFP Etters, LLC              42 Robinhood Dr                      Etters        PA       17319      717-616-3323    Yes
  Keystone NFP Flourtown, LLC            825 Bethlehem Pike                 Flourtown        PA       19031      215-948-3946    Yes
   Keystone NFP Hampden, LLC              4850 Carlisle Pike              Mechanicsburg      PA       17050      717-761-1202    Yes
                                                                             Hampton
PF Hampton Township Fitness, LLC       4848 William Flynn Hwy                Township        PA       15101      412-755-8020    Yes
Keystone NFP Harrisburg - East, LLC       480 Port View Dr                  Harrisburg       PA       17111      717-558-9821    Yes
 Keystone NFP Harrisburg - North,
                LLC                      6021 Allentown Blvd               Harrisburg        PA       17112      717-526-6932    Yes
      FG Fitness Hazleton LLC               5 Laurel Mall Dr                 Hazleton        PA       18202      570-751-5447    Yes
     FG Fitness Hermitage LLC                2982 E State St                Hermitage        PA       16148      724-308-6563    Yes
    Keystone NFP Hershey, LLC                 1170 Mae St                 Hummelstown        PA       17036      717-995-3600    Yes
     Indiana West Fitness, LLC            2440 Philadelphia St                Indiana        PA     15701-1535   724-723-1340    No
    Keystone NFP Jamison, LLC                 2395 York Rd                   Jamison         PA     18929-1071   215-488-7171    Yes
  Keystone NFP Jenkintown, LLC             1619 The Fairway                Jenkintown        PA       19046      215-277-1265    Yes
       United FP LOM, LLC               600 Galleria Dr, Ste 100            Johnstown        PA       15904      814-254-4414    Yes
Pizzazz Fitness Kennett Square, LLC       New Garden Center               Kennett Square     PA       19348      484-202-7823    No
   Keystone NFP Kutztown, LLC             15260 Kutztown Rd                 Kutztown         PA       19530      814-374-2556    Yes
   Keystone NFP Columbia, LLC             1786 Columbia Ave                 Columbia         PA       17512      717-342-2049    Yes
    Keystone NFP Ephrata, LLC              379 N Reading Rd                   Ephrata        PA       17522      717-733-5555    Yes
  Keystone NFP Granite Run, LLC              366 Carerra Dr                  Lancaster       PA       17601      717-560-6560    Yes
   Keystone NFP Lititz Pike, LLC            1515 Lititz Pike                 Lancaster       PA     17601-6505   717-346-0133    Yes
  Keystone NFP Millersville, LLC         1319 Millersville Pike              Lancaster       PA     17603-6613   717-397-8623    Yes
   Keystone NFP Willow St, LLC            2600 Willow St Pike             Willow Street      PA       17584      717-340-2626    Yes
       GFP Langhorne, LLC                  1405 Lincoln Hwy                 Levittown        PA       19056      215-949-2900    No
    Keystone NFP Lansdale, LLC             1758 Allentown Rd                 Lansdale        PA       19446      267-641-1100    Yes
       United FP LOM, LLC             1020 Latrobe 30 Plz, Ste 416            Latrobe        PA       15650      724-879-8610    Yes
    Keystone NFP Lebanon, LLC          2231 Lebanon Valley Mall              Lebanon         PA     17042-2568   717-273-3055    Yes
   Keystone NFP Lewisburg, LLC           7415 Westbranch Hwy                Lewisburg        PA       17837      570-939-3200    Yes
    Keystone NFP Limerick, LLC         33 W Ridge Pike, Ste 401            Royersford        PA       19468      484-791-2220    Yes
        Pizzazz Fitness, Inc.              271 Lancaster Ave                 Malvern         PA     19355-1884   484-568-5100    No
      McCandless Fitness LLC               9805 Mcknight Rd                 Pittsburgh       PA     15237-6008   412-981-5105    Yes
    PF McKeesport Fitness, LLC               4313 Walnut St                Mckeesport        PA       15132      412-465-3940    Yes
Keystone NFP Mechanicsburg, LLC           101 Gettysburg Pike             Mechanicsburg      PA       17055      717-591-2332    Yes
 Keystone NFP Silver Spring, LLC           6520 Carlisle Pike             Mechanicsburg      PA     17050-5251   717-265-9200    Yes
   FG Fitness Beaver Valley, LLC           3938 Brodhead Rd                   Monaca         PA       15061      724-728-1100    Yes
    PF Monroeville Fitness, LLC         3813 William Penn Hwy              Monroeville       PA       15146      412-717-1890    Yes




                                                                     I - 29

