                                                                                                                             Under
                                                                                                                             ADA?
            Franchisee                           Address                      City       State    Zip Code       Phone       Y/N)
     East Lake Fitness L.L.C.             9714 Two Notch Rd                Columbia       SC       29223      803-764-2703    Yes
      Easy Mile Easley, LLC             265 Rolling Hills Circle             Easley       SC       29640      864-671-0880    No
  Keystone NFP Fort Mill, LLC             825 Crossroads Plaza             Fort Mill      SC       29708      803-548-4545    Yes
      BDP Greenwood, LLC                   542 Bypass 72 NW               Greenwood       SC       29649      864-223-7197    No
      Main Line Fitness LLC                238 Harbison Blvd               Columbia       SC     29212-2232   803-881-0081    Yes
Keystone NFP Lancaster City, LLC          571 Lancaster Byp E              Lancaster      SC     29720-4726   803-828-5225    Yes
      Midlands Fitness LLC                   1486 Chestnut St             Orangeburg      SC       29115      803-878-3862    Yes
  Keystone NFP Rock Hill, LLC           1807 Cherry Rd, Ste 115            Rock Hill      SC       29732      803-328-6100    Yes
        BDP Seneca, LLC                       107 Bilo Place                Seneca        SC       29678      864-886-2433    No
       Fly Over Fitness LLC              1057 Broad St, Ste 27              Sumter        SC     29150-2567   803-720-5020    Yes
      Lev Management, LLC                   2410 Augusta Rd             West Columbia     SC     29169-4582   803-661-9132    Yes
 Baseline Fitness Rapid City, LLC   2200 N Maple Ave, Unit 460B           Rapid City      SD       57701      605-343-2255    Yes
Baseline Fitness Sioux Falls, LLC             1509 W 41st St              Sioux Falls     SD       57105      605-330-9990    Yes
Baseline Fitness Sioux Falls, LLC       3809 E 10th St, Ste 110           Sioux Falls     SD     57103-2196   605-789-8410    Yes
Baseline Fitness Sioux Falls, LLC              1300 9th Ave               Watertown       SD       57201      605-878-0170    Yes
    IFH TN Operations, LLC               1102 Congress Pkwy S               Athens        TN     37303-2404   423-617-0404    Yes
      Stage Rd. Fitness, LLC                  5740 Stage Rd                 Bartlett      TN       38134      901-937-8900    No
         Fitness One, LLC             6231 Perimeter Dr, Ste 217         Chattanooga      TN       37421      423-541-0777    Yes
 Kueber Fitness Evansville, LLC        1600 Fort Campbell Blvd            Clarksville     TN     37042-3695   931-919-5111    No
 Kueber Fitness Evansville, LLC              2300 Madison St              Clarksville     TN       37043      931-221-2335    No
     AGPTN Cleveland, LLC                      2641 Apd 40                Cleveland       TN       37323      423-602-2410    Yes
     AGPTN Columbia, LLC                  1910 Shady Brook St              Columbia       TN       38401      931-398-5555    Yes
    AGPTN Cookeville, LLC                     400 Dubois Rd               Cookeville      TN     38501-4003   931-284-4552    Yes
       United FP JLM, LLC             1880 N Germantown Pkwy               Cordova        TN       38016      901-609-7700    Yes
     AGPTN Crossville, LLC                171 Highland Square             Crossville      TN       38555      931-250-4205    Yes
      AGPTN Dickson, LLC                 430 Highway 46 South              Dickson        TN       37055      615-560-8181    Yes
     PFMW Dyersburg LLC                        2700 Lake Rd               Dyersburg       TN       38024      731-259-0424    No
    IFH TN Operations, LLC                    791 W Elk Ave              Elizabethton     TN       37643      423.666.6364    Yes
         Fitness Six, LLC                 11433 Kingston Pike              Farragut       TN       37934      865-288-7789    Yes
      AGPTN Franklin, LLC                1113 Murfreesboro Rd              Franklin       TN       37064      615-647-4047    Yes
       United FP JLM, LLC                     2005 Exeter Rd             Germantown       TN     38138-3946   901)467-2200    Yes
  PF Goodlettsville Fitness, LLC           900 Conference Dr            Goodlettsville    TN       37072      615-606-3660    Yes
    IFH TN Operations, LLC          600 W Andrew Johnson Hwy              Greeneville     TN     37745-1291   423-525-8463    Yes
  AGPTN Hendersonville, LLC                   393 E Main St             Hendersonville    TN     37075-2574   615-348-7555    Yes
   PF Hermitage Fitness, LLC               3434 Lebanon Pike              Hermitage       TN       37076      615-944-3900    Yes
         Fitness Two, LLC                  5425 Highway 153                 Hixson        TN       37343      423-243-3322    Yes
      AGPTN Jackson, LLC             57 Carriage House Dr Ste 10            Jackson       TN     38305-3995   731-256-3000    Yes
         JDG Group, LLC                  949 Hamilton Place Dr           Johnson City     TN       37604      423-328-3257    No
         TRI Delta 5, LLC                  108 Jack White Dr               Kingsport      TN       37664      423-225-1714    No
        Fitness Seven, LLC                4570 Chapman Hwy                 Knoxville      TN       37920      865-253-7652    Yes
          PA-Knox, LLC                     9341 Kingston Pike              Knoxville      TN     37922-2382   865-690-0123    No
        Fitness Three, LLC                4827 N Broadway St               Knoxville      TN       37918      865-687-2323    Yes
         Fitness Five, LLC                  5731 Western Ave               Knoxville      TN       37921      865-333-5327    Yes
    AGPTN La Vergne, LLC                 5185 Murfreesboro Rd             La Vergne       TN       37086      629-777-4900    Yes
      AGPTN Lebanon, LLC             1031 W Main Street Suite B            Lebanon        TN       37087      615-994-6905    Yes
    PF Madison Fitness, LLC               1140 Gallatin Pike S             Madison        TN     37115-4611   615-612-4478    Yes
     AGPTN Maryville, LLC              541 N Foothills Plaza Rd            Maryville      TN       37801      865-268-8506    Yes
    IFH TN Operations, LLC                  231 Northgate Dr             McMinnville      TN     37110-1426   931-414-2001    Yes
       United FP JLM, LLC                    1635 Poplar Ave               Memphis        TN       38104      901-509-2074    Yes
       United FP JLM, LLC                   4700 Summer Ave                Memphis        TN       38122      901-410-9400    Yes
       United FP JLM, LLC               4661 Knight Arnold Rd              Memphis        TN       38118      901-410-2075    Yes
       United FP JLM, LLC               4126 Elvis Presley Blvd            Memphis        TN       38116      901-602-4900    Yes
  Winchester Road Fitness, LLC            7114 Winchester Rd               Memphis        TN     38125-2017   901-757-3300    No
       United FP JLM, LLC                    8239 Hwy 51 N                Millington      TN       38053      901-407-2550    Yes
    AGPTN Morristown LLC                   2550 E Morris Blvd             Morristown      TN       37813      423-492-0700    Yes
     AGPTN Mt. Juliet, LLC              1335 N Mount Juliet Rd             Mt. Juliet     TN       37122      615-988-5400    Yes
