                                                                                                                            Under
                                                                                                                            ADA?
           Franchisee                            Address                    City        State    Zip Code       Phone       Y/N)
     HFP Katy Ranch, LLC                 24547 Katy Freeway                 Katy         TX       77494      281-394-9670    Yes
       HFP Katy Fry LLC                        1705 Fry Rd                  Katy         TX     77449-3432   281-712-6076    Yes
  Excel Fitness DFW 30 LLC                 1610 Keller Pkwy                Keller        TX     76248-3702   682-294-2187    Yes
     DMALF Kilgore, LLC                  2001 N State Hwy 42              Kilgore        TX       75662      903-483-4058    Yes
     Excel Fitness VIII, LLC     1001 E Vet Memorial Blvd, Ste 101E        Killeen       TX       76541      254-577-4299    Yes
       HFP Lake Jax, LLC                 208 Highway 332 W             Lake Jackson      TX       77566      281-968-7661    Yes
     PF Laredo Fitness, LLC                400 W Calton Rd                 Laredo        TX       78041      956-413-8410    Yes
      HFP Dickinsun, LLC                     3465 Gulf Fwy               Dickinson       TX     77539-4120   346-617-2324    Yes
      Excel Fitness 12, LLC                  1245 S US 183                Leander        TX       78641      512-893-5088    Yes
     Lewisville Fitness, LLC         500 E Round Grove Rd #201           Lewisville      TX     75067-5390   469-293-2215    Yes
    DMALF Longview LLC                  110 Triple Creek Circle          Longview        TX       75601      903-238-2531    Yes
      United FP JLM, LLC                       3249 50th St               Lubbock        TX       79413      806-791-2000    Yes
      United FP JLM, LLC               5005 Marsha Sharp Fwy              Lubbock        TX     79407-2619   806-429.0500    Yes
      BDP Lufkin TX, LLC                 400 N Timberland Dr               Lufkin        TX       75901      936-515-2125    No
  Excel Fitness DFW 35, LLC           287 Frontage Rd, Suite 701         Mansfield       TX       76063      817-405-6111    Yes
      United FP JLM, LLC                   620 E End Blvd S               Marshall       TX       75670      903-471-8100    Yes
     BDP McAllen TX, LLC                     2901 N 23rd St               McAllen        TX       78501      956-683-6865    No
  Excel Fitness DFW 40, LLC               117 S Central Expy             McKinney        TX       75070      469-936-0906    No
      Frontera Fitness LLC          5550 S Buckner Blvd, Ste 400         Mesquite        TX       75149      469-213-6726    Yes
      Club Six Fitness, LLC                 1016 Pioneer Rd              Mesquite        TX       75149      469-213-2946    Yes
      United FP JLM, LLC                  1000 N Midkiff Rd               Midland        TX     79701-2101   432-689-4600    Yes
     DMALF Mission LLC                     901 N Dunlap Ave               Mission        TX     78572-3925   361-724-3020    Yes
       HFP Mo City, LLC                     5732 Highway 6             Missouri City     TX     77459-4187   713-878-7770    Yes
  BDP Nacogdoches TX, LLC                     1102 South St            Nacogdoches       TX       75964      936-585-8914    No
PF New Braunfels Fitness, LLC           1671 1H-35 S, Ste 401          New Braunfels     TX       78130      830-609-9241    Yes
     HFP New Caney, LLC                      20185 Hwy 59               New Caney        TX       77357      832-917-6999    Yes
  Excel Fitness DFW 20, LLC           664 Grapevine Hwy, Ste A              Hurst        TX       76054      682-348-0328    Yes
      HFP Oak Ridge, LLC                        26824 I-45            Oak Ridge North    TX       77386      346-478-6111    Yes
      United FP JLM, LLC               1355 W University Blvd              Odessa        TX     79764-7121   432-333-2500    Yes
      United FP JLM, LLC                  2270 MacArthur Dr                Orange        TX       77630      409-883-2800    Yes
  Excel Fitness DFW 39, LLC                1535 S Bowen Rd                Pantego        TX     76013-3335   817-393-2010    Yes
      United FP JLM, LLC                    4045 Lamar Ave                  Paris        TX     75462-5212   903-218-0500    Yes
       HFP Pasadina LLC             4802 Fairmont Pkwy, Ste 200          Pasadena        TX       77505      346-410-5163    Yes
       HFP Pehrland, LLC             2550 Pearland Pkwy Ste 170           Pearland       TX     77581-5372   281-407-7171    Yes
    HFP Shadow Creek, LLC           11005 Shadow Creek Parkway            Pearland       TX       77584      713-936-5993    Yes
      Excel Fitness VI, LLC                 2700 W Pecan St             Pflugerville     TX     78660-3199   512-993-2931    Yes
       BDP Pharr TX, LLC               1300 E Business Hwy 83               Pharr        TX       78577      956-616-4436    No
      United FP JLM, LLC                     3220 Olton Rd               Plainview       TX       79072      806-587-5050    Yes
Excel Fitness DFW XVIII, LLC             1021 N Central Expy               Plano         TX       75075      972-779-0084    Yes
     Excel Fitness TFF, LLC              6205 Coit Rd Ste 205              Plano         TX     75024-5484   972-330-2262    Yes
    PF Portland Fitness, LLC                1550 Wildcat Dr               Portland       TX       78374      361-302-1070    Yes
  Excel Fitness DFW 33, LLC              1306 E Belt Line Rd            Richardson       TX     75081-3709   469-242-0467    Yes
  Excel Fitness DFW 34, LLC                   1108 US 377                 Roanoke        TX       76262      817-286-3189    Yes
      United FP JLM, LLC               1201 Ridge Rd, Ste 101            Rockwall        TX       75087      469-651-1040    Yes
     HFP Rich Rosen, LLC                  5101 Ave H, Ste 12             Rosenberg       TX       77471      832-471-6636    Yes
  Excel Fitness DFW 36, LLC                 5505 Rowlett Rd               Rowlett        TX       75089      469-214-2632    Yes
  Excel Fitness DFW 27, LLC              608 S Saginaw Blvd               Saginaw        TX       76179      682-348-1483    Yes
      United FP JLM, LLC               3552 Knickerbocker Rd            San Angelo       TX       76904      325-944-9900    Yes
   PF Stone Oak Fitness, LLC          20760 US Highway 281 N            San Antonio      TX       78258      210-455-6835    Yes
 PF Nacogdoches Fitness, LLC               6700 Huebner Rd              San Antonio      TX       78238      210-888-5545    Yes
PF Fredericksburg Fitness, LLC         4400 Fredericksburg Rd           San Antonio      TX       78201      210-736-3536    Yes
   PF Pavilions Fitness, LLC            2502 Nacogdoches Rd             San Antonio      TX       78217      210-714-8450    Yes
    PF Marbach Fitness, LLC          1739 SW Loop 410, Ste 814          San Antonio      TX       78227      210-592-8727    Yes
 PF Nacogdoches Fitness, LLC            13932 Nacogdoches Rd            San Antonio      TX       78217      210-251-3346    Yes
     PF Olmos Fitness, LLC            14610 Huebner Rd Ste 110          San Antonio      TX     78230-5528   210-492-2024    Yes
    PF Potranco Fitness, LLC              11227 Potranco Rd             San Antonio      TX     78253-5844   210-679-9999    Yes
    PF Military Fitness, LLC             1131 SE Military Dr            San Antonio      TX       78214      210-255-1120    Yes
PF Military Drive Fitness, LLC           2315 SW Military Dr            San Antonio      TX       78224      210-571-7005    Yes
   PF Westside Fitness, LLC          207 N General McMullen Dr          San Antonio      TX       78237      210-447-7047    Yes
  PF White Road Fitness, LLC       1721 WW White Rd S, Ste 105          San Antonio      TX       78220      210-729-2030    Yes
  Excel Fitness DFW 32, LLC               410 N US Hwy 175               Seagoville      TX       75159      469-890-2335    Yes
      United FP JLM, LLC               1500 E Court St, Ste 800            Seguin        TX       78155      830-372-0200    Yes
  Excel Fitness DFW XI, LLC                  721 E Taylor St              Sherman        TX       75090      903-781-1767    Yes




                                                                 I - 35

