                                                                                                                           Under
                                                                                                                           ADA?
        Franchisee                            Address                    City          State    Zip Code       Phone       Y/N)
   Excel Fitness 13, LLC           3606 W Stan Schlueter Loop          Killeen          TX       76549      254-781-0115    Yes
     HFP Spreeng, LLC                 21356 Kuykendahl Rd               Spring          TX     77379-2607   832-447-7675    Yes
    United FP JLM, LLC                2900 W Washington St           Stephenville       TX       76401      254-459-4565    Yes
   HFP Sugar Creek, LLC               13831 Southwest Fwy            Sugar Land         TX     77478-3533   346-450-6450    Yes
    United FP JLM, LLC                      3111 S 31st St             Temple           TX       76502      254-477-6777    Yes
 BDP Texarkana TX, LLC                  1801 N Robison Rd             Texarkana         TX       75501      903-405-1616    No
    HFP Tejas City, LLC                  3407 Palmer Hwy              Texas City        TX       77590      409-655-2660    Yes
Excel Fitness DFW 37, LLC         5651 State Hwy 121, Suite 300      The Colony         TX       75056      469-936-0909    Yes
     HFP Tombull, LLC                  27830 Tomball Pkwy              Tomball          TX       77375      281-255-0332    Yes
Excel Fitness DFW IV, LLC                   2747 E 5th St                Tyler          TX       75701      903-771-0103    Yes
Excel Fitness DFW 26, LLC             8950 S Broadway Ave                Tyler          TX     75703-5425   903-698-6345    Yes
  PF Booker Fitness, LLC           1705 Pat Booker Rd Ste 216      Universal City       TX     78148-3481   210-566-0400    Yes
   BDP Victoria TX, LLC                  5206 N Navarro St             Victoria         TX       77904      361-333-5485    No
   Excel Fitness VII, LLC             300 N Valley Mills Dr              Waco           TX     76710-7041   254-224-5203    Yes
    United FP JLM, LLC                     1821 S Main St            Weatherford        TX       76086      682-582-9001    Yes
     HFP Webstar LLC                    560 El Dorado Blvd             Webster          TX       77598      832-500-5510    Yes
  BDP Weslaco TX, LLC            1901 W Expressway 83, Ste 900         Weslaco          TX       78596      956-992-1926    No
 Wichita Falls Fitness, LLC                3915 Kell Blvd           Wichita Falls       TX       76308      940-229-6418    Yes
    CM3 Bountiful, LLC                   155 W 500 S, Ste 3           Bountiful         UT       84010      801-298-1999    No
  Excel Fitness UT 1, LLC          1055 E Draper Pkwy Ste 200           Draper          UT     84020-9094   801-341-9754    Yes
  Excel Fitness UT 2, LLC            1839 Woodland Park Dr              Layton          UT     84041-5631   801-477-5012    Yes
   Academy Fitness, Inc.              981 S Main St, Ste 130            Logan           UT       84321      435-753-7501    No
     CM3 Murray, LLC                       6022 S State St             Murray           UT       84107      801-948-9870    No
      CM3 Orem, LLC                         157 N State St               Orem           UT     84057-5509   801-225-4222    No
      CM3 Provo LLC                   1007 S University Ave              Provo          UT       84601      801-998-2627    No
   CM3 City Center, LLC                175 E 400 S, Ste 100         Salt Lake City      UT       84111      801-521-9400    No
      5400South, LLC                       1836 W 5400 S             Taylorsville       UT       84129      801-963-8787    No
      CM3 Sandy LLC                    9425 South 700 East              Sandy           UT       84070      801-998-2442    No
      TheDistrict, LLC                    11539 S 4000 W            South Jordan        UT       84009      801-446-9975    No
  CM3 South Ogden, LLC               3945 S Washington Blvd             Ogden           UT       84403      801-528-3597    No
    CM3 Millcreek, LLC                 635 East 3300 South          Salt Lake City      UT       84106      801-467-6711    No
   CM3 West Jordan LLC                7453 S Plaza Center Dr         West Jordan        UT       84084      801-676-7379    No
    CM3 Holdings LLC                3749 S Constitution Blvd       West Valley City     UT       84119      801-462-2020    No
  Alexandria Fitness LLC                4620 Kenmore Ave             Alexandria         VA       22304      703-212-0123    No
    Hayfield Fitness LLC               7558 Telegraph Rd, B          Alexandria         VA       22315      571-800-0024    No
 CCMO Huntington, LLC                  5960 Richmond Hwy             Alexandria         VA     22303-1871   703-960-5678    No
CCMO Mount Vernon, LLC                  8796 Sacramento Dr           Alexandria         VA       22309      703-347-7764    No
 Arlington VA Fitness LLC                  1301 S Joyce St            Arlington         VA       22202      571-800-0026    No
                               44155 Ashbrook Marketplace Plaza,
   Ashburn Fitness LLC                         Ste 120                 Ashburn         VA        20148      571-800-0029    No
     TRI Delta 5, LLC                      150 Cascade Dr               Bristol        VA        24202      276-200-0631    No
    CCMO Sully, LLC                    5053 Westfields Blvd           Centreville      VA        20120      703-657-0102    No
6365 Centreville Fitness LLC             6365 Multiplex Dr            Centreville      VA        20121      571-655-5800    No
        C-Fit7, LLC                150 Wegmans Way, Unit 500        Charlottesville    VA        22902      434-202-0437    Yes
    HR Greenbrier LLC                     1620 Sentinel Dr           Chesapeake        VA        23320      757-330-5289    Yes
        C-Fit12 LLC                      782 New River Rd           Christiansburg     VA        24073      540-385-0350    Yes
       AB-Fit1, LLC                    230 Southpark Circle        Colonial Heights    VA        23834      804-524-2310    Yes
 County Center Fitness LLC              12627 Galveston Ct            Manassas         VA      20112-8673   571-568-9090    No
  Excel Fitness VA 6, LLC                 725 Dominion Sq              Culpeper        VA        22701      540-208-2345    Yes
  Excel Fitness VA II, LLC               3360 Riverside Dr             Danville        VA      24541-3431   434-483-6506    Yes
CCMO Fairfax Junction LLC                  11001 Lee Hwy                Fairfax        VA        22030      703-539-6499    No
        FCHC, LLC                       6270 Arlington Blvd          Falls Church      VA        22046      703-241-2255    No
        C-Fit5, LLC                  1257 Emancipation Hwy          Fredericksburg     VA      22401-4415   540-322-5652    Yes
        C-Fit11 LLC                       9723 Patriot Hwy          Fredericksburg     VA        22407      540-993-4352    Yes
        C-Fit13, LLC                        4250 Plank Rd           Fredericksburg     VA        22407      540-370-9133    Yes
    HR Gloucester LLC                      6509 Market Dr             Gloucester       VA        23061      804-606-0451    Yes
