                                                                                                                               Under
                                                                                                                               ADA?
            Franchisee                             Address                     City        State    Zip Code       Phone       Y/N)
           C-Fit3, LLC                 3405 Candlers Mountain Rd           Lynchburg        VA     24502-2241   434-237-0287    Yes
      Manassas Fitness LLC                 7680 Stream Walk Ln              Manassas        VA       20109      703-530-0123    No
      Excel Fitness VA, LLC                2720 Greensboro Rd             Martinsville      VA       24112      276-226-9763    Yes
     GFP Mechanicsville, LLC                7297 Battle Hill Dr          Mechanicsville     VA       23111      804-522-5001    Yes
           C-Fit10, LLC                    11001 Hull Street Rd            Midlothian       VA       23112      804-658-3089    Yes
         HR Ventures LLC                  301B Oyster Point Rd           Newport News       VA       23602      757-330-5371    Yes
         HR Norfolk LLC                   4245 E Little Creek Rd             Norfolk        VA       23518      757-330-5364    Yes
        HR Norfolk II LLC              415 N Military Hwy Ste 23             Norfolk        VA     23502-5407   757-330-5339    Yes
       HR Norfolk III, LLC              7525 Tidewater Dr Ste 18             Norfolk        VA     23505-3700    7572507332     Yes
        HR Concepts LLC                     5815 W Norfolk Rd              Portsmouth       VA       23703      757-330-5362    Yes
       HR Portsmouth LLC                     1907 Victory Blvd             Portsmouth       VA       23702      757-330-5303    Yes
           C-Fit9, LLC                      4951 Nine Mile Rd              Richmond         VA       23223      804-652-2000    Yes
 GFP Richmond Stony Point, LLC             3000 Stony Point Rd             Richmond         VA     23235-2349   804-715-5558    Yes
           C-Fit4, LLC                        9703 W Broad St              Glen Allen       VA       23060      804-729-3471    Yes
GFP Richmond Willow Lawn, LLC                 6303 W Broad St              Richmond         VA     23230-2009   804-905-9045    Yes
           C-Fit6, LLC                     3433 Orange Ave Ne               Roanoke         VA     24012-6412   540-904-7400    Yes
           C-Fit1, LLC                     672 Brandon Ave Sw               Roanoke         VA     24015-3212   540-904-6288    Yes
           C-Fit14, LLC                        1359 W Main St                 Salem         VA       24153      540-401-0004    Yes
     CCMO Springfield, LLC               8430 Old Keene Mill Rd         West Springfield    VA       22152      571-297-4272    No
       Concord Fitness LLC                   6123 Backlick Rd              Springfield      VA       22150      571-380-4004    No
        GFP Stafford, LLC                1455 Stafford Market Pl            Stafford        VA     22556-4527   540-300-5620    Yes
     Excel Fitness VA 8, LLC            1106 C&D Greenville Ave             Staunton        VA     24401-5019   540-418-6227    Yes
    KDGS Sterling Fitness LLC               22585 Fitness Court              Sterling       VA       20166      703-965-1066    No
    21800 Sterling Fitness LLC           21800 Towncenter Plaza              Sterling       VA       20164      703-444-2022    No
         HR Suffolk LLC                    569 E Constance Ave               Suffolk        VA       23434      757-330-5311    Yes
        HR VA Beach LLC                  3877 Holland Rd Ste 426         Virginia Beach     VA     23452-2864   757-330-5319    Yes
       HR KempsRiver LLC                      1205 Fordham Dr            Virginia Beach     VA       23464      757-330-5306    Yes
          HR Hilltop LLC                 1944 Laskin Rd, Ste 406         Virginia Beach     VA       23454      757-330-5356    Yes
     Excel Fitness VA 9, LLC         2336 Elson Green Ave, Suite 106     Virginia Beach     VA     23456-6939   757-568-5601    Yes
      HR VB Boulevard LLC               4001 Virginia Beach Blvd         Virginia Beach     VA       23452      757-330-5351    Yes
     Excel Fitness VA 5, LLC                   141 W Lee Hwy               Warrenton        VA     20186-2107   540-218-5154    Yes
    Excel Fitness VA IV, LLC                   2604 W Main St             Waynesboro        VA       22980      540-227-0955    Yes
      HR Williamsburg LLC                        5137 Main St            Williamsburg       VA     23188-2811   757-231-6324    Yes
 Keystone NFP Winchester, LLC           1673 S Pleasant Valley Rd          Winchester       VA       22601      540-773-3435    No
     Woodbridge Fitness LLC               14431 Richmond Hwy              Woodbridge        VA     22191-2805   703-491-0123    No
       Integrity Fitness, Inc.                  768 Putney Rd              Brattleboro      VT       05301      802-662-2220    Yes
      Burlington Fitness, Inc.                    87 Pearl St            Essex Junction     VT       05452      802-879-5100    No
      Burlington Fitness, Inc.              530 Community Dr            South Burlington    VT       05403      802-863-8910    No
      Burlington Fitness, Inc.                  133 N Main St              St. Albans       VT       05478      802-582-4149    No
  Lucky Star Enterprises IX, LLC            915 Auburn Way N                 Auburn         WA     98002-4117   253-737-5501    Yes
  Lucky Star Enterprises X, LLC                15600 Ne 8th St              Bellevue        WA     98008-3927   425-502-7826    Yes
   JEG-Viper Bonney Lake LLC             19561 State Route 410 E          Bonney Lake       WA       98391      253-321-5939    Yes
      AGPWA Bothell, LLC               24122 Bothell Everett Hwy             Bothell        WA     98021-9342   425-384-7700    Yes
     AGPWA Bremerton LLC                    4310 Wheaton Way               Bremerton        WA       98310      360-824-5550    Yes
     AGPWA Burlington LLC                  125 Cascade Mall Dr             Burlington       WA       98233      360-395-2560    Yes
 Lucky Star Enterprises VIII, LLC            16913 SE 270th Pl             Covington        WA       98042      253-277-8984    Yes
 Lucky Star Enterprises IV L.L.C.          27073 Pacific Hwy S            Des Moines        WA       98198      206-249-8158    Yes
     AGPWA Edmonds, LLC                      22515 Highway 99               Edmonds         WA     98026-8373   425-648-2424    Yes
      AGPWA Everett LLC                    7621 Evergreen Way                Everett        WA       98203      425-315-7070    Yes
Core Fitness of Federal Way, LLC               1211 S 320th St            Federal Way       WA       98003      206-429-7429    Yes
  Core Fitness of Issaquah, LLC              1810 12th Ave Nw               Issaquah        WA     98027-8110   425-395-7144    Yes
        FJMPF Kelso LLC                     351 Three Rivers Dr               Kelso         WA       98626      360-285-3700    No
                                     731 N Columbia Center Blvd Ste
   Kennewick Fit Club LLC                            100c                 Kennewick        WA      99336-7761   509-579-0595    No
  Lucky Star Enterprises, LLC          24044 104th Ave SE, Ste A             Kent          WA        98030      253-854-2123    Yes
 Lucky Star Enterprises VI, LLC            18129 E. Valley Hwy               Kent          WA        98032      253-243-6009    Yes
     AGPWA Lacey, LLC               720 Sleater Kinney Rd SE, Suite Q        Lacey         WA        98503      360-339-5188    Yes
        GMS LFP, LLC                      17171 Bothell Way NE          Lake Forest Park   WA        98155      206-467-1366    No
  AGPWA Lake Stevens, LLC                      303 91st Ave Ne           Lake Stevens      WA      98258-2541   425-541-9900    Yes
 Lucky Star Enterprises III, LLC                1346 State Ave            Marysville       WA      98270-3605   360-386-9986    No
  AGPWA Smokey Point, LLC                    2517 172nd St NE             Marysville       WA        98271      360-657-9990    Yes
   AGPWA Mill Creek, LLC               13314 Bothell Everett Hwy          Mill Creek       WA        98012      425-599-2099    Yes
    JEG-Viper Milton LLC                      2800 Milton Way               Milton         WA        98354      253-292-3775    Yes




                                                                    I - 37

