                                                                                                                                 Under
                                                                                                                                 ADA?
             Franchisee                           Address                      City          State    Zip Code       Phone       Y/N)
       AGPWA Monroe, LLC                   19861 State Route 2               Monroe           WA     98272-2352   360-512-2220    Yes
        Moses Lake FP LLC               711 N Stratford Rd Ste C           Moses Lake         WA     98837-1578   509-707-0000    No
     AGPWA Oak Harbor, LLC                  32165 State Rte 20             Oak Harbor         WA       98277      360-323-4060    Yes
       AGPWA Olympia, LLC                 1000 Cooper Point Rd               Olympia          WA       98502      360-706-1919    Yes
         Pasco Fit Club LLC             5710 N Road 68, Ste 102                Pasco          WA       99301      509-545-5555    No
    AGPWA Port Orchard, LLC          1948 Se Lund Ave Ste 103-107          Port Orchard       WA     98366-5500   564-238-2200    Yes
    Evolution Management LLC                 1690 S Grand Ave                Pullman          WA       99163      509-715-1202    No
     JEG-VIPER Puyallup, LLC                    625 River Rd                 Puyallup         WA       98371      253-845-5357    Yes
    Lucky Star Enterprises, LLC            4613 Ne Sunset Blvd                Renton          WA     98059-4005   425-255-5522    Yes
       Richland Fit Club LLC         1711 George Washington Way              Richland         WA       99354      509-578-1073    No
    AGPWA North Seattle LLC                13201 Aurora Ave N                 Seattle         WA       98133      206-659-4577    Yes
       AGPWA Ballard, LLC              1500 Nw Market St Ste 100              Seattle         WA     98107-5416   206-260-0600    Yes
   AGPWA Rainier Beach LLC                  9000 Rainier Ave S                Seattle         WA       98118      206-257-3655    Yes
          PF SpokNW LLC                  1617 W Northwest Blvd               Spokane          WA       99205      509-850-9585    No
          PF SpokVal, LLC                  13112 E Sprague Ave            Spokane Valley      WA       99216      509-381-1691    No
         Sunnyside FP, LLC          2600 E Yakima Valley Hwy Ste 4          Sunnyside         WA       98944      509-515-7195    No
    JEG-VIPER McKinley, LLC                     817 E 72nd St                Tacoma           WA       98404      253-475-5689    Yes
      JEG-Viper Fern Hill LLC                 9820 Pacific Ave               Tacoma           WA       98444      253-533-2510    Yes
    JEG-Viper Pearl Street, LLC               2217 N Pearl St                Tacoma           WA       98406      253-999-1600    Yes
 JEG-Viper University Place LLC                6704 19th St W             University Place    WA       98466      253-353-7008    Yes
   Vancouver Fourth Plain, LLC         11812 NE Fourth Plain Blvd           Vancouver         WA       98682      360-952-7000    Yes
  Vancouver NE Hazel Dell, LLC           9919 NE Hazel Dell Ave             Vancouver         WA     98685-5278   360-573-4000    Yes
     Vancouver Mill Plain, LLC            8024 E Mill Plain Blvd            Vancouver         WA       98664      360-448-2277    Yes
       Vancouver SE 160, LLC                 811 SE 160th Ave               Vancouver         WA     98683-9655   360-566-2000    Yes
      Walla Walla Fit Club LLC                1631 W Rose St               Walla Walla        WA       99362      509-876-2665    No
    Evolution Management LLC                    149 Easy Way                Wenatchee         WA       98801      509-888-7306    No
  Lucky Star Enterprises VII, LLC   14025 NE Woodinville Duvall Rd         Woodinville        WA       98072      425-408-0419    Yes
          Make-It Fit, LLC                     120 N Fair Ave                 Yakima          WA     98901-4521   509-469-0477    No
    Evolution Management LLC              5801 Summitview Ave                 Yakima          WA       98908      509-902-8196    No
      BDP East Appleton, LLC            W3165 Van Roy Rd Ste 7               Appleton         WI     54915-3996   920-815-3592    Yes
   BDP Appleton West WI, LLC               2700 W College Ave                Appleton         WI       54914      920-733-3554    Yes
        BDP Beloit WI, LLC                    1827 Prairie Ave                 Beloit         WI       53511      608-312-4200    Yes
        BDP Brookfield, LLC                15740 W Capitol Dr               Brookfield        WI       53005      262-599-8127    Yes
BDP Brookfield Bluemound WI, LLC         16085 W Bluemound Rd               Brookfield        WI     53005-4700   262-910-3097    Yes
        BDP Burlington LLC            1112 Milwaukee Ave, Ste 120           Burlington        WI       53105      262-758-7536    Yes
      BDP Eau Claire WI, LLC           3015 E Hamilton Ave, Ste D           Eau Claire        WI       54701      715-598-1602    Yes
     BDP Fond du Lac WI, LLC                 802 W Johnson St              Fond Du Lac        WI     54935-8919   920-922-0833    Yes
       BDP Franklin WI, LLC                    6529 S 27th St                Franklin         WI     53132-9424   414-988-9269    Yes
   BDP Green Bay East WI, LLC                2350 E Mason St                Green Bay         WI       54302      920-544-8191    Yes
  BDP Green Bay West WI, LLC                 1640 W Mason St                Green Bay         WI       54303      920-544-8190    Yes
 BDP Greenfield Milwaukee, LLC              4478 S 108th Street             Greenfield        WI       53228      414-340-2432    Yes
       BDP Hartford WI, LLC                     1211 Bell Ave                Hartford         WI     53027-1976   262-384-4361    Yes
  Baseline Fitness Minnesota LLC              2345 Coulee Rd                  Hudson          WI       54016      715-808-0122    Yes
      BDP Janesville WI, LLC            1800 Milton Ave Ste 150             Janesville        WI     53545-1169   608-756-3294    Yes
       BDP Kenosha WI, LLC                  7630 Pershing Blvd               Kenosha          WI       53142      262-484-4660    Yes
      BDP La Crosse WI, LLC                     3201 Hwy 16                  Onalaska         WI       54601      608-304-9019    Yes
        BDP Madison 3, LLC                   89 E Towne Mall                 Madison          WI       53704      608-249-5822    Yes
        BDP Madison 4, LLC                    4538 Verona Rd                 Madison          WI       53711      608-982-6707    Yes
       BDP Monona WI, LLC                   2311 W Broadway                  Monona           WI     53713-3723   608-223-9075    Yes
   BDP Madison West WI, LLC              229 W Towne Mall, E16               Madison          WI       53719      608-827-8353    Yes
      BDP Manitowoc WI, LLC                    3415 Custer St               Manitowoc         WI       54220      920-652-9800    Yes
      BDP Marinette WI, LLC                 2800 Roosevelt Rd                Marinette        WI       54143      715-732-4794    Yes
  Baseline Fitness Minnesota LLC                503 E Ives St               Marshfield        WI     54449-1558   715-502-1990    Yes
                                                                           Menomonee
  BDP Menomonee Falls WI, LLC          N89w16899 Appleton Ave                  Falls          WI     53051-2038   262-251-8000    Yes
      BDP Mequon WI, LLC              11290 N Port Washington Rd             Mequon           WI     53092-3412   262-395-7676    Yes
BDP Milwaukee Bay View WI, LLC           121 W Oklahoma Ave                 Milwaukee         WI       53207      262-266-2172    Yes
BDP Milwaukee Downtown WI, LLC           101 W Wisconsin Ave                Milwaukee         WI     53203-2501   414-223-3380    Yes
  BDP Milwaukee East Capitol WI,
              LLC                          709 E Capitol Dr                   Milwaukee       WI       53212      414-800-7237    Yes
  BDP 76th & Good Hope WI, LLC            7459 Good Hope Rd                   Milwaukee       WI       53223      262-384-4354    Yes
 BDP Milwaukee Midtown WI, LLC           5730 W Capitol Pkwy                  Milwaukee       WI       53216      414-444-3111    Yes
BDP Milwaukee Southgate WI, LLC             3565 S 27th St                    Milwaukee       WI       53221      414-382-1900    Yes




                                                                     I - 38

