                                                                          EXHIBIT J1
                                                                LIST OF CURRENT DEVELOPERS
                                                                   AS OF DECEMBER 31, 2025




                    Developer                                         Address                        City        State   Zip Code   Phone Number

Bama Chicken, INC.                             1403 Weatherly Plaza, #105                    Huntsville          AL       35803     (256) 539-8900
MAD BIRD, LLC.                                 27422 N 22nd Ln                               Phoenix             AZ       85085     (602) 741-4132
OW CHICKEN STAR LLC                            702 E Osborn Road, Suite 100                  Phoenix             AZ       85014     (602) 821-4599
Golden Chicken Group, LLC                      2551 W Woodland Dr                            Anaheim             CA       92801     (714) 232-8122
BSPK Delicious Food Inc.                       905 University Ave.                           Berkeley            CA       94710
SG Food Express, LLC                           1602 West Valley Boulevard                    Colton              CA       92324     (909) 222-6485
MILTON GROUP, INC                              320 E. Harvard St.                            Glendale            CA       91205     (818) 247-4716
QUIKSERVE CAJUN, INC                           25 E. AIRWAY BLVD                             LIVERMORE           CA       94551     (510) 378-2940
California Cajun Eats, LLC                     41760 Ivy Street, Suite 201                   Murrieta            CA       92562     (951) 816-0189
DMSD Cajun Eats, LLC                           41760 Ivy Street, Suite 201                   Murrieta            CA       92562     (951) 816-0189
Juju Life, Inc.                                8016 Louise Avenue                            Northridge          CA       91325     (818) 342-7330
Legacy Chicken LLC                             12555 High Bluff Drive, Suite 175             San Diego           CA       92130     (858) 642-0064
Poggi Foods, LLC                               1402 Liggett Way                              San Diego           CA       92106     (858) 500-0007
Hen Way LLC                                    293, Scarborough                              Thousand Oaks       CA       91300     (805) 322-7386
Reliance Hospitality Group, LLC                10 Bittersweet Court                          Newington           CT       06111     (337) 255-2000
Harleysville Chicken LLC                       1004 Darley Rd                                Wilmington          DE       19810     (302) 528-1870
AIM Capital                                    3162 Commodore Plaza, Suite 3E                                    FL       33133     (786) 525-9569
Action Business Corp.                          324 SW 16th St                                Belle Glade         FL       33430     (561) 261-3981
Cajun and Grill of America, Inc.               4531 Ponce de Leon Blvd, te 300               Coral Gables        FL       33146     (305) 476-1611
61 Biscuits, LLC.                              275 Regatta Drive                             Jupiter             FL       33477     (978) 835-7334
HOT GIRL BUSINESS, LLC                         BDO 1450 BRICKELL AVE, 18FL                   Miami               FL       33131     (305) 373-5500
SJC LLC                                        145 Jefferson Ave Unit 422                    Miami Beach         FL       33139     (732) 239-1061
Driftwood Foods, LLC                           4218 Lorraine Street                          Panama City Beach   FL       32408     (850) 348-0170
SBH Foods PLK LLC                              201 S Olive Ave                               West Palm Beach     FL       33401     (516) 852-6633
QFC Corporation, Inc                           118 Century Park Pl                           Peachtreecity       GA       30269     (770) 298-5868
Pop's, Inc.                                    370 Kamehameha Highway                        Pearl City          HI       96782     (808) 841-6600
AARM Group Inc.                                8605 W. Bryn Mawr Ave, Suite 309 A            Chicago             IL       60631     (773) 295-8300
Khowaja                                        1804 Potter Road                              Glenview            IL       60026     (847) 830-3770
ABY Groups, Inc.                               7304 Yorkshire St                             Joliet              IL       60431     (847) 208-5656
MLCB LLC                                       50 Ferndale Dr                                Terre Haute         IN       47803     (812) 249-2867
Mid Chkn LLC                                   1930 N Timberwood St                          Wichita             KS       67206     (785) 341-3388
NB Foods TN LLC                                115 N 8th ST.                                 Mayfield            KY       42066     (417) 763-0575
Fouzbox QSR, LLC                               4706 WHITEHALL BLVD                           Alexandria          LA       71303     (318) 541-0025
ARJH LP                                        PO BOX 52287                                  NEW ORLEANS         LA       70152     (504) 272-2414
Applegreen USA Travel Plazas, LLC.             200 Brickstone Square, Suite 404              Andover             MA       01810     (978) 409-1205
Applegreen USA Welcome Centres LLC             200 Brickstone Square, Suite 404              Andover             MA       01810     (978) 409-1205
Cato, Incorporated                             1004 Parsons Road                             Salisbury           MD       21801     (410) 546-1215
Janjer Enterprises, INC.                       12150 Tech Road                               Silver Springs      MD       20904     (301) 625-5920
TAYLOR MADE FOOD GROUP, LLC                    50445 Scotshire CT                            Farmington Hills    MI       48331     (248) 885-1466
Dev Restaurants LLC                            1919-D Boulevard St                           Greensboro          NC       27404     (336) 609-3014
Magic Chicken, LLC                             3016 8th Street NW                            Minot               ND       58703     (618) 910-4386
AP Franchise Dev, LLC                          100 Menlo Park Mall, Suite 500                Edison              NJ       08837     (732) 318-6269
LV Restaurant Group LLC                        2580 SORREL ST                                Las Vegas           NV       89146     (702) 979-3565
LGG Ventures, LLC.                             983 Willis Ave, Suite 101                     Albertson           NY       11507     (718) 736-0999
