                                                  Exhibit J-3
                          Franchisees that Left the System as of December 31, 2025

                     Franchisee Name                      City      State               Phone #
CHICKEN SCRATCH SMALL HOLDINGS LLC.               Andalusia          AL              (251) 359-3426
Six Chicks, LLC                                   Atmore             AL              (251) 254-0099
Six Chicks, LLC                                   Brewton            AL              (251) 254-0099
GIC Cuisine, L.L.C.                               Daphne             AL              (504) 231-0002
GIC Cuisine, L.L.C.                               Foley              AL              (504) 231-0002
A.A.F.E.S.                                        Fort novosel       AL              (214) 312-3470
Six Chicks, LLC                                   Jackson            AL              (251) 254-0099
TA Operating LLC                                  Lincoln            AL              (440) 808-9100
GIC Cuisine, L.L.C.                               Spanish Fort       AL              (504) 231-0002
Sweet "P" Enterprises, Inc.                       Little Rock        AR              (501) 834-0286
Sweet "P" Enterprises, Inc.                       North Little Rock AR               (501) 834-0286
Sweet "P" Enterprises, Inc.                       North Little Rock AR               (501) 834-0286
Sweet "P" Enterprises, Inc.                       North Little Rock AR               (501) 834-0286
Sweet "P" Enterprises, Inc.                       Sherwood           AR              (501) 834-0286
Zubha POP Foods, LLC.                             Apache Junction AZ                 (281) 201-2700
Zubha POP Foods, LLC.                             Avondale           AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Chandler           AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Gilbert            AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Glendale           AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Glendale           AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Glendale           AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Green valley       AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Litchfield park    AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Mesa               AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Phoenix            AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Prescott valley    AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Prescott, az       AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Sierra vista       AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Tucson             AZ              (281) 201-2700
Zubha POP Foods, LLC.                             Tucson             AZ              (281) 201-2700
JAMV, INC.                                        Anderson           CA              (510) 928-2020
Karas Food, Inc.                                  Beaumont           CA              (951) 757-5843
JAMV, INC.                                        Berkeley           CA              (510) 928-2020
JAMV, INC.                                        Chico              CA              (510) 928-2020
Karas Food, Inc.                                  Corona             CA              (951) 757-5843
PLK CA, Inc.                                      Escondido          CA              (818) 247-4716
Pinnacle Foods of California LLC                  Fresno             CA              (949) 400-9728
Pinnacle Foods of California LLC                  Fresno             CA              (949) 400-9728
Pinnacle Foods of California LLC                  Fresno             CA              (949) 400-9728
Pinnacle Foods of California LLC                  Fresno             CA              (949) 400-9728
Pinnacle Foods of California LLC                  Fresno             CA              (949) 400-9728
Karas Food, Inc.                                  Hemet              CA              (951) 757-5843
JAMV, INC.                                        Lodi               CA              (510) 928-2020
JAMV, INC.                                        Manteca            CA              (510) 928-2020
JAMV, INC.                                        Marysville         CA              (510) 928-2020
Karas Food, Inc.                                  Moreno valley      CA              (951) 757-5843
Karas Food, Inc.                                  Moreno valley      CA              (951) 757-5843
Karas Food, Inc.                                  Norco              CA              (951) 757-5843
JAMV, INC.                                        Oakland            CA              (510) 928-2020
JAMV, INC.                                        Oakland            CA              (510) 928-2020

