                                                                                        List of Current Franchisees




                     Legal Entity                  Store ID               Address                                      Adress 2             City          State   Postal   Business Phone
                   CFL Pizza, LLC                   26516             767 S. State Road 434                              #1000        Altamonte Springs    FL     32714     407/522-5577
                   CFL Pizza, LLC                   26519           1148 N. Rock Springs Rd.                                                Apopka         FL     32712     407/880-8672
                   CFL Pizza, LLC                   26504                883 Semoran Blvd                                                   Apopka         FL     32703     407/886-1729
                   Hut Florida LLC                  38715                  2527 SE Hwy 70                                                   Arcadia        FL     34266     863/993-1193
                   Hut Florida LLC                  38631                 203 Magnolia Ave                                                Auburndale       FL     33823     863/965-1300
                   CFL Pizza, LLC                   41073                      865 FL-559                                                 Auburndale       FL     33823     863/969-1030
                   Hut Florida LLC                  38629                    310 N Hwy 27                                                 Avon Park        FL     33825     863/452-5101
                   Hut Florida LLC                  40851         810 N Broadway Ave Unit 17                                                 Bartow        FL     33830     863/533-0718
                   CFL Pizza, LLC                   26491            10738 SE US Hwy. 441                                                  Belleview       FL     34420     352/245-1125
                   Hut Florida LLC                  38580                 19926 W. Central                                               Blountstown       FL     32424     850/674-8700
                  ADT Florida LLC                   37631       21342 St. Andrews Blvd., #250                                             Boca Raton       FL     33433     561/367-7766
                   Hut Florida LLC                  38593              2117 S Waukesha St                                                   Bonifay        FL     32425     850/547-5900
                   Hut Florida LLC                  38704        27241 Bay Landing Dr., Ste. 9                                          Bonita Springs     FL     34135     239/947-5526
                  ADT Florida LLC                   37632          9851 D Military Trail South                                         Boynton Beach       FL     33436     561/369-7111
                   Hut Florida LLC                  38652                 3132 53rd Ave E                                                 Bradenton        FL     34203     941/753-0444
                   Hut Florida LLC                  38651         3611 First Street East, #210                                            Bradenton        FL     34208     941/747-0777
                   Hut Florida LLC                  40983         4144 Lakewood Ranch Blvd                                                Bradenton        FL     34211     941/373-6410
                   Hut Florida LLC                  38654                     4802 14th St                                                Bradenton        FL     34207     941/753-2222
                   Hut Florida LLC                  38634          6383 Manatee Ave W #301                                                Bradenton        FL     34209     941/795-8000
                   Hut Florida LLC                  38639            729 W Lumsden Rd #14                                                   Brandon        FL     33511     813/684-8080
                     Jonbro, Inc.                   27720                7191 Broad Street                                                Brooksville      FL     34601     352/796-4040
                   CFL Pizza, LLC                   26529                421 N. West Street                                                 Bushnell       FL     33513     352/568-1186
                   Hut Florida LLC                  38663                542168 US HWY 1                                                    Callahan       FL     32011     904/507-2979
                   Hut Florida LLC                  38601                744 Hwy. 29 North                                               Cantonment        FL     32533     850/968-9566
                   Hut Florida LLC                  38710      1751 NE Pine Island Rd, Suite F1                                           Cape Coral       FL     33909     239/997-5151
                   Hut Florida LLC                  38604     2311 Santa Barbara Blvd, Suite 110                                          Cape Coral       FL     33991     239/772-2626
                   CFL Pizza, LLC                   26508              130 N Winter Park Dr                                               Casselberry      FL     32707     407/695-6600
                   CFL Pizza, LLC                   27919                   1105 N. Young                                                  Chiefland       FL     32626     352/493-7655
                   Hut Florida LLC                  38609       2519 McMullen Booth Rd., #501                                             Clearwater       FL     33761     727/726-2000
                   Hut Florida LLC                  38611              407 S. Belcher Rd. #4                                              Clearwater       FL     33765     727/797-5958
                   Hut Florida LLC                  38720             5020 E Bay Dr Ste 400                                               Clearwater       FL     33764     727/535-5000
                   CFL Pizza, LLC                   26546            13900 County Road 455                               #104               Clermont       FL     34711     407/654-4900
                   CFL Pizza, LLC                   26540               750 E HIGHWAY 50                                                    Clermont       FL     34711     352/394-5526
                   CFL Pizza, LLC                   26555                    710 West Ave                                                    Cocoa         FL     32927     321/636-3300
                   CFL Pizza, LLC                   26502       179 E Cocoa Beach Causeway                                               Cocoa Beach       FL     32931     321/783-2780
         Koning Restaurants International, L.C.     12359                   7808 Wiles Rd                                                Coral Springs     FL     33067     954/345-8333
                   Hut Florida LLC                  38589            2650 Crawfordville Hwy                                              Crawfordville     FL     32327     850/926-1116
                  Ayvaz Pizza, LLC                  39529       2221 South Ferdon Blvd. #2227                                              Crestview       FL     32536     850/682-9960
                   Hut Florida LLC                  38721                12540 US Hwy 301                                                  Dade City       FL     33525     352/567-7791
         Koning Restaurants International, L.C.     32903            314 E Dania Beach Blvd                                                  Dania         FL     33004     954/628-3051
                   Hut Florida LLC                  41908      2300 Forest Lake Drive, Suite 101                                          Davenport        FL     33837     863/695-1484
         Koning Restaurants International, L.C.     12379               11316 State Rd #84                                                   Davie         FL     33325     954/370-9800
                   CFL Pizza, LLC                   26552            1500 Beville Rd Ste 102                                           Daytona Beach       FL     32114     386/239-0700
                   CFL Pizza, LLC                   26551                  832 N. Nova Rd                                              Daytona Beach       FL     32117     386/255-4455
                   Hut Florida LLC                  38592                  891 HWY 331 S.                                             Defuniak Springs     FL     32435     850/892-7226
                   CFL Pizza, LLC                   26553               115 E New York Ave                                                   Deland        FL     32724     386/736-0999
                   CFL Pizza, LLC                   26533             1403 N Woodland Blvd                                                   Deland        FL     32720     386/734-0516
                   CFL Pizza, LLC                   26548              1894 Providence Blvd                                                 Deltona        FL     32725     386/789-9191
                   CFL Pizza, LLC                   35194         605 Courtland Blvd Ste 103A                                               Deltona        FL     32738     321/257-0260
                  Ayvaz Pizza, LLC                  42659         1012 Highway 98 E Ste 101                                                  Destin        FL     32541     850/269-2555
         Koning Restaurants International, L.C.     13721                10379 NW 41st St                                                     Doral        FL     33178     305/392-7989
                   CFL Pizza, LLC                   41330         11352 North Williams Street                                              Dunnellon       FL     34432     352/489-9101
                   CFL Pizza, LLC                   26565                 5628 Hansel Ave                                                 Edgewood         FL     32809     407/856-6212
                   Hut Florida LLC                  38633            8963 US Highway 301 N                                                  Ellenton       FL     34219     941/776-5466
                   CFL Pizza, LLC                   26531             16106 Us Highway 441                                                   Eustis        FL     32726     352/357-5577
                   Hut Florida LLC                  38685             5000 US Hwy 17 South                                #10           Fleming Island     FL     32003     904/278-1700
         Koning Restaurants International, L.C.     12367            1509 E Commercial Blvd                                            Fort Lauderdale     FL     33334     954/938-8321
         Koning Restaurants International, L.C.     12363               3924-26 Davie Blvd                                             Fort Lauderdale     FL     33312     954/792-9002
                   Hut Florida LLC                  38689        10580 Colonial Blvd., Ste. 110                                           Fort Myers       FL     33913     239/561-1415
                   Hut Florida LLC                  38659                11591 Gladiolus Dr                                               Fort Myers       FL     33908     239/482-7030
                   Hut Florida LLC                  38693     11841 Palm Beach Blvd., Suite 116                                           Fort Myers       FL     33905     239/694-0374
                   Hut Florida LLC                  40832          13401 Summerlin Rd Ste 3                                               Fort Myers       FL     33919     239/936-4871
                   Hut Florida LLC                  38709           16970 Alico Mission Way                            Suite 302          Fort Myers       FL     33908     239/489-1577
                  ADT Florida LLC                   37647             1439 S. US Highway 1                                                Fort Pierce      FL     34950     772/461-1353
                  Ayvaz Pizza, LLC                  39412          141 Miracle Strip Pkwy SW                                         Fort Walton Beach     FL     32548     850/243-8727
