                                                                                        List of Current Franchisees




                   Legal Entity                    Store ID               Address                                      Adress 2                  City           State   Postal   Business Phone
                Las Vegas Pizza LLC                 26593           6355 N. Commerce St.                                 #101               North Las Vegas      NV     89031     702/399-1221
                MP² Enterprises, LLC                29832        920 Pahrump Valley Blvd.                                                       Pahrump          NV     89048     775/727-7952
                    PacPizza, LLC                   11681                 1295 W 7th St                                                           Reno           NV     89503     775/746-3334
                MP² Enterprises, LLC                30577               202 Lemmon Dr.                                                            Reno           NV     89506     775/972-0291
                    PacPizza, LLC                   11682     6015-D S. Virginia,delmonte Plaza                                                   Reno           NV     89502     775/851-1220
                MP² Enterprises, LLC                41208            15 Eagle Canyon Dr.                                                         Sparks          NV     89441     775/276-6550
                    PacPizza, LLC                   11663              632 E Prater Way                                                          Sparks          NV     89431     775/358-1400
                MP² Enterprises, LLC                39630        5055 Sun Valley Blvd #370                                                     Sun Valley        NV     89433     775/420-4004
                MP² Enterprises, LLC                23663              1751 Pueblo Blvd                                                     West Wendover        NV     89883     775/664-4433
              Tasty Hut Northeast LLC               39675                  203 Wolf Rd                                                           Albany          NY     12205     518/458-1221
                Maruti PH Group LLC                 41000              4005 Sheridan Dr                                                         Amherst          NY     14226     716/810-7693
              Tasty Hut Northeast LLC               40121              374 Grant Avenue                                                          Auburn          NY     13021     315/255-2756
            Chaac Pizza Northeast, LLC              36825               717 Suffolk Ave                                                        Brentwood         NY     11717     631/231-2323
              Tasty Hut Northeast LLC               39669                  64 N Main St                                                        Brockport         NY     14420     585/637-2154
            Chaac Pizza Northeast, LLC              38958               1048 Ogden Ave                                                            Bronx          NY     10452     347/226-5938
            Chaac Pizza Northeast, LLC              36898        2019 Westchester Avenue                                                          Bronx          NY     10462     718/822-2909
            Chaac Pizza Northeast, LLC              36889            2829 Edson Avenue                                                            Bronx          NY     10469     718/320-0126
            Chaac Pizza Northeast, LLC              41436        601 East Tremont Avenue                                                          Bronx          NY     10457     929/575-6009
            Chaac Pizza Northeast, LLC              36899         601 Westchester Avenue                                                          Bronx          NY     10455     718/585-1401
            Chaac Pizza Northeast, LLC              36934              765 E Gun Hill Rd                                                          Bronx          NY     10467     718/547-2716
            Chaac Pizza Northeast, LLC              38797             1448 Nostrand Ave                                                         Brooklyn         NY     11226     929/551-0010
            Chaac Pizza Northeast, LLC              36933                1501 Pitkin Ave                                                        Brooklyn         NY     11212     718/922-6532
            Chaac Pizza Northeast, LLC              38860          29 Marcus Garvey Blvd                                                        Brooklyn         NY     11206     929/551-0011
            Chaac Pizza Northeast, LLC              38847                   37 Hillel Pl                                                        Brooklyn         NY     11210     929/551-0009
            Chaac Pizza Northeast, LLC              42076              6216 18th Avenue                                                         Brooklyn         NY     11204     718/942-3616
            Chaac Pizza Northeast, LLC              36903                8925 Avenue D                                                          Brooklyn         NY     11236     718/451-0236
                Maruti PH Group LLC                 41150             2150 Delaware Ave                                                          Buffalo         NY     14216     716/463-5358
                Maruti PH Group LLC                 41147             3669 Delaware Ave                                                          Buffalo         NY     14223     716/235-3167
              The Daland Corporation                 7408            5933 US Highway 11                         University Shopping Ctr.         Canton          NY     13617     315/386-4170
              The Daland Corporation                14046           60 Franklin St. Suite 1                                                     Carthage         NY     13619     315/493-0100
                Maruti PH Group LLC                 41149              4255 Genesee St                                                       Cheektowaga         NY     14225     716/314-1034
              Tasty Hut Northeast LLC               39667                7801 Route 11                                                           Cicero          NY     13039     315/458-2860
              Tasty Hut Northeast LLC               39678               1689 Us Route 9                                                       Clifton Park       NY     12065     518/371-4400
                 Allegany Pizza LLC                 39653              55 E. Pulteney St                                                         Corning         NY     14830     607/654-5060
                Maruti PH Group LLC                 40999               4770 Transit Rd                                                          Depew           NY     14043     716/309-2708
              Tasty Hut Northeast LLC               39665                  570 Kinne St                                                      East Syracuse       NY     13057     315/437-7959
                     YOLO, LLC                      40792                 299 S Main St                                                          Elmira          NY     14904     607/846-4004
              The Daland Corporation                10306             27216 Patriot Place                                                     Evans Mills        NY     13637     315/629-2000
              Tasty Hut Northeast LLC               41768                 354 Broadway                                                        Fort Edward        NY     12828     518/747-4148
              The Daland Corporation                 6658                  317 W 1st St                                                          Fulton          NY     13069     315/598-4300
                 Allegany Pizza LLC                 41433      4279 Genesee Valley Plaza Rd                                                     Geneseo          NY     14454     585/549-2205
                Maruti PH Group LLC                 42987          140 Pine Street, Unit 4A                                                     Hamburg          NY     14075     716/312-8031
            Chaac Pizza Northeast, LLC              38746                760 Fulton Ave                                                       Hempstead          NY     11550     516/670-1177
                   MPS Pizza LLC                    32661              1 Newbridge Road                                                        Hicksville        NY     11801     516/935-3100
                Huntington Pizza LLC                32746             1888 New York Ave                                                    Huntington Station    NY     11746     631/306-7006
            Chaac Pizza Northeast, LLC              36902            111-02 Sutphin Blvd.                                                       Jamaica          NY     11435     718/206-2403
            Chaac Pizza Northeast, LLC              38867         24502 Francis Lewis Blvd                                                      Jamaica          NY     11422     347/894-3003
                 Allegany Pizza LLC                 41945             709 West 3rd Street                                                     Jamestown          NY     14701     716/637-4301
              Tasty Hut Northeast LLC               39672         218 Reynolds Rd Suite 3                                                    Johnson City        NY     13790     607/798-7527
              Tasty Hut Northeast LLC               41763             22 Sullivan Avenue                                                         Liberty         NY     12754     845/292-6644
            Chaac Pizza Northeast, LLC              41992           50 E Sunrise Highway                                                      Lindenhurst        NY     11757     631/956-9006
              Tasty Hut Northeast LLC               39668              7365 Oswego Rd                                                           Liverpool        NY     13090     315/451-8200
                Maruti PH Group LLC                 41657              5774 S Transit Rd                                                        Lockport         NY     14094     716/478-0000
              The Daland Corporation                 8019            3397 State Route 11                                                         Malone          NY     12953     518/483-7350
              The Daland Corporation                24197               4 Malby Avenue                                                          Massena          NY     13662     315/764-1703
              Middle Island Pizza LLC               32689          858 Middle Country Rd                                                     Middle Island       NY     11953     631/448-8080
            Chaac Pizza Northeast, LLC              36807             280 Route 211 East                           Suite 115, Box 11          Middletown         NY     10940     845/343-8180
            Chaac Pizza Northeast, LLC              41393              50 Gramatan Ave                                                       Mount Vernon        NY     10550     914-308-3710
            Chaac Pizza Northeast, LLC              36810                   214 NY-59                                                            Nanuet          NY     10954     845/624-2203
              Tasty Hut Northeast LLC               39671             8400 Seneca Tpke                                                       New Hartford        NY     13413     315/733-5357
            Chaac Pizza Northeast, LLC              42147            134 Delancey Street                                                       New York          NY     10002     212/991-9667
            Chaac Pizza Northeast, LLC              41834                 1913 3rd Ave                                                         New York          NY     10029     929/575-6003
            City Pizza Development LLC              41923            264 West 23rd Street                                                      New York          NY     10011     646/532-6486
            Chaac Pizza Northeast, LLC              41737        291 Saint Nicholas Avenue                                                     New York          NY     10027     646/340-1130
            Chaac Pizza Northeast, LLC              41641               555 2nd Avenue                                                         New York          NY     10016     646/666-5998
            City Pizza Development LLC              40937                  932 8th Ave                                                         New York          NY     10019     929/645-2154
            Chaac Pizza Northeast, LLC              36805                75 N Plank Rd                                                         Newburgh          NY     12550     845/562-5970
                Maruti PH Group LLC                 42165       1045 Payne Avenue, Suite 6                                                 North Tonawanda       NY     14120     716/213-5208
              Tasty Hut Northeast LLC               41769             6096 State Hwy 12                           Route 12, Box 564             Norwich          NY     13815     607/334-5000
              The Daland Corporation                 7423              1010 Patterson St                                                      Ogdensburg         NY     13669     315/393-1927
                 Allegany Pizza LLC                 39654               610 N. Union St                                                           Olean          NY     14760     585/378-8800
            Chaac Pizza Northeast, LLC              36826              8920 Atlantic Ave                                                      Ozone Park         NY     11416     718/848-4500
               Patchogue Pizza, LLC                 29260            500 Medford Avenue                                                        Patchogue         NY     11772     631/475-0271
              The Daland Corporation                 6951              370 State Route 3                                                      Plattsburgh        NY     12901     518/563-8590
              The Daland Corporation                 7227                  62 Market St                                                         Potsdam          NY     13676     315/265-2016
            Chaac Pizza Northeast, LLC              41390           34-15 Steinway Street                                                       Queens           NY     11101     347/381-5852
            Chaac Pizza Northeast, LLC              41894         59-01 Roosevelt Avenue                                                        Queens           NY     11377     718/593-8182
            Chaac Pizza Northeast, LLC              41001                84-23 37th Ave                                                         Queens           NY     11372     718/730-1003
            Chaac Pizza Northeast, LLC              36827              22003 Hillside Ave                                                   Queens Village       NY     11427     718/776-0606
              Tasty Hut Northeast LLC               41766                   97 Main St                                                        Queensbury         NY     12801     518/792-3698
            Chaac Pizza Northeast, LLC              36828              9608 Queens Blvd                                                        Rego Park         NY     11374     718/896-9800
            Chaac Pizza Northeast, LLC              41909            57-29 Myrtle Avenue                                                      Ridgewood          NY     11385     718/593-8192
              Tasty Hut Northeast LLC               39681            2177 E Henrietta Rd                                                       Rochester         NY     14623     585/334-6185
              Tasty Hut Northeast LLC               39673             2255 E Ridge Road                                                        Rochester         NY     14622     585/266-5333
              Tasty Hut Northeast LLC               39670               3920 Dewey Ave                                                         Rochester         NY     14616     585/621-6470
              Tasty Hut Northeast LLC               39666                1127 Erie Blvd                                                           Rome           NY     13440     315/337-7709
              Tasty Hut Northeast LLC               41765                  8 N Ballston                                                    Saratoga Springs      NY     12866     518/584-1814


Pizza Hut, LLC
2026 FDD | Ex. H-1 - List of Current Franchisees
1334.003.003/451550                                                                                 35

