                                                                                 Exhibit D-1
                                                                       List of Restaurant Franchisees
                                                                          As of December 28, 2025




 State   City                Restaurant #   Address                     Zip     Phone          Franchisee Entity
 CA      San Diego           4500           5824 Montezuma Rd           92115   619-310-5757   Burton Sandwiches LLC
 CA      San Diego           4647           1772 Garnet Ave, Suite F    92109   858-667-4881   Burton Sandwiches LLC
 CA      San Diego           4683           4140 Convoy St              92111   858-737-4411   Burton Sandwiches LLC
 CA      Santa Clarita       2960           28257 Newhall Ranch Rd      91355   661-775-9900   KCNS Santa Clarita LLC
 CA      Turlock             3651           3161 Geer Rd                95382   209-632-6200   GT Subs Inc.
 CA      Upland              2874           813 W Foothill Blvd         91786   909-946-1100   Atlas West, Inc.
 CA      Valencia            3209           25864 McBean Pkwy           91355   661-799-8000   KCNS Valencia LLC
 CA      Ventura             3171           1780 S Victoria Ave         93003   805-654-9400   Sandwich Sharks, LLC
 CA      Victorville         3540           14250 Bear Valley Rd        92392   760-955-6000   Vans Bros Legacy, LLC
 CA      Visalia             1814           312 W Main St               93291   559-625-4546   Main Street 1814 LLC
 CA      Visalia             2207           2038 S Mooney Blvd          93277   559-635-4546   The Sandwich Stations, Inc.
 CA      Visalia             2480           5223 W Walnut Ave           93277   559-625-7827   The Sandwich Stations, Inc.
 CA      Whittier            3992           12376 Washington Blvd       90606   562-273-5775   CMM, LLC
 CA      Yorba Linda         2962           4846 Valley View Ave        92886   714-579-6933   Yorba Linda Sandwiches LLC
 CO      Alamosa             3844           1605 Main St.               81101   719-589-3418   The Gourmet Lady, LLC
 CO      Arvada              1796           8410 Wadsworth Blvd         80003   303-867-3525   GH Food Group 2, LLC
 CO      Arvada              1841           5220 Wadsworth Blvd         80002   303-420-0929   Mile High Subs, LLC
 CO      Arvada              1922           12650 W 64th Ave            80004   303-940-5729   Premium Loaves Colorado LLC
 CO      Aurora              1038           14555 E Arapahoe Rd         80016   303-680-4400   Premium Loaves Colorado LLC
 CO      Aurora              1164           3995 Lewiston St            80011   303-574-1200   GH Food Group, LLC
 CO      Aurora              1468           4261 S Buckley Rd           80013   303-699-2500   BFCCO Inc.
 CO      Aurora              1493           10551 E Garden Dr           80012   303-755-2020   Premium Loaves Colorado LLC
 CO      Aurora              1921           14302 E Cedar Ave           80012   303-577-0242   Premium Loaves Colorado LLC
 CO      Aurora              3668           23903 E Prospect Ave        80016   303-699-1700   BFCCO Inc.
 CO      Aurora              596            12501 E 17th Ave            80045   303-366-9000   GH Food Group, LLC
 CO      Boulder             669            3310 Arapahoe Ave           80303   303-447-3332   Alarado Enterprises, LLC
 CO      Broomfield          1697           1240 E 1st Ave              80020   720-354-4444   Kasch Partnership LLC
 CO      Broomfield          4115           16860 Sheridan Parkway      80023   720-617-2799   Kasch Partnership LLC
 CO      Canon City          2841           2255 Fremont Dr             81212   719-276-9999   The Gourmet Lady, LLC
 CO      Castle Rock         1335           5646 Allen Way              80108   303-663-9998   GH Food Group, LLC
 CO      Castle Rock         2628           390 S Wilcox St             80104   303-867-7770   GH Food Group, LLC
 CO      Centennial          1265           20209 E Smoky Hill Rd       80015   303-699-6700   BFCCO Inc.
 CO      Centennial          2949           7530 S University Blvd      80122   720-359-2465   Premium Loaves Colorado LLC
 CO      Centennial          633            7255 S Havana St            80112   303-662-1414   Premium Loaves Colorado LLC
 CO      Clifton             1333           3203 I-70 Business Loop     81520   970-523-1792   CO 1333, LLC
 CO      Colorado Springs    1112           5885 Stetson Hills Blvd     80923   719-597-7827   CO 1112 LLC
 CO      Colorado Springs    1237           1590 Briargate Blvd         80920   719-203-3278   GH Food Group, LLC
 CO      Colorado Springs    1312           4290 N Academy Blvd         80918   719-591-7827   CO OPS 3 LLC
 CO      Colorado Springs    1321           9275 N Union Blvd           80920   719-638-7827   CO 1321 LLC
 CO      Colorado Springs    2093           389 E Fillmore St           80907   719-633-7827   CO OPS 3 LLC
 CO      Colorado Springs    2126           817 Cheyenne Meadows Rd     80906   719-226-7827   CO OPS 3 LLC
 CO      Colorado Springs    2656           122 Tracker Dr              80921   719-487-7677   CO OPS 3 LLC
 CO      Colorado Springs    2924           1353 Interquest Pkwy        80921   719-219-8250   GH Food Group, LLC
 CO      Colorado Springs    3052           3604 Hartsel Dr             80920   719-599-4206   CO 3052 LLC
 CO      Colorado Springs    3056           2710 S Academy Blvd         80916   719-434-4646   JJCS 3056, LLC
 CO      Colorado Springs    968            1035 Garden of the Gods Rd 80907    719-590-7827   CO 968 LLC
 CO      Colorado Springs    969            10 S Tejon St               80903   719-227-7827   Sand Dollar, Inc.
 CO      Commerce City       2965           10449 Chambers Rd           80022   303-853-4444   GH Food Group, LLC

2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                                 5

